 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 9.00000E+03 eV = 3.30744E+02 a.u.
 #
 # Element: Se,  Z =  34,  atomic weight = 7.89600E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.59042E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 34
 #
 # Electron density: Read from file Data/z_034.d
 #                   Number of data points =  711
 #                   Volume integral = 3.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.19000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 3.77000E-24 cm**3
 #                            Bpol = 2.36511E+01
 #
 # Total elastic cross section = 4.84382E-17 cm**2 = 1.72976E+00 a0**2
 # 1st transport cross section = 1.50435E-18 cm**2 = 5.37212E-02 a0**2
 # 2nd transport cross section = 3.08087E-18 cm**2 = 1.10020E-01 a0**2
 #
 #    Absorption cross section = 1.25585E-17 cm**2 = 4.48474E-01 a0**2
 #   Grand total cross section = 6.10030E-17 cm**2 = 2.17846E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 6.00271E-15
7.61557E-13 6.00270E-15
1.18994E-12 6.00270E-15
1.71346E-12 6.00270E-15
2.33225E-12 6.00270E-15
3.04617E-12 6.00270E-15
3.85530E-12 6.00270E-15
4.75964E-12 6.00270E-15
5.75917E-12 6.00270E-15
6.85391E-12 6.00270E-15
8.04379E-12 6.00270E-15
9.32893E-12 6.00270E-15
1.07092E-11 6.00270E-15
1.21847E-11 6.00270E-15
1.37554E-11 6.00270E-15
1.54213E-11 6.00270E-15
1.71823E-11 6.00270E-15
1.90386E-11 6.00270E-15
2.09900E-11 6.00270E-15
2.30367E-11 6.00270E-15
2.51785E-11 6.00269E-15
2.74156E-11 6.00269E-15
2.97478E-11 6.00269E-15
3.21752E-11 6.00269E-15
3.46979E-11 6.00269E-15
3.73157E-11 6.00269E-15
4.00286E-11 6.00269E-15
4.28368E-11 6.00269E-15
4.57402E-11 6.00269E-15
4.87388E-11 6.00268E-15
5.18325E-11 6.00268E-15
5.50215E-11 6.00268E-15
5.83057E-11 6.00268E-15
6.16850E-11 6.00268E-15
6.51595E-11 6.00268E-15
6.87293E-11 6.00268E-15
7.23943E-11 6.00267E-15
7.61544E-11 6.00267E-15
1.18991E-10 6.00265E-15
1.71347E-10 6.00263E-15
2.33223E-10 6.00260E-15
3.04617E-10 6.00257E-15
3.85531E-10 6.00254E-15
4.75965E-10 6.00250E-15
5.75917E-10 6.00246E-15
6.85389E-10 6.00241E-15
8.04380E-10 6.00236E-15
9.32891E-10 6.00230E-15
1.07092E-09 6.00224E-15
1.21847E-09 6.00218E-15
1.37554E-09 6.00211E-15
1.54213E-09 6.00204E-15
1.71823E-09 6.00197E-15
1.90386E-09 6.00189E-15
2.09900E-09 6.00180E-15
2.30367E-09 6.00171E-15
2.51785E-09 6.00162E-15
2.74156E-09 6.00153E-15
2.97478E-09 6.00142E-15
3.21752E-09 6.00132E-15
3.46978E-09 6.00121E-15
3.73156E-09 6.00110E-15
4.00286E-09 6.00098E-15
4.28368E-09 6.00086E-15
4.57402E-09 6.00074E-15
4.87388E-09 6.00061E-15
5.18326E-09 6.00048E-15
5.50215E-09 6.00034E-15
5.83057E-09 6.00020E-15
6.16850E-09 6.00005E-15
6.51596E-09 5.99990E-15
6.87293E-09 5.99975E-15
7.23942E-09 5.99959E-15
7.61544E-09 5.99943E-15
1.18991E-08 5.99759E-15
1.71347E-08 5.99535E-15
2.33223E-08 5.99271E-15
3.04617E-08 5.98967E-15
3.85531E-08 5.98624E-15
4.75965E-08 5.98242E-15
5.75917E-08 5.97821E-15
6.85389E-08 5.97363E-15
8.04380E-08 5.96867E-15
9.32891E-08 5.96334E-15
1.07092E-07 5.95765E-15
1.21847E-07 5.95160E-15
1.37554E-07 5.94521E-15
1.54213E-07 5.93848E-15
1.71823E-07 5.93141E-15
1.90386E-07 5.92402E-15
2.09900E-07 5.91632E-15
2.30367E-07 5.90831E-15
2.51785E-07 5.90000E-15
2.74156E-07 5.89140E-15
2.97478E-07 5.88253E-15
3.21752E-07 5.87338E-15
3.46978E-07 5.86398E-15
3.73156E-07 5.85433E-15
4.00286E-07 5.84444E-15
4.28368E-07 5.83432E-15
4.57402E-07 5.82399E-15
4.87388E-07 5.81345E-15
5.18325E-07 5.80271E-15
5.50215E-07 5.79179E-15
5.83057E-07 5.78069E-15
6.16850E-07 5.76943E-15
6.51596E-07 5.75802E-15
6.87293E-07 5.74647E-15
7.23942E-07 5.73478E-15
7.61543E-07 5.72298E-15
1.18991E-06 5.60050E-15
1.71347E-06 5.47637E-15
2.33223E-06 5.35767E-15
3.04617E-06 5.24846E-15
3.85531E-06 5.14997E-15
4.75964E-06 5.06126E-15
5.75916E-06 4.98019E-15
6.85388E-06 4.90444E-15
8.04378E-06 4.83216E-15
9.32888E-06 4.76234E-15
1.07092E-05 4.69481E-15
1.21846E-05 4.62989E-15
1.37553E-05 4.56804E-15
1.54212E-05 4.50951E-15
1.71822E-05 4.45418E-15
1.90385E-05 4.40160E-15
2.09899E-05 4.35113E-15
2.30365E-05 4.30212E-15
2.51783E-05 4.25416E-15
2.74153E-05 4.20706E-15
2.97475E-05 4.16087E-15
3.21749E-05 4.11575E-15
3.46974E-05 4.07182E-15
3.73152E-05 4.02909E-15
4.00281E-05 3.98741E-15
4.28362E-05 3.94651E-15
4.57395E-05 3.90613E-15
4.87380E-05 3.86605E-15
5.18317E-05 3.82617E-15
5.50205E-05 3.78652E-15
5.83045E-05 3.74718E-15
6.16838E-05 3.70825E-15
6.51582E-05 3.66976E-15
6.87277E-05 3.63168E-15
7.23925E-05 3.59388E-15
7.61524E-05 3.55625E-15
9.21439E-05 3.40601E-15
