 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 2.50000E+03 eV = 9.18733E+01 a.u.
 #
 # Element: Br,  Z =  35,  atomic weight = 7.99040E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.60865E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 35
 #
 # Electron density: Read from file Data/z_035.d
 #                   Number of data points =  695
 #                   Volume integral = 3.50000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 5.01380E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 3.05000E-24 cm**3
 #                            Bpol = 1.23744E+01
 #
 # Total elastic cross section = 9.48594E-17 cm**2 = 3.38749E+00 a0**2
 # 1st transport cross section = 4.62073E-18 cm**2 = 1.65009E-01 a0**2
 # 2nd transport cross section = 9.54466E-18 cm**2 = 3.40846E-01 a0**2
 #
 #    Absorption cross section = 3.58632E-17 cm**2 = 1.28070E+00 a0**2
 #   Grand total cross section = 1.30729E-16 cm**2 = 4.66842E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.63256E-15
7.61557E-13 1.63256E-15
1.18994E-12 1.63256E-15
1.71346E-12 1.63256E-15
2.33225E-12 1.63256E-15
3.04617E-12 1.63256E-15
3.85530E-12 1.63256E-15
4.75964E-12 1.63256E-15
5.75917E-12 1.63256E-15
6.85391E-12 1.63256E-15
8.04379E-12 1.63256E-15
9.32893E-12 1.63256E-15
1.07092E-11 1.63256E-15
1.21847E-11 1.63256E-15
1.37554E-11 1.63256E-15
1.54213E-11 1.63256E-15
1.71823E-11 1.63256E-15
1.90386E-11 1.63256E-15
2.09900E-11 1.63256E-15
2.30367E-11 1.63256E-15
2.51785E-11 1.63256E-15
2.74156E-11 1.63256E-15
2.97478E-11 1.63256E-15
3.21752E-11 1.63256E-15
3.46979E-11 1.63256E-15
3.73157E-11 1.63256E-15
4.00286E-11 1.63256E-15
4.28368E-11 1.63256E-15
4.57402E-11 1.63256E-15
4.87388E-11 1.63256E-15
5.18325E-11 1.63256E-15
5.50215E-11 1.63256E-15
5.83057E-11 1.63256E-15
6.16850E-11 1.63256E-15
6.51595E-11 1.63256E-15
6.87293E-11 1.63256E-15
7.23943E-11 1.63256E-15
7.61544E-11 1.63256E-15
1.18991E-10 1.63256E-15
1.71347E-10 1.63256E-15
2.33223E-10 1.63257E-15
3.04617E-10 1.63257E-15
3.85531E-10 1.63257E-15
4.75965E-10 1.63257E-15
5.75917E-10 1.63258E-15
6.85389E-10 1.63258E-15
8.04380E-10 1.63259E-15
9.32891E-10 1.63259E-15
1.07092E-09 1.63260E-15
1.21847E-09 1.63260E-15
1.37554E-09 1.63261E-15
1.54213E-09 1.63261E-15
1.71823E-09 1.63262E-15
1.90386E-09 1.63263E-15
2.09900E-09 1.63263E-15
2.30367E-09 1.63264E-15
2.51785E-09 1.63265E-15
2.74156E-09 1.63266E-15
2.97478E-09 1.63267E-15
3.21752E-09 1.63267E-15
3.46978E-09 1.63268E-15
3.73156E-09 1.63269E-15
4.00286E-09 1.63270E-15
4.28368E-09 1.63271E-15
4.57402E-09 1.63272E-15
4.87388E-09 1.63274E-15
5.18326E-09 1.63275E-15
5.50215E-09 1.63276E-15
5.83057E-09 1.63277E-15
6.16850E-09 1.63278E-15
6.51596E-09 1.63280E-15
6.87293E-09 1.63281E-15
7.23942E-09 1.63282E-15
7.61544E-09 1.63284E-15
1.18991E-08 1.63299E-15
1.71347E-08 1.63318E-15
2.33223E-08 1.63341E-15
3.04617E-08 1.63367E-15
3.85531E-08 1.63397E-15
4.75965E-08 1.63430E-15
5.75917E-08 1.63466E-15
6.85389E-08 1.63506E-15
8.04380E-08 1.63549E-15
9.32891E-08 1.63596E-15
1.07092E-07 1.63646E-15
1.21847E-07 1.63700E-15
1.37554E-07 1.63757E-15
1.54213E-07 1.63817E-15
1.71823E-07 1.63880E-15
1.90386E-07 1.63947E-15
2.09900E-07 1.64018E-15
2.30367E-07 1.64091E-15
2.51785E-07 1.64168E-15
2.74156E-07 1.64249E-15
2.97478E-07 1.64332E-15
3.21752E-07 1.64419E-15
3.46978E-07 1.64509E-15
3.73156E-07 1.64602E-15
4.00286E-07 1.64698E-15
4.28368E-07 1.64798E-15
4.57402E-07 1.64901E-15
4.87388E-07 1.65006E-15
5.18325E-07 1.65115E-15
5.50215E-07 1.65227E-15
5.83057E-07 1.65342E-15
6.16850E-07 1.65460E-15
6.51596E-07 1.65581E-15
6.87293E-07 1.65705E-15
7.23942E-07 1.65832E-15
7.61543E-07 1.65962E-15
1.18991E-06 1.67415E-15
1.71347E-06 1.69126E-15
2.33223E-06 1.71058E-15
3.04617E-06 1.73171E-15
3.85531E-06 1.75424E-15
4.75964E-06 1.77774E-15
5.75916E-06 1.80179E-15
6.85388E-06 1.82601E-15
8.04378E-06 1.85005E-15
9.32888E-06 1.87362E-15
1.07092E-05 1.89649E-15
1.21846E-05 1.91848E-15
1.37553E-05 1.93950E-15
1.54212E-05 1.95949E-15
1.71822E-05 1.97847E-15
1.90385E-05 1.99648E-15
2.09899E-05 2.01361E-15
2.30365E-05 2.02995E-15
2.51783E-05 2.04559E-15
2.74153E-05 2.06065E-15
2.97475E-05 2.07519E-15
3.21749E-05 2.08929E-15
3.46974E-05 2.10298E-15
3.73152E-05 2.11629E-15
4.00281E-05 2.12921E-15
4.28362E-05 2.14172E-15
4.57395E-05 2.15379E-15
4.87380E-05 2.16537E-15
5.18317E-05 2.17643E-15
5.50205E-05 2.18692E-15
5.83045E-05 2.19680E-15
6.16838E-05 2.20607E-15
6.51582E-05 2.21470E-15
6.87277E-05 2.22272E-15
7.23925E-05 2.23012E-15
7.61524E-05 2.23695E-15
9.21439E-05 2.25918E-15
1.09658E-04 2.27475E-15
1.28695E-04 2.28425E-15
1.49255E-04 2.28714E-15
1.71338E-04 2.28343E-15
1.94942E-04 2.27416E-15
2.20070E-04 2.26041E-15
2.46720E-04 2.24241E-15
2.74892E-04 2.22003E-15
3.04586E-04 2.19363E-15
3.35803E-04 2.16399E-15
3.68542E-04 2.13170E-15
4.02802E-04 2.09687E-15
