 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.50000E+03 eV = 5.51240E+01 a.u.
 #
 # Element: Kr,  Z =  36,  atomic weight = 8.38000E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.68236E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 36
 #
 # Electron density: Read from file Data/z_036.d
 #                   Number of data points =  681
 #                   Volume integral = 3.60000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 7.19960E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.48400E-24 cm**3
 #                            Bpol = 9.51972E+00
 #
 # Total elastic cross section = 1.21803E-16 cm**2 = 4.34965E+00 a0**2
 # 1st transport cross section = 7.84493E-18 cm**2 = 2.80147E-01 a0**2
 # 2nd transport cross section = 1.55817E-17 cm**2 = 5.56431E-01 a0**2
 #
 #    Absorption cross section = 5.21090E-17 cm**2 = 1.86085E+00 a0**2
 #   Grand total cross section = 1.73917E-16 cm**2 = 6.21069E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.29946E-15
7.61557E-13 1.29946E-15
1.18994E-12 1.29946E-15
1.71346E-12 1.29946E-15
2.33225E-12 1.29946E-15
3.04617E-12 1.29946E-15
3.85530E-12 1.29946E-15
4.75964E-12 1.29946E-15
5.75917E-12 1.29946E-15
6.85391E-12 1.29946E-15
8.04379E-12 1.29946E-15
9.32893E-12 1.29946E-15
1.07092E-11 1.29946E-15
1.21847E-11 1.29946E-15
1.37554E-11 1.29946E-15
1.54213E-11 1.29946E-15
1.71823E-11 1.29946E-15
1.90386E-11 1.29946E-15
2.09900E-11 1.29946E-15
2.30367E-11 1.29946E-15
2.51785E-11 1.29946E-15
2.74156E-11 1.29946E-15
2.97478E-11 1.29946E-15
3.21752E-11 1.29946E-15
3.46979E-11 1.29946E-15
3.73157E-11 1.29946E-15
4.00286E-11 1.29946E-15
4.28368E-11 1.29946E-15
4.57402E-11 1.29946E-15
4.87388E-11 1.29946E-15
5.18325E-11 1.29946E-15
5.50215E-11 1.29946E-15
5.83057E-11 1.29946E-15
6.16850E-11 1.29946E-15
6.51595E-11 1.29946E-15
6.87293E-11 1.29946E-15
7.23943E-11 1.29946E-15
7.61544E-11 1.29946E-15
1.18991E-10 1.29946E-15
1.71347E-10 1.29946E-15
2.33223E-10 1.29946E-15
3.04617E-10 1.29946E-15
3.85531E-10 1.29947E-15
4.75965E-10 1.29947E-15
5.75917E-10 1.29947E-15
6.85389E-10 1.29947E-15
8.04380E-10 1.29947E-15
9.32891E-10 1.29947E-15
1.07092E-09 1.29947E-15
1.21847E-09 1.29948E-15
1.37554E-09 1.29948E-15
1.54213E-09 1.29948E-15
1.71823E-09 1.29948E-15
1.90386E-09 1.29948E-15
2.09900E-09 1.29949E-15
2.30367E-09 1.29949E-15
2.51785E-09 1.29949E-15
2.74156E-09 1.29950E-15
2.97478E-09 1.29950E-15
3.21752E-09 1.29950E-15
3.46978E-09 1.29950E-15
3.73156E-09 1.29951E-15
4.00286E-09 1.29951E-15
4.28368E-09 1.29952E-15
4.57402E-09 1.29952E-15
4.87388E-09 1.29952E-15
5.18326E-09 1.29953E-15
5.50215E-09 1.29953E-15
5.83057E-09 1.29954E-15
6.16850E-09 1.29954E-15
6.51596E-09 1.29954E-15
6.87293E-09 1.29955E-15
7.23942E-09 1.29955E-15
7.61544E-09 1.29956E-15
1.18991E-08 1.29961E-15
1.71347E-08 1.29968E-15
2.33223E-08 1.29976E-15
3.04617E-08 1.29985E-15
3.85531E-08 1.29996E-15
4.75965E-08 1.30007E-15
5.75917E-08 1.30020E-15
6.85389E-08 1.30034E-15
8.04380E-08 1.30050E-15
9.32891E-08 1.30066E-15
1.07092E-07 1.30084E-15
1.21847E-07 1.30103E-15
1.37554E-07 1.30123E-15
1.54213E-07 1.30144E-15
1.71823E-07 1.30167E-15
1.90386E-07 1.30190E-15
2.09900E-07 1.30215E-15
2.30367E-07 1.30242E-15
2.51785E-07 1.30269E-15
2.74156E-07 1.30297E-15
2.97478E-07 1.30327E-15
3.21752E-07 1.30358E-15
3.46978E-07 1.30390E-15
3.73156E-07 1.30423E-15
4.00286E-07 1.30458E-15
4.28368E-07 1.30494E-15
4.57402E-07 1.30530E-15
4.87388E-07 1.30568E-15
5.18325E-07 1.30607E-15
5.50215E-07 1.30648E-15
5.83057E-07 1.30689E-15
6.16850E-07 1.30732E-15
6.51596E-07 1.30775E-15
6.87293E-07 1.30820E-15
7.23942E-07 1.30866E-15
7.61543E-07 1.30913E-15
1.18991E-06 1.31445E-15
1.71347E-06 1.32083E-15
2.33223E-06 1.32821E-15
3.04617E-06 1.33650E-15
3.85531E-06 1.34563E-15
4.75964E-06 1.35548E-15
5.75916E-06 1.36597E-15
6.85388E-06 1.37699E-15
8.04378E-06 1.38842E-15
9.32888E-06 1.40018E-15
1.07092E-05 1.41214E-15
1.21846E-05 1.42421E-15
1.37553E-05 1.43630E-15
1.54212E-05 1.44833E-15
1.71822E-05 1.46021E-15
1.90385E-05 1.47189E-15
