 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.00000E+02 eV = 7.34987E+00 a.u.
 #
 # Element: Kr,  Z =  36,  atomic weight = 8.38000E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.68236E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 36
 #
 # Electron density: Read from file Data/z_036.d
 #                   Number of data points =  681
 #                   Volume integral = 3.60000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 9.91000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.48400E-24 cm**3
 #                            Bpol = 3.06186E+00
 #
 # Total elastic cross section = 3.99417E-16 cm**2 = 1.42634E+01 a0**2
 # 1st transport cross section = 1.12618E-16 cm**2 = 4.02168E+00 a0**2
 # 2nd transport cross section = 1.20157E-16 cm**2 = 4.29089E+00 a0**2
 #
 #    Absorption cross section = 2.02528E-16 cm**2 = 7.23240E+00 a0**2
 #   Grand total cross section = 6.01971E-16 cm**2 = 2.14968E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 3.13324E-15
7.61557E-13 3.13324E-15
1.18994E-12 3.13324E-15
1.71346E-12 3.13324E-15
2.33225E-12 3.13324E-15
3.04617E-12 3.13324E-15
3.85530E-12 3.13324E-15
4.75964E-12 3.13324E-15
5.75917E-12 3.13324E-15
6.85391E-12 3.13324E-15
8.04379E-12 3.13324E-15
9.32893E-12 3.13324E-15
1.07092E-11 3.13324E-15
1.21847E-11 3.13324E-15
1.37554E-11 3.13324E-15
1.54213E-11 3.13324E-15
1.71823E-11 3.13324E-15
1.90386E-11 3.13324E-15
2.09900E-11 3.13324E-15
2.30367E-11 3.13324E-15
2.51785E-11 3.13324E-15
2.74156E-11 3.13324E-15
2.97478E-11 3.13324E-15
3.21752E-11 3.13324E-15
3.46979E-11 3.13324E-15
3.73157E-11 3.13324E-15
4.00286E-11 3.13324E-15
4.28368E-11 3.13324E-15
4.57402E-11 3.13324E-15
4.87388E-11 3.13324E-15
5.18325E-11 3.13324E-15
5.50215E-11 3.13324E-15
5.83057E-11 3.13324E-15
6.16850E-11 3.13324E-15
6.51595E-11 3.13324E-15
6.87293E-11 3.13323E-15
7.23943E-11 3.13323E-15
7.61544E-11 3.13323E-15
1.18991E-10 3.13323E-15
1.71347E-10 3.13323E-15
2.33223E-10 3.13323E-15
3.04617E-10 3.13323E-15
3.85531E-10 3.13323E-15
4.75965E-10 3.13323E-15
5.75917E-10 3.13323E-15
6.85389E-10 3.13323E-15
8.04380E-10 3.13323E-15
9.32891E-10 3.13323E-15
1.07092E-09 3.13323E-15
1.21847E-09 3.13323E-15
1.37554E-09 3.13323E-15
1.54213E-09 3.13323E-15
1.71823E-09 3.13323E-15
1.90386E-09 3.13323E-15
2.09900E-09 3.13323E-15
2.30367E-09 3.13323E-15
2.51785E-09 3.13323E-15
2.74156E-09 3.13322E-15
2.97478E-09 3.13322E-15
3.21752E-09 3.13322E-15
3.46978E-09 3.13322E-15
3.73156E-09 3.13322E-15
4.00286E-09 3.13322E-15
4.28368E-09 3.13322E-15
4.57402E-09 3.13322E-15
4.87388E-09 3.13322E-15
5.18326E-09 3.13322E-15
5.50215E-09 3.13321E-15
5.83057E-09 3.13321E-15
6.16850E-09 3.13321E-15
6.51596E-09 3.13321E-15
6.87293E-09 3.13321E-15
7.23942E-09 3.13321E-15
7.61544E-09 3.13321E-15
1.18991E-08 3.13319E-15
1.71347E-08 3.13317E-15
2.33223E-08 3.13315E-15
3.04617E-08 3.13312E-15
3.85531E-08 3.13309E-15
4.75965E-08 3.13305E-15
5.75917E-08 3.13302E-15
6.85389E-08 3.13297E-15
8.04380E-08 3.13293E-15
9.32891E-08 3.13288E-15
1.07092E-07 3.13283E-15
1.21847E-07 3.13277E-15
1.37554E-07 3.13271E-15
1.54213E-07 3.13265E-15
1.71823E-07 3.13258E-15
1.90386E-07 3.13251E-15
2.09900E-07 3.13243E-15
2.30367E-07 3.13236E-15
2.51785E-07 3.13227E-15
2.74156E-07 3.13219E-15
2.97478E-07 3.13210E-15
3.21752E-07 3.13201E-15
3.46978E-07 3.13191E-15
3.73156E-07 3.13181E-15
4.00286E-07 3.13171E-15
4.28368E-07 3.13160E-15
4.57402E-07 3.13149E-15
4.87388E-07 3.13138E-15
5.18325E-07 3.13126E-15
5.50215E-07 3.13114E-15
5.83057E-07 3.13101E-15
6.16850E-07 3.13088E-15
6.51596E-07 3.13075E-15
6.87293E-07 3.13061E-15
7.23942E-07 3.13048E-15
7.61543E-07 3.13033E-15
1.18991E-06 3.12871E-15
1.71347E-06 3.12672E-15
2.33223E-06 3.12439E-15
3.04617E-06 3.12171E-15
3.85531E-06 3.11869E-15
4.75964E-06 3.11533E-15
5.75916E-06 3.11164E-15
6.85388E-06 3.10763E-15
8.04378E-06 3.10330E-15
9.32888E-06 3.09867E-15
1.07092E-05 3.09373E-15
1.21846E-05 3.08850E-15
1.37553E-05 3.08299E-15
1.54212E-05 3.07721E-15
1.71822E-05 3.07117E-15
1.90385E-05 3.06487E-15
2.09899E-05 3.05833E-15
2.30365E-05 3.05156E-15
2.51783E-05 3.04457E-15
2.74153E-05 3.03737E-15
2.97475E-05 3.02997E-15
3.21749E-05 3.02238E-15
3.46974E-05 3.01462E-15
3.73152E-05 3.00669E-15
4.00281E-05 2.99861E-15
4.28362E-05 2.99039E-15
4.57395E-05 2.98204E-15
4.87380E-05 2.97356E-15
5.18317E-05 2.96498E-15
5.50205E-05 2.95630E-15
5.83045E-05 2.94753E-15
6.16838E-05 2.93868E-15
6.51582E-05 2.92976E-15
6.87277E-05 2.92078E-15
7.23925E-05 2.91176E-15
