 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.50000E+03 eV = 9.18733E+01 a.u.
 #
 # Element: Kr,  Z =  36,  atomic weight = 8.38000E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.68236E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 36
 #
 # Electron density: Read from file Data/z_036.d
 #                   Number of data points =  681
 #                   Volume integral = 3.60000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 9.91000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.48400E-24 cm**3
 #                            Bpol = 1.23744E+01
 #
 # Total elastic cross section = 1.10176E-16 cm**2 = 3.93444E+00 a0**2
 # 1st transport cross section = 1.04065E-17 cm**2 = 3.71624E-01 a0**2
 # 2nd transport cross section = 1.52486E-17 cm**2 = 5.44539E-01 a0**2
 #
 #    Absorption cross section = 2.99814E-17 cm**2 = 1.07065E+00 a0**2
 #   Grand total cross section = 1.40162E-16 cm**2 = 5.00528E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 4.14563E-15
7.61557E-13 4.14563E-15
1.18994E-12 4.14563E-15
1.71346E-12 4.14563E-15
2.33225E-12 4.14563E-15
3.04617E-12 4.14563E-15
3.85530E-12 4.14563E-15
4.75964E-12 4.14563E-15
5.75917E-12 4.14563E-15
6.85391E-12 4.14563E-15
8.04379E-12 4.14563E-15
9.32893E-12 4.14563E-15
1.07092E-11 4.14563E-15
1.21847E-11 4.14563E-15
1.37554E-11 4.14563E-15
1.54213E-11 4.14563E-15
1.71823E-11 4.14563E-15
1.90386E-11 4.14563E-15
2.09900E-11 4.14563E-15
2.30367E-11 4.14563E-15
2.51785E-11 4.14563E-15
2.74156E-11 4.14563E-15
2.97478E-11 4.14563E-15
3.21752E-11 4.14563E-15
3.46979E-11 4.14563E-15
3.73157E-11 4.14563E-15
4.00286E-11 4.14563E-15
4.28368E-11 4.14563E-15
4.57402E-11 4.14563E-15
4.87388E-11 4.14563E-15
5.18325E-11 4.14563E-15
5.50215E-11 4.14563E-15
5.83057E-11 4.14562E-15
6.16850E-11 4.14562E-15
6.51595E-11 4.14562E-15
6.87293E-11 4.14562E-15
7.23943E-11 4.14562E-15
7.61544E-11 4.14562E-15
1.18991E-10 4.14562E-15
1.71347E-10 4.14562E-15
2.33223E-10 4.14561E-15
3.04617E-10 4.14561E-15
3.85531E-10 4.14561E-15
4.75965E-10 4.14560E-15
5.75917E-10 4.14560E-15
6.85389E-10 4.14559E-15
8.04380E-10 4.14558E-15
9.32891E-10 4.14558E-15
1.07092E-09 4.14557E-15
1.21847E-09 4.14556E-15
1.37554E-09 4.14555E-15
1.54213E-09 4.14554E-15
1.71823E-09 4.14553E-15
1.90386E-09 4.14552E-15
2.09900E-09 4.14551E-15
2.30367E-09 4.14550E-15
2.51785E-09 4.14549E-15
2.74156E-09 4.14547E-15
2.97478E-09 4.14546E-15
3.21752E-09 4.14545E-15
3.46978E-09 4.14543E-15
3.73156E-09 4.14542E-15
4.00286E-09 4.14540E-15
4.28368E-09 4.14539E-15
4.57402E-09 4.14537E-15
4.87388E-09 4.14535E-15
5.18326E-09 4.14533E-15
5.50215E-09 4.14532E-15
5.83057E-09 4.14530E-15
6.16850E-09 4.14528E-15
6.51596E-09 4.14526E-15
6.87293E-09 4.14524E-15
7.23942E-09 4.14522E-15
7.61544E-09 4.14520E-15
1.18991E-08 4.14495E-15
1.71347E-08 4.14466E-15
2.33223E-08 4.14431E-15
3.04617E-08 4.14391E-15
3.85531E-08 4.14345E-15
4.75965E-08 4.14294E-15
5.75917E-08 4.14238E-15
6.85389E-08 4.14176E-15
8.04380E-08 4.14109E-15
9.32891E-08 4.14037E-15
1.07092E-07 4.13959E-15
1.21847E-07 4.13877E-15
1.37554E-07 4.13789E-15
1.54213E-07 4.13696E-15
1.71823E-07 4.13597E-15
1.90386E-07 4.13494E-15
2.09900E-07 4.13385E-15
2.30367E-07 4.13272E-15
2.51785E-07 4.13153E-15
2.74156E-07 4.13029E-15
2.97478E-07 4.12900E-15
3.21752E-07 4.12767E-15
3.46978E-07 4.12628E-15
3.73156E-07 4.12484E-15
4.00286E-07 4.12336E-15
4.28368E-07 4.12182E-15
4.57402E-07 4.12024E-15
4.87388E-07 4.11861E-15
5.18325E-07 4.11693E-15
5.50215E-07 4.11521E-15
5.83057E-07 4.11344E-15
6.16850E-07 4.11162E-15
6.51596E-07 4.10976E-15
6.87293E-07 4.10785E-15
7.23942E-07 4.10590E-15
7.61543E-07 4.10391E-15
1.18991E-06 4.08160E-15
1.71347E-06 4.05543E-15
2.33223E-06 4.02594E-15
3.04617E-06 3.99374E-15
3.85531E-06 3.95945E-15
4.75964E-06 3.92367E-15
5.75916E-06 3.88698E-15
6.85388E-06 3.84990E-15
8.04378E-06 3.81288E-15
9.32888E-06 3.77632E-15
1.07092E-05 3.74050E-15
1.21846E-05 3.70567E-15
1.37553E-05 3.67196E-15
1.54212E-05 3.63944E-15
1.71822E-05 3.60814E-15
1.90385E-05 3.57800E-15
2.09899E-05 3.54895E-15
2.30365E-05 3.52088E-15
2.51783E-05 3.49367E-15
2.74153E-05 3.46719E-15
2.97475E-05 3.44132E-15
3.21749E-05 3.41594E-15
3.46974E-05 3.39096E-15
3.73152E-05 3.36632E-15
4.00281E-05 3.34196E-15
4.28362E-05 3.31786E-15
4.57395E-05 3.29401E-15
4.87380E-05 3.27042E-15
5.18317E-05 3.24711E-15
5.50205E-05 3.22411E-15
5.83045E-05 3.20146E-15
6.16838E-05 3.17918E-15
6.51582E-05 3.15729E-15
6.87277E-05 3.13581E-15
7.23925E-05 3.11475E-15
7.61524E-05 3.09410E-15
9.21439E-05 3.01520E-15
1.09658E-04 2.94068E-15
1.28695E-04 2.86880E-15
1.49255E-04 2.79918E-15
1.71338E-04 2.73226E-15
1.94942E-04 2.66807E-15
2.20070E-04 2.60588E-15
2.46720E-04 2.54489E-15
2.74892E-04 2.48492E-15
3.04586E-04 2.42619E-15
3.35803E-04 2.36879E-15
3.68542E-04 2.31239E-15
4.02802E-04 2.25662E-15
4.38585E-04 2.20138E-15
4.75889E-04 2.14686E-15
5.14715E-04 2.09317E-15
5.55063E-04 2.04016E-15
5.96931E-04 1.98765E-15
6.40321E-04 1.93561E-15
6.85233E-04 1.88420E-15
7.31665E-04 1.83351E-15
7.79618E-04 1.78351E-15
8.29092E-04 1.73407E-15
8.80086E-04 1.68522E-15
9.32601E-04 1.63707E-15
9.86636E-04 1.58971E-15
1.04219E-03 1.54313E-15
1.09927E-03 1.49726E-15
1.15786E-03 1.45211E-15
1.21797E-03 1.40779E-15
1.27961E-03 1.36435E-15
1.34276E-03 1.32179E-15
1.40743E-03 1.28007E-15
1.47362E-03 1.23919E-15
1.54133E-03 1.19923E-15
1.61056E-03 1.16022E-15
1.68131E-03 1.12215E-15
1.75357E-03 1.08500E-15
1.82735E-03 1.04876E-15
1.90265E-03 1.01347E-15
1.97947E-03 9.79146E-16
2.05780E-03 9.45786E-16
2.13765E-03 9.13354E-16
2.21902E-03 8.81839E-16
2.30190E-03 8.51259E-16
2.38630E-03 8.21626E-16
2.47222E-03 7.92922E-16
2.55965E-03 7.65113E-16
2.64859E-03 7.38181E-16
2.73905E-03 7.12131E-16
2.83103E-03 6.86962E-16
2.92452E-03 6.62652E-16
3.01952E-03 6.39169E-16
3.11604E-03 6.16490E-16
3.21407E-03 5.94611E-16
3.31362E-03 5.73523E-16
3.41468E-03 5.53205E-16
3.51725E-03 5.33623E-16
3.62133E-03 5.14755E-16
3.72692E-03 4.96589E-16
3.83403E-03 4.79114E-16
3.94265E-03 4.62307E-16
4.05278E-03 4.46139E-16
4.16442E-03 4.30586E-16
4.27757E-03 4.15634E-16
4.39223E-03 4.01271E-16
4.50840E-03 3.87474E-16
4.62608E-03 3.74218E-16
4.74527E-03 3.61479E-16
4.86597E-03 3.49245E-16
4.98817E-03 3.37502E-16
5.11188E-03 3.26230E-16
5.23711E-03 3.15407E-16
5.36383E-03 3.05012E-16
5.49207E-03 2.95033E-16
5.62181E-03 2.85457E-16
5.75306E-03 2.76266E-16
5.88581E-03 2.67442E-16
6.02007E-03 2.58967E-16
6.15583E-03 2.50830E-16
6.29310E-03 2.43019E-16
6.43187E-03 2.35520E-16
6.57214E-03 2.28317E-16
6.71392E-03 2.21397E-16
6.85720E-03 2.14747E-16
7.00198E-03 2.08359E-16
7.14827E-03 2.02222E-16
7.29605E-03 1.96321E-16
7.44534E-03 1.90647E-16
7.59612E-03 1.85189E-16
7.97965E-03 1.72436E-16
8.37255E-03 1.60841E-16
8.77480E-03 1.50282E-16
9.18641E-03 1.40645E-16
9.60736E-03 1.31834E-16
1.00376E-02 1.23760E-16
1.04773E-02 1.16348E-16
