 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 5.00000E+02 eV = 1.83747E+01 a.u.
 #
 # Element: Rb,  Z =  37,  atomic weight = 8.54678E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.71322E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 37
 #
 # Electron density: Read from file Data/z_037.d
 #                   Number of data points =  859
 #                   Volume integral = 3.70000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 4.73000E-23 cm**3
 #                            Bpol = 5.30330E+00
 #
 # Total elastic cross section = 2.28975E-16 cm**2 = 8.17685E+00 a0**2
 # 1st transport cross section = 1.93813E-17 cm**2 = 6.92118E-01 a0**2
 # 2nd transport cross section = 3.72952E-17 cm**2 = 1.33184E+00 a0**2
 #
 #    Absorption cross section = 3.40953E-16 cm**2 = 1.21757E+01 a0**2
 #   Grand total cross section = 5.69933E-16 cm**2 = 2.03527E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.58588E-14
7.61557E-13 1.58588E-14
1.18994E-12 1.58588E-14
1.71346E-12 1.58588E-14
2.33225E-12 1.58588E-14
3.04617E-12 1.58588E-14
3.85530E-12 1.58588E-14
4.75964E-12 1.58588E-14
5.75917E-12 1.58588E-14
6.85391E-12 1.58588E-14
8.04379E-12 1.58588E-14
9.32893E-12 1.58588E-14
1.07092E-11 1.58588E-14
1.21847E-11 1.58588E-14
1.37554E-11 1.58588E-14
1.54213E-11 1.58588E-14
1.71823E-11 1.58588E-14
1.90386E-11 1.58588E-14
2.09900E-11 1.58588E-14
2.30367E-11 1.58588E-14
2.51785E-11 1.58588E-14
2.74156E-11 1.58588E-14
2.97478E-11 1.58588E-14
3.21752E-11 1.58588E-14
3.46979E-11 1.58588E-14
3.73157E-11 1.58588E-14
4.00286E-11 1.58588E-14
4.28368E-11 1.58588E-14
4.57402E-11 1.58588E-14
4.87388E-11 1.58588E-14
5.18325E-11 1.58588E-14
5.50215E-11 1.58588E-14
5.83057E-11 1.58588E-14
6.16850E-11 1.58588E-14
6.51595E-11 1.58588E-14
6.87293E-11 1.58588E-14
7.23943E-11 1.58588E-14
7.61544E-11 1.58588E-14
1.18991E-10 1.58588E-14
1.71347E-10 1.58588E-14
2.33223E-10 1.58587E-14
3.04617E-10 1.58587E-14
3.85531E-10 1.58587E-14
4.75965E-10 1.58586E-14
5.75917E-10 1.58586E-14
6.85389E-10 1.58586E-14
8.04380E-10 1.58585E-14
9.32891E-10 1.58585E-14
1.07092E-09 1.58584E-14
1.21847E-09 1.58583E-14
1.37554E-09 1.58583E-14
1.54213E-09 1.58582E-14
1.71823E-09 1.58581E-14
1.90386E-09 1.58581E-14
2.09900E-09 1.58580E-14
2.30367E-09 1.58579E-14
2.51785E-09 1.58578E-14
2.74156E-09 1.58577E-14
2.97478E-09 1.58576E-14
3.21752E-09 1.58575E-14
3.46978E-09 1.58574E-14
3.73156E-09 1.58573E-14
4.00286E-09 1.58572E-14
4.28368E-09 1.58571E-14
4.57402E-09 1.58570E-14
4.87388E-09 1.58568E-14
5.18326E-09 1.58567E-14
5.50215E-09 1.58566E-14
5.83057E-09 1.58565E-14
6.16850E-09 1.58563E-14
6.51596E-09 1.58562E-14
6.87293E-09 1.58560E-14
7.23942E-09 1.58559E-14
7.61544E-09 1.58557E-14
1.18991E-08 1.58540E-14
1.71347E-08 1.58519E-14
2.33223E-08 1.58493E-14
3.04617E-08 1.58464E-14
3.85531E-08 1.58431E-14
4.75965E-08 1.58395E-14
5.75917E-08 1.58354E-14
6.85389E-08 1.58309E-14
8.04380E-08 1.58261E-14
9.32891E-08 1.58209E-14
1.07092E-07 1.58153E-14
1.21847E-07 1.58093E-14
1.37554E-07 1.58029E-14
1.54213E-07 1.57962E-14
1.71823E-07 1.57890E-14
1.90386E-07 1.57815E-14
2.09900E-07 1.57736E-14
2.30367E-07 1.57653E-14
2.51785E-07 1.57567E-14
2.74156E-07 1.57476E-14
2.97478E-07 1.57382E-14
3.21752E-07 1.57284E-14
3.46978E-07 1.57183E-14
3.73156E-07 1.57077E-14
4.00286E-07 1.56968E-14
4.28368E-07 1.56855E-14
4.57402E-07 1.56739E-14
4.87388E-07 1.56619E-14
5.18325E-07 1.56495E-14
5.50215E-07 1.56367E-14
5.83057E-07 1.56236E-14
6.16850E-07 1.56101E-14
6.51596E-07 1.55962E-14
6.87293E-07 1.55820E-14
7.23942E-07 1.55674E-14
7.61543E-07 1.55525E-14
1.18991E-06 1.53837E-14
1.71347E-06 1.51806E-14
2.33223E-06 1.49453E-14
3.04617E-06 1.46799E-14
3.85531E-06 1.43867E-14
4.75964E-06 1.40685E-14
5.75916E-06 1.37279E-14
6.85388E-06 1.33678E-14
8.04378E-06 1.29912E-14
9.32888E-06 1.26009E-14
1.07092E-05 1.21999E-14
1.21846E-05 1.17912E-14
1.37553E-05 1.13775E-14
1.54212E-05 1.09614E-14
1.71822E-05 1.05455E-14
1.90385E-05 1.01322E-14
2.09899E-05 9.72353E-15
2.30365E-05 9.32155E-15
2.51783E-05 8.92798E-15
2.74153E-05 8.54431E-15
2.97475E-05 8.17186E-15
3.21749E-05 7.81169E-15
3.46974E-05 7.46468E-15
3.73152E-05 7.13146E-15
4.00281E-05 6.81253E-15
4.28362E-05 6.50815E-15
4.57395E-05 6.21845E-15
4.87380E-05 5.94342E-15
5.18317E-05 5.68290E-15
5.50205E-05 5.43662E-15
5.83045E-05 5.20422E-15
6.16838E-05 4.98526E-15
6.51582E-05 4.77923E-15
6.87277E-05 4.58560E-15
7.23925E-05 4.40376E-15
7.61524E-05 4.23312E-15
9.21439E-05 3.65010E-15
1.09658E-04 3.19825E-15
1.28695E-04 2.84546E-15
1.49255E-04 2.56803E-15
1.71338E-04 2.35017E-15
1.94942E-04 2.18187E-15
2.20070E-04 2.05636E-15
2.46720E-04 1.96782E-15
2.74892E-04 1.91014E-15
3.04586E-04 1.87674E-15
3.35803E-04 1.86108E-15
3.68542E-04 1.85749E-15
4.02802E-04 1.86176E-15
4.38585E-04 1.87123E-15
4.75889E-04 1.88448E-15
5.14715E-04 1.90077E-15
5.55063E-04 1.91941E-15
5.96931E-04 1.93941E-15
6.40321E-04 1.95934E-15
6.85233E-04 1.97755E-15
7.31665E-04 1.99245E-15
7.79618E-04 2.00294E-15
8.29092E-04 2.00862E-15
8.80086E-04 2.00978E-15
9.32601E-04 2.00723E-15
9.86636E-04 2.00191E-15
1.04219E-03 1.99460E-15
1.09927E-03 1.98569E-15
1.15786E-03 1.97511E-15
1.21797E-03 1.96245E-15
1.27961E-03 1.94718E-15
1.34276E-03 1.92892E-15
1.40743E-03 1.90758E-15
1.47362E-03 1.88349E-15
1.54133E-03 1.85724E-15
1.61056E-03 1.82962E-15
1.68131E-03 1.80131E-15
1.75357E-03 1.77279E-15
1.82735E-03 1.74422E-15
1.90265E-03 1.71551E-15
1.97947E-03 1.68637E-15
2.05780E-03 1.65652E-15
2.13765E-03 1.62580E-15
2.21902E-03 1.59425E-15
2.30190E-03 1.56213E-15
2.38630E-03 1.52982E-15
2.47222E-03 1.49775E-15
2.55965E-03 1.46624E-15
2.64859E-03 1.43545E-15
2.73905E-03 1.40537E-15
2.83103E-03 1.37582E-15
2.92452E-03 1.34660E-15
3.01952E-03 1.31749E-15
3.11604E-03 1.28841E-15
3.21407E-03 1.25939E-15
3.31362E-03 1.23061E-15
3.41468E-03 1.20227E-15
3.51725E-03 1.17458E-15
3.62133E-03 1.14767E-15
3.72692E-03 1.12157E-15
3.83403E-03 1.09620E-15
3.94265E-03 1.07142E-15
4.05278E-03 1.04707E-15
4.16442E-03 1.02302E-15
4.27757E-03 9.99236E-16
4.39223E-03 9.75757E-16
4.50840E-03 9.52683E-16
4.62608E-03 9.30141E-16
4.74527E-03 9.08234E-16
4.86597E-03 8.87009E-16
4.98817E-03 8.66449E-16
5.11188E-03 8.46479E-16
5.23711E-03 8.26992E-16
5.36383E-03 8.07888E-16
5.49207E-03 7.89104E-16
5.62181E-03 7.70627E-16
5.75306E-03 7.52493E-16
5.88581E-03 7.34771E-16
6.02007E-03 7.17533E-16
6.15583E-03 7.00827E-16
6.29310E-03 6.84665E-16
6.43187E-03 6.69014E-16
6.57214E-03 6.53813E-16
6.71392E-03 6.38986E-16
6.85720E-03 6.24473E-16
7.00198E-03 6.10239E-16
7.14827E-03 5.96284E-16
7.29605E-03 5.82636E-16
7.44534E-03 5.69339E-16
7.59612E-03 5.56432E-16
7.97965E-03 5.25925E-16
8.37255E-03 4.97545E-16
8.77480E-03 4.70656E-16
9.18641E-03 4.45207E-16
9.60736E-03 4.21487E-16
1.00376E-02 3.99371E-16
1.04773E-02 3.78401E-16
1.09262E-02 3.58417E-16
1.13844E-02 3.39604E-16
1.18520E-02 3.21979E-16
1.23288E-02 3.05264E-16
1.28150E-02 2.89287E-16
1.33104E-02 2.74151E-16
1.38150E-02 2.59936E-16
1.43290E-02 2.46502E-16
1.48521E-02 2.33698E-16
1.53845E-02 2.21561E-16
1.59262E-02 2.10168E-16
1.64770E-02 1.99458E-16
1.70371E-02 1.89312E-16
1.76063E-02 1.79712E-16
1.81848E-02 1.70706E-16
1.87724E-02 1.62267E-16
1.93692E-02 1.54308E-16
1.99751E-02 1.46784E-16
2.05901E-02 1.39712E-16
2.12143E-02 1.33079E-16
2.18476E-02 1.26826E-16
2.24900E-02 1.20910E-16
2.31415E-02 1.15328E-16
2.38021E-02 1.10072E-16
2.44717E-02 1.05110E-16
2.51504E-02 1.00412E-16
2.58382E-02 9.59683E-17
2.65349E-02 9.17725E-17
2.72407E-02 8.78070E-17
2.79555E-02 8.40571E-17
2.86793E-02 8.05156E-17
2.94120E-02 7.71717E-17
3.01537E-02 7.40114E-17
3.09043E-02 7.10286E-17
3.16639E-02 6.82209E-17
3.24324E-02 6.55747E-17
3.32098E-02 6.30719E-17
3.39961E-02 6.07078E-17
3.47912E-02 5.84851E-17
3.55952E-02 5.63924E-17
3.64081E-02 5.44069E-17
3.72297E-02 5.25206E-17
3.80602E-02 5.07411E-17
3.88995E-02 4.90641E-17
3.97476E-02 4.74667E-17
4.06044E-02 4.59359E-17
4.14700E-02 4.44812E-17
4.23443E-02 4.31081E-17
4.32273E-02 4.17989E-17
4.41190E-02 4.05355E-17
4.50194E-02 3.93249E-17
4.59284E-02 3.81808E-17
4.68461E-02 3.70938E-17
4.87074E-02 3.50281E-17
