 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.50000E+02 eV = 1.65372E+01 a.u.
 #
 # Element: Rb,  Z =  37,  atomic weight = 8.54678E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.71322E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 37
 #
 # Electron density: Read from file Data/z_037.d
 #                   Number of data points =  859
 #                   Volume integral = 3.70000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 4.73000E-23 cm**3
 #                            Bpol = 5.00000E+00
 #
 # Total elastic cross section = 4.58275E-16 cm**2 = 1.63653E+01 a0**2
 # 1st transport cross section = 7.18446E-17 cm**2 = 2.56562E+00 a0**2
 # 2nd transport cross section = 5.98030E-17 cm**2 = 2.13560E+00 a0**2
 #
 #    Absorption cross section = 3.61601E-16 cm**2 = 1.29130E+01 a0**2
 #   Grand total cross section = 8.19915E-16 cm**2 = 2.92797E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 6.01710E-14
7.61557E-13 6.01710E-14
1.18994E-12 6.01710E-14
1.71346E-12 6.01710E-14
2.33225E-12 6.01710E-14
3.04617E-12 6.01710E-14
3.85530E-12 6.01710E-14
4.75964E-12 6.01710E-14
5.75917E-12 6.01710E-14
6.85391E-12 6.01710E-14
8.04379E-12 6.01710E-14
9.32893E-12 6.01710E-14
1.07092E-11 6.01710E-14
1.21847E-11 6.01710E-14
1.37554E-11 6.01709E-14
1.54213E-11 6.01709E-14
1.71823E-11 6.01709E-14
1.90386E-11 6.01709E-14
2.09900E-11 6.01709E-14
2.30367E-11 6.01709E-14
2.51785E-11 6.01709E-14
2.74156E-11 6.01709E-14
2.97478E-11 6.01709E-14
3.21752E-11 6.01709E-14
3.46979E-11 6.01709E-14
3.73157E-11 6.01709E-14
4.00286E-11 6.01709E-14
4.28368E-11 6.01709E-14
4.57402E-11 6.01709E-14
4.87388E-11 6.01709E-14
5.18325E-11 6.01709E-14
5.50215E-11 6.01709E-14
5.83057E-11 6.01709E-14
6.16850E-11 6.01709E-14
6.51595E-11 6.01709E-14
6.87293E-11 6.01709E-14
7.23943E-11 6.01709E-14
7.61544E-11 6.01709E-14
1.18991E-10 6.01709E-14
1.71347E-10 6.01708E-14
2.33223E-10 6.01708E-14
3.04617E-10 6.01707E-14
3.85531E-10 6.01707E-14
4.75965E-10 6.01706E-14
5.75917E-10 6.01705E-14
6.85389E-10 6.01704E-14
8.04380E-10 6.01703E-14
9.32891E-10 6.01702E-14
1.07092E-09 6.01701E-14
1.21847E-09 6.01700E-14
1.37554E-09 6.01699E-14
1.54213E-09 6.01698E-14
1.71823E-09 6.01696E-14
1.90386E-09 6.01695E-14
2.09900E-09 6.01693E-14
2.30367E-09 6.01692E-14
2.51785E-09 6.01690E-14
2.74156E-09 6.01688E-14
2.97478E-09 6.01687E-14
3.21752E-09 6.01685E-14
3.46978E-09 6.01683E-14
3.73156E-09 6.01681E-14
4.00286E-09 6.01679E-14
4.28368E-09 6.01676E-14
4.57402E-09 6.01674E-14
4.87388E-09 6.01672E-14
5.18326E-09 6.01670E-14
5.50215E-09 6.01667E-14
5.83057E-09 6.01664E-14
6.16850E-09 6.01662E-14
6.51596E-09 6.01659E-14
6.87293E-09 6.01656E-14
7.23942E-09 6.01654E-14
7.61544E-09 6.01651E-14
1.18991E-08 6.01618E-14
1.71347E-08 6.01577E-14
2.33223E-08 6.01529E-14
3.04617E-08 6.01474E-14
3.85531E-08 6.01411E-14
4.75965E-08 6.01342E-14
5.75917E-08 6.01264E-14
6.85389E-08 6.01180E-14
8.04380E-08 6.01088E-14
9.32891E-08 6.00989E-14
1.07092E-07 6.00882E-14
1.21847E-07 6.00768E-14
1.37554E-07 6.00647E-14
1.54213E-07 6.00519E-14
1.71823E-07 6.00383E-14
1.90386E-07 6.00240E-14
2.09900E-07 6.00090E-14
2.30367E-07 5.99932E-14
2.51785E-07 5.99768E-14
2.74156E-07 5.99596E-14
2.97478E-07 5.99416E-14
3.21752E-07 5.99230E-14
3.46978E-07 5.99036E-14
3.73156E-07 5.98836E-14
4.00286E-07 5.98628E-14
4.28368E-07 5.98413E-14
4.57402E-07 5.98190E-14
4.87388E-07 5.97961E-14
5.18325E-07 5.97724E-14
5.50215E-07 5.97481E-14
5.83057E-07 5.97230E-14
6.16850E-07 5.96972E-14
6.51596E-07 5.96708E-14
6.87293E-07 5.96436E-14
7.23942E-07 5.96157E-14
7.61543E-07 5.95871E-14
1.18991E-06 5.92633E-14
1.71347E-06 5.88719E-14
2.33223E-06 5.84155E-14
3.04617E-06 5.78970E-14
3.85531E-06 5.73198E-14
4.75964E-06 5.66874E-14
5.75916E-06 5.60036E-14
6.85388E-06 5.52726E-14
8.04378E-06 5.44986E-14
9.32888E-06 5.36861E-14
1.07092E-05 5.28393E-14
1.21846E-05 5.19629E-14
1.37553E-05 5.10613E-14
1.54212E-05 5.01389E-14
1.71822E-05 4.92001E-14
1.90385E-05 4.82490E-14
2.09899E-05 4.72897E-14
2.30365E-05 4.63259E-14
2.51783E-05 4.53614E-14
2.74153E-05 4.43995E-14
2.97475E-05 4.34433E-14
3.21749E-05 4.24957E-14
3.46974E-05 4.15592E-14
3.73152E-05 4.06362E-14
4.00281E-05 3.97288E-14
4.28362E-05 3.88385E-14
4.57395E-05 3.79671E-14
4.87380E-05 3.71155E-14
5.18317E-05 3.62849E-14
5.50205E-05 3.54760E-14
5.83045E-05 3.46893E-14
6.16838E-05 3.39251E-14
6.51582E-05 3.31834E-14
6.87277E-05 3.24643E-14
7.23925E-05 3.17675E-14
7.61524E-05 3.10927E-14
9.21439E-05 2.86021E-14
1.09658E-04 2.64102E-14
1.28695E-04 2.44628E-14
1.49255E-04 2.27070E-14
1.71338E-04 2.10997E-14
1.94942E-04 1.96107E-14
2.20070E-04 1.82231E-14
2.46720E-04 1.69301E-14
2.74892E-04 1.57313E-14
3.04586E-04 1.46276E-14
