 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+03 eV = 2.93995E+02 a.u.
 #
 # Element: Rb,  Z =  37,  atomic weight = 8.54678E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.71322E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 37
 #
 # Electron density: Read from file Data/z_037.d
 #                   Number of data points =  859
 #                   Volume integral = 3.70000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 4.73000E-23 cm**3
 #                            Bpol = 2.22907E+01
 #
 # Total elastic cross section = 6.73570E-17 cm**2 = 2.40536E+00 a0**2
 # 1st transport cross section = 2.04291E-18 cm**2 = 7.29538E-02 a0**2
 # 2nd transport cross section = 4.01466E-18 cm**2 = 1.43366E-01 a0**2
 #
 #    Absorption cross section = 2.46751E-17 cm**2 = 8.81163E-01 a0**2
 #   Grand total cross section = 9.20394E-17 cm**2 = 3.28679E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 3.38093E-14
7.61557E-13 3.38093E-14
1.18994E-12 3.38093E-14
1.71346E-12 3.38093E-14
2.33225E-12 3.38093E-14
3.04617E-12 3.38093E-14
3.85530E-12 3.38093E-14
4.75964E-12 3.38093E-14
5.75917E-12 3.38093E-14
6.85391E-12 3.38093E-14
8.04379E-12 3.38093E-14
9.32893E-12 3.38093E-14
1.07092E-11 3.38092E-14
1.21847E-11 3.38092E-14
1.37554E-11 3.38092E-14
1.54213E-11 3.38092E-14
1.71823E-11 3.38092E-14
1.90386E-11 3.38092E-14
2.09900E-11 3.38092E-14
2.30367E-11 3.38091E-14
2.51785E-11 3.38091E-14
2.74156E-11 3.38091E-14
2.97478E-11 3.38091E-14
3.21752E-11 3.38091E-14
3.46979E-11 3.38091E-14
3.73157E-11 3.38090E-14
4.00286E-11 3.38090E-14
4.28368E-11 3.38090E-14
4.57402E-11 3.38090E-14
4.87388E-11 3.38089E-14
5.18325E-11 3.38089E-14
5.50215E-11 3.38089E-14
5.83057E-11 3.38089E-14
6.16850E-11 3.38088E-14
6.51595E-11 3.38088E-14
6.87293E-11 3.38088E-14
7.23943E-11 3.38088E-14
7.61544E-11 3.38087E-14
1.18991E-10 3.38084E-14
1.71347E-10 3.38080E-14
2.33223E-10 3.38075E-14
3.04617E-10 3.38069E-14
3.85531E-10 3.38062E-14
4.75965E-10 3.38055E-14
5.75917E-10 3.38047E-14
6.85389E-10 3.38038E-14
8.04380E-10 3.38029E-14
9.32891E-10 3.38018E-14
1.07092E-09 3.38007E-14
1.21847E-09 3.37995E-14
1.37554E-09 3.37982E-14
1.54213E-09 3.37969E-14
1.71823E-09 3.37955E-14
1.90386E-09 3.37940E-14
2.09900E-09 3.37924E-14
2.30367E-09 3.37908E-14
2.51785E-09 3.37890E-14
2.74156E-09 3.37872E-14
2.97478E-09 3.37854E-14
3.21752E-09 3.37834E-14
3.46978E-09 3.37814E-14
3.73156E-09 3.37793E-14
4.00286E-09 3.37771E-14
4.28368E-09 3.37748E-14
4.57402E-09 3.37725E-14
4.87388E-09 3.37701E-14
5.18326E-09 3.37676E-14
5.50215E-09 3.37650E-14
5.83057E-09 3.37624E-14
6.16850E-09 3.37597E-14
6.51596E-09 3.37569E-14
6.87293E-09 3.37540E-14
7.23942E-09 3.37511E-14
7.61544E-09 3.37480E-14
1.18991E-08 3.37136E-14
1.71347E-08 3.36717E-14
2.33223E-08 3.36223E-14
3.04617E-08 3.35654E-14
3.85531E-08 3.35012E-14
4.75965E-08 3.34298E-14
5.75917E-08 3.33511E-14
6.85389E-08 3.32654E-14
8.04380E-08 3.31727E-14
9.32891E-08 3.30732E-14
1.07092E-07 3.29670E-14
1.21847E-07 3.28542E-14
1.37554E-07 3.27349E-14
1.54213E-07 3.26094E-14
1.71823E-07 3.24778E-14
1.90386E-07 3.23402E-14
2.09900E-07 3.21968E-14
2.30367E-07 3.20478E-14
2.51785E-07 3.18934E-14
2.74156E-07 3.17338E-14
2.97478E-07 3.15690E-14
3.21752E-07 3.13995E-14
3.46978E-07 3.12252E-14
3.73156E-07 3.10466E-14
4.00286E-07 3.08636E-14
4.28368E-07 3.06767E-14
4.57402E-07 3.04858E-14
4.87388E-07 3.02914E-14
5.18325E-07 3.00936E-14
5.50215E-07 2.98925E-14
5.83057E-07 2.96885E-14
6.16850E-07 2.94817E-14
6.51596E-07 2.92724E-14
6.87293E-07 2.90607E-14
7.23942E-07 2.88468E-14
7.61543E-07 2.86311E-14
1.18991E-06 2.64117E-14
1.71347E-06 2.42061E-14
2.33223E-06 2.21561E-14
3.04617E-06 2.03478E-14
3.85531E-06 1.88142E-14
4.75964E-06 1.75468E-14
5.75916E-06 1.65095E-14
6.85388E-06 1.56533E-14
8.04378E-06 1.49274E-14
9.32888E-06 1.42883E-14
1.07092E-05 1.37049E-14
1.21846E-05 1.31590E-14
1.37553E-05 1.26445E-14
1.54212E-05 1.21628E-14
1.71822E-05 1.17182E-14
1.90385E-05 1.13145E-14
2.09899E-05 1.09517E-14
2.30365E-05 1.06260E-14
2.51783E-05 1.03303E-14
2.74153E-05 1.00559E-14
2.97475E-05 9.79487E-15
3.21749E-05 9.54118E-15
3.46974E-05 9.29196E-15
3.73152E-05 9.04718E-15
4.00281E-05 8.80880E-15
4.28362E-05 8.57947E-15
4.57395E-05 8.36127E-15
4.87380E-05 8.15489E-15
5.18317E-05 7.95943E-15
5.50205E-05 7.77267E-15
5.83045E-05 7.59183E-15
6.16838E-05 7.41442E-15
6.51582E-05 7.23881E-15
6.87277E-05 7.06462E-15
7.23925E-05 6.89259E-15
7.61524E-05 6.72410E-15
9.21439E-05 6.10690E-15
1.09658E-04 5.56157E-15
1.28695E-04 5.05599E-15
1.49255E-04 4.61420E-15
1.71338E-04 4.21644E-15
1.94942E-04 3.85786E-15
2.20070E-04 3.54509E-15
2.46720E-04 3.26060E-15
2.74892E-04 3.00858E-15
3.04586E-04 2.78469E-15
3.35803E-04 2.58036E-15
3.68542E-04 2.39967E-15
4.02802E-04 2.23518E-15
4.38585E-04 2.08548E-15
4.75889E-04 1.95132E-15
5.14715E-04 1.82691E-15
5.55063E-04 1.71394E-15
5.96931E-04 1.61033E-15
6.40321E-04 1.51358E-15
6.85233E-04 1.42528E-15
7.31665E-04 1.34254E-15
7.79618E-04 1.26544E-15
8.29092E-04 1.19421E-15
8.80086E-04 1.12678E-15
9.32601E-04 1.06422E-15
9.86636E-04 1.00559E-15
1.04219E-03 9.50182E-16
1.09927E-03 8.98787E-16
1.15786E-03 8.50120E-16
1.21797E-03 8.04465E-16
1.27961E-03 7.61833E-16
1.34276E-03 7.21335E-16
1.40743E-03 6.83554E-16
1.47362E-03 6.47923E-16
1.54133E-03 6.14208E-16
1.61056E-03 5.82746E-16
1.68131E-03 5.52873E-16
1.75357E-03 5.24810E-16
1.82735E-03 4.98482E-16
1.90265E-03 4.73484E-16
1.97947E-03 4.50121E-16
2.05780E-03 4.28049E-16
2.13765E-03 4.07201E-16
2.21902E-03 3.87703E-16
2.30190E-03 3.69196E-16
2.38630E-03 3.51815E-16
2.47222E-03 3.35460E-16
2.55965E-03 3.19936E-16
2.64859E-03 3.05389E-16
2.73905E-03 2.91604E-16
2.83103E-03 2.78571E-16
2.92452E-03 2.66329E-16
3.01952E-03 2.54688E-16
3.11604E-03 2.43730E-16
3.21407E-03 2.33380E-16
3.31362E-03 2.23549E-16
3.41468E-03 2.14306E-16
3.51725E-03 2.05524E-16
3.62133E-03 1.97209E-16
3.72692E-03 1.89362E-16
3.83403E-03 1.81883E-16
3.94265E-03 1.74815E-16
4.05278E-03 1.68103E-16
4.16442E-03 1.61708E-16
4.27757E-03 1.55659E-16
4.39223E-03 1.49887E-16
4.50840E-03 1.44401E-16
4.62608E-03 1.39193E-16
4.74527E-03 1.34215E-16
4.86597E-03 1.29489E-16
4.98817E-03 1.24982E-16
5.11188E-03 1.20677E-16
5.23711E-03 1.16581E-16
5.36383E-03 1.12661E-16
5.49207E-03 1.08917E-16
5.62181E-03 1.05342E-16
5.75306E-03 1.01914E-16
5.88581E-03 9.86379E-17
6.02007E-03 9.54977E-17
6.15583E-03 9.24866E-17
6.29310E-03 8.96039E-17
6.43187E-03 8.68356E-17
6.57214E-03 8.41812E-17
6.71392E-03 8.16339E-17
6.85720E-03 7.91864E-17
7.00198E-03 7.68359E-17
7.14827E-03 7.45759E-17
7.29605E-03 7.24020E-17
7.44534E-03 7.03095E-17
7.59612E-03 6.82950E-17
7.97965E-03 6.35722E-17
8.37255E-03 5.92590E-17
8.77480E-03 5.53134E-17
9.18641E-03 5.16978E-17
9.60736E-03 4.83772E-17
1.00376E-02 4.53201E-17
1.04773E-02 4.25003E-17
1.09262E-02 3.98966E-17
1.13844E-02 3.74906E-17
1.18520E-02 3.52646E-17
1.23288E-02 3.32017E-17
1.28150E-02 3.12869E-17
1.33104E-02 2.95078E-17
1.38150E-02 2.78541E-17
1.43290E-02 2.63160E-17
1.48521E-02 2.48840E-17
1.53845E-02 2.35491E-17
1.59262E-02 2.23035E-17
1.64770E-02 2.11406E-17
1.70371E-02 2.00549E-17
1.76063E-02 1.90407E-17
1.81848E-02 1.80923E-17
1.87724E-02 1.72046E-17
1.93692E-02 1.63731E-17
1.99751E-02 1.55942E-17
2.05901E-02 1.48641E-17
2.12143E-02 1.41792E-17
2.18476E-02 1.35361E-17
2.24900E-02 1.29315E-17
2.31415E-02 1.23629E-17
2.38021E-02 1.18278E-17
2.44717E-02 1.13239E-17
2.51504E-02 1.08490E-17
2.58382E-02 1.04010E-17
2.65349E-02 9.97808E-18
2.72407E-02 9.57865E-18
2.79555E-02 9.20125E-18
2.86793E-02 8.84444E-18
2.94120E-02 8.50678E-18
3.01537E-02 8.18697E-18
3.09043E-02 7.88383E-18
3.16639E-02 7.59632E-18
3.24324E-02 7.32339E-18
3.32098E-02 7.06407E-18
3.39961E-02 6.81741E-18
3.47912E-02 6.58260E-18
3.55952E-02 6.35891E-18
3.64081E-02 6.14569E-18
3.72297E-02 5.94233E-18
3.80602E-02 5.74826E-18
3.88995E-02 5.56293E-18
3.97476E-02 5.38586E-18
4.06044E-02 5.21660E-18
4.14700E-02 5.05469E-18
4.23443E-02 4.89971E-18
4.32273E-02 4.75122E-18
4.41190E-02 4.60884E-18
4.50194E-02 4.47219E-18
4.59284E-02 4.34096E-18
4.68461E-02 4.21483E-18
4.87074E-02 3.97686E-18
5.06030E-02 3.75656E-18
5.25328E-02 3.55242E-18
5.44967E-02 3.36301E-18
5.64946E-02 3.18689E-18
5.85262E-02 3.02261E-18
6.05914E-02 2.86901E-18
6.26901E-02 2.72527E-18
6.48222E-02 2.59071E-18
6.69873E-02 2.46475E-18
6.91854E-02 2.34668E-18
7.14163E-02 2.23572E-18
7.36799E-02 2.13132E-18
7.59760E-02 2.03302E-18
7.83043E-02 1.94049E-18
8.06647E-02 1.85340E-18
8.30571E-02 1.77127E-18
8.54812E-02 1.69364E-18
8.79369E-02 1.62024E-18
9.04240E-02 1.55086E-18
9.29422E-02 1.48533E-18
9.54915E-02 1.42341E-18
9.80716E-02 1.36475E-18
1.00682E-01 1.30911E-18
1.03323E-01 1.25640E-18
1.05995E-01 1.20647E-18
1.08696E-01 1.15911E-18
1.11427E-01 1.11414E-18
1.14188E-01 1.07139E-18
1.16978E-01 1.03079E-18
1.19797E-01 9.92261E-19
1.22645E-01 9.55626E-19
1.25522E-01 9.20753E-19
1.28428E-01 8.87567E-19
1.31361E-01 8.55986E-19
1.34323E-01 8.25912E-19
1.37313E-01 7.97247E-19
1.40330E-01 7.69912E-19
1.43375E-01 7.43850E-19
1.46447E-01 7.18994E-19
1.49545E-01 6.95264E-19
1.52671E-01 6.72605E-19
1.55823E-01 6.50962E-19
1.59001E-01 6.30270E-19
1.62205E-01 6.10489E-19
1.65435E-01 5.91579E-19
1.68690E-01 5.73477E-19
1.71970E-01 5.56141E-19
1.75276E-01 5.39555E-19
1.78606E-01 5.23666E-19
1.81961E-01 5.08417E-19
1.85340E-01 4.93797E-19
1.88743E-01 4.79791E-19
1.92169E-01 4.66334E-19
1.95619E-01 4.53406E-19
1.99092E-01 4.41017E-19
2.02589E-01 4.29114E-19
2.06107E-01 4.17651E-19
2.09649E-01 4.06650E-19
2.13212E-01 3.96076E-19
2.16797E-01 3.85868E-19
2.20404E-01 3.76055E-19
2.24032E-01 3.66624E-19
2.27680E-01 3.57507E-19
2.31350E-01 3.48740E-19
2.35040E-01 3.40312E-19
2.38751E-01 3.32152E-19
2.42481E-01 3.24302E-19
2.46231E-01 3.16738E-19
2.50000E-01 3.09398E-19
2.53788E-01 3.02338E-19
2.57595E-01 2.95514E-19
2.61421E-01 2.88897E-19
2.65264E-01 2.82541E-19
2.69126E-01 2.76375E-19
2.73005E-01 2.70415E-19
2.76901E-01 2.64676E-19
2.80814E-01 2.59085E-19
2.84744E-01 2.53703E-19
2.88691E-01 2.48475E-19
2.92653E-01 2.43400E-19
2.96632E-01 2.38512E-19
3.00625E-01 2.33740E-19
