 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 3.50000E+03 eV = 1.28623E+02 a.u.
 #
 # Element: Sr,  Z =  38,  atomic weight = 8.76200E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.75246E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 38
 #
 # Electron density: Read from file Data/z_038.d
 #                   Number of data points =  813
 #                   Volume integral = 3.80000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.76000E-23 cm**3
 #                            Bpol = 1.46842E+01
 #
 # Total elastic cross section = 1.16205E-16 cm**2 = 4.14976E+00 a0**2
 # 1st transport cross section = 3.51309E-18 cm**2 = 1.25455E-01 a0**2
 # 2nd transport cross section = 7.43474E-18 cm**2 = 2.65499E-01 a0**2
 #
 #    Absorption cross section = 5.64137E-17 cm**2 = 2.01457E+00 a0**2
 #   Grand total cross section = 1.72638E-16 cm**2 = 6.16503E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 2.69654E-15
7.61557E-13 2.69654E-15
1.18994E-12 2.69654E-15
1.71346E-12 2.69654E-15
2.33225E-12 2.69654E-15
3.04617E-12 2.69654E-15
3.85530E-12 2.69654E-15
4.75964E-12 2.69654E-15
5.75917E-12 2.69654E-15
6.85391E-12 2.69654E-15
8.04379E-12 2.69654E-15
9.32893E-12 2.69654E-15
1.07092E-11 2.69655E-15
1.21847E-11 2.69655E-15
1.37554E-11 2.69655E-15
1.54213E-11 2.69655E-15
1.71823E-11 2.69655E-15
1.90386E-11 2.69655E-15
2.09900E-11 2.69655E-15
2.30367E-11 2.69655E-15
2.51785E-11 2.69655E-15
2.74156E-11 2.69655E-15
2.97478E-11 2.69655E-15
3.21752E-11 2.69655E-15
3.46979E-11 2.69656E-15
3.73157E-11 2.69656E-15
4.00286E-11 2.69656E-15
4.28368E-11 2.69656E-15
4.57402E-11 2.69656E-15
4.87388E-11 2.69656E-15
5.18325E-11 2.69656E-15
5.50215E-11 2.69656E-15
5.83057E-11 2.69657E-15
6.16850E-11 2.69657E-15
6.51595E-11 2.69657E-15
6.87293E-11 2.69657E-15
7.23943E-11 2.69657E-15
7.61544E-11 2.69657E-15
1.18991E-10 2.69659E-15
1.71347E-10 2.69662E-15
2.33223E-10 2.69664E-15
3.04617E-10 2.69667E-15
3.85531E-10 2.69671E-15
4.75965E-10 2.69675E-15
5.75917E-10 2.69679E-15
6.85389E-10 2.69684E-15
8.04380E-10 2.69689E-15
9.32891E-10 2.69695E-15
1.07092E-09 2.69701E-15
1.21847E-09 2.69708E-15
1.37554E-09 2.69714E-15
1.54213E-09 2.69722E-15
1.71823E-09 2.69730E-15
1.90386E-09 2.69738E-15
2.09900E-09 2.69746E-15
2.30367E-09 2.69755E-15
2.51785E-09 2.69765E-15
2.74156E-09 2.69774E-15
2.97478E-09 2.69785E-15
3.21752E-09 2.69795E-15
3.46978E-09 2.69806E-15
3.73156E-09 2.69818E-15
4.00286E-09 2.69830E-15
4.28368E-09 2.69842E-15
4.57402E-09 2.69855E-15
4.87388E-09 2.69868E-15
5.18326E-09 2.69882E-15
5.50215E-09 2.69896E-15
5.83057E-09 2.69910E-15
6.16850E-09 2.69925E-15
6.51596E-09 2.69940E-15
6.87293E-09 2.69956E-15
7.23942E-09 2.69972E-15
7.61544E-09 2.69988E-15
1.18991E-08 2.70177E-15
1.71347E-08 2.70407E-15
2.33223E-08 2.70679E-15
3.04617E-08 2.70992E-15
3.85531E-08 2.71348E-15
4.75965E-08 2.71746E-15
5.75917E-08 2.72187E-15
6.85389E-08 2.72669E-15
8.04380E-08 2.73194E-15
9.32891E-08 2.73761E-15
1.07092E-07 2.74370E-15
1.21847E-07 2.75022E-15
1.37554E-07 2.75716E-15
1.54213E-07 2.76454E-15
1.71823E-07 2.77234E-15
1.90386E-07 2.78056E-15
2.09900E-07 2.78922E-15
2.30367E-07 2.79831E-15
2.51785E-07 2.80783E-15
2.74156E-07 2.81778E-15
2.97478E-07 2.82816E-15
3.21752E-07 2.83898E-15
3.46978E-07 2.85023E-15
3.73156E-07 2.86192E-15
4.00286E-07 2.87404E-15
4.28368E-07 2.88659E-15
4.57402E-07 2.89958E-15
4.87388E-07 2.91301E-15
5.18325E-07 2.92687E-15
5.50215E-07 2.94116E-15
5.83057E-07 2.95590E-15
6.16850E-07 2.97106E-15
6.51596E-07 2.98666E-15
6.87293E-07 3.00270E-15
7.23942E-07 3.01916E-15
7.61543E-07 3.03606E-15
1.18991E-06 3.22843E-15
1.71347E-06 3.46128E-15
2.33223E-06 3.72983E-15
3.04617E-06 4.02697E-15
3.85531E-06 4.34371E-15
4.75964E-06 4.67008E-15
5.75916E-06 4.99620E-15
6.85388E-06 5.31333E-15
8.04378E-06 5.61471E-15
9.32888E-06 5.89597E-15
1.07092E-05 6.15522E-15
1.21846E-05 6.39268E-15
1.37553E-05 6.61018E-15
1.54212E-05 6.81045E-15
1.71822E-05 6.99644E-15
1.90385E-05 7.17081E-15
2.09899E-05 7.33547E-15
2.30365E-05 7.49145E-15
2.51783E-05 7.63883E-15
2.74153E-05 7.77695E-15
2.97475E-05 7.90462E-15
3.21749E-05 8.02045E-15
3.46974E-05 8.12321E-15
3.73152E-05 8.21203E-15
4.00281E-05 8.28659E-15
4.28362E-05 8.34719E-15
4.57395E-05 8.39469E-15
4.87380E-05 8.43037E-15
5.18317E-05 8.45574E-15
5.50205E-05 8.47231E-15
5.83045E-05 8.48144E-15
6.16838E-05 8.48417E-15
6.51582E-05 8.48116E-15
6.87277E-05 8.47268E-15
7.23925E-05 8.45869E-15
7.61524E-05 8.43892E-15
9.21439E-05 8.29679E-15
1.09658E-04 8.06208E-15
1.28695E-04 7.77519E-15
1.49255E-04 7.46066E-15
1.71338E-04 7.11594E-15
1.94942E-04 6.75054E-15
2.20070E-04 6.38547E-15
2.46720E-04 6.02584E-15
2.74892E-04 5.66849E-15
3.04586E-04 5.32086E-15
3.35803E-04 4.99111E-15
3.68542E-04 4.67700E-15
4.02802E-04 4.37657E-15
4.38585E-04 4.09435E-15
4.75889E-04 3.83179E-15
5.14715E-04 3.58515E-15
5.55063E-04 3.35374E-15
5.96931E-04 3.13968E-15
6.40321E-04 2.94160E-15
6.85233E-04 2.75659E-15
7.31665E-04 2.58478E-15
7.79618E-04 2.42668E-15
8.29092E-04 2.28021E-15
8.80086E-04 2.14371E-15
9.32601E-04 2.01756E-15
9.86636E-04 1.90136E-15
1.04219E-03 1.79329E-15
1.09927E-03 1.69268E-15
1.15786E-03 1.59978E-15
1.21797E-03 1.51377E-15
1.27961E-03 1.43340E-15
1.34276E-03 1.35854E-15
1.40743E-03 1.28922E-15
1.47362E-03 1.22453E-15
1.54133E-03 1.16380E-15
1.61056E-03 1.10712E-15
1.68131E-03 1.05428E-15
1.75357E-03 1.00456E-15
1.82735E-03 9.57699E-16
1.90265E-03 9.13806E-16
1.97947E-03 8.72552E-16
2.05780E-03 8.33462E-16
2.13765E-03 7.96530E-16
2.21902E-03 7.61787E-16
2.30190E-03 7.28891E-16
