 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.25000E+02 eV = 4.59367E+00 a.u.
 #
 # Element: Sr,  Z =  38,  atomic weight = 8.76200E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.75246E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 38
 #
 # Electron density: Read from file Data/z_038.d
 #                   Number of data points =  813
 #                   Volume integral = 3.80000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.76000E-23 cm**3
 #                            Bpol = 2.16506E+00
 #
 # Total elastic cross section = 1.16730E-15 cm**2 = 4.16852E+01 a0**2
 # 1st transport cross section = 1.25309E-16 cm**2 = 4.47485E+00 a0**2
 # 2nd transport cross section = 1.84093E-16 cm**2 = 6.57408E+00 a0**2
 #
 #    Absorption cross section = 1.04841E-15 cm**2 = 3.74393E+01 a0**2
 #   Grand total cross section = 2.21579E-15 cm**2 = 7.91272E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 4.24870E-14
7.61557E-13 4.24870E-14
1.18994E-12 4.24870E-14
1.71346E-12 4.24870E-14
2.33225E-12 4.24870E-14
3.04617E-12 4.24870E-14
3.85530E-12 4.24870E-14
4.75964E-12 4.24870E-14
5.75917E-12 4.24870E-14
6.85391E-12 4.24870E-14
8.04379E-12 4.24870E-14
9.32893E-12 4.24870E-14
1.07092E-11 4.24870E-14
1.21847E-11 4.24870E-14
1.37554E-11 4.24870E-14
1.54213E-11 4.24870E-14
1.71823E-11 4.24870E-14
1.90386E-11 4.24870E-14
2.09900E-11 4.24870E-14
2.30367E-11 4.24870E-14
2.51785E-11 4.24870E-14
2.74156E-11 4.24870E-14
2.97478E-11 4.24870E-14
3.21752E-11 4.24870E-14
3.46979E-11 4.24870E-14
3.73157E-11 4.24870E-14
4.00286E-11 4.24870E-14
4.28368E-11 4.24870E-14
4.57402E-11 4.24870E-14
4.87388E-11 4.24870E-14
5.18325E-11 4.24870E-14
5.50215E-11 4.24870E-14
5.83057E-11 4.24870E-14
6.16850E-11 4.24870E-14
6.51595E-11 4.24870E-14
6.87293E-11 4.24870E-14
7.23943E-11 4.24870E-14
7.61544E-11 4.24870E-14
1.18991E-10 4.24870E-14
1.71347E-10 4.24870E-14
2.33223E-10 4.24870E-14
3.04617E-10 4.24870E-14
3.85531E-10 4.24870E-14
4.75965E-10 4.24869E-14
5.75917E-10 4.24869E-14
6.85389E-10 4.24869E-14
8.04380E-10 4.24869E-14
9.32891E-10 4.24869E-14
1.07092E-09 4.24868E-14
1.21847E-09 4.24868E-14
1.37554E-09 4.24868E-14
1.54213E-09 4.24868E-14
1.71823E-09 4.24867E-14
1.90386E-09 4.24867E-14
2.09900E-09 4.24867E-14
2.30367E-09 4.24867E-14
2.51785E-09 4.24866E-14
2.74156E-09 4.24866E-14
2.97478E-09 4.24866E-14
3.21752E-09 4.24865E-14
3.46978E-09 4.24865E-14
3.73156E-09 4.24864E-14
4.00286E-09 4.24864E-14
4.28368E-09 4.24864E-14
4.57402E-09 4.24863E-14
4.87388E-09 4.24863E-14
5.18326E-09 4.24862E-14
5.50215E-09 4.24862E-14
5.83057E-09 4.24861E-14
6.16850E-09 4.24861E-14
6.51596E-09 4.24860E-14
6.87293E-09 4.24860E-14
7.23942E-09 4.24859E-14
7.61544E-09 4.24859E-14
1.18991E-08 4.24852E-14
1.71347E-08 4.24844E-14
2.33223E-08 4.24835E-14
3.04617E-08 4.24824E-14
3.85531E-08 4.24811E-14
4.75965E-08 4.24798E-14
5.75917E-08 4.24782E-14
6.85389E-08 4.24766E-14
8.04380E-08 4.24748E-14
9.32891E-08 4.24728E-14
1.07092E-07 4.24707E-14
1.21847E-07 4.24685E-14
1.37554E-07 4.24661E-14
1.54213E-07 4.24635E-14
1.71823E-07 4.24608E-14
1.90386E-07 4.24580E-14
2.09900E-07 4.24551E-14
2.30367E-07 4.24519E-14
2.51785E-07 4.24487E-14
2.74156E-07 4.24453E-14
2.97478E-07 4.24417E-14
3.21752E-07 4.24381E-14
3.46978E-07 4.24342E-14
3.73156E-07 4.24302E-14
4.00286E-07 4.24261E-14
4.28368E-07 4.24219E-14
4.57402E-07 4.24175E-14
4.87388E-07 4.24129E-14
5.18325E-07 4.24082E-14
5.50215E-07 4.24034E-14
5.83057E-07 4.23984E-14
6.16850E-07 4.23933E-14
6.51596E-07 4.23880E-14
6.87293E-07 4.23826E-14
7.23942E-07 4.23771E-14
7.61543E-07 4.23714E-14
1.18991E-06 4.23067E-14
1.71347E-06 4.22281E-14
2.33223E-06 4.21357E-14
3.04617E-06 4.20298E-14
3.85531E-06 4.19107E-14
4.75964E-06 4.17787E-14
5.75916E-06 4.16341E-14
6.85388E-06 4.14775E-14
8.04378E-06 4.13092E-14
9.32888E-06 4.11295E-14
1.07092E-05 4.09392E-14
1.21846E-05 4.07385E-14
1.37553E-05 4.05280E-14
1.54212E-05 4.03082E-14
1.71822E-05 4.00797E-14
1.90385E-05 3.98430E-14
2.09899E-05 3.95987E-14
2.30365E-05 3.93473E-14
2.51783E-05 3.90894E-14
2.74153E-05 3.88255E-14
2.97475E-05 3.85563E-14
3.21749E-05 3.82821E-14
3.46974E-05 3.80037E-14
3.73152E-05 3.77215E-14
4.00281E-05 3.74360E-14
4.28362E-05 3.71478E-14
4.57395E-05 3.68573E-14
4.87380E-05 3.65651E-14
5.18317E-05 3.62715E-14
5.50205E-05 3.59770E-14
5.83045E-05 3.56821E-14
6.16838E-05 3.53871E-14
6.51582E-05 3.50924E-14
6.87277E-05 3.47984E-14
7.23925E-05 3.45053E-14
7.61524E-05 3.42136E-14
9.21439E-05 3.30647E-14
1.09658E-04 3.19549E-14
1.28695E-04 3.08927E-14
1.49255E-04 2.98819E-14
1.71338E-04 2.89223E-14
1.94942E-04 2.80105E-14
2.20070E-04 2.71417E-14
2.46720E-04 2.63100E-14
2.74892E-04 2.55095E-14
3.04586E-04 2.47352E-14
3.35803E-04 2.39829E-14
3.68542E-04 2.32500E-14
4.02802E-04 2.25349E-14
4.38585E-04 2.18371E-14
4.75889E-04 2.11572E-14
5.14715E-04 2.04959E-14
5.55063E-04 1.98544E-14
5.96931E-04 1.92334E-14
6.40321E-04 1.86335E-14
6.85233E-04 1.80547E-14
7.31665E-04 1.74967E-14
7.79618E-04 1.69585E-14
8.29092E-04 1.64390E-14
8.80086E-04 1.59368E-14
9.32601E-04 1.54504E-14
9.86636E-04 1.49786E-14
1.04219E-03 1.45203E-14
1.09927E-03 1.40747E-14
1.15786E-03 1.36412E-14
1.21797E-03 1.32195E-14
1.27961E-03 1.28096E-14
1.34276E-03 1.24115E-14
1.40743E-03 1.20254E-14
1.47362E-03 1.16512E-14
1.54133E-03 1.12889E-14
1.61056E-03 1.09384E-14
1.68131E-03 1.05993E-14
1.75357E-03 1.02713E-14
1.82735E-03 9.95371E-15
1.90265E-03 9.64612E-15
1.97947E-03 9.34793E-15
2.05780E-03 9.05862E-15
2.13765E-03 8.77779E-15
2.21902E-03 8.50507E-15
2.30190E-03 8.24024E-15
2.38630E-03 7.98315E-15
