 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 3.00000E+02 eV = 1.10248E+01 a.u.
 #
 # Element: Nb,  Z =  41,  atomic weight = 9.29064E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.84617E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 41
 #
 # Electron density: Read from file Data/z_041.d
 #                   Number of data points =  793
 #                   Volume integral = 4.10000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.57000E-23 cm**3
 #                            Bpol = 3.95285E+00
 #
 # Total elastic cross section = 2.65499E-16 cm**2 = 9.48114E+00 a0**2
 # 1st transport cross section = 3.03192E-17 cm**2 = 1.08272E+00 a0**2
 # 2nd transport cross section = 5.53583E-17 cm**2 = 1.97688E+00 a0**2
 #
 #    Absorption cross section = 4.32588E-16 cm**2 = 1.54480E+01 a0**2
 #   Grand total cross section = 6.98094E-16 cm**2 = 2.49294E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 4.86516E-15
7.61557E-13 4.86516E-15
1.18994E-12 4.86516E-15
1.71346E-12 4.86516E-15
2.33225E-12 4.86516E-15
3.04617E-12 4.86516E-15
3.85530E-12 4.86516E-15
4.75964E-12 4.86516E-15
5.75917E-12 4.86516E-15
6.85391E-12 4.86516E-15
8.04379E-12 4.86516E-15
9.32893E-12 4.86516E-15
1.07092E-11 4.86516E-15
1.21847E-11 4.86516E-15
1.37554E-11 4.86516E-15
1.54213E-11 4.86516E-15
1.71823E-11 4.86516E-15
1.90386E-11 4.86516E-15
2.09900E-11 4.86516E-15
2.30367E-11 4.86516E-15
2.51785E-11 4.86516E-15
2.74156E-11 4.86516E-15
2.97478E-11 4.86516E-15
3.21752E-11 4.86516E-15
3.46979E-11 4.86516E-15
3.73157E-11 4.86516E-15
4.00286E-11 4.86516E-15
4.28368E-11 4.86516E-15
4.57402E-11 4.86516E-15
4.87388E-11 4.86516E-15
5.18325E-11 4.86516E-15
5.50215E-11 4.86516E-15
5.83057E-11 4.86516E-15
6.16850E-11 4.86516E-15
6.51595E-11 4.86516E-15
6.87293E-11 4.86516E-15
7.23943E-11 4.86516E-15
7.61544E-11 4.86516E-15
1.18991E-10 4.86516E-15
1.71347E-10 4.86516E-15
2.33223E-10 4.86515E-15
3.04617E-10 4.86515E-15
3.85531E-10 4.86515E-15
4.75965E-10 4.86514E-15
5.75917E-10 4.86514E-15
6.85389E-10 4.86514E-15
8.04380E-10 4.86513E-15
9.32891E-10 4.86513E-15
1.07092E-09 4.86512E-15
1.21847E-09 4.86511E-15
1.37554E-09 4.86511E-15
1.54213E-09 4.86510E-15
1.71823E-09 4.86510E-15
1.90386E-09 4.86509E-15
2.09900E-09 4.86508E-15
2.30367E-09 4.86507E-15
2.51785E-09 4.86506E-15
2.74156E-09 4.86506E-15
2.97478E-09 4.86505E-15
3.21752E-09 4.86504E-15
3.46978E-09 4.86503E-15
3.73156E-09 4.86502E-15
4.00286E-09 4.86501E-15
4.28368E-09 4.86500E-15
4.57402E-09 4.86498E-15
4.87388E-09 4.86497E-15
5.18326E-09 4.86496E-15
5.50215E-09 4.86495E-15
5.83057E-09 4.86494E-15
6.16850E-09 4.86492E-15
6.51596E-09 4.86491E-15
6.87293E-09 4.86490E-15
7.23942E-09 4.86488E-15
7.61544E-09 4.86487E-15
1.18991E-08 4.86470E-15
1.71347E-08 4.86450E-15
2.33223E-08 4.86426E-15
3.04617E-08 4.86398E-15
3.85531E-08 4.86367E-15
4.75965E-08 4.86332E-15
5.75917E-08 4.86293E-15
6.85389E-08 4.86251E-15
8.04380E-08 4.86205E-15
9.32891E-08 4.86155E-15
1.07092E-07 4.86102E-15
1.21847E-07 4.86045E-15
1.37554E-07 4.85984E-15
1.54213E-07 4.85920E-15
1.71823E-07 4.85852E-15
1.90386E-07 4.85780E-15
2.09900E-07 4.85705E-15
2.30367E-07 4.85626E-15
2.51785E-07 4.85543E-15
2.74156E-07 4.85457E-15
2.97478E-07 4.85367E-15
3.21752E-07 4.85274E-15
3.46978E-07 4.85177E-15
3.73156E-07 4.85076E-15
4.00286E-07 4.84972E-15
4.28368E-07 4.84864E-15
4.57402E-07 4.84752E-15
4.87388E-07 4.84637E-15
5.18325E-07 4.84518E-15
5.50215E-07 4.84396E-15
5.83057E-07 4.84270E-15
6.16850E-07 4.84141E-15
6.51596E-07 4.84008E-15
6.87293E-07 4.83871E-15
7.23942E-07 4.83731E-15
7.61543E-07 4.83587E-15
1.18991E-06 4.81957E-15
1.71347E-06 4.79982E-15
2.33223E-06 4.77670E-15
3.04617E-06 4.75035E-15
3.85531E-06 4.72088E-15
4.75964E-06 4.68844E-15
5.75916E-06 4.65318E-15
6.85388E-06 4.61527E-15
8.04378E-06 4.57488E-15
9.32888E-06 4.53219E-15
1.07092E-05 4.48739E-15
1.21846E-05 4.44067E-15
1.37553E-05 4.39223E-15
1.54212E-05 4.34227E-15
1.71822E-05 4.29098E-15
1.90385E-05 4.23856E-15
2.09899E-05 4.18520E-15
2.30365E-05 4.13109E-15
2.51783E-05 4.07641E-15
2.74153E-05 4.02135E-15
2.97475E-05 3.96607E-15
3.21749E-05 3.91074E-15
3.46974E-05 3.85550E-15
3.73152E-05 3.80051E-15
