 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 4.00000E+03 eV = 1.46997E+02 a.u.
 #
 # Element: Nb,  Z =  41,  atomic weight = 9.29064E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.84617E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 41
 #
 # Electron density: Read from file Data/z_041.d
 #                   Number of data points =  793
 #                   Volume integral = 4.10000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.57000E-23 cm**3
 #                            Bpol = 1.57123E+01
 #
 # Total elastic cross section = 1.04345E-16 cm**2 = 3.72624E+00 a0**2
 # 1st transport cross section = 3.28388E-18 cm**2 = 1.17270E-01 a0**2
 # 2nd transport cross section = 6.99159E-18 cm**2 = 2.49674E-01 a0**2
 #
 #    Absorption cross section = 4.12023E-17 cm**2 = 1.47136E+00 a0**2
 #   Grand total cross section = 1.45561E-16 cm**2 = 5.19807E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 2.47385E-15
7.61557E-13 2.47385E-15
1.18994E-12 2.47385E-15
1.71346E-12 2.47385E-15
2.33225E-12 2.47385E-15
3.04617E-12 2.47385E-15
3.85530E-12 2.47385E-15
4.75964E-12 2.47385E-15
5.75917E-12 2.47385E-15
6.85391E-12 2.47385E-15
8.04379E-12 2.47385E-15
9.32893E-12 2.47385E-15
1.07092E-11 2.47385E-15
1.21847E-11 2.47385E-15
1.37554E-11 2.47385E-15
1.54213E-11 2.47385E-15
1.71823E-11 2.47385E-15
1.90386E-11 2.47385E-15
2.09900E-11 2.47385E-15
2.30367E-11 2.47385E-15
2.51785E-11 2.47385E-15
2.74156E-11 2.47385E-15
2.97478E-11 2.47386E-15
3.21752E-11 2.47386E-15
3.46979E-11 2.47386E-15
3.73157E-11 2.47386E-15
4.00286E-11 2.47386E-15
4.28368E-11 2.47386E-15
4.57402E-11 2.47386E-15
4.87388E-11 2.47386E-15
5.18325E-11 2.47386E-15
5.50215E-11 2.47386E-15
5.83057E-11 2.47386E-15
6.16850E-11 2.47386E-15
6.51595E-11 2.47387E-15
6.87293E-11 2.47387E-15
7.23943E-11 2.47387E-15
7.61544E-11 2.47387E-15
1.18991E-10 2.47388E-15
1.71347E-10 2.47389E-15
2.33223E-10 2.47391E-15
3.04617E-10 2.47393E-15
3.85531E-10 2.47395E-15
4.75965E-10 2.47398E-15
5.75917E-10 2.47401E-15
6.85389E-10 2.47404E-15
8.04380E-10 2.47407E-15
9.32891E-10 2.47410E-15
1.07092E-09 2.47414E-15
1.21847E-09 2.47418E-15
1.37554E-09 2.47423E-15
1.54213E-09 2.47427E-15
1.71823E-09 2.47432E-15
1.90386E-09 2.47437E-15
2.09900E-09 2.47442E-15
2.30367E-09 2.47448E-15
2.51785E-09 2.47454E-15
2.74156E-09 2.47460E-15
2.97478E-09 2.47466E-15
3.21752E-09 2.47473E-15
3.46978E-09 2.47480E-15
3.73156E-09 2.47487E-15
4.00286E-09 2.47495E-15
4.28368E-09 2.47502E-15
4.57402E-09 2.47510E-15
4.87388E-09 2.47519E-15
5.18326E-09 2.47527E-15
5.50215E-09 2.47536E-15
5.83057E-09 2.47545E-15
6.16850E-09 2.47554E-15
6.51596E-09 2.47564E-15
6.87293E-09 2.47574E-15
7.23942E-09 2.47584E-15
7.61544E-09 2.47594E-15
1.18991E-08 2.47712E-15
1.71347E-08 2.47856E-15
2.33223E-08 2.48025E-15
3.04617E-08 2.48222E-15
3.85531E-08 2.48444E-15
4.75965E-08 2.48692E-15
5.75917E-08 2.48966E-15
6.85389E-08 2.49266E-15
8.04380E-08 2.49593E-15
9.32891E-08 2.49945E-15
1.07092E-07 2.50323E-15
1.21847E-07 2.50727E-15
1.37554E-07 2.51157E-15
1.54213E-07 2.51613E-15
1.71823E-07 2.52094E-15
1.90386E-07 2.52602E-15
2.09900E-07 2.53134E-15
2.30367E-07 2.53693E-15
2.51785E-07 2.54277E-15
2.74156E-07 2.54886E-15
2.97478E-07 2.55521E-15
3.21752E-07 2.56181E-15
3.46978E-07 2.56866E-15
3.73156E-07 2.57576E-15
4.00286E-07 2.58311E-15
4.28368E-07 2.59072E-15
4.57402E-07 2.59856E-15
4.87388E-07 2.60666E-15
5.18325E-07 2.61500E-15
5.50215E-07 2.62359E-15
5.83057E-07 2.63241E-15
6.16850E-07 2.64148E-15
