 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 8.00000E+02 eV = 2.93995E+01 a.u.
 #
 # Element: Nb,  Z =  41,  atomic weight = 9.29064E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.84617E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 41
 #
 # Electron density: Read from file Data/z_041.d
 #                   Number of data points =  793
 #                   Volume integral = 4.10000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.57000E-23 cm**3
 #                            Bpol = 6.84653E+00
 #
 # Total elastic cross section = 2.11554E-16 cm**2 = 7.55472E+00 a0**2
 # 1st transport cross section = 1.52900E-17 cm**2 = 5.46014E-01 a0**2
 # 2nd transport cross section = 3.02198E-17 cm**2 = 1.07917E+00 a0**2
 #
 #    Absorption cross section = 1.84867E-16 cm**2 = 6.60171E+00 a0**2
 #   Grand total cross section = 3.96430E-16 cm**2 = 1.41568E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 2.34275E-15
7.61557E-13 2.34275E-15
1.18994E-12 2.34275E-15
1.71346E-12 2.34275E-15
2.33225E-12 2.34275E-15
3.04617E-12 2.34275E-15
3.85530E-12 2.34275E-15
4.75964E-12 2.34275E-15
5.75917E-12 2.34275E-15
6.85391E-12 2.34275E-15
8.04379E-12 2.34275E-15
9.32893E-12 2.34275E-15
1.07092E-11 2.34275E-15
1.21847E-11 2.34275E-15
1.37554E-11 2.34275E-15
1.54213E-11 2.34275E-15
1.71823E-11 2.34275E-15
1.90386E-11 2.34275E-15
2.09900E-11 2.34275E-15
2.30367E-11 2.34275E-15
2.51785E-11 2.34275E-15
2.74156E-11 2.34275E-15
2.97478E-11 2.34275E-15
3.21752E-11 2.34275E-15
3.46979E-11 2.34275E-15
3.73157E-11 2.34275E-15
4.00286E-11 2.34275E-15
4.28368E-11 2.34275E-15
4.57402E-11 2.34275E-15
4.87388E-11 2.34275E-15
5.18325E-11 2.34275E-15
5.50215E-11 2.34275E-15
5.83057E-11 2.34275E-15
6.16850E-11 2.34275E-15
6.51595E-11 2.34275E-15
6.87293E-11 2.34275E-15
7.23943E-11 2.34275E-15
7.61544E-11 2.34275E-15
1.18991E-10 2.34275E-15
1.71347E-10 2.34274E-15
2.33223E-10 2.34274E-15
3.04617E-10 2.34274E-15
3.85531E-10 2.34274E-15
4.75965E-10 2.34273E-15
5.75917E-10 2.34273E-15
6.85389E-10 2.34273E-15
8.04380E-10 2.34272E-15
9.32891E-10 2.34272E-15
1.07092E-09 2.34272E-15
1.21847E-09 2.34271E-15
1.37554E-09 2.34271E-15
1.54213E-09 2.34270E-15
1.71823E-09 2.34269E-15
1.90386E-09 2.34269E-15
2.09900E-09 2.34268E-15
2.30367E-09 2.34268E-15
2.51785E-09 2.34267E-15
2.74156E-09 2.34266E-15
2.97478E-09 2.34265E-15
3.21752E-09 2.34265E-15
3.46978E-09 2.34264E-15
3.73156E-09 2.34263E-15
4.00286E-09 2.34262E-15
4.28368E-09 2.34261E-15
4.57402E-09 2.34260E-15
4.87388E-09 2.34259E-15
5.18326E-09 2.34258E-15
5.50215E-09 2.34257E-15
5.83057E-09 2.34256E-15
6.16850E-09 2.34255E-15
6.51596E-09 2.34254E-15
6.87293E-09 2.34253E-15
7.23942E-09 2.34252E-15
7.61544E-09 2.34250E-15
1.18991E-08 2.34237E-15
1.71347E-08 2.34220E-15
2.33223E-08 2.34200E-15
3.04617E-08 2.34177E-15
3.85531E-08 2.34151E-15
4.75965E-08 2.34121E-15
5.75917E-08 2.34089E-15
6.85389E-08 2.34054E-15
8.04380E-08 2.34016E-15
9.32891E-08 2.33975E-15
1.07092E-07 2.33930E-15
1.21847E-07 2.33883E-15
1.37554E-07 2.33833E-15
1.54213E-07 2.33780E-15
1.71823E-07 2.33724E-15
1.90386E-07 2.33664E-15
2.09900E-07 2.33602E-15
2.30367E-07 2.33538E-15
2.51785E-07 2.33470E-15
2.74156E-07 2.33399E-15
2.97478E-07 2.33325E-15
3.21752E-07 2.33249E-15
3.46978E-07 2.33170E-15
3.73156E-07 2.33088E-15
4.00286E-07 2.33003E-15
4.28368E-07 2.32915E-15
4.57402E-07 2.32825E-15
4.87388E-07 2.32732E-15
5.18325E-07 2.32636E-15
5.50215E-07 2.32537E-15
5.83057E-07 2.32436E-15
6.16850E-07 2.32332E-15
6.51596E-07 2.32226E-15
6.87293E-07 2.32117E-15
7.23942E-07 2.32005E-15
7.61543E-07 2.31891E-15
1.18991E-06 2.30618E-15
1.71347E-06 2.29123E-15
2.33223E-06 2.27443E-15
3.04617E-06 2.25616E-15
3.85531E-06 2.23681E-15
4.75964E-06 2.21680E-15
5.75916E-06 2.19654E-15
6.85388E-06 2.17645E-15
8.04378E-06 2.15689E-15
9.32888E-06 2.13822E-15
1.07092E-05 2.12076E-15
1.21846E-05 2.10476E-15
1.37553E-05 2.09046E-15
1.54212E-05 2.07801E-15
1.71822E-05 2.06754E-15
1.90385E-05 2.05911E-15
2.09899E-05 2.05276E-15
2.30365E-05 2.04846E-15
2.51783E-05 2.04615E-15
2.74153E-05 2.04576E-15
2.97475E-05 2.04716E-15
3.21749E-05 2.05024E-15
3.46974E-05 2.05484E-15
3.73152E-05 2.06082E-15
4.00281E-05 2.06802E-15
4.28362E-05 2.07631E-15
4.57395E-05 2.08552E-15
4.87380E-05 2.09555E-15
5.18317E-05 2.10625E-15
5.50205E-05 2.11754E-15
5.83045E-05 2.12930E-15
6.16838E-05 2.14148E-15
6.51582E-05 2.15400E-15
6.87277E-05 2.16682E-15
7.23925E-05 2.17989E-15
7.61524E-05 2.19319E-15
9.21439E-05 2.24840E-15
1.09658E-04 2.30654E-15
1.28695E-04 2.36715E-15
1.49255E-04 2.42882E-15
1.71338E-04 2.48910E-15
1.94942E-04 2.54520E-15
2.20070E-04 2.59493E-15
2.46720E-04 2.63729E-15
2.74892E-04 2.67257E-15
3.04586E-04 2.70179E-15
