 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.50000E+03 eV = 1.65372E+02 a.u.
 #
 # Element: Nb,  Z =  41,  atomic weight = 9.29064E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.84617E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 41
 #
 # Electron density: Read from file Data/z_041.d
 #                   Number of data points =  793
 #                   Volume integral = 4.10000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.57000E-23 cm**3
 #                            Bpol = 1.66771E+01
 #
 # Total elastic cross section = 1.09105E-16 cm**2 = 3.89622E+00 a0**2
 # 1st transport cross section = 5.48716E-18 cm**2 = 1.95950E-01 a0**2
 # 2nd transport cross section = 9.19311E-18 cm**2 = 3.28292E-01 a0**2
 #
 #    Absorption cross section = 3.63409E-17 cm**2 = 1.29776E+00 a0**2
 #   Grand total cross section = 1.45456E-16 cm**2 = 5.19433E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 1.71590E-14
7.61557E-13 1.71590E-14
1.18994E-12 1.71590E-14
1.71346E-12 1.71590E-14
2.33225E-12 1.71590E-14
3.04617E-12 1.71590E-14
3.85530E-12 1.71590E-14
4.75964E-12 1.71590E-14
5.75917E-12 1.71590E-14
6.85391E-12 1.71590E-14
8.04379E-12 1.71590E-14
9.32893E-12 1.71590E-14
1.07092E-11 1.71590E-14
1.21847E-11 1.71590E-14
1.37554E-11 1.71590E-14
1.54213E-11 1.71590E-14
1.71823E-11 1.71590E-14
1.90386E-11 1.71590E-14
2.09900E-11 1.71590E-14
2.30367E-11 1.71590E-14
2.51785E-11 1.71589E-14
2.74156E-11 1.71589E-14
2.97478E-11 1.71589E-14
3.21752E-11 1.71589E-14
3.46979E-11 1.71589E-14
3.73157E-11 1.71589E-14
4.00286E-11 1.71589E-14
4.28368E-11 1.71589E-14
4.57402E-11 1.71589E-14
4.87388E-11 1.71589E-14
5.18325E-11 1.71589E-14
5.50215E-11 1.71589E-14
5.83057E-11 1.71589E-14
6.16850E-11 1.71589E-14
6.51595E-11 1.71589E-14
6.87293E-11 1.71589E-14
7.23943E-11 1.71589E-14
7.61544E-11 1.71589E-14
1.18991E-10 1.71588E-14
1.71347E-10 1.71588E-14
2.33223E-10 1.71587E-14
3.04617E-10 1.71586E-14
3.85531E-10 1.71585E-14
4.75965E-10 1.71584E-14
5.75917E-10 1.71583E-14
6.85389E-10 1.71581E-14
8.04380E-10 1.71580E-14
9.32891E-10 1.71578E-14
1.07092E-09 1.71576E-14
1.21847E-09 1.71575E-14
1.37554E-09 1.71573E-14
1.54213E-09 1.71571E-14
1.71823E-09 1.71568E-14
1.90386E-09 1.71566E-14
2.09900E-09 1.71564E-14
2.30367E-09 1.71561E-14
2.51785E-09 1.71558E-14
2.74156E-09 1.71556E-14
2.97478E-09 1.71553E-14
3.21752E-09 1.71550E-14
3.46978E-09 1.71547E-14
3.73156E-09 1.71543E-14
4.00286E-09 1.71540E-14
4.28368E-09 1.71536E-14
4.57402E-09 1.71533E-14
4.87388E-09 1.71529E-14
5.18326E-09 1.71525E-14
5.50215E-09 1.71521E-14
5.83057E-09 1.71517E-14
6.16850E-09 1.71513E-14
6.51596E-09 1.71509E-14
6.87293E-09 1.71504E-14
7.23942E-09 1.71500E-14
7.61544E-09 1.71495E-14
1.18991E-08 1.71442E-14
1.71347E-08 1.71376E-14
2.33223E-08 1.71300E-14
3.04617E-08 1.71211E-14
3.85531E-08 1.71111E-14
4.75965E-08 1.70999E-14
5.75917E-08 1.70876E-14
6.85389E-08 1.70741E-14
8.04380E-08 1.70595E-14
9.32891E-08 1.70438E-14
1.07092E-07 1.70269E-14
1.21847E-07 1.70089E-14
1.37554E-07 1.69899E-14
1.54213E-07 1.69697E-14
1.71823E-07 1.69485E-14
1.90386E-07 1.69262E-14
2.09900E-07 1.69029E-14
2.30367E-07 1.68785E-14
2.51785E-07 1.68532E-14
2.74156E-07 1.68268E-14
2.97478E-07 1.67994E-14
3.21752E-07 1.67710E-14
3.46978E-07 1.67417E-14
3.73156E-07 1.67114E-14
4.00286E-07 1.66803E-14
4.28368E-07 1.66482E-14
4.57402E-07 1.66152E-14
4.87388E-07 1.65813E-14
5.18325E-07 1.65466E-14
5.50215E-07 1.65111E-14
5.83057E-07 1.64747E-14
6.16850E-07 1.64376E-14
6.51596E-07 1.63997E-14
6.87293E-07 1.63610E-14
7.23942E-07 1.63216E-14
7.61543E-07 1.62815E-14
1.18991E-06 1.58457E-14
1.71347E-06 1.53624E-14
2.33223E-06 1.48529E-14
3.04617E-06 1.43369E-14
3.85531E-06 1.38307E-14
4.75964E-06 1.33470E-14
5.75916E-06 1.28945E-14
6.85388E-06 1.24776E-14
8.04378E-06 1.20975E-14
9.32888E-06 1.17526E-14
1.07092E-05 1.14393E-14
1.21846E-05 1.11530E-14
1.37553E-05 1.08888E-14
1.54212E-05 1.06417E-14
1.71822E-05 1.04080E-14
1.90385E-05 1.01844E-14
2.09899E-05 9.96921E-15
2.30365E-05 9.76134E-15
2.51783E-05 9.56068E-15
2.74153E-05 9.36761E-15
2.97475E-05 9.18271E-15
3.21749E-05 9.00654E-15
3.46974E-05 8.83940E-15
3.73152E-05 8.68122E-15
4.00281E-05 8.53155E-15
4.28362E-05 8.38959E-15
4.57395E-05 8.25429E-15
4.87380E-05 8.12451E-15
5.18317E-05 7.99916E-15
5.50205E-05 7.87727E-15
5.83045E-05 7.75818E-15
6.16838E-05 7.64145E-15
6.51582E-05 7.52696E-15
6.87277E-05 7.41479E-15
7.23925E-05 7.30513E-15
7.61524E-05 7.19826E-15
