 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 3.00000E+02 eV = 1.10248E+01 a.u.
 #
 # Element: Mo,  Z =  42,  atomic weight = 9.59400E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.89836E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 42
 #
 # Electron density: Read from file Data/z_042.d
 #                   Number of data points =  787
 #                   Volume integral = 4.20000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 2.92400E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.28000E-23 cm**3
 #                            Bpol = 3.95285E+00
 #
 # Total elastic cross section = 2.55202E-16 cm**2 = 9.11344E+00 a0**2
 # 1st transport cross section = 3.08605E-17 cm**2 = 1.10205E+00 a0**2
 # 2nd transport cross section = 5.56781E-17 cm**2 = 1.98830E+00 a0**2
 #
 #    Absorption cross section = 4.05513E-16 cm**2 = 1.44811E+01 a0**2
 #   Grand total cross section = 6.60722E-16 cm**2 = 2.35948E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 3.76431E-15
7.61557E-13 3.76431E-15
1.18994E-12 3.76431E-15
1.71346E-12 3.76431E-15
2.33225E-12 3.76431E-15
3.04617E-12 3.76431E-15
3.85530E-12 3.76431E-15
4.75964E-12 3.76431E-15
5.75917E-12 3.76431E-15
6.85391E-12 3.76431E-15
8.04379E-12 3.76431E-15
9.32893E-12 3.76431E-15
1.07092E-11 3.76431E-15
1.21847E-11 3.76431E-15
1.37554E-11 3.76431E-15
1.54213E-11 3.76431E-15
1.71823E-11 3.76431E-15
1.90386E-11 3.76431E-15
2.09900E-11 3.76431E-15
2.30367E-11 3.76431E-15
2.51785E-11 3.76431E-15
2.74156E-11 3.76430E-15
2.97478E-11 3.76430E-15
3.21752E-11 3.76430E-15
3.46979E-11 3.76430E-15
3.73157E-11 3.76430E-15
4.00286E-11 3.76430E-15
4.28368E-11 3.76430E-15
4.57402E-11 3.76430E-15
4.87388E-11 3.76430E-15
5.18325E-11 3.76430E-15
5.50215E-11 3.76430E-15
5.83057E-11 3.76430E-15
6.16850E-11 3.76430E-15
6.51595E-11 3.76430E-15
6.87293E-11 3.76430E-15
7.23943E-11 3.76430E-15
7.61544E-11 3.76430E-15
1.18991E-10 3.76430E-15
1.71347E-10 3.76430E-15
2.33223E-10 3.76430E-15
3.04617E-10 3.76430E-15
3.85531E-10 3.76430E-15
4.75965E-10 3.76429E-15
5.75917E-10 3.76429E-15
6.85389E-10 3.76429E-15
8.04380E-10 3.76429E-15
9.32891E-10 3.76428E-15
1.07092E-09 3.76428E-15
1.21847E-09 3.76427E-15
1.37554E-09 3.76427E-15
1.54213E-09 3.76427E-15
1.71823E-09 3.76426E-15
1.90386E-09 3.76426E-15
2.09900E-09 3.76425E-15
2.30367E-09 3.76425E-15
2.51785E-09 3.76424E-15
2.74156E-09 3.76424E-15
2.97478E-09 3.76423E-15
3.21752E-09 3.76422E-15
3.46978E-09 3.76422E-15
3.73156E-09 3.76421E-15
4.00286E-09 3.76420E-15
4.28368E-09 3.76420E-15
4.57402E-09 3.76419E-15
4.87388E-09 3.76418E-15
5.18326E-09 3.76417E-15
5.50215E-09 3.76417E-15
5.83057E-09 3.76416E-15
6.16850E-09 3.76415E-15
6.51596E-09 3.76414E-15
6.87293E-09 3.76413E-15
7.23942E-09 3.76412E-15
7.61544E-09 3.76411E-15
1.18991E-08 3.76400E-15
1.71347E-08 3.76387E-15
2.33223E-08 3.76371E-15
3.04617E-08 3.76353E-15
3.85531E-08 3.76333E-15
4.75965E-08 3.76310E-15
5.75917E-08 3.76284E-15
6.85389E-08 3.76257E-15
8.04380E-08 3.76226E-15
9.32891E-08 3.76194E-15
1.07092E-07 3.76159E-15
1.21847E-07 3.76121E-15
1.37554E-07 3.76082E-15
1.54213E-07 3.76039E-15
1.71823E-07 3.75995E-15
1.90386E-07 3.75948E-15
2.09900E-07 3.75899E-15
2.30367E-07 3.75847E-15
2.51785E-07 3.75793E-15
2.74156E-07 3.75736E-15
2.97478E-07 3.75677E-15
3.21752E-07 3.75616E-15
3.46978E-07 3.75552E-15
3.73156E-07 3.75486E-15
4.00286E-07 3.75418E-15
4.28368E-07 3.75347E-15
4.57402E-07 3.75274E-15
4.87388E-07 3.75198E-15
5.18325E-07 3.75120E-15
5.50215E-07 3.75040E-15
5.83057E-07 3.74957E-15
6.16850E-07 3.74872E-15
6.51596E-07 3.74785E-15
6.87293E-07 3.74696E-15
7.23942E-07 3.74604E-15
7.61543E-07 3.74509E-15
1.18991E-06 3.73440E-15
1.71347E-06 3.72143E-15
2.33223E-06 3.70626E-15
3.04617E-06 3.68895E-15
3.85531E-06 3.66959E-15
4.75964E-06 3.64827E-15
5.75916E-06 3.62509E-15
6.85388E-06 3.60015E-15
8.04378E-06 3.57356E-15
9.32888E-06 3.54545E-15
1.07092E-05 3.51592E-15
1.21846E-05 3.48511E-15
1.37553E-05 3.45314E-15
1.54212E-05 3.42014E-15
1.71822E-05 3.38624E-15
1.90385E-05 3.35155E-15
2.09899E-05 3.31622E-15
2.30365E-05 3.28036E-15
2.51783E-05 3.24408E-15
2.74153E-05 3.20752E-15
2.97475E-05 3.17077E-15
3.21749E-05 3.13395E-15
3.46974E-05 3.09715E-15
3.73152E-05 3.06047E-15
4.00281E-05 3.02401E-15
4.28362E-05 2.98783E-15
4.57395E-05 2.95203E-15
4.87380E-05 2.91666E-15
5.18317E-05 2.88179E-15
5.50205E-05 2.84747E-15
5.83045E-05 2.81376E-15
6.16838E-05 2.78069E-15
6.51582E-05 2.74830E-15
6.87277E-05 2.71662E-15
7.23925E-05 2.68568E-15
7.61524E-05 2.65548E-15
9.21439E-05 2.54240E-15
1.09658E-04 2.44155E-15
1.28695E-04 2.35217E-15
1.49255E-04 2.27303E-15
1.71338E-04 2.20266E-15
1.94942E-04 2.13967E-15
2.20070E-04 2.08281E-15
2.46720E-04 2.03113E-15
2.74892E-04 1.98389E-15
3.04586E-04 1.94058E-15
3.35803E-04 1.90087E-15
3.68542E-04 1.86450E-15
4.02802E-04 1.83124E-15
4.38585E-04 1.80086E-15
4.75889E-04 1.77308E-15
5.14715E-04 1.74759E-15
5.55063E-04 1.72407E-15
5.96931E-04 1.70220E-15
6.40321E-04 1.68168E-15
6.85233E-04 1.66229E-15
7.31665E-04 1.64383E-15
7.79618E-04 1.62620E-15
8.29092E-04 1.60930E-15
8.80086E-04 1.59308E-15
9.32601E-04 1.57748E-15
9.86636E-04 1.56243E-15
1.04219E-03 1.54786E-15
1.09927E-03 1.53365E-15
1.15786E-03 1.51970E-15
1.21797E-03 1.50589E-15
1.27961E-03 1.49209E-15
1.34276E-03 1.47823E-15
1.40743E-03 1.46425E-15
1.47362E-03 1.45012E-15
1.54133E-03 1.43587E-15
1.61056E-03 1.42151E-15
1.68131E-03 1.40710E-15
1.75357E-03 1.39267E-15
1.82735E-03 1.37826E-15
1.90265E-03 1.36387E-15
1.97947E-03 1.34949E-15
2.05780E-03 1.33509E-15
2.13765E-03 1.32063E-15
2.21902E-03 1.30606E-15
2.30190E-03 1.29135E-15
2.38630E-03 1.27646E-15
2.47222E-03 1.26140E-15
2.55965E-03 1.24619E-15
2.64859E-03 1.23085E-15
2.73905E-03 1.21544E-15
2.83103E-03 1.20001E-15
2.92452E-03 1.18459E-15
3.01952E-03 1.16923E-15
3.11604E-03 1.15395E-15
3.21407E-03 1.13874E-15
3.31362E-03 1.12358E-15
3.41468E-03 1.10847E-15
3.51725E-03 1.09337E-15
