 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.50000E+02 eV = 1.65372E+01 a.u.
 #
 # Element: Mo,  Z =  42,  atomic weight = 9.59400E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.89836E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 42
 #
 # Electron density: Read from file Data/z_042.d
 #                   Number of data points =  787
 #                   Volume integral = 4.20000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.34000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.28000E-23 cm**3
 #                            Bpol = 5.00000E+00
 #
 # Total elastic cross section = 3.90844E-16 cm**2 = 1.39573E+01 a0**2
 # 1st transport cross section = 7.79682E-17 cm**2 = 2.78430E+00 a0**2
 # 2nd transport cross section = 6.90901E-17 cm**2 = 2.46725E+00 a0**2
 #
 #    Absorption cross section = 2.44650E-16 cm**2 = 8.73662E+00 a0**2
 #   Grand total cross section = 6.35513E-16 cm**2 = 2.26946E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 1.55913E-14
7.61557E-13 1.55913E-14
1.18994E-12 1.55913E-14
1.71346E-12 1.55913E-14
2.33225E-12 1.55913E-14
3.04617E-12 1.55913E-14
3.85530E-12 1.55913E-14
4.75964E-12 1.55913E-14
5.75917E-12 1.55913E-14
6.85391E-12 1.55913E-14
8.04379E-12 1.55913E-14
9.32893E-12 1.55913E-14
1.07092E-11 1.55913E-14
1.21847E-11 1.55913E-14
1.37554E-11 1.55913E-14
1.54213E-11 1.55913E-14
1.71823E-11 1.55913E-14
1.90386E-11 1.55913E-14
2.09900E-11 1.55913E-14
2.30367E-11 1.55913E-14
2.51785E-11 1.55913E-14
2.74156E-11 1.55913E-14
2.97478E-11 1.55913E-14
3.21752E-11 1.55913E-14
3.46979E-11 1.55913E-14
3.73157E-11 1.55913E-14
4.00286E-11 1.55913E-14
4.28368E-11 1.55913E-14
4.57402E-11 1.55913E-14
4.87388E-11 1.55913E-14
5.18325E-11 1.55913E-14
5.50215E-11 1.55913E-14
5.83057E-11 1.55913E-14
6.16850E-11 1.55913E-14
6.51595E-11 1.55913E-14
6.87293E-11 1.55913E-14
7.23943E-11 1.55913E-14
7.61544E-11 1.55913E-14
1.18991E-10 1.55913E-14
1.71347E-10 1.55913E-14
2.33223E-10 1.55912E-14
3.04617E-10 1.55912E-14
3.85531E-10 1.55912E-14
4.75965E-10 1.55912E-14
5.75917E-10 1.55912E-14
6.85389E-10 1.55912E-14
8.04380E-10 1.55912E-14
9.32891E-10 1.55912E-14
1.07092E-09 1.55912E-14
1.21847E-09 1.55911E-14
1.37554E-09 1.55911E-14
1.54213E-09 1.55911E-14
1.71823E-09 1.55911E-14
1.90386E-09 1.55911E-14
2.09900E-09 1.55910E-14
2.30367E-09 1.55910E-14
2.51785E-09 1.55910E-14
2.74156E-09 1.55910E-14
2.97478E-09 1.55910E-14
3.21752E-09 1.55909E-14
3.46978E-09 1.55909E-14
3.73156E-09 1.55909E-14
4.00286E-09 1.55908E-14
4.28368E-09 1.55908E-14
4.57402E-09 1.55908E-14
4.87388E-09 1.55908E-14
5.18326E-09 1.55907E-14
5.50215E-09 1.55907E-14
5.83057E-09 1.55907E-14
6.16850E-09 1.55906E-14
6.51596E-09 1.55906E-14
6.87293E-09 1.55905E-14
7.23942E-09 1.55905E-14
7.61544E-09 1.55905E-14
1.18991E-08 1.55900E-14
1.71347E-08 1.55895E-14
2.33223E-08 1.55888E-14
3.04617E-08 1.55880E-14
3.85531E-08 1.55872E-14
4.75965E-08 1.55862E-14
5.75917E-08 1.55852E-14
6.85389E-08 1.55840E-14
8.04380E-08 1.55828E-14
9.32891E-08 1.55814E-14
1.07092E-07 1.55800E-14
1.21847E-07 1.55784E-14
1.37554E-07 1.55767E-14
1.54213E-07 1.55750E-14
1.71823E-07 1.55731E-14
1.90386E-07 1.55712E-14
2.09900E-07 1.55691E-14
2.30367E-07 1.55670E-14
2.51785E-07 1.55647E-14
2.74156E-07 1.55624E-14
2.97478E-07 1.55599E-14
3.21752E-07 1.55573E-14
3.46978E-07 1.55547E-14
3.73156E-07 1.55519E-14
4.00286E-07 1.55491E-14
4.28368E-07 1.55462E-14
4.57402E-07 1.55431E-14
4.87388E-07 1.55400E-14
5.18325E-07 1.55367E-14
5.50215E-07 1.55334E-14
5.83057E-07 1.55299E-14
6.16850E-07 1.55264E-14
6.51596E-07 1.55228E-14
6.87293E-07 1.55191E-14
7.23942E-07 1.55152E-14
7.61543E-07 1.55113E-14
1.18991E-06 1.54668E-14
1.71347E-06 1.54130E-14
2.33223E-06 1.53500E-14
3.04617E-06 1.52783E-14
3.85531E-06 1.51981E-14
4.75964E-06 1.51100E-14
5.75916E-06 1.50143E-14
6.85388E-06 1.49115E-14
8.04378E-06 1.48022E-14
9.32888E-06 1.46867E-14
1.07092E-05 1.45657E-14
1.21846E-05 1.44397E-14
1.37553E-05 1.43092E-14
1.54212E-05 1.41748E-14
1.71822E-05 1.40370E-14
1.90385E-05 1.38963E-14
2.09899E-05 1.37533E-14
2.30365E-05 1.36084E-14
2.51783E-05 1.34621E-14
2.74153E-05 1.33149E-14
2.97475E-05 1.31673E-14
3.21749E-05 1.30196E-14
3.46974E-05 1.28722E-14
3.73152E-05 1.27254E-14
4.00281E-05 1.25797E-14
4.28362E-05 1.24352E-14
4.57395E-05 1.22922E-14
4.87380E-05 1.21510E-14
5.18317E-05 1.20117E-14
5.50205E-05 1.18746E-14
5.83045E-05 1.17396E-14
6.16838E-05 1.16071E-14
