 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 5.00000E+02 eV = 1.83747E+01 a.u.
 #
 # Element: Tc,  Z =  43,  atomic weight = 9.89063E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.94833E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 43
 #
 # Electron density: Read from file Data/z_043.d
 #                   Number of data points =  783
 #                   Volume integral = 4.30000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 4.80000E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.14000E-23 cm**3
 #                            Bpol = 5.30330E+00
 #
 # Total elastic cross section = 2.20392E-16 cm**2 = 7.87032E+00 a0**2
 # 1st transport cross section = 2.23208E-17 cm**2 = 7.97089E-01 a0**2
 # 2nd transport cross section = 4.20687E-17 cm**2 = 1.50230E+00 a0**2
 #
 #    Absorption cross section = 2.48516E-16 cm**2 = 8.87468E+00 a0**2
 #   Grand total cross section = 4.68915E-16 cm**2 = 1.67452E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 2.31378E-15
7.61557E-13 2.31378E-15
1.18994E-12 2.31378E-15
1.71346E-12 2.31378E-15
2.33225E-12 2.31378E-15
3.04617E-12 2.31378E-15
3.85530E-12 2.31378E-15
4.75964E-12 2.31378E-15
5.75917E-12 2.31378E-15
6.85391E-12 2.31378E-15
8.04379E-12 2.31378E-15
9.32893E-12 2.31378E-15
1.07092E-11 2.31378E-15
1.21847E-11 2.31378E-15
1.37554E-11 2.31378E-15
1.54213E-11 2.31378E-15
1.71823E-11 2.31378E-15
1.90386E-11 2.31378E-15
2.09900E-11 2.31378E-15
2.30367E-11 2.31378E-15
2.51785E-11 2.31378E-15
2.74156E-11 2.31378E-15
2.97478E-11 2.31378E-15
3.21752E-11 2.31378E-15
3.46979E-11 2.31378E-15
3.73157E-11 2.31378E-15
4.00286E-11 2.31378E-15
4.28368E-11 2.31378E-15
4.57402E-11 2.31378E-15
4.87388E-11 2.31378E-15
5.18325E-11 2.31378E-15
5.50215E-11 2.31378E-15
5.83057E-11 2.31378E-15
6.16850E-11 2.31378E-15
6.51595E-11 2.31378E-15
6.87293E-11 2.31378E-15
7.23943E-11 2.31378E-15
7.61544E-11 2.31378E-15
1.18991E-10 2.31378E-15
1.71347E-10 2.31378E-15
2.33223E-10 2.31377E-15
3.04617E-10 2.31377E-15
3.85531E-10 2.31377E-15
4.75965E-10 2.31377E-15
5.75917E-10 2.31377E-15
6.85389E-10 2.31376E-15
8.04380E-10 2.31376E-15
9.32891E-10 2.31376E-15
1.07092E-09 2.31376E-15
1.21847E-09 2.31375E-15
1.37554E-09 2.31375E-15
1.54213E-09 2.31375E-15
1.71823E-09 2.31374E-15
1.90386E-09 2.31374E-15
2.09900E-09 2.31374E-15
2.30367E-09 2.31373E-15
2.51785E-09 2.31373E-15
2.74156E-09 2.31372E-15
2.97478E-09 2.31372E-15
3.21752E-09 2.31371E-15
3.46978E-09 2.31371E-15
3.73156E-09 2.31370E-15
4.00286E-09 2.31370E-15
4.28368E-09 2.31369E-15
4.57402E-09 2.31369E-15
4.87388E-09 2.31368E-15
5.18326E-09 2.31367E-15
5.50215E-09 2.31367E-15
5.83057E-09 2.31366E-15
6.16850E-09 2.31365E-15
6.51596E-09 2.31365E-15
6.87293E-09 2.31364E-15
7.23942E-09 2.31363E-15
7.61544E-09 2.31362E-15
1.18991E-08 2.31354E-15
1.71347E-08 2.31343E-15
2.33223E-08 2.31331E-15
3.04617E-08 2.31316E-15
3.85531E-08 2.31300E-15
4.75965E-08 2.31281E-15
5.75917E-08 2.31261E-15
6.85389E-08 2.31239E-15
8.04380E-08 2.31215E-15
9.32891E-08 2.31189E-15
1.07092E-07 2.31161E-15
1.21847E-07 2.31131E-15
1.37554E-07 2.31100E-15
1.54213E-07 2.31066E-15
1.71823E-07 2.31031E-15
1.90386E-07 2.30993E-15
2.09900E-07 2.30954E-15
2.30367E-07 2.30913E-15
2.51785E-07 2.30870E-15
2.74156E-07 2.30825E-15
2.97478E-07 2.30778E-15
3.21752E-07 2.30730E-15
3.46978E-07 2.30679E-15
3.73156E-07 2.30627E-15
4.00286E-07 2.30572E-15
4.28368E-07 2.30516E-15
4.57402E-07 2.30458E-15
4.87388E-07 2.30399E-15
5.18325E-07 2.30337E-15
5.50215E-07 2.30274E-15
5.83057E-07 2.30208E-15
6.16850E-07 2.30141E-15
6.51596E-07 2.30073E-15
6.87293E-07 2.30002E-15
7.23942E-07 2.29929E-15
7.61543E-07 2.29855E-15
1.18991E-06 2.29016E-15
1.71347E-06 2.28008E-15
2.33223E-06 2.26840E-15
3.04617E-06 2.25523E-15
3.85531E-06 2.24070E-15
4.75964E-06 2.22493E-15
5.75916E-06 2.20808E-15
6.85388E-06 2.19028E-15
8.04378E-06 2.17168E-15
9.32888E-06 2.15245E-15
1.07092E-05 2.13271E-15
1.21846E-05 2.11264E-15
1.37553E-05 2.09236E-15
1.54212E-05 2.07202E-15
1.71822E-05 2.05175E-15
1.90385E-05 2.03167E-15
2.09899E-05 2.01189E-15
2.30365E-05 1.99251E-15
2.51783E-05 1.97361E-15
2.74153E-05 1.95529E-15
2.97475E-05 1.93760E-15
3.21749E-05 1.92059E-15
3.46974E-05 1.90432E-15
3.73152E-05 1.88881E-15
4.00281E-05 1.87409E-15
4.28362E-05 1.86016E-15
4.57395E-05 1.84703E-15
