 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 8.00000E+03 eV = 2.93995E+02 a.u.
 #
 # Element: Tc,  Z =  43,  atomic weight = 9.89063E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.94833E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 43
 #
 # Electron density: Read from file Data/z_043.d
 #                   Number of data points =  783
 #                   Volume integral = 4.30000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 4.80000E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.14000E-23 cm**3
 #                            Bpol = 2.22907E+01
 #
 # Total elastic cross section = 6.86826E-17 cm**2 = 2.45270E+00 a0**2
 # 1st transport cross section = 1.52030E-18 cm**2 = 5.42908E-02 a0**2
 # 2nd transport cross section = 3.38357E-18 cm**2 = 1.20829E-01 a0**2
 #
 #    Absorption cross section = 1.91632E-17 cm**2 = 6.84331E-01 a0**2
 #   Grand total cross section = 8.78558E-17 cm**2 = 3.13739E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 3.33760E-15
7.61557E-13 3.33760E-15
1.18994E-12 3.33760E-15
1.71346E-12 3.33760E-15
2.33225E-12 3.33760E-15
3.04617E-12 3.33760E-15
3.85530E-12 3.33760E-15
4.75964E-12 3.33760E-15
5.75917E-12 3.33760E-15
6.85391E-12 3.33760E-15
8.04379E-12 3.33760E-15
9.32893E-12 3.33760E-15
1.07092E-11 3.33760E-15
1.21847E-11 3.33760E-15
1.37554E-11 3.33761E-15
1.54213E-11 3.33761E-15
1.71823E-11 3.33761E-15
1.90386E-11 3.33761E-15
2.09900E-11 3.33761E-15
2.30367E-11 3.33761E-15
2.51785E-11 3.33761E-15
2.74156E-11 3.33761E-15
2.97478E-11 3.33761E-15
3.21752E-11 3.33762E-15
3.46979E-11 3.33762E-15
3.73157E-11 3.33762E-15
4.00286E-11 3.33762E-15
4.28368E-11 3.33762E-15
4.57402E-11 3.33762E-15
4.87388E-11 3.33762E-15
5.18325E-11 3.33763E-15
5.50215E-11 3.33763E-15
5.83057E-11 3.33763E-15
6.16850E-11 3.33763E-15
6.51595E-11 3.33763E-15
6.87293E-11 3.33764E-15
7.23943E-11 3.33764E-15
7.61544E-11 3.33764E-15
1.18991E-10 3.33766E-15
1.71347E-10 3.33769E-15
2.33223E-10 3.33773E-15
3.04617E-10 3.33777E-15
3.85531E-10 3.33781E-15
4.75965E-10 3.33786E-15
5.75917E-10 3.33792E-15
6.85389E-10 3.33798E-15
8.04380E-10 3.33804E-15
9.32891E-10 3.33811E-15
1.07092E-09 3.33819E-15
1.21847E-09 3.33827E-15
1.37554E-09 3.33836E-15
1.54213E-09 3.33845E-15
1.71823E-09 3.33855E-15
1.90386E-09 3.33865E-15
2.09900E-09 3.33876E-15
2.30367E-09 3.33887E-15
2.51785E-09 3.33899E-15
2.74156E-09 3.33911E-15
2.97478E-09 3.33924E-15
3.21752E-09 3.33937E-15
3.46978E-09 3.33951E-15
3.73156E-09 3.33966E-15
4.00286E-09 3.33981E-15
4.28368E-09 3.33996E-15
4.57402E-09 3.34012E-15
4.87388E-09 3.34029E-15
5.18326E-09 3.34046E-15
5.50215E-09 3.34063E-15
5.83057E-09 3.34081E-15
6.16850E-09 3.34100E-15
6.51596E-09 3.34119E-15
6.87293E-09 3.34139E-15
7.23942E-09 3.34159E-15
7.61544E-09 3.34180E-15
1.18991E-08 3.34415E-15
1.71347E-08 3.34703E-15
2.33223E-08 3.35044E-15
3.04617E-08 3.35435E-15
3.85531E-08 3.35879E-15
4.75965E-08 3.36374E-15
5.75917E-08 3.36919E-15
6.85389E-08 3.37516E-15
8.04380E-08 3.38163E-15
9.32891E-08 3.38860E-15
1.07092E-07 3.39607E-15
1.21847E-07 3.40403E-15
1.37554E-07 3.41248E-15
1.54213E-07 3.42142E-15
1.71823E-07 3.43083E-15
1.90386E-07 3.44071E-15
2.09900E-07 3.45107E-15
2.30367E-07 3.46188E-15
2.51785E-07 3.47315E-15
2.74156E-07 3.48487E-15
2.97478E-07 3.49703E-15
3.21752E-07 3.50962E-15
3.46978E-07 3.52264E-15
3.73156E-07 3.53608E-15
4.00286E-07 3.54994E-15
4.28368E-07 3.56419E-15
4.57402E-07 3.57885E-15
4.87388E-07 3.59388E-15
5.18325E-07 3.60930E-15
5.50215E-07 3.62508E-15
5.83057E-07 3.64122E-15
6.16850E-07 3.65771E-15
6.51596E-07 3.67454E-15
6.87293E-07 3.69169E-15
7.23942E-07 3.70916E-15
7.61543E-07 3.72694E-15
1.18991E-06 3.91909E-15
1.71347E-06 4.12894E-15
2.33223E-06 4.34417E-15
3.04617E-06 4.55341E-15
3.85531E-06 4.74772E-15
4.75964E-06 4.92144E-15
5.75916E-06 5.07253E-15
6.85388E-06 5.20195E-15
8.04378E-06 5.31273E-15
9.32888E-06 5.40873E-15
1.07092E-05 5.49353E-15
1.21846E-05 5.56973E-15
1.37553E-05 5.63863E-15
