 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 5.00000E+03 eV = 1.83747E+02 a.u.
 #
 # Element: Tc,  Z =  43,  atomic weight = 9.89063E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.94833E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 43
 #
 # Electron density: Read from file Data/z_043.d
 #                   Number of data points =  783
 #                   Volume integral = 4.30000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.14000E-23 cm**3
 #                            Bpol = 1.75891E+01
 #
 # Total elastic cross section = 9.96426E-17 cm**2 = 3.55830E+00 a0**2
 # 1st transport cross section = 5.04210E-18 cm**2 = 1.80057E-01 a0**2
 # 2nd transport cross section = 8.53351E-18 cm**2 = 3.04737E-01 a0**2
 #
 #    Absorption cross section = 3.04675E-17 cm**2 = 1.08801E+00 a0**2
 #   Grand total cross section = 1.30119E-16 cm**2 = 4.64662E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 1.28359E-14
7.61557E-13 1.28359E-14
1.18994E-12 1.28359E-14
1.71346E-12 1.28359E-14
2.33225E-12 1.28359E-14
3.04617E-12 1.28359E-14
3.85530E-12 1.28359E-14
4.75964E-12 1.28359E-14
5.75917E-12 1.28359E-14
6.85391E-12 1.28359E-14
8.04379E-12 1.28359E-14
9.32893E-12 1.28359E-14
1.07092E-11 1.28359E-14
1.21847E-11 1.28359E-14
1.37554E-11 1.28358E-14
1.54213E-11 1.28358E-14
1.71823E-11 1.28358E-14
1.90386E-11 1.28358E-14
2.09900E-11 1.28358E-14
2.30367E-11 1.28358E-14
2.51785E-11 1.28358E-14
2.74156E-11 1.28358E-14
2.97478E-11 1.28358E-14
3.21752E-11 1.28358E-14
3.46979E-11 1.28358E-14
3.73157E-11 1.28358E-14
4.00286E-11 1.28358E-14
4.28368E-11 1.28358E-14
4.57402E-11 1.28358E-14
4.87388E-11 1.28358E-14
5.18325E-11 1.28358E-14
5.50215E-11 1.28358E-14
5.83057E-11 1.28358E-14
6.16850E-11 1.28358E-14
6.51595E-11 1.28358E-14
6.87293E-11 1.28358E-14
7.23943E-11 1.28358E-14
7.61544E-11 1.28358E-14
1.18991E-10 1.28358E-14
1.71347E-10 1.28357E-14
2.33223E-10 1.28357E-14
3.04617E-10 1.28356E-14
3.85531E-10 1.28355E-14
4.75965E-10 1.28355E-14
5.75917E-10 1.28354E-14
6.85389E-10 1.28353E-14
8.04380E-10 1.28352E-14
9.32891E-10 1.28351E-14
1.07092E-09 1.28350E-14
1.21847E-09 1.28348E-14
1.37554E-09 1.28347E-14
1.54213E-09 1.28346E-14
1.71823E-09 1.28344E-14
1.90386E-09 1.28343E-14
2.09900E-09 1.28341E-14
2.30367E-09 1.28339E-14
2.51785E-09 1.28337E-14
2.74156E-09 1.28335E-14
2.97478E-09 1.28333E-14
3.21752E-09 1.28331E-14
3.46978E-09 1.28329E-14
3.73156E-09 1.28327E-14
4.00286E-09 1.28325E-14
4.28368E-09 1.28322E-14
4.57402E-09 1.28320E-14
4.87388E-09 1.28317E-14
5.18326E-09 1.28315E-14
5.50215E-09 1.28312E-14
5.83057E-09 1.28309E-14
6.16850E-09 1.28307E-14
6.51596E-09 1.28304E-14
6.87293E-09 1.28301E-14
7.23942E-09 1.28297E-14
7.61544E-09 1.28294E-14
1.18991E-08 1.28258E-14
1.71347E-08 1.28214E-14
2.33223E-08 1.28162E-14
3.04617E-08 1.28102E-14
3.85531E-08 1.28034E-14
4.75965E-08 1.27959E-14
5.75917E-08 1.27875E-14
6.85389E-08 1.27784E-14
8.04380E-08 1.27685E-14
9.32891E-08 1.27578E-14
1.07092E-07 1.27464E-14
1.21847E-07 1.27343E-14
1.37554E-07 1.27214E-14
1.54213E-07 1.27077E-14
1.71823E-07 1.26933E-14
1.90386E-07 1.26783E-14
2.09900E-07 1.26625E-14
2.30367E-07 1.26460E-14
2.51785E-07 1.26288E-14
2.74156E-07 1.26109E-14
2.97478E-07 1.25924E-14
3.21752E-07 1.25732E-14
3.46978E-07 1.25534E-14
3.73156E-07 1.25329E-14
4.00286E-07 1.25118E-14
4.28368E-07 1.24901E-14
4.57402E-07 1.24678E-14
4.87388E-07 1.24449E-14
5.18325E-07 1.24214E-14
5.50215E-07 1.23974E-14
5.83057E-07 1.23728E-14
6.16850E-07 1.23477E-14
6.51596E-07 1.23220E-14
6.87293E-07 1.22959E-14
7.23942E-07 1.22693E-14
7.61543E-07 1.22421E-14
1.18991E-06 1.19478E-14
1.71347E-06 1.16217E-14
2.33223E-06 1.12783E-14
3.04617E-06 1.09310E-14
3.85531E-06 1.05909E-14
4.75964E-06 1.02662E-14
5.75916E-06 9.96249E-15
6.85388E-06 9.68270E-15
8.04378E-06 9.42725E-15
9.32888E-06 9.19479E-15
1.07092E-05 8.98272E-15
1.21846E-05 8.78778E-15
1.37553E-05 8.60654E-15
1.54212E-05 8.43590E-15
1.71822E-05 8.27329E-15
1.90385E-05 8.11693E-15
2.09899E-05 7.96576E-15
2.30365E-05 7.81940E-15
2.51783E-05 7.67796E-15
2.74153E-05 7.54183E-15
2.97475E-05 7.41145E-15
3.21749E-05 7.28718E-15
3.46974E-05 7.16912E-15
3.73152E-05 7.05710E-15
4.00281E-05 6.95067E-15
4.28362E-05 6.84916E-15
4.57395E-05 6.75179E-15
4.87380E-05 6.65774E-15
5.18317E-05 6.56630E-15
5.50205E-05 6.47692E-15
5.83045E-05 6.38923E-15
6.16838E-05 6.30309E-15
6.51582E-05 6.21852E-15
6.87277E-05 6.13565E-15
7.23925E-05 6.05468E-15
7.61524E-05 5.97576E-15
9.21439E-05 5.68113E-15
1.09658E-04 5.41081E-15
