 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 9.00000E+03 eV = 3.30744E+02 a.u.
 #
 # Element: Tc,  Z =  43,  atomic weight = 9.89063E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.94833E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 43
 #
 # Electron density: Read from file Data/z_043.d
 #                   Number of data points =  783
 #                   Volume integral = 4.30000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.14000E-23 cm**3
 #                            Bpol = 2.36511E+01
 #
 # Total elastic cross section = 6.89004E-17 cm**2 = 2.46048E+00 a0**2
 # 1st transport cross section = 2.14041E-18 cm**2 = 7.64354E-02 a0**2
 # 2nd transport cross section = 4.12877E-18 cm**2 = 1.47441E-01 a0**2
 #
 #    Absorption cross section = 1.74228E-17 cm**2 = 6.22180E-01 a0**2
 #   Grand total cross section = 8.63320E-17 cm**2 = 3.08297E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 1.29386E-14
7.61557E-13 1.29386E-14
1.18994E-12 1.29386E-14
1.71346E-12 1.29386E-14
2.33225E-12 1.29386E-14
3.04617E-12 1.29386E-14
3.85530E-12 1.29386E-14
4.75964E-12 1.29386E-14
5.75917E-12 1.29386E-14
6.85391E-12 1.29386E-14
8.04379E-12 1.29386E-14
9.32893E-12 1.29386E-14
1.07092E-11 1.29386E-14
1.21847E-11 1.29386E-14
1.37554E-11 1.29386E-14
1.54213E-11 1.29386E-14
1.71823E-11 1.29385E-14
1.90386E-11 1.29385E-14
2.09900E-11 1.29385E-14
2.30367E-11 1.29385E-14
2.51785E-11 1.29385E-14
2.74156E-11 1.29385E-14
2.97478E-11 1.29385E-14
3.21752E-11 1.29385E-14
3.46979E-11 1.29385E-14
3.73157E-11 1.29385E-14
4.00286E-11 1.29385E-14
4.28368E-11 1.29385E-14
4.57402E-11 1.29385E-14
4.87388E-11 1.29385E-14
5.18325E-11 1.29385E-14
5.50215E-11 1.29385E-14
5.83057E-11 1.29385E-14
6.16850E-11 1.29385E-14
6.51595E-11 1.29385E-14
6.87293E-11 1.29385E-14
7.23943E-11 1.29385E-14
7.61544E-11 1.29385E-14
1.18991E-10 1.29384E-14
1.71347E-10 1.29383E-14
2.33223E-10 1.29382E-14
3.04617E-10 1.29381E-14
3.85531E-10 1.29380E-14
4.75965E-10 1.29379E-14
5.75917E-10 1.29377E-14
6.85389E-10 1.29376E-14
8.04380E-10 1.29374E-14
9.32891E-10 1.29372E-14
1.07092E-09 1.29370E-14
1.21847E-09 1.29368E-14
1.37554E-09 1.29365E-14
1.54213E-09 1.29363E-14
1.71823E-09 1.29360E-14
1.90386E-09 1.29358E-14
2.09900E-09 1.29355E-14
2.30367E-09 1.29352E-14
2.51785E-09 1.29349E-14
2.74156E-09 1.29345E-14
2.97478E-09 1.29342E-14
3.21752E-09 1.29338E-14
3.46978E-09 1.29335E-14
3.73156E-09 1.29331E-14
4.00286E-09 1.29327E-14
4.28368E-09 1.29323E-14
4.57402E-09 1.29318E-14
4.87388E-09 1.29314E-14
5.18326E-09 1.29309E-14
5.50215E-09 1.29305E-14
5.83057E-09 1.29300E-14
6.16850E-09 1.29295E-14
6.51596E-09 1.29290E-14
6.87293E-09 1.29284E-14
7.23942E-09 1.29279E-14
7.61544E-09 1.29273E-14
1.18991E-08 1.29210E-14
1.71347E-08 1.29133E-14
2.33223E-08 1.29043E-14
3.04617E-08 1.28938E-14
3.85531E-08 1.28821E-14
4.75965E-08 1.28689E-14
5.75917E-08 1.28545E-14
6.85389E-08 1.28387E-14
8.04380E-08 1.28216E-14
9.32891E-08 1.28033E-14
1.07092E-07 1.27837E-14
1.21847E-07 1.27629E-14
1.37554E-07 1.27408E-14
1.54213E-07 1.27176E-14
1.71823E-07 1.26932E-14
1.90386E-07 1.26676E-14
2.09900E-07 1.26410E-14
2.30367E-07 1.26133E-14
2.51785E-07 1.25845E-14
2.74156E-07 1.25547E-14
2.97478E-07 1.25239E-14
3.21752E-07 1.24921E-14
3.46978E-07 1.24594E-14
3.73156E-07 1.24259E-14
4.00286E-07 1.23914E-14
4.28368E-07 1.23561E-14
4.57402E-07 1.23201E-14
4.87388E-07 1.22832E-14
5.18325E-07 1.22457E-14
5.50215E-07 1.22074E-14
5.83057E-07 1.21685E-14
6.16850E-07 1.21290E-14
6.51596E-07 1.20888E-14
6.87293E-07 1.20482E-14
7.23942E-07 1.20070E-14
7.61543E-07 1.19653E-14
1.18991E-06 1.15301E-14
1.71347E-06 1.10834E-14
2.33223E-06 1.06522E-14
3.04617E-06 1.02549E-14
3.85531E-06 9.90069E-15
4.75964E-06 9.59096E-15
5.75916E-06 9.32125E-15
6.85388E-06 9.08386E-15
8.04378E-06 8.87021E-15
9.32888E-06 8.67280E-15
1.07092E-05 8.48633E-15
1.21846E-05 8.30806E-15
1.37553E-05 8.13739E-15
1.54212E-05 7.97509E-15
1.71822E-05 7.82226E-15
1.90385E-05 7.67962E-15
2.09899E-05 7.54699E-15
2.30365E-05 7.42326E-15
2.51783E-05 7.30664E-15
2.74153E-05 7.19514E-15
2.97475E-05 7.08699E-15
3.21749E-05 6.98103E-15
3.46974E-05 6.87680E-15
3.73152E-05 6.77445E-15
4.00281E-05 6.67444E-15
4.28362E-05 6.57729E-15
4.57395E-05 6.48326E-15
