 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.50000E+03 eV = 1.28623E+02 a.u.
 #
 # Element: Ru,  Z =  44,  atomic weight = 1.01070E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.98415E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 44
 #
 # Electron density: Read from file Data/z_044.d
 #                   Number of data points =  779
 #                   Volume integral = 4.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 9.60000E-24 cm**3
 #                            Bpol = 1.46842E+01
 #
 # Total elastic cross section = 1.20628E-16 cm**2 = 4.30770E+00 a0**2
 # 1st transport cross section = 8.51881E-18 cm**2 = 3.04212E-01 a0**2
 # 2nd transport cross section = 1.28986E-17 cm**2 = 4.60618E-01 a0**2
 #
 #    Absorption cross section = 4.12520E-17 cm**2 = 1.47314E+00 a0**2
 #   Grand total cross section = 1.61888E-16 cm**2 = 5.78111E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 1.10920E-14
7.61557E-13 1.10920E-14
1.18994E-12 1.10920E-14
1.71346E-12 1.10920E-14
2.33225E-12 1.10920E-14
3.04617E-12 1.10920E-14
3.85530E-12 1.10920E-14
4.75964E-12 1.10920E-14
5.75917E-12 1.10920E-14
6.85391E-12 1.10920E-14
8.04379E-12 1.10920E-14
9.32893E-12 1.10920E-14
1.07092E-11 1.10920E-14
1.21847E-11 1.10920E-14
1.37554E-11 1.10920E-14
1.54213E-11 1.10920E-14
1.71823E-11 1.10920E-14
1.90386E-11 1.10920E-14
2.09900E-11 1.10920E-14
2.30367E-11 1.10920E-14
2.51785E-11 1.10920E-14
2.74156E-11 1.10920E-14
2.97478E-11 1.10920E-14
3.21752E-11 1.10920E-14
3.46979E-11 1.10920E-14
3.73157E-11 1.10920E-14
4.00286E-11 1.10920E-14
4.28368E-11 1.10920E-14
4.57402E-11 1.10920E-14
4.87388E-11 1.10920E-14
5.18325E-11 1.10920E-14
5.50215E-11 1.10920E-14
5.83057E-11 1.10920E-14
6.16850E-11 1.10920E-14
6.51595E-11 1.10920E-14
6.87293E-11 1.10920E-14
7.23943E-11 1.10919E-14
7.61544E-11 1.10919E-14
1.18991E-10 1.10919E-14
1.71347E-10 1.10919E-14
2.33223E-10 1.10919E-14
3.04617E-10 1.10918E-14
3.85531E-10 1.10918E-14
4.75965E-10 1.10918E-14
5.75917E-10 1.10917E-14
6.85389E-10 1.10917E-14
8.04380E-10 1.10916E-14
9.32891E-10 1.10915E-14
1.07092E-09 1.10915E-14
1.21847E-09 1.10914E-14
1.37554E-09 1.10913E-14
1.54213E-09 1.10913E-14
1.71823E-09 1.10912E-14
1.90386E-09 1.10911E-14
2.09900E-09 1.10910E-14
2.30367E-09 1.10909E-14
2.51785E-09 1.10908E-14
2.74156E-09 1.10907E-14
2.97478E-09 1.10906E-14
3.21752E-09 1.10905E-14
3.46978E-09 1.10904E-14
3.73156E-09 1.10902E-14
4.00286E-09 1.10901E-14
4.28368E-09 1.10900E-14
4.57402E-09 1.10899E-14
4.87388E-09 1.10897E-14
5.18326E-09 1.10896E-14
5.50215E-09 1.10894E-14
5.83057E-09 1.10893E-14
6.16850E-09 1.10891E-14
6.51596E-09 1.10889E-14
6.87293E-09 1.10888E-14
7.23942E-09 1.10886E-14
7.61544E-09 1.10884E-14
1.18991E-08 1.10864E-14
1.71347E-08 1.10840E-14
2.33223E-08 1.10811E-14
3.04617E-08 1.10778E-14
3.85531E-08 1.10741E-14
4.75965E-08 1.10699E-14
5.75917E-08 1.10653E-14
6.85389E-08 1.10602E-14
8.04380E-08 1.10547E-14
9.32891E-08 1.10488E-14
1.07092E-07 1.10425E-14
1.21847E-07 1.10357E-14
1.37554E-07 1.10285E-14
1.54213E-07 1.10209E-14
1.71823E-07 1.10129E-14
1.90386E-07 1.10045E-14
2.09900E-07 1.09957E-14
2.30367E-07 1.09864E-14
2.51785E-07 1.09768E-14
2.74156E-07 1.09668E-14
2.97478E-07 1.09563E-14
3.21752E-07 1.09455E-14
3.46978E-07 1.09343E-14
3.73156E-07 1.09227E-14
4.00286E-07 1.09108E-14
4.28368E-07 1.08984E-14
4.57402E-07 1.08857E-14
4.87388E-07 1.08727E-14
5.18325E-07 1.08592E-14
5.50215E-07 1.08455E-14
5.83057E-07 1.08313E-14
6.16850E-07 1.08169E-14
6.51596E-07 1.08021E-14
6.87293E-07 1.07870E-14
7.23942E-07 1.07715E-14
7.61543E-07 1.07557E-14
1.18991E-06 1.05818E-14
1.71347E-06 1.03827E-14
2.33223E-06 1.01649E-14
3.04617E-06 9.93508E-15
3.85531E-06 9.69934E-15
4.75964E-06 9.46321E-15
5.75916E-06 9.23132E-15
6.85388E-06 9.00731E-15
8.04378E-06 8.79376E-15
9.32888E-06 8.59227E-15
1.07092E-05 8.40352E-15
1.21846E-05 8.22742E-15
1.37553E-05 8.06326E-15
1.54212E-05 7.90993E-15
1.71822E-05 7.76605E-15
1.90385E-05 7.63015E-15
2.09899E-05 7.50081E-15
2.30365E-05 7.37678E-15
2.51783E-05 7.25701E-15
2.74153E-05 7.14075E-15
2.97475E-05 7.02749E-15
3.21749E-05 6.91700E-15
3.46974E-05 6.80924E-15
3.73152E-05 6.70433E-15
4.00281E-05 6.60245E-15
4.28362E-05 6.50381E-15
4.57395E-05 6.40858E-15
4.87380E-05 6.31688E-15
5.18317E-05 6.22870E-15
5.50205E-05 6.14394E-15
5.83045E-05 6.06240E-15
6.16838E-05 5.98379E-15
6.51582E-05 5.90777E-15
6.87277E-05 5.83401E-15
7.23925E-05 5.76214E-15
7.61524E-05 5.69186E-15
9.21439E-05 5.42290E-15
1.09658E-04 5.17176E-15
1.28695E-04 4.94143E-15
1.49255E-04 4.72972E-15
1.71338E-04 4.52953E-15
1.94942E-04 4.33760E-15
2.20070E-04 4.15572E-15
2.46720E-04 3.98447E-15
2.74892E-04 3.82095E-15
3.04586E-04 3.66301E-15
3.35803E-04 3.51149E-15
3.68542E-04 3.36741E-15
4.02802E-04 3.22965E-15
4.38585E-04 3.09669E-15
4.75889E-04 2.96873E-15
5.14715E-04 2.84663E-15
5.55063E-04 2.72997E-15
5.96931E-04 2.61766E-15
6.40321E-04 2.50954E-15
6.85233E-04 2.40616E-15
7.31665E-04 2.30746E-15
7.79618E-04 2.21270E-15
8.29092E-04 2.12151E-15
8.80086E-04 2.03420E-15
9.32601E-04 1.95087E-15
9.86636E-04 1.87101E-15
1.04219E-03 1.79424E-15
1.09927E-03 1.72068E-15
1.15786E-03 1.65047E-15
1.21797E-03 1.58331E-15
1.27961E-03 1.51884E-15
1.34276E-03 1.45705E-15
1.40743E-03 1.39805E-15
1.47362E-03 1.34170E-15
1.54133E-03 1.28768E-15
1.61056E-03 1.23590E-15
1.68131E-03 1.18645E-15
1.75357E-03 1.13925E-15
1.82735E-03 1.09404E-15
1.90265E-03 1.05071E-15
1.97947E-03 1.00928E-15
2.05780E-03 9.69736E-16
2.13765E-03 9.31884E-16
2.21902E-03 8.95584E-16
2.30190E-03 8.60833E-16
2.38630E-03 8.27627E-16
2.47222E-03 7.95845E-16
2.55965E-03 7.65351E-16
2.64859E-03 7.36116E-16
2.73905E-03 7.08148E-16
2.83103E-03 6.81370E-16
2.92452E-03 6.55671E-16
3.01952E-03 6.31005E-16
3.11604E-03 6.07382E-16
3.21407E-03 5.84759E-16
