 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 4.00000E+03 eV = 1.46997E+02 a.u.
 #
 # Element: Pd,  Z =  46,  atomic weight = 1.06420E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.07059E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 46
 #
 # Electron density: Read from file Data/z_046.d
 #                   Number of data points =  763
 #                   Volume integral = 4.60000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.53690E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 4.80000E-24 cm**3
 #                            Bpol = 1.57123E+01
 #
 # Total elastic cross section = 8.87792E-17 cm**2 = 3.17036E+00 a0**2
 # 1st transport cross section = 3.67724E-18 cm**2 = 1.31316E-01 a0**2
 # 2nd transport cross section = 7.76991E-18 cm**2 = 2.77468E-01 a0**2
 #
 #    Absorption cross section = 2.59214E-17 cm**2 = 9.25669E-01 a0**2
 #   Grand total cross section = 1.14707E-16 cm**2 = 4.09626E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.60206E-15
7.61557E-13 1.60206E-15
1.18994E-12 1.60206E-15
1.71346E-12 1.60206E-15
2.33225E-12 1.60206E-15
3.04617E-12 1.60206E-15
3.85530E-12 1.60206E-15
4.75964E-12 1.60206E-15
5.75917E-12 1.60206E-15
6.85391E-12 1.60206E-15
8.04379E-12 1.60206E-15
9.32893E-12 1.60206E-15
1.07092E-11 1.60206E-15
1.21847E-11 1.60206E-15
1.37554E-11 1.60206E-15
1.54213E-11 1.60206E-15
1.71823E-11 1.60206E-15
1.90386E-11 1.60206E-15
2.09900E-11 1.60206E-15
2.30367E-11 1.60206E-15
2.51785E-11 1.60206E-15
2.74156E-11 1.60206E-15
2.97478E-11 1.60206E-15
3.21752E-11 1.60206E-15
3.46979E-11 1.60206E-15
3.73157E-11 1.60206E-15
4.00286E-11 1.60206E-15
4.28368E-11 1.60206E-15
4.57402E-11 1.60206E-15
4.87388E-11 1.60206E-15
5.18325E-11 1.60206E-15
5.50215E-11 1.60206E-15
5.83057E-11 1.60206E-15
6.16850E-11 1.60206E-15
6.51595E-11 1.60206E-15
6.87293E-11 1.60206E-15
7.23943E-11 1.60206E-15
7.61544E-11 1.60206E-15
1.18991E-10 1.60207E-15
1.71347E-10 1.60207E-15
2.33223E-10 1.60208E-15
3.04617E-10 1.60208E-15
3.85531E-10 1.60209E-15
4.75965E-10 1.60209E-15
5.75917E-10 1.60210E-15
6.85389E-10 1.60211E-15
8.04380E-10 1.60211E-15
9.32891E-10 1.60212E-15
1.07092E-09 1.60213E-15
1.21847E-09 1.60214E-15
1.37554E-09 1.60215E-15
1.54213E-09 1.60216E-15
1.71823E-09 1.60218E-15
1.90386E-09 1.60219E-15
2.09900E-09 1.60220E-15
2.30367E-09 1.60222E-15
2.51785E-09 1.60223E-15
2.74156E-09 1.60225E-15
2.97478E-09 1.60226E-15
3.21752E-09 1.60228E-15
3.46978E-09 1.60230E-15
3.73156E-09 1.60231E-15
4.00286E-09 1.60233E-15
4.28368E-09 1.60235E-15
4.57402E-09 1.60237E-15
4.87388E-09 1.60239E-15
5.18326E-09 1.60241E-15
5.50215E-09 1.60244E-15
5.83057E-09 1.60246E-15
6.16850E-09 1.60248E-15
6.51596E-09 1.60251E-15
6.87293E-09 1.60253E-15
7.23942E-09 1.60256E-15
7.61544E-09 1.60258E-15
1.18991E-08 1.60287E-15
1.71347E-08 1.60323E-15
2.33223E-08 1.60366E-15
3.04617E-08 1.60414E-15
3.85531E-08 1.60470E-15
4.75965E-08 1.60532E-15
5.75917E-08 1.60600E-15
6.85389E-08 1.60674E-15
8.04380E-08 1.60756E-15
9.32891E-08 1.60843E-15
1.07092E-07 1.60937E-15
1.21847E-07 1.61037E-15
1.37554E-07 1.61144E-15
1.54213E-07 1.61256E-15
1.71823E-07 1.61376E-15
1.90386E-07 1.61501E-15
2.09900E-07 1.61633E-15
2.30367E-07 1.61770E-15
2.51785E-07 1.61914E-15
2.74156E-07 1.62064E-15
2.97478E-07 1.62220E-15
3.21752E-07 1.62383E-15
3.46978E-07 1.62551E-15
3.73156E-07 1.62725E-15
4.00286E-07 1.62905E-15
4.28368E-07 1.63091E-15
4.57402E-07 1.63283E-15
4.87388E-07 1.63481E-15
5.18325E-07 1.63684E-15
5.50215E-07 1.63893E-15
5.83057E-07 1.64108E-15
6.16850E-07 1.64328E-15
6.51596E-07 1.64554E-15
6.87293E-07 1.64785E-15
7.23942E-07 1.65022E-15
7.61543E-07 1.65264E-15
1.18991E-06 1.67968E-15
1.71347E-06 1.71134E-15
2.33223E-06 1.74684E-15
3.04617E-06 1.78530E-15
3.85531E-06 1.82579E-15
4.75964E-06 1.86736E-15
5.75916E-06 1.90913E-15
6.85388E-06 1.95030E-15
8.04378E-06 1.99022E-15
9.32888E-06 2.02839E-15
1.07092E-05 2.06450E-15
1.21846E-05 2.09839E-15
1.37553E-05 2.13008E-15
1.54212E-05 2.15968E-15
1.71822E-05 2.18740E-15
1.90385E-05 2.21350E-15
2.09899E-05 2.23823E-15
2.30365E-05 2.26182E-15
2.51783E-05 2.28446E-15
2.74153E-05 2.30625E-15
2.97475E-05 2.32726E-15
3.21749E-05 2.34747E-15
3.46974E-05 2.36684E-15
3.73152E-05 2.38526E-15
4.00281E-05 2.40265E-15
4.28362E-05 2.41890E-15
4.57395E-05 2.43394E-15
4.87380E-05 2.44771E-15
5.18317E-05 2.46021E-15
5.50205E-05 2.47147E-15
5.83045E-05 2.48155E-15
6.16838E-05 2.49053E-15
6.51582E-05 2.49852E-15
6.87277E-05 2.50563E-15
7.23925E-05 2.51194E-15
7.61524E-05 2.51754E-15
9.21439E-05 2.53356E-15
1.09658E-04 2.53899E-15
1.28695E-04 2.53293E-15
1.49255E-04 2.51730E-15
1.71338E-04 2.49503E-15
1.94942E-04 2.46694E-15
2.20070E-04 2.43264E-15
2.46720E-04 2.39308E-15
2.74892E-04 2.35005E-15
3.04586E-04 2.30428E-15
3.35803E-04 2.25554E-15
3.68542E-04 2.20429E-15
4.02802E-04 2.15164E-15
4.38585E-04 2.09814E-15
4.75889E-04 2.04364E-15
5.14715E-04 1.98832E-15
5.55063E-04 1.93288E-15
5.96931E-04 1.87772E-15
6.40321E-04 1.82272E-15
6.85233E-04 1.76791E-15
7.31665E-04 1.71370E-15
7.79618E-04 1.66039E-15
8.29092E-04 1.60791E-15
8.80086E-04 1.55618E-15
9.32601E-04 1.50546E-15
9.86636E-04 1.45594E-15
1.04219E-03 1.40757E-15
1.09927E-03 1.36023E-15
1.15786E-03 1.31406E-15
1.21797E-03 1.26921E-15
1.27961E-03 1.22561E-15
1.34276E-03 1.18316E-15
1.40743E-03 1.14191E-15
1.47362E-03 1.10196E-15
1.54133E-03 1.06327E-15
1.61056E-03 1.02572E-15
1.68131E-03 9.89329E-16
1.75357E-03 9.54152E-16
1.82735E-03 9.20162E-16
1.90265E-03 8.87260E-16
1.97947E-03 8.55425E-16
2.05780E-03 8.24699E-16
2.13765E-03 7.95057E-16
2.21902E-03 7.66417E-16
2.30190E-03 7.38743E-16
2.38630E-03 7.12058E-16
2.47222E-03 6.86346E-16
2.55965E-03 6.61539E-16
2.64859E-03 6.37594E-16
2.73905E-03 6.14523E-16
2.83103E-03 5.92315E-16
2.92452E-03 5.70913E-16
3.01952E-03 5.50276E-16
3.11604E-03 5.30403E-16
3.21407E-03 5.11289E-16
3.31362E-03 4.92887E-16
3.41468E-03 4.75158E-16
3.51725E-03 4.58096E-16
3.62133E-03 4.41694E-16
3.72692E-03 4.25918E-16
3.83403E-03 4.10729E-16
3.94265E-03 3.96119E-16
4.05278E-03 3.82080E-16
4.16442E-03 3.68586E-16
4.27757E-03 3.55603E-16
4.39223E-03 3.43118E-16
4.50840E-03 3.31125E-16
4.62608E-03 3.19602E-16
4.74527E-03 3.08521E-16
4.86597E-03 2.97866E-16
4.98817E-03 2.87631E-16
5.11188E-03 2.77801E-16
5.23711E-03 2.68349E-16
5.36383E-03 2.59261E-16
5.49207E-03 2.50530E-16
5.62181E-03 2.42144E-16
5.75306E-03 2.34081E-16
5.88581E-03 2.26328E-16
6.02007E-03 2.18877E-16
6.15583E-03 2.11718E-16
6.29310E-03 2.04834E-16
6.43187E-03 1.98213E-16
6.57214E-03 1.91848E-16
6.71392E-03 1.85729E-16
6.85720E-03 1.79845E-16
7.00198E-03 1.74183E-16
