 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.00000E+03 eV = 1.10248E+02 a.u.
 #
 # Element: Pd,  Z =  46,  atomic weight = 1.06420E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.07059E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 46
 #
 # Electron density: Read from file Data/z_046.d
 #                   Number of data points =  763
 #                   Volume integral = 4.60000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 4.80000E-24 cm**3
 #                            Bpol = 1.35785E+01
 #
 # Total elastic cross section = 1.15270E-16 cm**2 = 4.11637E+00 a0**2
 # 1st transport cross section = 1.10816E-17 cm**2 = 3.95731E-01 a0**2
 # 2nd transport cross section = 1.55903E-17 cm**2 = 5.56741E-01 a0**2
 #
 #    Absorption cross section = 3.55746E-17 cm**2 = 1.27039E+00 a0**2
 #   Grand total cross section = 1.50850E-16 cm**2 = 5.38694E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 5.34704E-15
7.61557E-13 5.34704E-15
1.18994E-12 5.34704E-15
1.71346E-12 5.34704E-15
2.33225E-12 5.34704E-15
3.04617E-12 5.34704E-15
3.85530E-12 5.34704E-15
4.75964E-12 5.34704E-15
5.75917E-12 5.34704E-15
6.85391E-12 5.34704E-15
8.04379E-12 5.34704E-15
9.32893E-12 5.34704E-15
1.07092E-11 5.34704E-15
1.21847E-11 5.34704E-15
1.37554E-11 5.34704E-15
1.54213E-11 5.34704E-15
1.71823E-11 5.34704E-15
1.90386E-11 5.34704E-15
2.09900E-11 5.34704E-15
2.30367E-11 5.34704E-15
2.51785E-11 5.34704E-15
2.74156E-11 5.34704E-15
2.97478E-11 5.34704E-15
3.21752E-11 5.34704E-15
3.46979E-11 5.34704E-15
3.73157E-11 5.34703E-15
4.00286E-11 5.34703E-15
4.28368E-11 5.34703E-15
4.57402E-11 5.34703E-15
4.87388E-11 5.34703E-15
5.18325E-11 5.34703E-15
5.50215E-11 5.34703E-15
5.83057E-11 5.34703E-15
6.16850E-11 5.34703E-15
6.51595E-11 5.34703E-15
6.87293E-11 5.34703E-15
7.23943E-11 5.34703E-15
7.61544E-11 5.34703E-15
1.18991E-10 5.34702E-15
1.71347E-10 5.34702E-15
2.33223E-10 5.34701E-15
3.04617E-10 5.34700E-15
3.85531E-10 5.34699E-15
4.75965E-10 5.34698E-15
5.75917E-10 5.34696E-15
6.85389E-10 5.34695E-15
8.04380E-10 5.34693E-15
9.32891E-10 5.34692E-15
1.07092E-09 5.34690E-15
1.21847E-09 5.34688E-15
1.37554E-09 5.34686E-15
1.54213E-09 5.34683E-15
1.71823E-09 5.34681E-15
1.90386E-09 5.34679E-15
2.09900E-09 5.34676E-15
2.30367E-09 5.34673E-15
2.51785E-09 5.34670E-15
2.74156E-09 5.34668E-15
2.97478E-09 5.34664E-15
3.21752E-09 5.34661E-15
3.46978E-09 5.34658E-15
3.73156E-09 5.34654E-15
4.00286E-09 5.34651E-15
4.28368E-09 5.34647E-15
4.57402E-09 5.34643E-15
4.87388E-09 5.34639E-15
5.18326E-09 5.34635E-15
5.50215E-09 5.34631E-15
5.83057E-09 5.34626E-15
6.16850E-09 5.34622E-15
6.51596E-09 5.34617E-15
6.87293E-09 5.34613E-15
7.23942E-09 5.34608E-15
7.61544E-09 5.34603E-15
1.18991E-08 5.34546E-15
1.71347E-08 5.34476E-15
2.33223E-08 5.34394E-15
3.04617E-08 5.34300E-15
3.85531E-08 5.34192E-15
4.75965E-08 5.34073E-15
5.75917E-08 5.33940E-15
6.85389E-08 5.33796E-15
8.04380E-08 5.33639E-15
9.32891E-08 5.33470E-15
1.07092E-07 5.33288E-15
1.21847E-07 5.33094E-15
