 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 9.00000E+03 eV = 3.30744E+02 a.u.
 #
 # Element: Pd,  Z =  46,  atomic weight = 1.06420E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.07059E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 46
 #
 # Electron density: Read from file Data/z_046.d
 #                   Number of data points =  763
 #                   Volume integral = 4.60000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 4.80000E-24 cm**3
 #                            Bpol = 2.36511E+01
 #
 # Total elastic cross section = 6.23850E-17 cm**2 = 2.22781E+00 a0**2
 # 1st transport cross section = 2.35919E-18 cm**2 = 8.42482E-02 a0**2
 # 2nd transport cross section = 4.45427E-18 cm**2 = 1.59065E-01 a0**2
 #
 #    Absorption cross section = 1.27739E-17 cm**2 = 4.56164E-01 a0**2
 #   Grand total cross section = 7.51652E-17 cm**2 = 2.68420E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 5.98567E-15
7.61557E-13 5.98567E-15
1.18994E-12 5.98567E-15
1.71346E-12 5.98567E-15
2.33225E-12 5.98567E-15
3.04617E-12 5.98567E-15
3.85530E-12 5.98567E-15
4.75964E-12 5.98567E-15
5.75917E-12 5.98567E-15
6.85391E-12 5.98567E-15
8.04379E-12 5.98567E-15
9.32893E-12 5.98567E-15
1.07092E-11 5.98567E-15
1.21847E-11 5.98567E-15
1.37554E-11 5.98567E-15
1.54213E-11 5.98566E-15
1.71823E-11 5.98566E-15
1.90386E-11 5.98566E-15
2.09900E-11 5.98566E-15
2.30367E-11 5.98566E-15
2.51785E-11 5.98566E-15
2.74156E-11 5.98566E-15
2.97478E-11 5.98566E-15
3.21752E-11 5.98566E-15
3.46979E-11 5.98566E-15
3.73157E-11 5.98566E-15
4.00286E-11 5.98565E-15
4.28368E-11 5.98565E-15
4.57402E-11 5.98565E-15
4.87388E-11 5.98565E-15
5.18325E-11 5.98565E-15
5.50215E-11 5.98565E-15
5.83057E-11 5.98565E-15
6.16850E-11 5.98565E-15
6.51595E-11 5.98564E-15
6.87293E-11 5.98564E-15
7.23943E-11 5.98564E-15
7.61544E-11 5.98564E-15
1.18991E-10 5.98562E-15
1.71347E-10 5.98560E-15
2.33223E-10 5.98558E-15
3.04617E-10 5.98555E-15
3.85531E-10 5.98551E-15
4.75965E-10 5.98548E-15
5.75917E-10 5.98543E-15
6.85389E-10 5.98539E-15
8.04380E-10 5.98534E-15
9.32891E-10 5.98529E-15
1.07092E-09 5.98523E-15
1.21847E-09 5.98517E-15
1.37554E-09 5.98511E-15
1.54213E-09 5.98504E-15
1.71823E-09 5.98496E-15
1.90386E-09 5.98489E-15
2.09900E-09 5.98481E-15
2.30367E-09 5.98472E-15
2.51785E-09 5.98464E-15
2.74156E-09 5.98454E-15
2.97478E-09 5.98445E-15
3.21752E-09 5.98435E-15
3.46978E-09 5.98425E-15
3.73156E-09 5.98414E-15
4.00286E-09 5.98403E-15
4.28368E-09 5.98391E-15
4.57402E-09 5.98379E-15
4.87388E-09 5.98367E-15
5.18326E-09 5.98354E-15
5.50215E-09 5.98341E-15
5.83057E-09 5.98328E-15
6.16850E-09 5.98314E-15
6.51596E-09 5.98299E-15
6.87293E-09 5.98285E-15
7.23942E-09 5.98270E-15
7.61544E-09 5.98254E-15
1.18991E-08 5.98079E-15
1.71347E-08 5.97865E-15
2.33223E-08 5.97612E-15
3.04617E-08 5.97321E-15
3.85531E-08 5.96992E-15
4.75965E-08 5.96625E-15
5.75917E-08 5.96221E-15
6.85389E-08 5.95780E-15
8.04380E-08 5.95303E-15
9.32891E-08 5.94789E-15
1.07092E-07 5.94240E-15
