 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.75000E+03 eV = 6.43113E+01 a.u.
 #
 # Element: Ag,  Z =  47,  atomic weight = 1.07868E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.09348E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 47
 #
 # Electron density: Read from file Data/z_047.d
 #                   Number of data points =  813
 #                   Volume integral = 4.70000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 7.76200E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 7.20000E-24 cm**3
 #                            Bpol = 1.03078E+01
 #
 # Total elastic cross section = 1.32274E-16 cm**2 = 4.72358E+00 a0**2
 # 1st transport cross section = 8.62965E-18 cm**2 = 3.08170E-01 a0**2
 # 2nd transport cross section = 1.74538E-17 cm**2 = 6.23288E-01 a0**2
 #
 #    Absorption cross section = 6.91348E-17 cm**2 = 2.46885E+00 a0**2
 #   Grand total cross section = 2.01416E-16 cm**2 = 7.19269E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.35460E-15
7.61557E-13 1.35460E-15
1.18994E-12 1.35460E-15
1.71346E-12 1.35460E-15
2.33225E-12 1.35460E-15
3.04617E-12 1.35460E-15
3.85530E-12 1.35460E-15
4.75964E-12 1.35460E-15
5.75917E-12 1.35460E-15
6.85391E-12 1.35460E-15
8.04379E-12 1.35460E-15
9.32893E-12 1.35460E-15
1.07092E-11 1.35460E-15
1.21847E-11 1.35460E-15
1.37554E-11 1.35460E-15
1.54213E-11 1.35460E-15
1.71823E-11 1.35460E-15
1.90386E-11 1.35460E-15
2.09900E-11 1.35460E-15
2.30367E-11 1.35460E-15
2.51785E-11 1.35460E-15
2.74156E-11 1.35460E-15
2.97478E-11 1.35460E-15
3.21752E-11 1.35460E-15
3.46979E-11 1.35460E-15
3.73157E-11 1.35460E-15
4.00286E-11 1.35460E-15
4.28368E-11 1.35460E-15
4.57402E-11 1.35460E-15
4.87388E-11 1.35460E-15
5.18325E-11 1.35460E-15
5.50215E-11 1.35460E-15
5.83057E-11 1.35460E-15
6.16850E-11 1.35460E-15
6.51595E-11 1.35460E-15
6.87293E-11 1.35460E-15
7.23943E-11 1.35460E-15
7.61544E-11 1.35460E-15
1.18991E-10 1.35460E-15
1.71347E-10 1.35460E-15
2.33223E-10 1.35460E-15
3.04617E-10 1.35461E-15
3.85531E-10 1.35461E-15
4.75965E-10 1.35461E-15
5.75917E-10 1.35461E-15
6.85389E-10 1.35461E-15
8.04380E-10 1.35462E-15
9.32891E-10 1.35462E-15
1.07092E-09 1.35462E-15
1.21847E-09 1.35462E-15
1.37554E-09 1.35463E-15
1.54213E-09 1.35463E-15
1.71823E-09 1.35464E-15
1.90386E-09 1.35464E-15
2.09900E-09 1.35464E-15
2.30367E-09 1.35465E-15
2.51785E-09 1.35465E-15
2.74156E-09 1.35466E-15
2.97478E-09 1.35466E-15
3.21752E-09 1.35467E-15
3.46978E-09 1.35467E-15
3.73156E-09 1.35468E-15
4.00286E-09 1.35468E-15
4.28368E-09 1.35469E-15
4.57402E-09 1.35470E-15
4.87388E-09 1.35470E-15
5.18326E-09 1.35471E-15
5.50215E-09 1.35472E-15
5.83057E-09 1.35472E-15
6.16850E-09 1.35473E-15
6.51596E-09 1.35474E-15
6.87293E-09 1.35475E-15
7.23942E-09 1.35475E-15
7.61544E-09 1.35476E-15
1.18991E-08 1.35485E-15
1.71347E-08 1.35497E-15
2.33223E-08 1.35510E-15
3.04617E-08 1.35525E-15
3.85531E-08 1.35543E-15
4.75965E-08 1.35562E-15
5.75917E-08 1.35584E-15
6.85389E-08 1.35607E-15
8.04380E-08 1.35633E-15
9.32891E-08 1.35661E-15
1.07092E-07 1.35690E-15
1.21847E-07 1.35722E-15
1.37554E-07 1.35756E-15
1.54213E-07 1.35792E-15
1.71823E-07 1.35830E-15
1.90386E-07 1.35870E-15
2.09900E-07 1.35912E-15
2.30367E-07 1.35956E-15
2.51785E-07 1.36002E-15
2.74156E-07 1.36050E-15
2.97478E-07 1.36100E-15
3.21752E-07 1.36153E-15
3.46978E-07 1.36207E-15
3.73156E-07 1.36264E-15
4.00286E-07 1.36322E-15
4.28368E-07 1.36383E-15
4.57402E-07 1.36445E-15
4.87388E-07 1.36510E-15
5.18325E-07 1.36577E-15
5.50215E-07 1.36646E-15
5.83057E-07 1.36717E-15
6.16850E-07 1.36790E-15
6.51596E-07 1.36865E-15
6.87293E-07 1.36942E-15
7.23942E-07 1.37021E-15
7.61543E-07 1.37103E-15
1.18991E-06 1.38030E-15
1.71347E-06 1.39165E-15
2.33223E-06 1.40504E-15
3.04617E-06 1.42046E-15
3.85531E-06 1.43781E-15
4.75964E-06 1.45702E-15
5.75916E-06 1.47795E-15
6.85388E-06 1.50042E-15
8.04378E-06 1.52426E-15
9.32888E-06 1.54924E-15
1.07092E-05 1.57512E-15
1.21846E-05 1.60166E-15
1.37553E-05 1.62860E-15
1.54212E-05 1.65570E-15
1.71822E-05 1.68274E-15
1.90385E-05 1.70951E-15
2.09899E-05 1.73583E-15
2.30365E-05 1.76156E-15
2.51783E-05 1.78658E-15
2.74153E-05 1.81083E-15
2.97475E-05 1.83427E-15
3.21749E-05 1.85687E-15
3.46974E-05 1.87866E-15
3.73152E-05 1.89967E-15
4.00281E-05 1.91995E-15
4.28362E-05 1.93957E-15
4.57395E-05 1.95858E-15
4.87380E-05 1.97706E-15
5.18317E-05 1.99507E-15
5.50205E-05 2.01264E-15
5.83045E-05 2.02983E-15
6.16838E-05 2.04666E-15
6.51582E-05 2.06314E-15
6.87277E-05 2.07927E-15
7.23925E-05 2.09503E-15
7.61524E-05 2.11040E-15
9.21439E-05 2.16720E-15
1.09658E-04 2.21451E-15
1.28695E-04 2.25081E-15
1.49255E-04 2.27673E-15
1.71338E-04 2.29428E-15
1.94942E-04 2.30530E-15
2.20070E-04 2.31034E-15
2.46720E-04 2.30894E-15
2.74892E-04 2.30071E-15
3.04586E-04 2.28607E-15
3.35803E-04 2.26627E-15
3.68542E-04 2.24262E-15
4.02802E-04 2.21584E-15
4.38585E-04 2.18600E-15
4.75889E-04 2.15296E-15
5.14715E-04 2.11691E-15
5.55063E-04 2.07854E-15
5.96931E-04 2.03868E-15
6.40321E-04 1.99790E-15
6.85233E-04 1.95632E-15
7.31665E-04 1.91387E-15
