 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 7.00000E+02 eV = 2.57245E+01 a.u.
 #
 # Element: In,  Z =  49,  atomic weight = 1.14818E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.20060E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 49
 #
 # Electron density: Read from file Data/z_049.d
 #                   Number of data points =  841
 #                   Volume integral = 4.90000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.02000E-23 cm**3
 #                            Bpol = 6.37377E+00
 #
 # Total elastic cross section = 2.03401E-16 cm**2 = 7.26359E+00 a0**2
 # 1st transport cross section = 1.89475E-17 cm**2 = 6.76628E-01 a0**2
 # 2nd transport cross section = 3.53307E-17 cm**2 = 1.26168E+00 a0**2
 #
 #    Absorption cross section = 1.98067E-16 cm**2 = 7.07309E+00 a0**2
 #   Grand total cross section = 4.01476E-16 cm**2 = 1.43370E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.91332E-15
7.61557E-13 1.91332E-15
1.18994E-12 1.91332E-15
1.71346E-12 1.91332E-15
2.33225E-12 1.91332E-15
3.04617E-12 1.91332E-15
3.85530E-12 1.91332E-15
4.75964E-12 1.91332E-15
5.75917E-12 1.91332E-15
6.85391E-12 1.91332E-15
8.04379E-12 1.91332E-15
9.32893E-12 1.91332E-15
1.07092E-11 1.91332E-15
1.21847E-11 1.91332E-15
1.37554E-11 1.91332E-15
1.54213E-11 1.91332E-15
1.71823E-11 1.91332E-15
1.90386E-11 1.91332E-15
2.09900E-11 1.91332E-15
2.30367E-11 1.91332E-15
2.51785E-11 1.91332E-15
2.74156E-11 1.91332E-15
2.97478E-11 1.91332E-15
3.21752E-11 1.91332E-15
3.46979E-11 1.91332E-15
3.73157E-11 1.91332E-15
4.00286E-11 1.91332E-15
4.28368E-11 1.91332E-15
4.57402E-11 1.91332E-15
4.87388E-11 1.91332E-15
5.18325E-11 1.91332E-15
5.50215E-11 1.91332E-15
5.83057E-11 1.91332E-15
6.16850E-11 1.91332E-15
6.51595E-11 1.91332E-15
6.87293E-11 1.91332E-15
7.23943E-11 1.91332E-15
7.61544E-11 1.91332E-15
1.18991E-10 1.91332E-15
1.71347E-10 1.91332E-15
2.33223E-10 1.91332E-15
3.04617E-10 1.91332E-15
3.85531E-10 1.91332E-15
4.75965E-10 1.91332E-15
5.75917E-10 1.91332E-15
6.85389E-10 1.91332E-15
8.04380E-10 1.91332E-15
9.32891E-10 1.91332E-15
1.07092E-09 1.91332E-15
1.21847E-09 1.91331E-15
1.37554E-09 1.91331E-15
1.54213E-09 1.91331E-15
1.71823E-09 1.91331E-15
1.90386E-09 1.91331E-15
2.09900E-09 1.91331E-15
2.30367E-09 1.91331E-15
2.51785E-09 1.91330E-15
2.74156E-09 1.91330E-15
2.97478E-09 1.91330E-15
3.21752E-09 1.91330E-15
3.46978E-09 1.91330E-15
3.73156E-09 1.91329E-15
4.00286E-09 1.91329E-15
4.28368E-09 1.91329E-15
4.57402E-09 1.91329E-15
4.87388E-09 1.91328E-15
5.18326E-09 1.91328E-15
5.50215E-09 1.91328E-15
5.83057E-09 1.91328E-15
6.16850E-09 1.91327E-15
6.51596E-09 1.91327E-15
6.87293E-09 1.91327E-15
7.23942E-09 1.91326E-15
7.61544E-09 1.91326E-15
1.18991E-08 1.91323E-15
1.71347E-08 1.91318E-15
2.33223E-08 1.91313E-15
3.04617E-08 1.91307E-15
3.85531E-08 1.91300E-15
4.75965E-08 1.91293E-15
5.75917E-08 1.91285E-15
6.85389E-08 1.91275E-15
8.04380E-08 1.91266E-15
9.32891E-08 1.91255E-15
1.07092E-07 1.91244E-15
1.21847E-07 1.91231E-15
1.37554E-07 1.91218E-15
1.54213E-07 1.91205E-15
1.71823E-07 1.91190E-15
1.90386E-07 1.91175E-15
2.09900E-07 1.91159E-15
2.30367E-07 1.91142E-15
2.51785E-07 1.91125E-15
2.74156E-07 1.91107E-15
2.97478E-07 1.91088E-15
3.21752E-07 1.91068E-15
3.46978E-07 1.91048E-15
3.73156E-07 1.91027E-15
4.00286E-07 1.91005E-15
4.28368E-07 1.90983E-15
4.57402E-07 1.90959E-15
4.87388E-07 1.90935E-15
5.18325E-07 1.90911E-15
5.50215E-07 1.90886E-15
5.83057E-07 1.90860E-15
6.16850E-07 1.90833E-15
6.51596E-07 1.90806E-15
6.87293E-07 1.90778E-15
7.23942E-07 1.90750E-15
7.61543E-07 1.90721E-15
1.18991E-06 1.90397E-15
1.71347E-06 1.90020E-15
2.33223E-06 1.89600E-15
3.04617E-06 1.89150E-15
3.85531E-06 1.88681E-15
4.75964E-06 1.88207E-15
5.75916E-06 1.87739E-15
6.85388E-06 1.87291E-15
8.04378E-06 1.86873E-15
9.32888E-06 1.86498E-15
1.07092E-05 1.86175E-15
1.21846E-05 1.85912E-15
1.37553E-05 1.85716E-15
1.54212E-05 1.85592E-15
1.71822E-05 1.85544E-15
1.90385E-05 1.85573E-15
2.09899E-05 1.85681E-15
2.30365E-05 1.85865E-15
2.51783E-05 1.86125E-15
2.74153E-05 1.86455E-15
2.97475E-05 1.86852E-15
3.21749E-05 1.87311E-15
3.46974E-05 1.87825E-15
3.73152E-05 1.88390E-15
4.00281E-05 1.88998E-15
4.28362E-05 1.89645E-15
4.57395E-05 1.90323E-15
4.87380E-05 1.91027E-15
5.18317E-05 1.91753E-15
5.50205E-05 1.92496E-15
5.83045E-05 1.93251E-15
6.16838E-05 1.94015E-15
6.51582E-05 1.94786E-15
6.87277E-05 1.95560E-15
7.23925E-05 1.96337E-15
7.61524E-05 1.97116E-15
9.21439E-05 2.00230E-15
1.09658E-04 2.03354E-15
1.28695E-04 2.06506E-15
1.49255E-04 2.09671E-15
1.71338E-04 2.12780E-15
1.94942E-04 2.15721E-15
2.20070E-04 2.18373E-15
2.46720E-04 2.20648E-15
2.74892E-04 2.22511E-15
3.04586E-04 2.23982E-15
3.35803E-04 2.25110E-15
3.68542E-04 2.25946E-15
4.02802E-04 2.26517E-15
4.38585E-04 2.26818E-15
4.75889E-04 2.26820E-15
5.14715E-04 2.26489E-15
5.55063E-04 2.25810E-15
5.96931E-04 2.24793E-15
6.40321E-04 2.23475E-15
6.85233E-04 2.21903E-15
7.31665E-04 2.20124E-15
7.79618E-04 2.18167E-15
8.29092E-04 2.16042E-15
8.80086E-04 2.13742E-15
9.32601E-04 2.11261E-15
9.86636E-04 2.08598E-15
1.04219E-03 2.05768E-15
1.09927E-03 2.02799E-15
1.15786E-03 1.99725E-15
1.21797E-03 1.96578E-15
1.27961E-03 1.93376E-15
1.34276E-03 1.90127E-15
1.40743E-03 1.86829E-15
1.47362E-03 1.83477E-15
1.54133E-03 1.80075E-15
1.61056E-03 1.76629E-15
1.68131E-03 1.73159E-15
1.75357E-03 1.69684E-15
1.82735E-03 1.66221E-15
1.90265E-03 1.62780E-15
1.97947E-03 1.59364E-15
2.05780E-03 1.55970E-15
2.13765E-03 1.52593E-15
2.21902E-03 1.49233E-15
2.30190E-03 1.45895E-15
2.38630E-03 1.42587E-15
2.47222E-03 1.39321E-15
2.55965E-03 1.36106E-15
2.64859E-03 1.32946E-15
2.73905E-03 1.29839E-15
2.83103E-03 1.26783E-15
2.92452E-03 1.23773E-15
3.01952E-03 1.20806E-15
3.11604E-03 1.17886E-15
3.21407E-03 1.15015E-15
3.31362E-03 1.12200E-15
3.41468E-03 1.09445E-15
3.51725E-03 1.06751E-15
3.62133E-03 1.04116E-15
3.72692E-03 1.01537E-15
3.83403E-03 9.90106E-16
3.94265E-03 9.65335E-16
4.05278E-03 9.41065E-16
4.16442E-03 9.17318E-16
4.27757E-03 8.94122E-16
4.39223E-03 8.71495E-16
4.50840E-03 8.49439E-16
4.62608E-03 8.27934E-16
4.74527E-03 8.06947E-16
4.86597E-03 7.86448E-16
4.98817E-03 7.66419E-16
5.11188E-03 7.46857E-16
5.23711E-03 7.27773E-16
5.36383E-03 7.09180E-16
5.49207E-03 6.91087E-16
5.62181E-03 6.73487E-16
5.75306E-03 6.56364E-16
5.88581E-03 6.39692E-16
6.02007E-03 6.23448E-16
6.15583E-03 6.07615E-16
6.29310E-03 5.92189E-16
6.43187E-03 5.77174E-16
6.57214E-03 5.62575E-16
6.71392E-03 5.48393E-16
6.85720E-03 5.34621E-16
7.00198E-03 5.21243E-16
7.14827E-03 5.08240E-16
7.29605E-03 4.95592E-16
7.44534E-03 4.83286E-16
7.59612E-03 4.71316E-16
7.97965E-03 4.42861E-16
8.37255E-03 4.16457E-16
8.77480E-03 3.91908E-16
9.18641E-03 3.69037E-16
9.60736E-03 3.47783E-16
1.00376E-02 3.28039E-16
1.04773E-02 3.09637E-16
1.09262E-02 2.92471E-16
1.13844E-02 2.76484E-16
1.18520E-02 2.61562E-16
1.23288E-02 2.47595E-16
1.28150E-02 2.34526E-16
1.33104E-02 2.22296E-16
1.38150E-02 2.10823E-16
1.43290E-02 2.00046E-16
1.48521E-02 1.89929E-16
1.53845E-02 1.80424E-16
1.59262E-02 1.71480E-16
1.64770E-02 1.63065E-16
1.70371E-02 1.55150E-16
1.76063E-02 1.47698E-16
1.81848E-02 1.40680E-16
1.87724E-02 1.34073E-16
1.93692E-02 1.27848E-16
1.99751E-02 1.21983E-16
2.05901E-02 1.16455E-16
2.12143E-02 1.11241E-16
2.18476E-02 1.06320E-16
2.24900E-02 1.01675E-16
2.31415E-02 9.72865E-17
2.38021E-02 9.31335E-17
2.44717E-02 8.92037E-17
2.51504E-02 8.54846E-17
2.58382E-02 8.19570E-17
2.65349E-02 7.86078E-17
2.72407E-02 7.54316E-17
2.79555E-02 7.24167E-17
2.86793E-02 6.95476E-17
2.94120E-02 6.68197E-17
3.01537E-02 6.42303E-17
3.09043E-02 6.17669E-17
3.16639E-02 5.94198E-17
3.24324E-02 5.71897E-17
3.32098E-02 5.50723E-17
3.39961E-02 5.30549E-17
3.47912E-02 5.11338E-17
3.55952E-02 4.93108E-17
3.64081E-02 4.75779E-17
3.72297E-02 4.59245E-17
3.80602E-02 4.43514E-17
3.88995E-02 4.28584E-17
3.97476E-02 4.14347E-17
4.06044E-02 4.00743E-17
4.14700E-02 3.87803E-17
4.23443E-02 3.75488E-17
4.32273E-02 3.63697E-17
4.41190E-02 3.52418E-17
4.50194E-02 3.41681E-17
4.59284E-02 3.31420E-17
4.68461E-02 3.21563E-17
4.87074E-02 3.03151E-17
5.06030E-02 2.86234E-17
5.25328E-02 2.70745E-17
5.44967E-02 2.56457E-17
5.64946E-02 2.43369E-17
5.85262E-02 2.31255E-17
6.05914E-02 2.20129E-17
6.26901E-02 2.09795E-17
6.48222E-02 2.00250E-17
6.69873E-02 1.91358E-17
6.91854E-02 1.83085E-17
7.14163E-02 1.75365E-17
7.36799E-02 1.68132E-17
7.59760E-02 1.61379E-17
7.83043E-02 1.55014E-17
8.06647E-02 1.49065E-17
8.30571E-02 1.43430E-17
8.54812E-02 1.38150E-17
8.79369E-02 1.33129E-17
9.04240E-02 1.28403E-17
9.29422E-02 1.23898E-17
9.54915E-02 1.19637E-17
9.80716E-02 1.15573E-17
1.00682E-01 1.11713E-17
1.03323E-01 1.08034E-17
1.05995E-01 1.04525E-17
1.08696E-01 1.01184E-17
1.11427E-01 9.79827E-18
1.14188E-01 9.49328E-18
1.16978E-01 9.19988E-18
1.19797E-01 8.91995E-18
1.22645E-01 8.64978E-18
1.25522E-01 8.39171E-18
1.28428E-01 8.14234E-18
1.31361E-01 7.90404E-18
1.34323E-01 7.67387E-18
1.37313E-01 7.45389E-18
1.40330E-01 7.24159E-18
1.43375E-01 7.03846E-18
1.46447E-01 6.84240E-18
1.49545E-01 6.65436E-18
1.52671E-01 6.47267E-18
1.55823E-01 6.29789E-18
1.59001E-01 6.12886E-18
1.62205E-01 5.96593E-18
1.65435E-01 5.80841E-18
