 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 8.00000E+03 eV = 2.93995E+02 a.u.
 #
 # Element: In,  Z =  49,  atomic weight = 1.14818E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.20060E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 49
 #
 # Electron density: Read from file Data/z_049.d
 #                   Number of data points =  841
 #                   Volume integral = 4.90000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.02000E-23 cm**3
 #                            Bpol = 2.22907E+01
 #
 # Total elastic cross section = 7.33879E-17 cm**2 = 2.62073E+00 a0**2
 # 1st transport cross section = 1.75570E-18 cm**2 = 6.26970E-02 a0**2
 # 2nd transport cross section = 3.87097E-18 cm**2 = 1.38235E-01 a0**2
 #
 #    Absorption cross section = 2.05439E-17 cm**2 = 7.33636E-01 a0**2
 #   Grand total cross section = 9.39419E-17 cm**2 = 3.35473E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 3.93663E-15
7.61557E-13 3.93663E-15
1.18994E-12 3.93663E-15
1.71346E-12 3.93663E-15
2.33225E-12 3.93663E-15
3.04617E-12 3.93663E-15
3.85530E-12 3.93663E-15
4.75964E-12 3.93663E-15
5.75917E-12 3.93664E-15
6.85391E-12 3.93664E-15
8.04379E-12 3.93664E-15
9.32893E-12 3.93664E-15
1.07092E-11 3.93664E-15
1.21847E-11 3.93664E-15
1.37554E-11 3.93664E-15
1.54213E-11 3.93664E-15
1.71823E-11 3.93664E-15
1.90386E-11 3.93664E-15
2.09900E-11 3.93664E-15
2.30367E-11 3.93665E-15
2.51785E-11 3.93665E-15
2.74156E-11 3.93665E-15
2.97478E-11 3.93665E-15
3.21752E-11 3.93665E-15
3.46979E-11 3.93665E-15
3.73157E-11 3.93665E-15
4.00286E-11 3.93666E-15
4.28368E-11 3.93666E-15
4.57402E-11 3.93666E-15
4.87388E-11 3.93666E-15
5.18325E-11 3.93666E-15
5.50215E-11 3.93666E-15
5.83057E-11 3.93667E-15
6.16850E-11 3.93667E-15
6.51595E-11 3.93667E-15
6.87293E-11 3.93667E-15
7.23943E-11 3.93667E-15
7.61544E-11 3.93668E-15
1.18991E-10 3.93670E-15
1.71347E-10 3.93673E-15
2.33223E-10 3.93677E-15
3.04617E-10 3.93681E-15
3.85531E-10 3.93686E-15
4.75965E-10 3.93691E-15
5.75917E-10 3.93697E-15
6.85389E-10 3.93703E-15
8.04380E-10 3.93710E-15
9.32891E-10 3.93717E-15
1.07092E-09 3.93725E-15
1.21847E-09 3.93734E-15
1.37554E-09 3.93743E-15
1.54213E-09 3.93753E-15
1.71823E-09 3.93763E-15
1.90386E-09 3.93774E-15
2.09900E-09 3.93785E-15
2.30367E-09 3.93797E-15
2.51785E-09 3.93809E-15
2.74156E-09 3.93822E-15
2.97478E-09 3.93836E-15
3.21752E-09 3.93850E-15
3.46978E-09 3.93864E-15
3.73156E-09 3.93879E-15
4.00286E-09 3.93895E-15
4.28368E-09 3.93911E-15
4.57402E-09 3.93928E-15
4.87388E-09 3.93946E-15
5.18326E-09 3.93963E-15
5.50215E-09 3.93982E-15
5.83057E-09 3.94001E-15
6.16850E-09 3.94020E-15
6.51596E-09 3.94041E-15
6.87293E-09 3.94061E-15
7.23942E-09 3.94082E-15
7.61544E-09 3.94104E-15
1.18991E-08 3.94352E-15
1.71347E-08 3.94654E-15
2.33223E-08 3.95011E-15
3.04617E-08 3.95422E-15
3.85531E-08 3.95888E-15
4.75965E-08 3.96407E-15
5.75917E-08 3.96979E-15
6.85389E-08 3.97604E-15
8.04380E-08 3.98282E-15
9.32891E-08 3.99012E-15
1.07092E-07 3.99794E-15
1.21847E-07 4.00626E-15
1.37554E-07 4.01510E-15
1.54213E-07 4.02443E-15
1.71823E-07 4.03425E-15
1.90386E-07 4.04457E-15
2.09900E-07 4.05536E-15
2.30367E-07 4.06662E-15
2.51785E-07 4.07835E-15
2.74156E-07 4.09054E-15
2.97478E-07 4.10317E-15
3.21752E-07 4.11625E-15
3.46978E-07 4.12975E-15
3.73156E-07 4.14368E-15
4.00286E-07 4.15802E-15
4.28368E-07 4.17276E-15
4.57402E-07 4.18790E-15
4.87388E-07 4.20342E-15
5.18325E-07 4.21930E-15
5.50215E-07 4.23555E-15
5.83057E-07 4.25215E-15
6.16850E-07 4.26908E-15
6.51596E-07 4.28634E-15
6.87293E-07 4.30392E-15
7.23942E-07 4.32179E-15
7.61543E-07 4.33996E-15
1.18991E-06 4.53474E-15
1.71347E-06 4.74411E-15
2.33223E-06 4.95513E-15
3.04617E-06 5.15655E-15
3.85531E-06 5.34030E-15
4.75964E-06 5.50209E-15
5.75916E-06 5.64130E-15
6.85388E-06 5.76012E-15
8.04378E-06 5.86220E-15
9.32888E-06 5.95142E-15
1.07092E-05 6.03086E-15
1.21846E-05 6.10225E-15
1.37553E-05 6.16599E-15
1.54212E-05 6.22146E-15
1.71822E-05 6.26761E-15
1.90385E-05 6.30354E-15
2.09899E-05 6.32894E-15
2.30365E-05 6.34425E-15
2.51783E-05 6.35055E-15
2.74153E-05 6.34929E-15
2.97475E-05 6.34194E-15
3.21749E-05 6.32965E-15
3.46974E-05 6.31312E-15
3.73152E-05 6.29251E-15
4.00281E-05 6.26768E-15
4.28362E-05 6.23832E-15
4.57395E-05 6.20426E-15
4.87380E-05 6.16556E-15
5.18317E-05 6.12260E-15
5.50205E-05 6.07601E-15
5.83045E-05 6.02653E-15
6.16838E-05 5.97484E-15
6.51582E-05 5.92143E-15
6.87277E-05 5.86656E-15
7.23925E-05 5.81025E-15
7.61524E-05 5.75238E-15
9.21439E-05 5.50426E-15
1.09658E-04 5.24023E-15
1.28695E-04 4.97365E-15
1.49255E-04 4.70434E-15
1.71338E-04 4.44029E-15
1.94942E-04 4.18433E-15
2.20070E-04 3.93634E-15
2.46720E-04 3.70078E-15
2.74892E-04 3.47630E-15
3.04586E-04 3.26373E-15
3.35803E-04 3.06420E-15
3.68542E-04 2.87590E-15
4.02802E-04 2.69983E-15
4.38585E-04 2.53513E-15
4.75889E-04 2.38083E-15
5.14715E-04 2.23732E-15
5.55063E-04 2.10319E-15
5.96931E-04 1.97822E-15
6.40321E-04 1.86204E-15
6.85233E-04 1.75351E-15
7.31665E-04 1.65267E-15
7.79618E-04 1.55868E-15
8.29092E-04 1.47096E-15
8.80086E-04 1.38937E-15
9.32601E-04 1.31308E-15
9.86636E-04 1.24188E-15
1.04219E-03 1.17541E-15
1.09927E-03 1.11310E-15
1.15786E-03 1.05487E-15
1.21797E-03 1.00026E-15
1.27961E-03 9.48992E-16
1.34276E-03 9.00955E-16
1.40743E-03 8.55735E-16
1.47362E-03 8.13261E-16
1.54133E-03 7.73314E-16
1.61056E-03 7.35643E-16
1.68131E-03 7.00214E-16
1.75357E-03 6.66775E-16
1.82735E-03 6.35221E-16
1.90265E-03 6.05470E-16
1.97947E-03 5.77314E-16
2.05780E-03 5.50727E-16
2.13765E-03 5.25573E-16
2.21902E-03 5.01735E-16
2.30190E-03 4.79187E-16
2.38630E-03 4.57791E-16
2.47222E-03 4.37502E-16
2.55965E-03 4.18268E-16
2.64859E-03 3.99985E-16
2.73905E-03 3.82642E-16
2.83103E-03 3.66162E-16
2.92452E-03 3.50492E-16
3.01952E-03 3.35616E-16
3.11604E-03 3.21458E-16
3.21407E-03 3.07998E-16
3.31362E-03 2.95201E-16
3.41468E-03 2.83011E-16
3.51725E-03 2.71421E-16
3.62133E-03 2.60381E-16
3.72692E-03 2.49863E-16
3.83403E-03 2.39851E-16
3.94265E-03 2.30301E-16
4.05278E-03 2.21201E-16
4.16442E-03 2.12526E-16
4.27757E-03 2.04246E-16
4.39223E-03 1.96353E-16
4.50840E-03 1.88819E-16
4.62608E-03 1.81629E-16
4.74527E-03 1.74770E-16
4.86597E-03 1.68219E-16
4.98817E-03 1.61967E-16
5.11188E-03 1.55998E-16
5.23711E-03 1.50295E-16
5.36383E-03 1.44851E-16
5.49207E-03 1.39648E-16
5.62181E-03 1.34676E-16
5.75306E-03 1.29925E-16
5.88581E-03 1.25380E-16
6.02007E-03 1.21035E-16
6.15583E-03 1.16877E-16
6.29310E-03 1.12899E-16
6.43187E-03 1.09091E-16
6.57214E-03 1.05445E-16
6.71392E-03 1.01954E-16
6.85720E-03 9.86099E-17
7.00198E-03 9.54067E-17
7.14827E-03 9.23372E-17
7.29605E-03 8.93957E-17
7.44534E-03 8.65763E-17
7.59612E-03 8.38725E-17
7.97965E-03 7.75870E-17
8.37255E-03 7.19147E-17
8.77480E-03 6.67845E-17
9.18641E-03 6.21344E-17
9.60736E-03 5.79114E-17
1.00376E-02 5.40694E-17
1.04773E-02 5.05679E-17
1.09262E-02 4.73703E-17
1.13844E-02 4.44437E-17
1.18520E-02 4.17585E-17
1.23288E-02 3.92893E-17
1.28150E-02 3.70140E-17
1.33104E-02 3.49137E-17
1.38150E-02 3.29716E-17
1.43290E-02 3.11723E-17
1.48521E-02 2.95021E-17
1.53845E-02 2.79486E-17
1.59262E-02 2.65008E-17
1.64770E-02 2.51495E-17
1.70371E-02 2.38866E-17
1.76063E-02 2.27046E-17
1.81848E-02 2.15970E-17
1.87724E-02 2.05575E-17
1.93692E-02 1.95806E-17
1.99751E-02 1.86613E-17
2.05901E-02 1.77954E-17
2.12143E-02 1.69791E-17
2.18476E-02 1.62089E-17
2.24900E-02 1.54816E-17
2.31415E-02 1.47942E-17
2.38021E-02 1.41440E-17
2.44717E-02 1.35285E-17
2.51504E-02 1.29455E-17
2.58382E-02 1.23931E-17
2.65349E-02 1.18694E-17
2.72407E-02 1.13726E-17
2.79555E-02 1.09012E-17
2.86793E-02 1.04535E-17
2.94120E-02 1.00281E-17
