 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 5.00000E+03 eV = 1.83747E+02 a.u.
 #
 # Element: In,  Z =  49,  atomic weight = 1.14818E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.20060E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 49
 #
 # Electron density: Read from file Data/z_049.d
 #                   Number of data points =  841
 #                   Volume integral = 4.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.02000E-23 cm**3
 #                            Bpol = 1.75891E+01
 #
 # Total elastic cross section = 1.04845E-16 cm**2 = 3.74407E+00 a0**2
 # 1st transport cross section = 5.99247E-18 cm**2 = 2.13995E-01 a0**2
 # 2nd transport cross section = 9.64206E-18 cm**2 = 3.44324E-01 a0**2
 #
 #    Absorption cross section = 3.17675E-17 cm**2 = 1.13444E+00 a0**2
 #   Grand total cross section = 1.36621E-16 cm**2 = 4.87882E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 1.30945E-14
7.61557E-13 1.30945E-14
1.18994E-12 1.30945E-14
1.71346E-12 1.30945E-14
2.33225E-12 1.30945E-14
3.04617E-12 1.30945E-14
3.85530E-12 1.30945E-14
4.75964E-12 1.30945E-14
5.75917E-12 1.30945E-14
6.85391E-12 1.30945E-14
8.04379E-12 1.30945E-14
9.32893E-12 1.30945E-14
1.07092E-11 1.30945E-14
1.21847E-11 1.30945E-14
1.37554E-11 1.30945E-14
1.54213E-11 1.30945E-14
1.71823E-11 1.30945E-14
1.90386E-11 1.30945E-14
2.09900E-11 1.30945E-14
2.30367E-11 1.30945E-14
2.51785E-11 1.30945E-14
2.74156E-11 1.30945E-14
2.97478E-11 1.30945E-14
3.21752E-11 1.30945E-14
3.46979E-11 1.30945E-14
3.73157E-11 1.30944E-14
4.00286E-11 1.30944E-14
4.28368E-11 1.30944E-14
4.57402E-11 1.30944E-14
4.87388E-11 1.30944E-14
5.18325E-11 1.30944E-14
5.50215E-11 1.30944E-14
5.83057E-11 1.30944E-14
6.16850E-11 1.30944E-14
6.51595E-11 1.30944E-14
6.87293E-11 1.30944E-14
7.23943E-11 1.30944E-14
7.61544E-11 1.30944E-14
1.18991E-10 1.30944E-14
1.71347E-10 1.30943E-14
2.33223E-10 1.30943E-14
3.04617E-10 1.30942E-14
3.85531E-10 1.30942E-14
4.75965E-10 1.30941E-14
5.75917E-10 1.30940E-14
6.85389E-10 1.30939E-14
8.04380E-10 1.30938E-14
9.32891E-10 1.30937E-14
1.07092E-09 1.30936E-14
1.21847E-09 1.30935E-14
1.37554E-09 1.30934E-14
1.54213E-09 1.30932E-14
1.71823E-09 1.30931E-14
1.90386E-09 1.30929E-14
2.09900E-09 1.30928E-14
2.30367E-09 1.30926E-14
2.51785E-09 1.30924E-14
2.74156E-09 1.30922E-14
2.97478E-09 1.30920E-14
3.21752E-09 1.30918E-14
3.46978E-09 1.30916E-14
3.73156E-09 1.30914E-14
4.00286E-09 1.30912E-14
4.28368E-09 1.30910E-14
4.57402E-09 1.30907E-14
4.87388E-09 1.30905E-14
5.18326E-09 1.30902E-14
5.50215E-09 1.30900E-14
5.83057E-09 1.30897E-14
6.16850E-09 1.30894E-14
6.51596E-09 1.30891E-14
6.87293E-09 1.30888E-14
7.23942E-09 1.30885E-14
7.61544E-09 1.30882E-14
1.18991E-08 1.30847E-14
1.71347E-08 1.30804E-14
2.33223E-08 1.30754E-14
3.04617E-08 1.30696E-14
3.85531E-08 1.30630E-14
4.75965E-08 1.30556E-14
5.75917E-08 1.30475E-14
6.85389E-08 1.30387E-14
8.04380E-08 1.30291E-14
9.32891E-08 1.30187E-14
1.07092E-07 1.30076E-14
1.21847E-07 1.29958E-14
1.37554E-07 1.29833E-14
1.54213E-07 1.29701E-14
1.71823E-07 1.29562E-14
1.90386E-07 1.29415E-14
2.09900E-07 1.29262E-14
2.30367E-07 1.29103E-14
2.51785E-07 1.28936E-14
2.74156E-07 1.28763E-14
2.97478E-07 1.28584E-14
3.21752E-07 1.28398E-14
3.46978E-07 1.28206E-14
3.73156E-07 1.28008E-14
4.00286E-07 1.27804E-14
4.28368E-07 1.27594E-14
4.57402E-07 1.27378E-14
4.87388E-07 1.27157E-14
5.18325E-07 1.26930E-14
5.50215E-07 1.26698E-14
5.83057E-07 1.26460E-14
6.16850E-07 1.26218E-14
6.51596E-07 1.25971E-14
6.87293E-07 1.25718E-14
7.23942E-07 1.25462E-14
7.61543E-07 1.25200E-14
1.18991E-06 1.22370E-14
1.71347E-06 1.19249E-14
2.33223E-06 1.15979E-14
3.04617E-06 1.12688E-14
3.85531E-06 1.09481E-14
4.75964E-06 1.06431E-14
5.75916E-06 1.03587E-14
6.85388E-06 1.00966E-14
8.04378E-06 9.85667E-15
9.32888E-06 9.63687E-15
1.07092E-05 9.43432E-15
1.21846E-05 9.24569E-15
1.37553E-05 9.06782E-15
1.54212E-05 8.89805E-15
1.71822E-05 8.73444E-15
1.90385E-05 8.57588E-15
2.09899E-05 8.42194E-15
2.30365E-05 8.27275E-15
2.51783E-05 8.12872E-15
2.74153E-05 7.99035E-15
2.97475E-05 7.85800E-15
3.21749E-05 7.73179E-15
3.46974E-05 7.61152E-15
3.73152E-05 7.49669E-15
4.00281E-05 7.38660E-15
4.28362E-05 7.28044E-15
4.57395E-05 7.17742E-15
4.87380E-05 7.07687E-15
5.18317E-05 6.97831E-15
5.50205E-05 6.88147E-15
5.83045E-05 6.78631E-15
6.16838E-05 6.69291E-15
6.51582E-05 6.60146E-15
6.87277E-05 6.51214E-15
7.23925E-05 6.42508E-15
7.61524E-05 6.34030E-15
9.21439E-05 6.02069E-15
1.09658E-04 5.72002E-15
1.28695E-04 5.43273E-15
1.49255E-04 5.16298E-15
1.71338E-04 4.90712E-15
1.94942E-04 4.66044E-15
2.20070E-04 4.42551E-15
2.46720E-04 4.20273E-15
2.74892E-04 3.98886E-15
3.04586E-04 3.78451E-15
3.35803E-04 3.59111E-15
3.68542E-04 3.40680E-15
4.02802E-04 3.23085E-15
4.38585E-04 3.06449E-15
4.75889E-04 2.90696E-15
5.14715E-04 2.75703E-15
5.55063E-04 2.61523E-15
5.96931E-04 2.48151E-15
6.40321E-04 2.35468E-15
6.85233E-04 2.23468E-15
7.31665E-04 2.12173E-15
7.79618E-04 2.01499E-15
8.29092E-04 1.91399E-15
8.80086E-04 1.81892E-15
9.32601E-04 1.72934E-15
9.86636E-04 1.64460E-15
1.04219E-03 1.56476E-15
1.09927E-03 1.48963E-15
1.15786E-03 1.41862E-15
1.21797E-03 1.35158E-15
1.27961E-03 1.28847E-15
1.34276E-03 1.22886E-15
1.40743E-03 1.17246E-15
1.47362E-03 1.11926E-15
1.54133E-03 1.06900E-15
1.61056E-03 1.02135E-15
1.68131E-03 9.76273E-16
1.75357E-03 9.33645E-16
1.82735E-03 8.93180E-16
1.90265E-03 8.54775E-16
1.97947E-03 8.18396E-16
2.05780E-03 7.83836E-16
2.13765E-03 7.50954E-16
2.21902E-03 7.19740E-16
2.30190E-03 6.90074E-16
2.38630E-03 6.61805E-16
2.47222E-03 6.34909E-16
2.55965E-03 6.09333E-16
2.64859E-03 5.84943E-16
2.73905E-03 5.61690E-16
2.83103E-03 5.39554E-16
2.92452E-03 5.18437E-16
3.01952E-03 4.98267E-16
3.11604E-03 4.79036E-16
