 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 8.00000E+03 eV = 2.93995E+02 a.u.
 #
 # Element: Sn,  Z =  50,  atomic weight = 1.18710E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.25871E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 50
 #
 # Electron density: Read from file Data/z_050.d
 #                   Number of data points =  809
 #                   Volume integral = 5.00000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 5.43900E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 7.70000E-24 cm**3
 #                            Bpol = 2.22907E+01
 #
 # Total elastic cross section = 7.73280E-17 cm**2 = 2.76143E+00 a0**2
 # 1st transport cross section = 1.79798E-18 cm**2 = 6.42072E-02 a0**2
 # 2nd transport cross section = 3.96064E-18 cm**2 = 1.41437E-01 a0**2
 #
 #    Absorption cross section = 1.98647E-17 cm**2 = 7.09382E-01 a0**2
 #   Grand total cross section = 9.72041E-17 cm**2 = 3.47122E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 4.96472E-15
7.61557E-13 4.96472E-15
1.18994E-12 4.96472E-15
1.71346E-12 4.96472E-15
2.33225E-12 4.96472E-15
3.04617E-12 4.96472E-15
3.85530E-12 4.96472E-15
4.75964E-12 4.96472E-15
5.75917E-12 4.96473E-15
6.85391E-12 4.96473E-15
8.04379E-12 4.96473E-15
9.32893E-12 4.96473E-15
1.07092E-11 4.96473E-15
1.21847E-11 4.96473E-15
1.37554E-11 4.96473E-15
1.54213E-11 4.96473E-15
1.71823E-11 4.96473E-15
1.90386E-11 4.96473E-15
2.09900E-11 4.96473E-15
2.30367E-11 4.96473E-15
2.51785E-11 4.96473E-15
2.74156E-11 4.96473E-15
2.97478E-11 4.96474E-15
3.21752E-11 4.96474E-15
3.46979E-11 4.96474E-15
3.73157E-11 4.96474E-15
4.00286E-11 4.96474E-15
4.28368E-11 4.96474E-15
4.57402E-11 4.96474E-15
4.87388E-11 4.96474E-15
5.18325E-11 4.96475E-15
5.50215E-11 4.96475E-15
5.83057E-11 4.96475E-15
6.16850E-11 4.96475E-15
6.51595E-11 4.96475E-15
6.87293E-11 4.96475E-15
7.23943E-11 4.96475E-15
7.61544E-11 4.96476E-15
1.18991E-10 4.96478E-15
1.71347E-10 4.96480E-15
2.33223E-10 4.96483E-15
3.04617E-10 4.96486E-15
3.85531E-10 4.96489E-15
4.75965E-10 4.96493E-15
5.75917E-10 4.96498E-15
6.85389E-10 4.96502E-15
8.04380E-10 4.96508E-15
9.32891E-10 4.96513E-15
1.07092E-09 4.96519E-15
1.21847E-09 4.96526E-15
1.37554E-09 4.96533E-15
1.54213E-09 4.96540E-15
1.71823E-09 4.96548E-15
1.90386E-09 4.96556E-15
2.09900E-09 4.96565E-15
2.30367E-09 4.96574E-15
2.51785E-09 4.96583E-15
2.74156E-09 4.96593E-15
2.97478E-09 4.96603E-15
3.21752E-09 4.96614E-15
3.46978E-09 4.96625E-15
3.73156E-09 4.96636E-15
4.00286E-09 4.96648E-15
4.28368E-09 4.96661E-15
4.57402E-09 4.96673E-15
4.87388E-09 4.96687E-15
5.18326E-09 4.96700E-15
5.50215E-09 4.96714E-15
5.83057E-09 4.96729E-15
6.16850E-09 4.96743E-15
6.51596E-09 4.96759E-15
6.87293E-09 4.96774E-15
7.23942E-09 4.96791E-15
7.61544E-09 4.96807E-15
1.18991E-08 4.96995E-15
1.71347E-08 4.97225E-15
2.33223E-08 4.97496E-15
3.04617E-08 4.97808E-15
3.85531E-08 4.98161E-15
4.75965E-08 4.98556E-15
5.75917E-08 4.98990E-15
6.85389E-08 4.99466E-15
8.04380E-08 4.99981E-15
9.32891E-08 5.00536E-15
1.07092E-07 5.01130E-15
1.21847E-07 5.01763E-15
1.37554E-07 5.02435E-15
1.54213E-07 5.03146E-15
1.71823E-07 5.03894E-15
1.90386E-07 5.04679E-15
2.09900E-07 5.05501E-15
2.30367E-07 5.06360E-15
2.51785E-07 5.07254E-15
2.74156E-07 5.08184E-15
2.97478E-07 5.09149E-15
3.21752E-07 5.10147E-15
3.46978E-07 5.11179E-15
3.73156E-07 5.12244E-15
4.00286E-07 5.13341E-15
4.28368E-07 5.14470E-15
4.57402E-07 5.15630E-15
4.87388E-07 5.16820E-15
5.18325E-07 5.18039E-15
5.50215E-07 5.19287E-15
5.83057E-07 5.20563E-15
6.16850E-07 5.21866E-15
6.51596E-07 5.23196E-15
6.87293E-07 5.24551E-15
7.23942E-07 5.25931E-15
7.61543E-07 5.27334E-15
1.18991E-06 5.42499E-15
1.71347E-06 5.59079E-15
2.33223E-06 5.76163E-15
3.04617E-06 5.92906E-15
3.85531E-06 6.08612E-15
4.75964E-06 6.22798E-15
5.75916E-06 6.35210E-15
6.85388E-06 6.45814E-15
8.04378E-06 6.54746E-15
9.32888E-06 6.62245E-15
1.07092E-05 6.68582E-15
1.21846E-05 6.74006E-15
1.37553E-05 6.78695E-15
1.54212E-05 6.82748E-15
1.71822E-05 6.86185E-15
1.90385E-05 6.88972E-15
2.09899E-05 6.91049E-15
2.30365E-05 6.92361E-15
2.51783E-05 6.92880E-15
2.74153E-05 6.92621E-15
2.97475E-05 6.91640E-15
3.21749E-05 6.90021E-15
3.46974E-05 6.87863E-15
3.73152E-05 6.85260E-15
4.00281E-05 6.82286E-15
4.28362E-05 6.78989E-15
4.57395E-05 6.75386E-15
4.87380E-05 6.71474E-15
5.18317E-05 6.67240E-15
5.50205E-05 6.62669E-15
5.83045E-05 6.57757E-15
6.16838E-05 6.52519E-15
6.51582E-05 6.46983E-15
6.87277E-05 6.41192E-15
7.23925E-05 6.35194E-15
7.61524E-05 6.29035E-15
9.21439E-05 6.03296E-15
1.09658E-04 5.75910E-15
1.28695E-04 5.47273E-15
1.49255E-04 5.18569E-15
1.71338E-04 4.90035E-15
1.94942E-04 4.61860E-15
2.20070E-04 4.34651E-15
2.46720E-04 4.08433E-15
2.74892E-04 3.83260E-15
3.04586E-04 3.59427E-15
3.35803E-04 3.36850E-15
3.68542E-04 3.15507E-15
4.02802E-04 2.95521E-15
4.38585E-04 2.76769E-15
4.75889E-04 2.59198E-15
5.14715E-04 2.42842E-15
5.55063E-04 2.27575E-15
5.96931E-04 2.13336E-15
6.40321E-04 2.00122E-15
6.85233E-04 1.87818E-15
7.31665E-04 1.76369E-15
7.79618E-04 1.65754E-15
8.29092E-04 1.55877E-15
8.80086E-04 1.46692E-15
9.32601E-04 1.38172E-15
9.86636E-04 1.30239E-15
1.04219E-03 1.22855E-15
1.09927E-03 1.15996E-15
1.15786E-03 1.09598E-15
1.21797E-03 1.03632E-15
1.27961E-03 9.80757E-16
1.34276E-03 9.28793E-16
1.40743E-03 8.80219E-16
1.47362E-03 8.34841E-16
1.54133E-03 7.92278E-16
1.61056E-03 7.52383E-16
1.68131E-03 7.14997E-16
1.75357E-03 6.79830E-16
1.82735E-03 6.46782E-16
1.90265E-03 6.15723E-16
1.97947E-03 5.86436E-16
2.05780E-03 5.58850E-16
2.13765E-03 5.32859E-16
2.21902E-03 5.08296E-16
2.30190E-03 4.85112E-16
2.38630E-03 4.63218E-16
2.47222E-03 4.42485E-16
2.55965E-03 4.22877E-16
2.64859E-03 4.04319E-16
