 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.25000E+03 eV = 4.59367E+01 a.u.
 #
 # Element: Sn,  Z =  50,  atomic weight = 1.18710E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.25871E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 50
 #
 # Electron density: Read from file Data/z_050.d
 #                   Number of data points =  809
 #                   Volume integral = 5.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 7.70000E-24 cm**3
 #                            Bpol = 8.66025E+00
 #
 # Total elastic cross section = 2.30958E-16 cm**2 = 8.24764E+00 a0**2
 # 1st transport cross section = 3.47301E-17 cm**2 = 1.24023E+00 a0**2
 # 2nd transport cross section = 3.45162E-17 cm**2 = 1.23259E+00 a0**2
 #
 #    Absorption cross section = 1.13916E-16 cm**2 = 4.06802E+00 a0**2
 #   Grand total cross section = 3.44885E-16 cm**2 = 1.23161E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 1.15992E-14
7.61557E-13 1.15992E-14
1.18994E-12 1.15992E-14
1.71346E-12 1.15992E-14
2.33225E-12 1.15992E-14
3.04617E-12 1.15992E-14
3.85530E-12 1.15992E-14
4.75964E-12 1.15992E-14
5.75917E-12 1.15992E-14
6.85391E-12 1.15992E-14
8.04379E-12 1.15992E-14
9.32893E-12 1.15992E-14
1.07092E-11 1.15992E-14
1.21847E-11 1.15992E-14
1.37554E-11 1.15992E-14
1.54213E-11 1.15992E-14
1.71823E-11 1.15992E-14
1.90386E-11 1.15992E-14
2.09900E-11 1.15992E-14
2.30367E-11 1.15992E-14
2.51785E-11 1.15992E-14
2.74156E-11 1.15992E-14
2.97478E-11 1.15992E-14
3.21752E-11 1.15992E-14
3.46979E-11 1.15992E-14
3.73157E-11 1.15992E-14
4.00286E-11 1.15992E-14
4.28368E-11 1.15992E-14
4.57402E-11 1.15992E-14
4.87388E-11 1.15992E-14
5.18325E-11 1.15992E-14
5.50215E-11 1.15992E-14
5.83057E-11 1.15992E-14
6.16850E-11 1.15992E-14
6.51595E-11 1.15992E-14
6.87293E-11 1.15992E-14
7.23943E-11 1.15992E-14
7.61544E-11 1.15992E-14
1.18991E-10 1.15992E-14
1.71347E-10 1.15992E-14
2.33223E-10 1.15992E-14
3.04617E-10 1.15992E-14
3.85531E-10 1.15992E-14
4.75965E-10 1.15991E-14
5.75917E-10 1.15991E-14
6.85389E-10 1.15991E-14
8.04380E-10 1.15991E-14
9.32891E-10 1.15991E-14
1.07092E-09 1.15991E-14
1.21847E-09 1.15990E-14
1.37554E-09 1.15990E-14
1.54213E-09 1.15990E-14
1.71823E-09 1.15990E-14
1.90386E-09 1.15990E-14
2.09900E-09 1.15989E-14
2.30367E-09 1.15989E-14
2.51785E-09 1.15989E-14
2.74156E-09 1.15988E-14
2.97478E-09 1.15988E-14
3.21752E-09 1.15988E-14
3.46978E-09 1.15987E-14
3.73156E-09 1.15987E-14
4.00286E-09 1.15987E-14
4.28368E-09 1.15986E-14
4.57402E-09 1.15986E-14
4.87388E-09 1.15985E-14
5.18326E-09 1.15985E-14
5.50215E-09 1.15985E-14
5.83057E-09 1.15984E-14
6.16850E-09 1.15984E-14
6.51596E-09 1.15983E-14
6.87293E-09 1.15983E-14
7.23942E-09 1.15982E-14
7.61544E-09 1.15982E-14
1.18991E-08 1.15976E-14
1.71347E-08 1.15969E-14
2.33223E-08 1.15961E-14
3.04617E-08 1.15951E-14
3.85531E-08 1.15940E-14
4.75965E-08 1.15928E-14
5.75917E-08 1.15914E-14
6.85389E-08 1.15900E-14
8.04380E-08 1.15884E-14
9.32891E-08 1.15866E-14
1.07092E-07 1.15848E-14
1.21847E-07 1.15828E-14
1.37554E-07 1.15807E-14
1.54213E-07 1.15784E-14
1.71823E-07 1.15761E-14
1.90386E-07 1.15736E-14
2.09900E-07 1.15710E-14
2.30367E-07 1.15682E-14
2.51785E-07 1.15653E-14
2.74156E-07 1.15624E-14
2.97478E-07 1.15592E-14
3.21752E-07 1.15560E-14
3.46978E-07 1.15526E-14
3.73156E-07 1.15492E-14
4.00286E-07 1.15455E-14
4.28368E-07 1.15418E-14
4.57402E-07 1.15380E-14
4.87388E-07 1.15340E-14
5.18325E-07 1.15299E-14
5.50215E-07 1.15257E-14
5.83057E-07 1.15213E-14
6.16850E-07 1.15169E-14
6.51596E-07 1.15123E-14
6.87293E-07 1.15076E-14
7.23942E-07 1.15028E-14
7.61543E-07 1.14979E-14
1.18991E-06 1.14423E-14
1.71347E-06 1.13758E-14
2.33223E-06 1.12990E-14
3.04617E-06 1.12128E-14
3.85531E-06 1.11182E-14
4.75964E-06 1.10161E-14
5.75916E-06 1.09075E-14
6.85388E-06 1.07936E-14
8.04378E-06 1.06752E-14
9.32888E-06 1.05535E-14
1.07092E-05 1.04293E-14
1.21846E-05 1.03037E-14
1.37553E-05 1.01774E-14
1.54212E-05 1.00511E-14
1.71822E-05 9.92568E-15
1.90385E-05 9.80160E-15
2.09899E-05 9.67940E-15
2.30365E-05 9.55949E-15
2.51783E-05 9.44220E-15
2.74153E-05 9.32775E-15
2.97475E-05 9.21631E-15
3.21749E-05 9.10795E-15
3.46974E-05 9.00271E-15
3.73152E-05 8.90053E-15
4.00281E-05 8.80132E-15
4.28362E-05 8.70496E-15
4.57395E-05 8.61129E-15
4.87380E-05 8.52011E-15
5.18317E-05 8.43122E-15
5.50205E-05 8.34442E-15
5.83045E-05 8.25951E-15
6.16838E-05 8.17628E-15
