 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 6.00000E+02 eV = 2.20496E+01 a.u.
 #
 # Element: Sb,  Z =  51,  atomic weight = 1.21760E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.30337E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 51
 #
 # Electron density: Read from file Data/z_051.d
 #                   Number of data points =  783
 #                   Volume integral = 5.10000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.80840E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 6.60000E-24 cm**3
 #                            Bpol = 5.86302E+00
 #
 # Total elastic cross section = 2.40585E-16 cm**2 = 8.59145E+00 a0**2
 # 1st transport cross section = 2.22487E-17 cm**2 = 7.94515E-01 a0**2
 # 2nd transport cross section = 4.09990E-17 cm**2 = 1.46410E+00 a0**2
 #
 #    Absorption cross section = 1.92157E-16 cm**2 = 6.86206E+00 a0**2
 #   Grand total cross section = 4.32751E-16 cm**2 = 1.54538E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.90097E-15
7.61557E-13 1.90097E-15
1.18994E-12 1.90097E-15
1.71346E-12 1.90097E-15
2.33225E-12 1.90097E-15
3.04617E-12 1.90097E-15
3.85530E-12 1.90097E-15
4.75964E-12 1.90097E-15
5.75917E-12 1.90097E-15
6.85391E-12 1.90097E-15
8.04379E-12 1.90097E-15
9.32893E-12 1.90097E-15
1.07092E-11 1.90097E-15
1.21847E-11 1.90097E-15
1.37554E-11 1.90097E-15
1.54213E-11 1.90097E-15
1.71823E-11 1.90097E-15
1.90386E-11 1.90097E-15
2.09900E-11 1.90097E-15
2.30367E-11 1.90097E-15
2.51785E-11 1.90097E-15
2.74156E-11 1.90097E-15
2.97478E-11 1.90097E-15
3.21752E-11 1.90097E-15
3.46979E-11 1.90097E-15
3.73157E-11 1.90097E-15
4.00286E-11 1.90097E-15
4.28368E-11 1.90097E-15
4.57402E-11 1.90097E-15
4.87388E-11 1.90097E-15
5.18325E-11 1.90097E-15
5.50215E-11 1.90097E-15
5.83057E-11 1.90097E-15
6.16850E-11 1.90097E-15
6.51595E-11 1.90097E-15
6.87293E-11 1.90097E-15
7.23943E-11 1.90097E-15
7.61544E-11 1.90097E-15
1.18991E-10 1.90097E-15
1.71347E-10 1.90097E-15
2.33223E-10 1.90097E-15
3.04617E-10 1.90097E-15
3.85531E-10 1.90097E-15
4.75965E-10 1.90097E-15
5.75917E-10 1.90097E-15
6.85389E-10 1.90097E-15
8.04380E-10 1.90097E-15
9.32891E-10 1.90097E-15
1.07092E-09 1.90097E-15
1.21847E-09 1.90097E-15
1.37554E-09 1.90097E-15
1.54213E-09 1.90097E-15
1.71823E-09 1.90097E-15
1.90386E-09 1.90097E-15
2.09900E-09 1.90097E-15
2.30367E-09 1.90097E-15
2.51785E-09 1.90098E-15
2.74156E-09 1.90098E-15
2.97478E-09 1.90098E-15
3.21752E-09 1.90098E-15
3.46978E-09 1.90098E-15
3.73156E-09 1.90098E-15
4.00286E-09 1.90098E-15
4.28368E-09 1.90098E-15
4.57402E-09 1.90098E-15
4.87388E-09 1.90098E-15
5.18326E-09 1.90098E-15
5.50215E-09 1.90098E-15
5.83057E-09 1.90099E-15
6.16850E-09 1.90099E-15
6.51596E-09 1.90099E-15
6.87293E-09 1.90099E-15
7.23942E-09 1.90099E-15
7.61544E-09 1.90099E-15
1.18991E-08 1.90100E-15
1.71347E-08 1.90102E-15
2.33223E-08 1.90104E-15
3.04617E-08 1.90106E-15
3.85531E-08 1.90108E-15
4.75965E-08 1.90111E-15
5.75917E-08 1.90114E-15
6.85389E-08 1.90117E-15
8.04380E-08 1.90121E-15
9.32891E-08 1.90125E-15
1.07092E-07 1.90129E-15
1.21847E-07 1.90134E-15
1.37554E-07 1.90138E-15
1.54213E-07 1.90143E-15
1.71823E-07 1.90149E-15
1.90386E-07 1.90154E-15
2.09900E-07 1.90160E-15
2.30367E-07 1.90167E-15
2.51785E-07 1.90173E-15
2.74156E-07 1.90180E-15
2.97478E-07 1.90187E-15
3.21752E-07 1.90195E-15
3.46978E-07 1.90202E-15
3.73156E-07 1.90210E-15
4.00286E-07 1.90219E-15
4.28368E-07 1.90227E-15
4.57402E-07 1.90236E-15
4.87388E-07 1.90245E-15
5.18325E-07 1.90255E-15
5.50215E-07 1.90265E-15
5.83057E-07 1.90275E-15
6.16850E-07 1.90285E-15
6.51596E-07 1.90296E-15
6.87293E-07 1.90307E-15
7.23942E-07 1.90319E-15
7.61543E-07 1.90330E-15
1.18991E-06 1.90465E-15
1.71347E-06 1.90632E-15
2.33223E-06 1.90834E-15
3.04617E-06 1.91071E-15
3.85531E-06 1.91347E-15
4.75964E-06 1.91661E-15
5.75916E-06 1.92017E-15
6.85388E-06 1.92414E-15
8.04378E-06 1.92854E-15
9.32888E-06 1.93338E-15
1.07092E-05 1.93866E-15
1.21846E-05 1.94437E-15
1.37553E-05 1.95052E-15
1.54212E-05 1.95708E-15
1.71822E-05 1.96404E-15
1.90385E-05 1.97139E-15
2.09899E-05 1.97910E-15
2.30365E-05 1.98713E-15
2.51783E-05 1.99547E-15
2.74153E-05 2.00407E-15
2.97475E-05 2.01291E-15
3.21749E-05 2.02193E-15
3.46974E-05 2.03112E-15
3.73152E-05 2.04043E-15
4.00281E-05 2.04983E-15
4.28362E-05 2.05928E-15
4.57395E-05 2.06875E-15
4.87380E-05 2.07821E-15
5.18317E-05 2.08764E-15
5.50205E-05 2.09702E-15
5.83045E-05 2.10632E-15
6.16838E-05 2.11553E-15
6.51582E-05 2.12463E-15
6.87277E-05 2.13362E-15
7.23925E-05 2.14249E-15
7.61524E-05 2.15124E-15
9.21439E-05 2.18504E-15
1.09658E-04 2.21716E-15
1.28695E-04 2.24806E-15
1.49255E-04 2.27806E-15
1.71338E-04 2.30713E-15
1.94942E-04 2.33489E-15
2.20070E-04 2.36076E-15
2.46720E-04 2.38410E-15
2.74892E-04 2.40448E-15
3.04586E-04 2.42173E-15
3.35803E-04 2.43597E-15
3.68542E-04 2.44746E-15
4.02802E-04 2.45653E-15
4.38585E-04 2.46337E-15
4.75889E-04 2.46801E-15
5.14715E-04 2.47033E-15
5.55063E-04 2.47015E-15
5.96931E-04 2.46731E-15
6.40321E-04 2.46176E-15
6.85233E-04 2.45361E-15
7.31665E-04 2.44305E-15
7.79618E-04 2.43038E-15
8.29092E-04 2.41581E-15
8.80086E-04 2.39952E-15
9.32601E-04 2.38155E-15
9.86636E-04 2.36189E-15
1.04219E-03 2.34051E-15
1.09927E-03 2.31742E-15
1.15786E-03 2.29268E-15
1.21797E-03 2.26645E-15
1.27961E-03 2.23892E-15
1.34276E-03 2.21030E-15
1.40743E-03 2.18074E-15
1.47362E-03 2.15036E-15
1.54133E-03 2.11918E-15
1.61056E-03 2.08723E-15
1.68131E-03 2.05453E-15
1.75357E-03 2.02110E-15
1.82735E-03 1.98706E-15
1.90265E-03 1.95252E-15
1.97947E-03 1.91763E-15
2.05780E-03 1.88251E-15
2.13765E-03 1.84725E-15
2.21902E-03 1.81192E-15
2.30190E-03 1.77652E-15
2.38630E-03 1.74108E-15
2.47222E-03 1.70560E-15
2.55965E-03 1.67013E-15
2.64859E-03 1.63473E-15
2.73905E-03 1.59951E-15
2.83103E-03 1.56453E-15
2.92452E-03 1.52986E-15
3.01952E-03 1.49555E-15
3.11604E-03 1.46161E-15
3.21407E-03 1.42804E-15
3.31362E-03 1.39483E-15
3.41468E-03 1.36200E-15
3.51725E-03 1.32958E-15
3.62133E-03 1.29760E-15
3.72692E-03 1.26611E-15
3.83403E-03 1.23516E-15
3.94265E-03 1.20477E-15
4.05278E-03 1.17493E-15
4.16442E-03 1.14566E-15
4.27757E-03 1.11693E-15
4.39223E-03 1.08874E-15
4.50840E-03 1.06109E-15
4.62608E-03 1.03399E-15
4.74527E-03 1.00745E-15
4.86597E-03 9.81510E-16
4.98817E-03 9.56167E-16
5.11188E-03 9.31425E-16
5.23711E-03 9.07274E-16
5.36383E-03 8.83696E-16
5.49207E-03 8.60674E-16
5.62181E-03 8.38198E-16
5.75306E-03 8.16262E-16
5.88581E-03 7.94869E-16
6.02007E-03 7.74025E-16
6.15583E-03 7.53732E-16
6.29310E-03 7.33986E-16
6.43187E-03 7.14778E-16
6.57214E-03 6.96090E-16
6.71392E-03 6.77904E-16
6.85720E-03 6.60204E-16
7.00198E-03 6.42977E-16
7.14827E-03 6.26218E-16
7.29605E-03 6.09923E-16
7.44534E-03 5.94090E-16
7.59612E-03 5.78713E-16
7.97965E-03 5.42195E-16
8.37255E-03 5.08229E-16
8.77480E-03 4.76626E-16
9.18641E-03 4.47282E-16
9.60736E-03 4.20060E-16
1.00376E-02 3.94765E-16
1.04773E-02 3.71251E-16
1.09262E-02 3.49421E-16
1.13844E-02 3.29148E-16
1.18520E-02 3.10288E-16
1.23288E-02 2.92735E-16
1.28150E-02 2.76409E-16
1.33104E-02 2.61210E-16
1.38150E-02 2.47038E-16
1.43290E-02 2.33821E-16
1.48521E-02 2.21495E-16
1.53845E-02 2.09989E-16
1.59262E-02 1.99235E-16
1.64770E-02 1.89184E-16
1.70371E-02 1.79786E-16
1.76063E-02 1.70991E-16
1.81848E-02 1.62755E-16
1.87724E-02 1.55040E-16
1.93692E-02 1.47808E-16
1.99751E-02 1.41026E-16
2.05901E-02 1.34662E-16
2.12143E-02 1.28686E-16
2.18476E-02 1.23069E-16
2.24900E-02 1.17787E-16
2.31415E-02 1.12819E-16
2.38021E-02 1.08139E-16
2.44717E-02 1.03725E-16
2.51504E-02 9.95612E-17
2.58382E-02 9.56310E-17
2.65349E-02 9.19126E-17
2.72407E-02 8.83908E-17
2.79555E-02 8.50564E-17
2.86793E-02 8.18949E-17
2.94120E-02 7.88890E-17
3.01537E-02 7.60295E-17
3.09043E-02 7.33109E-17
3.16639E-02 7.07214E-17
3.24324E-02 6.82476E-17
3.32098E-02 6.58850E-17
3.39961E-02 6.36307E-17
3.47912E-02 6.14747E-17
3.55952E-02 5.94074E-17
3.64081E-02 5.74273E-17
3.72297E-02 5.55333E-17
3.80602E-02 5.37167E-17
3.88995E-02 5.19705E-17
3.97476E-02 5.02958E-17
4.06044E-02 4.86916E-17
4.14700E-02 4.71502E-17
4.23443E-02 4.56670E-17
4.32273E-02 4.42440E-17
4.41190E-02 4.28802E-17
4.50194E-02 4.15685E-17
4.59284E-02 4.03059E-17
4.68461E-02 3.90948E-17
4.87074E-02 3.68162E-17
5.06030E-02 3.47087E-17
5.25328E-02 3.27656E-17
5.44967E-02 3.09669E-17
5.64946E-02 2.93058E-17
5.85262E-02 2.77655E-17
6.05914E-02 2.63395E-17
6.26901E-02 2.50145E-17
6.48222E-02 2.37843E-17
6.69873E-02 2.26386E-17
6.91854E-02 2.15720E-17
7.14163E-02 2.05769E-17
7.36799E-02 1.96481E-17
7.59760E-02 1.87803E-17
7.83043E-02 1.79687E-17
8.06647E-02 1.72093E-17
8.30571E-02 1.64977E-17
8.54812E-02 1.58307E-17
8.79369E-02 1.52042E-17
9.04240E-02 1.46157E-17
9.29422E-02 1.40614E-17
9.54915E-02 1.35394E-17
9.80716E-02 1.30461E-17
1.00682E-01 1.25801E-17
1.03323E-01 1.21385E-17
1.05995E-01 1.17201E-17
1.08696E-01 1.13225E-17
1.11427E-01 1.09449E-17
1.14188E-01 1.05854E-17
1.16978E-01 1.02433E-17
1.19797E-01 9.91727E-18
1.22645E-01 9.60651E-18
1.25522E-01 9.31007E-18
1.28428E-01 9.02714E-18
1.31361E-01 8.75702E-18
1.34323E-01 8.49877E-18
1.37313E-01 8.25194E-18
1.40330E-01 8.01543E-18
1.43375E-01 7.78904E-18
1.46447E-01 7.57156E-18
1.49545E-01 7.36299E-18
1.52671E-01 7.16212E-18
1.55823E-01 6.96913E-18
1.59001E-01 6.78285E-18
1.62205E-01 6.60363E-18
1.65435E-01 6.43039E-18
1.68690E-01 6.26358E-18
1.71970E-01 6.10226E-18
1.75276E-01 5.94689E-18
1.78606E-01 5.79667E-18
1.81961E-01 5.65201E-18
1.85340E-01 5.51225E-18
1.88743E-01 5.37767E-18
1.92169E-01 5.24774E-18
1.95619E-01 5.12257E-18
1.99092E-01 5.00177E-18
2.02589E-01 4.88528E-18
2.06107E-01 4.77281E-18
2.09649E-01 4.66419E-18
2.13212E-01 4.55921E-18
2.16797E-01 4.45765E-18
2.20404E-01 4.35933E-18
2.24032E-01 4.26408E-18
2.27680E-01 4.17173E-18
2.31350E-01 4.08218E-18
2.35040E-01 3.99525E-18
2.38751E-01 3.91095E-18
2.42481E-01 3.82909E-18
2.46231E-01 3.74971E-18
2.50000E-01 3.67267E-18
2.53788E-01 3.59801E-18
2.57595E-01 3.52562E-18
2.61421E-01 3.45546E-18
2.65264E-01 3.38753E-18
2.69126E-01 3.32165E-18
2.73005E-01 3.25794E-18
2.76901E-01 3.19608E-18
2.80814E-01 3.13626E-18
2.84744E-01 3.07812E-18
2.88691E-01 3.02180E-18
2.92653E-01 2.96703E-18
2.96632E-01 2.91383E-18
3.00625E-01 2.86212E-18
3.04634E-01 2.81171E-18
3.08658E-01 2.76275E-18
3.12697E-01 2.71489E-18
3.16749E-01 2.66841E-18
3.20816E-01 2.62297E-18
3.24896E-01 2.57876E-18
3.28990E-01 2.53565E-18
3.33097E-01 2.49360E-18
3.37216E-01 2.45274E-18
3.41348E-01 2.41278E-18
3.45492E-01 2.37404E-18
3.49647E-01 2.33617E-18
3.53814E-01 2.29940E-18
3.57992E-01 2.26357E-18
3.62181E-01 2.22861E-18
3.66381E-01 2.19469E-18
3.70590E-01 2.16147E-18
3.74810E-01 2.12923E-18
3.79039E-01 2.09767E-18
3.83277E-01 2.06691E-18
3.87524E-01 2.03692E-18
3.91780E-01 2.00749E-18
3.96044E-01 1.97888E-18
4.00316E-01 1.95077E-18
4.04596E-01 1.92335E-18
4.08882E-01 1.89654E-18
4.13176E-01 1.87022E-18
4.17476E-01 1.84461E-18
4.21783E-01 1.81940E-18
4.26095E-01 1.79484E-18
4.30413E-01 1.77082E-18
4.34737E-01 1.74723E-18
4.39065E-01 1.72430E-18
4.43398E-01 1.70173E-18
4.47736E-01 1.67974E-18
4.52077E-01 1.65825E-18
4.56422E-01 1.63712E-18
4.60770E-01 1.61658E-18
4.65122E-01 1.59637E-18
4.69476E-01 1.57661E-18
4.73832E-01 1.55732E-18
4.78190E-01 1.53831E-18
4.82550E-01 1.51980E-18
4.86912E-01 1.50160E-18
4.91274E-01 1.48373E-18
4.95637E-01 1.46631E-18
5.00000E-01 1.44912E-18
5.04363E-01 1.43230E-18
5.08726E-01 1.41586E-18
5.13088E-01 1.39963E-18
5.17450E-01 1.38381E-18
5.21810E-01 1.36827E-18
5.26168E-01 1.35296E-18
5.30524E-01 1.33806E-18
5.34878E-01 1.32336E-18
5.39230E-01 1.30894E-18
5.43578E-01 1.29487E-18
5.47923E-01 1.28098E-18
5.52264E-01 1.26738E-18
5.56602E-01 1.25408E-18
5.60935E-01 1.24094E-18
5.65263E-01 1.22809E-18
5.69587E-01 1.21549E-18
5.73905E-01 1.20304E-18
5.78217E-01 1.19087E-18
5.82524E-01 1.17892E-18
5.86824E-01 1.16711E-18
5.91118E-01 1.15557E-18
5.95404E-01 1.14423E-18
5.99684E-01 1.13302E-18
6.03956E-01 1.12208E-18
6.08220E-01 1.11131E-18
6.12476E-01 1.10069E-18
6.16723E-01 1.09030E-18
6.20961E-01 1.08010E-18
6.25190E-01 1.07003E-18
6.29410E-01 1.06019E-18
6.33619E-01 1.05053E-18
6.37819E-01 1.04099E-18
6.42008E-01 1.03166E-18
6.46186E-01 1.02252E-18
6.50353E-01 1.01349E-18
6.54508E-01 1.00463E-18
6.58652E-01 9.95974E-19
6.62784E-01 9.87416E-19
6.66903E-01 9.78998E-19
6.71010E-01 9.70766E-19
6.75104E-01 9.62648E-19
6.79184E-01 9.54630E-19
6.83251E-01 9.46783E-19
6.87303E-01 9.39063E-19
6.91342E-01 9.31424E-19
6.95366E-01 9.23919E-19
6.99375E-01 9.16562E-19
7.03368E-01 9.09285E-19
7.07347E-01 9.02107E-19
7.11309E-01 8.95076E-19
7.15256E-01 8.88151E-19
7.19186E-01 8.81301E-19
7.23099E-01 8.74573E-19
7.26995E-01 8.67979E-19
7.30874E-01 8.61468E-19
7.34736E-01 8.55045E-19
7.38579E-01 8.48754E-19
7.42405E-01 8.42579E-19
7.46212E-01 8.36478E-19
7.50000E-01 8.30479E-19
7.53769E-01 8.24607E-19
7.57519E-01 8.18837E-19
7.61249E-01 8.13140E-19
7.64960E-01 8.07546E-19
7.68650E-01 8.02071E-19
7.72320E-01 7.96687E-19
7.75968E-01 7.91372E-19
7.79596E-01 7.86154E-19
7.83203E-01 7.81044E-19
7.86788E-01 7.76017E-19
7.90351E-01 7.71054E-19
7.93893E-01 7.66175E-19
7.97411E-01 7.61394E-19
8.00908E-01 7.56691E-19
8.04381E-01 7.52047E-19
8.07831E-01 7.47472E-19
8.11257E-01 7.42985E-19
8.14660E-01 7.38574E-19
8.18039E-01 7.34220E-19
8.21394E-01 7.29923E-19
8.24724E-01 7.25700E-19
8.28030E-01 7.21554E-19
8.31310E-01 7.17469E-19
8.34565E-01 7.13433E-19
8.37795E-01 7.09459E-19
8.40999E-01 7.05556E-19
8.44177E-01 7.01721E-19
8.47329E-01 6.97939E-19
8.50455E-01 6.94207E-19
8.53553E-01 6.90537E-19
8.56625E-01 6.86935E-19
8.59670E-01 6.83397E-19
8.62687E-01 6.79909E-19
8.65677E-01 6.76473E-19
8.68639E-01 6.73095E-19
8.71572E-01 6.69782E-19
8.74478E-01 6.66530E-19
8.77355E-01 6.63332E-19
8.80203E-01 6.60182E-19
8.83022E-01 6.57086E-19
8.85812E-01 6.54050E-19
8.88573E-01 6.51074E-19
8.91304E-01 6.48153E-19
8.94005E-01 6.45280E-19
8.96677E-01 6.42455E-19
8.99318E-01 6.39683E-19
9.01928E-01 6.36967E-19
9.04508E-01 6.34306E-19
9.07058E-01 6.31695E-19
9.09576E-01 6.29129E-19
9.12063E-01 6.26609E-19
9.14519E-01 6.24136E-19
9.16943E-01 6.21714E-19
9.19335E-01 6.19342E-19
9.21696E-01 6.17018E-19
9.24024E-01 6.14737E-19
9.26320E-01 6.12499E-19
9.28584E-01 6.10302E-19
9.30815E-01 6.08150E-19
9.33013E-01 6.06043E-19
9.35178E-01 6.03981E-19
9.37310E-01 6.01962E-19
9.39409E-01 5.99984E-19
9.41474E-01 5.98045E-19
9.43505E-01 5.96144E-19
9.45503E-01 5.94284E-19
9.47467E-01 5.92463E-19
9.49397E-01 5.90684E-19
9.51293E-01 5.88946E-19
9.53154E-01 5.87246E-19
9.54981E-01 5.85585E-19
9.56773E-01 5.83960E-19
9.58530E-01 5.82371E-19
9.60252E-01 5.80819E-19
9.61940E-01 5.79303E-19
9.63592E-01 5.77826E-19
9.65209E-01 5.76385E-19
9.66790E-01 5.74982E-19
9.68336E-01 5.73616E-19
9.69846E-01 5.72285E-19
9.71321E-01 5.70989E-19
9.72759E-01 5.69728E-19
9.74162E-01 5.68502E-19
9.75528E-01 5.67310E-19
9.76858E-01 5.66152E-19
