 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 5.00000E+03 eV = 1.83747E+02 a.u.
 #
 # Element: Sb,  Z =  51,  atomic weight = 1.21760E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.30337E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 51
 #
 # Electron density: Read from file Data/z_051.d
 #                   Number of data points =  783
 #                   Volume integral = 5.10000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 6.60000E-24 cm**3
 #                            Bpol = 1.75891E+01
 #
 # Total elastic cross section = 1.13893E-16 cm**2 = 4.06721E+00 a0**2
 # 1st transport cross section = 6.32543E-18 cm**2 = 2.25885E-01 a0**2
 # 2nd transport cross section = 1.00417E-17 cm**2 = 3.58594E-01 a0**2
 #
 #    Absorption cross section = 3.07576E-17 cm**2 = 1.09837E+00 a0**2
 #   Grand total cross section = 1.44662E-16 cm**2 = 5.16598E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 1.19380E-14
7.61557E-13 1.19380E-14
1.18994E-12 1.19380E-14
1.71346E-12 1.19380E-14
2.33225E-12 1.19380E-14
3.04617E-12 1.19380E-14
3.85530E-12 1.19380E-14
4.75964E-12 1.19380E-14
5.75917E-12 1.19380E-14
6.85391E-12 1.19380E-14
8.04379E-12 1.19380E-14
9.32893E-12 1.19380E-14
1.07092E-11 1.19380E-14
1.21847E-11 1.19380E-14
1.37554E-11 1.19380E-14
1.54213E-11 1.19380E-14
1.71823E-11 1.19380E-14
1.90386E-11 1.19380E-14
2.09900E-11 1.19380E-14
2.30367E-11 1.19380E-14
2.51785E-11 1.19380E-14
2.74156E-11 1.19380E-14
2.97478E-11 1.19380E-14
3.21752E-11 1.19380E-14
3.46979E-11 1.19380E-14
3.73157E-11 1.19380E-14
4.00286E-11 1.19380E-14
4.28368E-11 1.19380E-14
4.57402E-11 1.19380E-14
4.87388E-11 1.19380E-14
5.18325E-11 1.19380E-14
5.50215E-11 1.19380E-14
5.83057E-11 1.19380E-14
6.16850E-11 1.19380E-14
6.51595E-11 1.19380E-14
6.87293E-11 1.19380E-14
7.23943E-11 1.19380E-14
7.61544E-11 1.19380E-14
1.18991E-10 1.19380E-14
1.71347E-10 1.19379E-14
2.33223E-10 1.19379E-14
3.04617E-10 1.19379E-14
3.85531E-10 1.19378E-14
4.75965E-10 1.19378E-14
5.75917E-10 1.19377E-14
6.85389E-10 1.19377E-14
8.04380E-10 1.19376E-14
9.32891E-10 1.19375E-14
1.07092E-09 1.19375E-14
1.21847E-09 1.19374E-14
1.37554E-09 1.19373E-14
1.54213E-09 1.19372E-14
1.71823E-09 1.19371E-14
1.90386E-09 1.19370E-14
2.09900E-09 1.19369E-14
2.30367E-09 1.19368E-14
2.51785E-09 1.19367E-14
2.74156E-09 1.19366E-14
2.97478E-09 1.19365E-14
3.21752E-09 1.19363E-14
3.46978E-09 1.19362E-14
3.73156E-09 1.19361E-14
4.00286E-09 1.19359E-14
4.28368E-09 1.19358E-14
4.57402E-09 1.19356E-14
4.87388E-09 1.19354E-14
5.18326E-09 1.19353E-14
5.50215E-09 1.19351E-14
5.83057E-09 1.19349E-14
6.16850E-09 1.19348E-14
6.51596E-09 1.19346E-14
6.87293E-09 1.19344E-14
7.23942E-09 1.19342E-14
7.61544E-09 1.19340E-14
1.18991E-08 1.19317E-14
1.71347E-08 1.19290E-14
2.33223E-08 1.19257E-14
3.04617E-08 1.19219E-14
3.85531E-08 1.19177E-14
4.75965E-08 1.19129E-14
5.75917E-08 1.19077E-14
6.85389E-08 1.19019E-14
8.04380E-08 1.18957E-14
9.32891E-08 1.18890E-14
1.07092E-07 1.18818E-14
1.21847E-07 1.18742E-14
1.37554E-07 1.18661E-14
1.54213E-07 1.18575E-14
1.71823E-07 1.18485E-14
1.90386E-07 1.18390E-14
2.09900E-07 1.18291E-14
2.30367E-07 1.18187E-14
2.51785E-07 1.18080E-14
2.74156E-07 1.17967E-14
2.97478E-07 1.17851E-14
3.21752E-07 1.17730E-14
3.46978E-07 1.17606E-14
3.73156E-07 1.17477E-14
4.00286E-07 1.17345E-14
4.28368E-07 1.17209E-14
4.57402E-07 1.17068E-14
4.87388E-07 1.16925E-14
5.18325E-07 1.16777E-14
5.50215E-07 1.16626E-14
5.83057E-07 1.16472E-14
6.16850E-07 1.16314E-14
6.51596E-07 1.16153E-14
6.87293E-07 1.15989E-14
7.23942E-07 1.15822E-14
7.61543E-07 1.15652E-14
1.18991E-06 1.13805E-14
1.71347E-06 1.11758E-14
2.33223E-06 1.09603E-14
3.04617E-06 1.07421E-14
3.85531E-06 1.05278E-14
4.75964E-06 1.03222E-14
5.75916E-06 1.01285E-14
6.85388E-06 9.94786E-15
8.04378E-06 9.78020E-15
9.32888E-06 9.62430E-15
1.07092E-05 9.47835E-15
1.21846E-05 9.34028E-15
1.37553E-05 9.20816E-15
1.54212E-05 9.08042E-15
1.71822E-05 8.95600E-15
1.90385E-05 8.83433E-15
2.09899E-05 8.71531E-15
2.30365E-05 8.59915E-15
2.51783E-05 8.48622E-15
2.74153E-05 8.37688E-15
2.97475E-05 8.27138E-15
3.21749E-05 8.16975E-15
3.46974E-05 8.07180E-15
3.73152E-05 7.97718E-15
4.00281E-05 7.88537E-15
4.28362E-05 7.79583E-15
4.57395E-05 7.70806E-15
4.87380E-05 7.62167E-15
5.18317E-05 7.53639E-15
5.50205E-05 7.45214E-15
5.83045E-05 7.36894E-15
6.16838E-05 7.28689E-15
6.51582E-05 7.20614E-15
6.87277E-05 7.12680E-15
7.23925E-05 7.04893E-15
7.61524E-05 6.97251E-15
9.21439E-05 6.67821E-15
1.09658E-04 6.39397E-15
1.28695E-04 6.11791E-15
1.49255E-04 5.85267E-15
1.71338E-04 5.59482E-15
1.94942E-04 5.34248E-15
2.20070E-04 5.09811E-15
2.46720E-04 4.86128E-15
2.74892E-04 4.63043E-15
3.04586E-04 4.40708E-15
3.35803E-04 4.19194E-15
3.68542E-04 3.98386E-15
4.02802E-04 3.78340E-15
4.38585E-04 3.59147E-15
4.75889E-04 3.40734E-15
5.14715E-04 3.23084E-15
5.55063E-04 3.06266E-15
5.96931E-04 2.90240E-15
6.40321E-04 2.74954E-15
6.85233E-04 2.60441E-15
7.31665E-04 2.46684E-15
7.79618E-04 2.33621E-15
8.29092E-04 2.21251E-15
8.80086E-04 2.09568E-15
9.32601E-04 1.98517E-15
9.86636E-04 1.88073E-15
1.04219E-03 1.78233E-15
1.09927E-03 1.68953E-15
1.15786E-03 1.60197E-15
1.21797E-03 1.51957E-15
1.27961E-03 1.44203E-15
1.34276E-03 1.36894E-15
1.40743E-03 1.30017E-15
1.47362E-03 1.23553E-15
1.54133E-03 1.17464E-15
1.61056E-03 1.11731E-15
1.68131E-03 1.06340E-15
1.75357E-03 1.01263E-15
1.82735E-03 9.64764E-16
1.90265E-03 9.19705E-16
1.97947E-03 8.77234E-16
2.05780E-03 8.37137E-16
2.13765E-03 7.99315E-16
2.21902E-03 7.63623E-16
