 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 6.00000E+03 eV = 2.20496E+02 a.u.
 #
 # Element: Sb,  Z =  51,  atomic weight = 1.21760E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.30337E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 51
 #
 # Electron density: Read from file Data/z_051.d
 #                   Number of data points =  783
 #                   Volume integral = 5.10000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 6.60000E-24 cm**3
 #                            Bpol = 1.92841E+01
 #
 # Total elastic cross section = 1.02490E-16 cm**2 = 3.65999E+00 a0**2
 # 1st transport cross section = 4.90357E-18 cm**2 = 1.75110E-01 a0**2
 # 2nd transport cross section = 8.17278E-18 cm**2 = 2.91855E-01 a0**2
 #
 #    Absorption cross section = 2.58904E-17 cm**2 = 9.24563E-01 a0**2
 #   Grand total cross section = 1.28392E-16 cm**2 = 4.58496E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 1.21375E-14
7.61557E-13 1.21375E-14
1.18994E-12 1.21375E-14
1.71346E-12 1.21375E-14
2.33225E-12 1.21375E-14
3.04617E-12 1.21375E-14
3.85530E-12 1.21375E-14
4.75964E-12 1.21375E-14
5.75917E-12 1.21375E-14
6.85391E-12 1.21375E-14
8.04379E-12 1.21375E-14
9.32893E-12 1.21375E-14
1.07092E-11 1.21375E-14
1.21847E-11 1.21375E-14
1.37554E-11 1.21375E-14
1.54213E-11 1.21375E-14
1.71823E-11 1.21375E-14
1.90386E-11 1.21375E-14
2.09900E-11 1.21375E-14
2.30367E-11 1.21375E-14
2.51785E-11 1.21375E-14
2.74156E-11 1.21375E-14
2.97478E-11 1.21375E-14
3.21752E-11 1.21375E-14
3.46979E-11 1.21375E-14
3.73157E-11 1.21374E-14
4.00286E-11 1.21374E-14
4.28368E-11 1.21374E-14
4.57402E-11 1.21374E-14
4.87388E-11 1.21374E-14
5.18325E-11 1.21374E-14
5.50215E-11 1.21374E-14
5.83057E-11 1.21374E-14
6.16850E-11 1.21374E-14
6.51595E-11 1.21374E-14
6.87293E-11 1.21374E-14
7.23943E-11 1.21374E-14
7.61544E-11 1.21374E-14
1.18991E-10 1.21374E-14
1.71347E-10 1.21374E-14
2.33223E-10 1.21373E-14
3.04617E-10 1.21373E-14
3.85531E-10 1.21372E-14
4.75965E-10 1.21372E-14
5.75917E-10 1.21371E-14
6.85389E-10 1.21370E-14
8.04380E-10 1.21370E-14
9.32891E-10 1.21369E-14
1.07092E-09 1.21368E-14
1.21847E-09 1.21367E-14
1.37554E-09 1.21366E-14
1.54213E-09 1.21365E-14
1.71823E-09 1.21364E-14
1.90386E-09 1.21363E-14
2.09900E-09 1.21361E-14
2.30367E-09 1.21360E-14
2.51785E-09 1.21359E-14
2.74156E-09 1.21357E-14
2.97478E-09 1.21356E-14
3.21752E-09 1.21354E-14
3.46978E-09 1.21353E-14
3.73156E-09 1.21351E-14
4.00286E-09 1.21349E-14
4.28368E-09 1.21347E-14
4.57402E-09 1.21346E-14
4.87388E-09 1.21344E-14
5.18326E-09 1.21342E-14
5.50215E-09 1.21340E-14
5.83057E-09 1.21337E-14
6.16850E-09 1.21335E-14
6.51596E-09 1.21333E-14
6.87293E-09 1.21331E-14
7.23942E-09 1.21328E-14
7.61544E-09 1.21326E-14
1.18991E-08 1.21299E-14
1.71347E-08 1.21265E-14
2.33223E-08 1.21226E-14
3.04617E-08 1.21181E-14
3.85531E-08 1.21130E-14
4.75965E-08 1.21072E-14
5.75917E-08 1.21009E-14
6.85389E-08 1.20941E-14
8.04380E-08 1.20866E-14
9.32891E-08 1.20786E-14
1.07092E-07 1.20700E-14
1.21847E-07 1.20608E-14
1.37554E-07 1.20511E-14
1.54213E-07 1.20409E-14
1.71823E-07 1.20301E-14
1.90386E-07 1.20188E-14
2.09900E-07 1.20069E-14
2.30367E-07 1.19946E-14
2.51785E-07 1.19817E-14
2.74156E-07 1.19684E-14
2.97478E-07 1.19545E-14
3.21752E-07 1.19402E-14
3.46978E-07 1.19254E-14
3.73156E-07 1.19102E-14
4.00286E-07 1.18945E-14
4.28368E-07 1.18784E-14
4.57402E-07 1.18619E-14
4.87388E-07 1.18449E-14
5.18325E-07 1.18276E-14
5.50215E-07 1.18098E-14
5.83057E-07 1.17917E-14
6.16850E-07 1.17732E-14
6.51596E-07 1.17543E-14
6.87293E-07 1.17352E-14
7.23942E-07 1.17156E-14
7.61543E-07 1.16958E-14
1.18991E-06 1.14825E-14
1.71347E-06 1.12508E-14
2.33223E-06 1.10120E-14
3.04617E-06 1.07757E-14
3.85531E-06 1.05492E-14
4.75964E-06 1.03369E-14
5.75916E-06 1.01406E-14
6.85388E-06 9.96012E-15
8.04378E-06 9.79376E-15
9.32888E-06 9.63895E-15
1.07092E-05 9.49292E-15
1.21846E-05 9.35325E-15
1.37553E-05 9.21810E-15
1.54212E-05 9.08644E-15
1.71822E-05 8.95794E-15
1.90385E-05 8.83278E-15
2.09899E-05 8.71143E-15
2.30365E-05 8.59436E-15
2.51783E-05 8.48189E-15
2.74153E-05 8.37400E-15
2.97475E-05 8.27040E-15
3.21749E-05 8.17050E-15
3.46974E-05 8.07358E-15
