 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 2.50000E+03 eV = 9.18733E+01 a.u.
 #
 # Element: Te,  Z =  52,  atomic weight = 1.27600E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.38684E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 52
 #
 # Electron density: Read from file Data/z_052.d
 #                   Number of data points =  763
 #                   Volume integral = 5.20000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 2.20960E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.50000E-24 cm**3
 #                            Bpol = 1.23744E+01
 #
 # Total elastic cross section = 1.48362E-16 cm**2 = 5.29811E+00 a0**2
 # 1st transport cross section = 6.80158E-18 cm**2 = 2.42889E-01 a0**2
 # 2nd transport cross section = 1.40235E-17 cm**2 = 5.00788E-01 a0**2
 #
 #    Absorption cross section = 5.20950E-17 cm**2 = 1.86035E+00 a0**2
 #   Grand total cross section = 2.00470E-16 cm**2 = 7.15890E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 3.27702E-15
7.61557E-13 3.27702E-15
1.18994E-12 3.27702E-15
1.71346E-12 3.27702E-15
2.33225E-12 3.27702E-15
3.04617E-12 3.27702E-15
3.85530E-12 3.27702E-15
4.75964E-12 3.27702E-15
5.75917E-12 3.27702E-15
6.85391E-12 3.27702E-15
8.04379E-12 3.27702E-15
9.32893E-12 3.27702E-15
1.07092E-11 3.27702E-15
1.21847E-11 3.27702E-15
1.37554E-11 3.27702E-15
1.54213E-11 3.27702E-15
1.71823E-11 3.27702E-15
1.90386E-11 3.27702E-15
2.09900E-11 3.27702E-15
2.30367E-11 3.27702E-15
2.51785E-11 3.27702E-15
2.74156E-11 3.27702E-15
2.97478E-11 3.27702E-15
3.21752E-11 3.27702E-15
3.46979E-11 3.27702E-15
3.73157E-11 3.27702E-15
4.00286E-11 3.27702E-15
4.28368E-11 3.27702E-15
4.57402E-11 3.27702E-15
4.87388E-11 3.27702E-15
5.18325E-11 3.27702E-15
5.50215E-11 3.27702E-15
5.83057E-11 3.27702E-15
6.16850E-11 3.27702E-15
6.51595E-11 3.27702E-15
6.87293E-11 3.27702E-15
7.23943E-11 3.27702E-15
7.61544E-11 3.27702E-15
1.18991E-10 3.27703E-15
1.71347E-10 3.27703E-15
2.33223E-10 3.27703E-15
3.04617E-10 3.27704E-15
3.85531E-10 3.27705E-15
4.75965E-10 3.27705E-15
5.75917E-10 3.27706E-15
6.85389E-10 3.27707E-15
8.04380E-10 3.27708E-15
9.32891E-10 3.27709E-15
1.07092E-09 3.27710E-15
1.21847E-09 3.27711E-15
1.37554E-09 3.27712E-15
1.54213E-09 3.27713E-15
1.71823E-09 3.27715E-15
1.90386E-09 3.27716E-15
2.09900E-09 3.27718E-15
2.30367E-09 3.27719E-15
2.51785E-09 3.27721E-15
2.74156E-09 3.27723E-15
2.97478E-09 3.27724E-15
3.21752E-09 3.27726E-15
3.46978E-09 3.27728E-15
3.73156E-09 3.27730E-15
4.00286E-09 3.27732E-15
4.28368E-09 3.27734E-15
4.57402E-09 3.27737E-15
4.87388E-09 3.27739E-15
5.18326E-09 3.27741E-15
5.50215E-09 3.27744E-15
5.83057E-09 3.27746E-15
6.16850E-09 3.27749E-15
6.51596E-09 3.27752E-15
6.87293E-09 3.27754E-15
7.23942E-09 3.27757E-15
7.61544E-09 3.27760E-15
1.18991E-08 3.27793E-15
1.71347E-08 3.27833E-15
2.33223E-08 3.27881E-15
3.04617E-08 3.27935E-15
3.85531E-08 3.27997E-15
4.75965E-08 3.28067E-15
5.75917E-08 3.28143E-15
6.85389E-08 3.28227E-15
8.04380E-08 3.28318E-15
9.32891E-08 3.28416E-15
1.07092E-07 3.28521E-15
1.21847E-07 3.28634E-15
1.37554E-07 3.28753E-15
1.54213E-07 3.28880E-15
1.71823E-07 3.29014E-15
1.90386E-07 3.29155E-15
2.09900E-07 3.29303E-15
2.30367E-07 3.29458E-15
2.51785E-07 3.29620E-15
2.74156E-07 3.29788E-15
2.97478E-07 3.29964E-15
3.21752E-07 3.30147E-15
3.46978E-07 3.30337E-15
3.73156E-07 3.30533E-15
4.00286E-07 3.30736E-15
4.28368E-07 3.30946E-15
4.57402E-07 3.31163E-15
4.87388E-07 3.31386E-15
5.18325E-07 3.31616E-15
5.50215E-07 3.31853E-15
5.83057E-07 3.32096E-15
6.16850E-07 3.32346E-15
6.51596E-07 3.32602E-15
6.87293E-07 3.32865E-15
7.23942E-07 3.33133E-15
7.61543E-07 3.33409E-15
1.18991E-06 3.36497E-15
1.71347E-06 3.40155E-15
2.33223E-06 3.44315E-15
3.04617E-06 3.48902E-15
3.85531E-06 3.53834E-15
4.75964E-06 3.59024E-15
5.75916E-06 3.64387E-15
6.85388E-06 3.69837E-15
8.04378E-06 3.75293E-15
9.32888E-06 3.80684E-15
1.07092E-05 3.85947E-15
1.21846E-05 3.91032E-15
1.37553E-05 3.95900E-15
1.54212E-05 4.00527E-15
1.71822E-05 4.04899E-15
1.90385E-05 4.09016E-15
2.09899E-05 4.12885E-15
2.30365E-05 4.16520E-15
2.51783E-05 4.19940E-15
2.74153E-05 4.23169E-15
2.97475E-05 4.26227E-15
3.21749E-05 4.29136E-15
3.46974E-05 4.31913E-15
3.73152E-05 4.34572E-15
4.00281E-05 4.37121E-15
4.28362E-05 4.39567E-15
4.57395E-05 4.41907E-15
4.87380E-05 4.44139E-15
5.18317E-05 4.46257E-15
5.50205E-05 4.48251E-15
5.83045E-05 4.50114E-15
6.16838E-05 4.51837E-15
6.51582E-05 4.53413E-15
6.87277E-05 4.54837E-15
7.23925E-05 4.56106E-15
7.61524E-05 4.57220E-15
9.21439E-05 4.60223E-15
1.09658E-04 4.61273E-15
1.28695E-04 4.60821E-15
1.49255E-04 4.58982E-15
1.71338E-04 4.55674E-15
1.94942E-04 4.50938E-15
2.20070E-04 4.45036E-15
2.46720E-04 4.38248E-15
2.74892E-04 4.30687E-15
3.04586E-04 4.22351E-15
3.35803E-04 4.13290E-15
3.68542E-04 4.03670E-15
4.02802E-04 3.93671E-15
4.38585E-04 3.83373E-15
4.75889E-04 3.72789E-15
5.14715E-04 3.61955E-15
5.55063E-04 3.50978E-15
5.96931E-04 3.39968E-15
6.40321E-04 3.28976E-15
6.85233E-04 3.18010E-15
7.31665E-04 3.07088E-15
7.79618E-04 2.96273E-15
8.29092E-04 2.85632E-15
8.80086E-04 2.75192E-15
9.32601E-04 2.64949E-15
9.86636E-04 2.54908E-15
1.04219E-03 2.45104E-15
1.09927E-03 2.35572E-15
1.15786E-03 2.26323E-15
1.21797E-03 2.17347E-15
1.27961E-03 2.08640E-15
1.34276E-03 2.00216E-15
1.40743E-03 1.92091E-15
1.47362E-03 1.84266E-15
1.54133E-03 1.76727E-15
1.61056E-03 1.69463E-15
1.68131E-03 1.62478E-15
1.75357E-03 1.55778E-15
1.82735E-03 1.49357E-15
1.90265E-03 1.43199E-15
1.97947E-03 1.37293E-15
2.05780E-03 1.31636E-15
2.13765E-03 1.26228E-15
2.21902E-03 1.21060E-15
2.30190E-03 1.16119E-15
2.38630E-03 1.11391E-15
2.47222E-03 1.06873E-15
2.55965E-03 1.02561E-15
2.64859E-03 9.84473E-16
2.73905E-03 9.45188E-16
2.83103E-03 9.07650E-16
2.92452E-03 8.71807E-16
3.01952E-03 8.37618E-16
3.11604E-03 8.05011E-16
3.21407E-03 7.73882E-16
3.31362E-03 7.44143E-16
3.41468E-03 7.15746E-16
3.51725E-03 6.88652E-16
3.62133E-03 6.62800E-16
3.72692E-03 6.38111E-16
3.83403E-03 6.14513E-16
3.94265E-03 5.91967E-16
4.05278E-03 5.70437E-16
4.16442E-03 5.49877E-16
4.27757E-03 5.30225E-16
4.39223E-03 5.11428E-16
4.50840E-03 4.93450E-16
4.62608E-03 4.76265E-16
4.74527E-03 4.59835E-16
4.86597E-03 4.44115E-16
4.98817E-03 4.29062E-16
5.11188E-03 4.14649E-16
5.23711E-03 4.00855E-16
5.36383E-03 3.87650E-16
5.49207E-03 3.74999E-16
5.62181E-03 3.62871E-16
5.75306E-03 3.51244E-16
5.88581E-03 3.40099E-16
6.02007E-03 3.29415E-16
6.15583E-03 3.19163E-16
6.29310E-03 3.09322E-16
6.43187E-03 2.99874E-16
6.57214E-03 2.90803E-16
6.71392E-03 2.82090E-16
6.85720E-03 2.73718E-16
7.00198E-03 2.65667E-16
7.14827E-03 2.57924E-16
7.29605E-03 2.50476E-16
7.44534E-03 2.43309E-16
7.59612E-03 2.36408E-16
7.97965E-03 2.20239E-16
8.37255E-03 2.05483E-16
8.77480E-03 1.91981E-16
9.18641E-03 1.79597E-16
9.60736E-03 1.68212E-16
1.00376E-02 1.57722E-16
1.04773E-02 1.48041E-16
1.09262E-02 1.39087E-16
1.13844E-02 1.30798E-16
1.18520E-02 1.23109E-16
1.23288E-02 1.15976E-16
1.28150E-02 1.09346E-16
1.33104E-02 1.03185E-16
1.38150E-02 9.74484E-17
1.43290E-02 9.21121E-17
1.48521E-02 8.71367E-17
1.53845E-02 8.25030E-17
1.59262E-02 7.81768E-17
1.64770E-02 7.41429E-17
1.70371E-02 7.03711E-17
1.76063E-02 6.68493E-17
1.81848E-02 6.35512E-17
1.87724E-02 6.04676E-17
1.93692E-02 5.75752E-17
1.99751E-02 5.48672E-17
2.05901E-02 5.23235E-17
2.12143E-02 4.99390E-17
2.18476E-02 4.76963E-17
2.24900E-02 4.55916E-17
2.31415E-02 4.36098E-17
2.38021E-02 4.17479E-17
2.44717E-02 3.99929E-17
2.51504E-02 3.83423E-17
2.58382E-02 3.67847E-17
2.65349E-02 3.53180E-17
2.72407E-02 3.39322E-17
2.79555E-02 3.26253E-17
2.86793E-02 3.13889E-17
2.94120E-02 3.02210E-17
3.01537E-02 2.91143E-17
3.09043E-02 2.80670E-17
3.16639E-02 2.70731E-17
3.24324E-02 2.61309E-17
3.32098E-02 2.52352E-17
3.39961E-02 2.43844E-17
3.47912E-02 2.35744E-17
3.55952E-02 2.28036E-17
3.64081E-02 2.20688E-17
3.72297E-02 2.13682E-17
3.80602E-02 2.06994E-17
3.88995E-02 2.00606E-17
3.97476E-02 1.94501E-17
4.06044E-02 1.88658E-17
4.14700E-02 1.83067E-17
4.23443E-02 1.77708E-17
4.32273E-02 1.72572E-17
4.41190E-02 1.67641E-17
4.50194E-02 1.62909E-17
4.59284E-02 1.58358E-17
4.68461E-02 1.53986E-17
4.87074E-02 1.45722E-17
5.06030E-02 1.38051E-17
5.25328E-02 1.30915E-17
5.44967E-02 1.24263E-17
5.64946E-02 1.18052E-17
5.85262E-02 1.12244E-17
6.05914E-02 1.06803E-17
6.26901E-02 1.01698E-17
6.48222E-02 9.69002E-18
6.69873E-02 9.23842E-18
6.91854E-02 8.81286E-18
7.14163E-02 8.41152E-18
7.36799E-02 8.03282E-18
7.59760E-02 7.67538E-18
7.83043E-02 7.33790E-18
8.06647E-02 7.01909E-18
8.30571E-02 6.71765E-18
8.54812E-02 6.43233E-18
8.79369E-02 6.16194E-18
9.04240E-02 5.90546E-18
9.29422E-02 5.66200E-18
9.54915E-02 5.43086E-18
9.80716E-02 5.21145E-18
1.00682E-01 5.00323E-18
1.03323E-01 4.80564E-18
1.05995E-01 4.61808E-18
1.08696E-01 4.43989E-18
1.11427E-01 4.27042E-18
1.14188E-01 4.10906E-18
1.16978E-01 3.95525E-18
1.19797E-01 3.80859E-18
1.22645E-01 3.66874E-18
1.25522E-01 3.53543E-18
1.28428E-01 3.40842E-18
1.31361E-01 3.28742E-18
1.34323E-01 3.17211E-18
1.37313E-01 3.06214E-18
1.40330E-01 2.95710E-18
1.43375E-01 2.85665E-18
1.46447E-01 2.76049E-18
1.49545E-01 2.66838E-18
1.52671E-01 2.58016E-18
1.55823E-01 2.49570E-18
1.59001E-01 2.41489E-18
1.62205E-01 2.33759E-18
1.65435E-01 2.26364E-18
1.68690E-01 2.19283E-18
1.71970E-01 2.12495E-18
1.75276E-01 2.05981E-18
1.78606E-01 1.99722E-18
1.81961E-01 1.93705E-18
1.85340E-01 1.87921E-18
1.88743E-01 1.82363E-18
1.92169E-01 1.77025E-18
1.95619E-01 1.71900E-18
1.99092E-01 1.66979E-18
2.02589E-01 1.62251E-18
2.06107E-01 1.57704E-18
2.09649E-01 1.53325E-18
2.13212E-01 1.49105E-18
2.16797E-01 1.45036E-18
2.20404E-01 1.41111E-18
2.24032E-01 1.37328E-18
2.27680E-01 1.33680E-18
2.31350E-01 1.30166E-18
2.35040E-01 1.26779E-18
2.38751E-01 1.23514E-18
2.42481E-01 1.20364E-18
2.46231E-01 1.17324E-18
2.50000E-01 1.14388E-18
2.53788E-01 1.11551E-18
2.57595E-01 1.08808E-18
2.61421E-01 1.06157E-18
2.65264E-01 1.03592E-18
2.69126E-01 1.01113E-18
2.73005E-01 9.87156E-19
2.76901E-01 9.63987E-19
2.80814E-01 9.41591E-19
2.84744E-01 9.19930E-19
2.88691E-01 8.98960E-19
2.92653E-01 8.78642E-19
2.96632E-01 8.58948E-19
3.00625E-01 8.39864E-19
3.04634E-01 8.21380E-19
3.08658E-01 8.03476E-19
3.12697E-01 7.86127E-19
3.16749E-01 7.69302E-19
3.20816E-01 7.52982E-19
3.24896E-01 7.37156E-19
3.28990E-01 7.21812E-19
3.33097E-01 7.06931E-19
3.37216E-01 6.92484E-19
3.41348E-01 6.78450E-19
3.45492E-01 6.64822E-19
3.49647E-01 6.51600E-19
3.53814E-01 6.38772E-19
3.57992E-01 6.26314E-19
3.62181E-01 6.14201E-19
