 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+04 eV = 3.67493E+02 a.u.
 #
 # Element:  I,  Z =  53,  atomic weight = 1.26904E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.37703E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 53
 #
 # Electron density: Read from file Data/z_053.d
 #                   Number of data points =  749
 #                   Volume integral = 5.30000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.35000E-24 cm**3
 #                            Bpol = 2.49374E+01
 #
 # Total elastic cross section = 7.89024E-17 cm**2 = 2.81766E+00 a0**2
 # 1st transport cross section = 2.48273E-18 cm**2 = 8.86598E-02 a0**2
 # 2nd transport cross section = 4.59126E-18 cm**2 = 1.63957E-01 a0**2
 #
 #    Absorption cross section = 1.49304E-17 cm**2 = 5.33175E-01 a0**2
 #   Grand total cross section = 9.38450E-17 cm**2 = 3.35127E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 1.16411E-14
7.61557E-13 1.16411E-14
1.18994E-12 1.16411E-14
1.71346E-12 1.16411E-14
2.33225E-12 1.16411E-14
3.04617E-12 1.16411E-14
3.85530E-12 1.16411E-14
4.75964E-12 1.16411E-14
5.75917E-12 1.16411E-14
6.85391E-12 1.16411E-14
8.04379E-12 1.16411E-14
9.32893E-12 1.16411E-14
1.07092E-11 1.16411E-14
1.21847E-11 1.16411E-14
1.37554E-11 1.16411E-14
1.54213E-11 1.16411E-14
1.71823E-11 1.16411E-14
1.90386E-11 1.16411E-14
2.09900E-11 1.16411E-14
2.30367E-11 1.16411E-14
2.51785E-11 1.16411E-14
2.74156E-11 1.16411E-14
2.97478E-11 1.16411E-14
3.21752E-11 1.16411E-14
3.46979E-11 1.16411E-14
3.73157E-11 1.16411E-14
4.00286E-11 1.16411E-14
4.28368E-11 1.16411E-14
4.57402E-11 1.16411E-14
4.87388E-11 1.16411E-14
5.18325E-11 1.16411E-14
5.50215E-11 1.16411E-14
5.83057E-11 1.16411E-14
6.16850E-11 1.16411E-14
6.51595E-11 1.16411E-14
6.87293E-11 1.16411E-14
7.23943E-11 1.16411E-14
7.61544E-11 1.16411E-14
1.18991E-10 1.16410E-14
1.71347E-10 1.16410E-14
2.33223E-10 1.16409E-14
3.04617E-10 1.16409E-14
3.85531E-10 1.16408E-14
4.75965E-10 1.16407E-14
5.75917E-10 1.16406E-14
6.85389E-10 1.16405E-14
8.04380E-10 1.16404E-14
9.32891E-10 1.16403E-14
1.07092E-09 1.16401E-14
1.21847E-09 1.16400E-14
1.37554E-09 1.16399E-14
1.54213E-09 1.16397E-14
1.71823E-09 1.16396E-14
1.90386E-09 1.16394E-14
2.09900E-09 1.16392E-14
2.30367E-09 1.16390E-14
2.51785E-09 1.16388E-14
2.74156E-09 1.16386E-14
2.97478E-09 1.16384E-14
3.21752E-09 1.16382E-14
3.46978E-09 1.16379E-14
3.73156E-09 1.16377E-14
4.00286E-09 1.16374E-14
4.28368E-09 1.16372E-14
4.57402E-09 1.16369E-14
4.87388E-09 1.16366E-14
5.18326E-09 1.16364E-14
5.50215E-09 1.16361E-14
5.83057E-09 1.16358E-14
6.16850E-09 1.16355E-14
6.51596E-09 1.16351E-14
6.87293E-09 1.16348E-14
7.23942E-09 1.16345E-14
7.61544E-09 1.16341E-14
1.18991E-08 1.16302E-14
1.71347E-08 1.16254E-14
2.33223E-08 1.16198E-14
3.04617E-08 1.16133E-14
3.85531E-08 1.16059E-14
4.75965E-08 1.15978E-14
5.75917E-08 1.15888E-14
6.85389E-08 1.15790E-14
8.04380E-08 1.15685E-14
9.32891E-08 1.15571E-14
1.07092E-07 1.15450E-14
1.21847E-07 1.15322E-14
1.37554E-07 1.15186E-14
1.54213E-07 1.15043E-14
1.71823E-07 1.14893E-14
1.90386E-07 1.14737E-14
2.09900E-07 1.14574E-14
2.30367E-07 1.14405E-14
2.51785E-07 1.14229E-14
2.74156E-07 1.14048E-14
2.97478E-07 1.13861E-14
3.21752E-07 1.13669E-14
3.46978E-07 1.13472E-14
3.73156E-07 1.13270E-14
4.00286E-07 1.13063E-14
4.28368E-07 1.12852E-14
4.57402E-07 1.12636E-14
4.87388E-07 1.12417E-14
5.18325E-07 1.12194E-14
5.50215E-07 1.11967E-14
5.83057E-07 1.11737E-14
6.16850E-07 1.11505E-14
6.51596E-07 1.11269E-14
6.87293E-07 1.11032E-14
7.23942E-07 1.10791E-14
7.61543E-07 1.10549E-14
1.18991E-06 1.08068E-14
1.71347E-06 1.05611E-14
2.33223E-06 1.03316E-14
3.04617E-06 1.01247E-14
3.85531E-06 9.94060E-15
4.75964E-06 9.77520E-15
5.75916E-06 9.62307E-15
6.85388E-06 9.47936E-15
8.04378E-06 9.34116E-15
9.32888E-06 9.20761E-15
1.07092E-05 9.07928E-15
1.21846E-05 8.95721E-15
1.37553E-05 8.84196E-15
1.54212E-05 8.73325E-15
1.71822E-05 8.62994E-15
1.90385E-05 8.53052E-15
2.09899E-05 8.43361E-15
2.30365E-05 8.33840E-15
2.51783E-05 8.24468E-15
2.74153E-05 8.15270E-15
2.97475E-05 8.06284E-15
3.21749E-05 7.97525E-15
3.46974E-05 7.88974E-15
3.73152E-05 7.80579E-15
4.00281E-05 7.72278E-15
4.28362E-05 7.64019E-15
4.57395E-05 7.55777E-15
4.87380E-05 7.47556E-15
5.18317E-05 7.39377E-15
5.50205E-05 7.31264E-15
5.83045E-05 7.23223E-15
6.16838E-05 7.15245E-15
6.51582E-05 7.07302E-15
6.87277E-05 6.99367E-15
7.23925E-05 6.91420E-15
7.61524E-05 6.83457E-15
9.21439E-05 6.51726E-15
1.09658E-04 6.20309E-15
1.28695E-04 5.89008E-15
1.49255E-04 5.58192E-15
1.71338E-04 5.27792E-15
1.94942E-04 4.98141E-15
2.20070E-04 4.69234E-15
2.46720E-04 4.41310E-15
2.74892E-04 4.14392E-15
3.04586E-04 3.88619E-15
3.35803E-04 3.64017E-15
3.68542E-04 3.40637E-15
4.02802E-04 3.18502E-15
4.38585E-04 2.97600E-15
4.75889E-04 2.77944E-15
5.14715E-04 2.59482E-15
5.55063E-04 2.42212E-15
5.96931E-04 2.26061E-15
6.40321E-04 2.11014E-15
6.85233E-04 1.96993E-15
7.31665E-04 1.83968E-15
7.79618E-04 1.71866E-15
8.29092E-04 1.60645E-15
8.80086E-04 1.50240E-15
9.32601E-04 1.40602E-15
9.86636E-04 1.31676E-15
1.04219E-03 1.23410E-15
1.09927E-03 1.15759E-15
1.15786E-03 1.08670E-15
1.21797E-03 1.02107E-15
1.27961E-03 9.60212E-16
1.34276E-03 9.03813E-16
1.40743E-03 8.51455E-16
1.47362E-03 8.02870E-16
1.54133E-03 7.57703E-16
1.61056E-03 7.15722E-16
1.68131E-03 6.76637E-16
1.75357E-03 6.40241E-16
1.82735E-03 6.06303E-16
1.90265E-03 5.74638E-16
1.97947E-03 5.45063E-16
2.05780E-03 5.17412E-16
2.13765E-03 4.91541E-16
2.21902E-03 4.67302E-16
2.30190E-03 4.44582E-16
2.38630E-03 4.23249E-16
2.47222E-03 4.03214E-16
2.55965E-03 3.84364E-16
2.64859E-03 3.66625E-16
2.73905E-03 3.49904E-16
2.83103E-03 3.34137E-16
2.92452E-03 3.19251E-16
3.01952E-03 3.05187E-16
3.11604E-03 2.91888E-16
3.21407E-03 2.79304E-16
3.31362E-03 2.67390E-16
3.41468E-03 2.56099E-16
3.51725E-03 2.45396E-16
3.62133E-03 2.35241E-16
3.72692E-03 2.25604E-16
3.83403E-03 2.16451E-16
3.94265E-03 2.07755E-16
4.05278E-03 1.99487E-16
4.16442E-03 1.91624E-16
4.27757E-03 1.84140E-16
4.39223E-03 1.77016E-16
4.50840E-03 1.70230E-16
4.62608E-03 1.63762E-16
4.74527E-03 1.57597E-16
4.86597E-03 1.51717E-16
4.98817E-03 1.46106E-16
5.11188E-03 1.40752E-16
5.23711E-03 1.35640E-16
5.36383E-03 1.30758E-16
5.49207E-03 1.26095E-16
5.62181E-03 1.21640E-16
5.75306E-03 1.17382E-16
5.88581E-03 1.13312E-16
6.02007E-03 1.09421E-16
6.15583E-03 1.05700E-16
6.29310E-03 1.02139E-16
6.43187E-03 9.87331E-17
6.57214E-03 9.54728E-17
6.71392E-03 9.23510E-17
6.85720E-03 8.93619E-17
7.00198E-03 8.64976E-17
7.14827E-03 8.37537E-17
7.29605E-03 8.11227E-17
7.44534E-03 7.86011E-17
7.59612E-03 7.61816E-17
7.97965E-03 7.05551E-17
8.37255E-03 6.54762E-17
8.77480E-03 6.08844E-17
9.18641E-03 5.67254E-17
9.60736E-03 5.29512E-17
1.00376E-02 4.95188E-17
1.04773E-02 4.63906E-17
1.09262E-02 4.35334E-17
1.13844E-02 4.09182E-17
1.18520E-02 3.85194E-17
1.23288E-02 3.63144E-17
1.28150E-02 3.42832E-17
1.33104E-02 3.24080E-17
1.38150E-02 3.06729E-17
1.43290E-02 2.90636E-17
1.48521E-02 2.75679E-17
1.53845E-02 2.61750E-17
1.59262E-02 2.48754E-17
1.64770E-02 2.36609E-17
1.70371E-02 2.25240E-17
1.76063E-02 2.14578E-17
1.81848E-02 2.04562E-17
1.87724E-02 1.95138E-17
