 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 9.00000E+03 eV = 3.30744E+02 a.u.
 #
 # Element: Xe,  Z =  54,  atomic weight = 1.31290E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.43827E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 54
 #
 # Electron density: Read from file Data/z_054.d
 #                   Number of data points =  737
 #                   Volume integral = 5.40000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 5.32980E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 4.04400E-24 cm**3
 #                            Bpol = 2.36511E+01
 #
 # Total elastic cross section = 8.00148E-17 cm**2 = 2.85738E+00 a0**2
 # 1st transport cross section = 1.70631E-18 cm**2 = 6.09335E-02 a0**2
 # 2nd transport cross section = 3.77562E-18 cm**2 = 1.34830E-01 a0**2
 #
 #    Absorption cross section = 1.35844E-17 cm**2 = 4.85106E-01 a0**2
 #   Grand total cross section = 9.36122E-17 cm**2 = 3.34295E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 5.53395E-15
7.61557E-13 5.53395E-15
1.18994E-12 5.53395E-15
1.71346E-12 5.53395E-15
2.33225E-12 5.53395E-15
3.04617E-12 5.53395E-15
3.85530E-12 5.53395E-15
4.75964E-12 5.53395E-15
5.75917E-12 5.53395E-15
6.85391E-12 5.53395E-15
8.04379E-12 5.53395E-15
9.32893E-12 5.53396E-15
1.07092E-11 5.53396E-15
1.21847E-11 5.53396E-15
1.37554E-11 5.53396E-15
1.54213E-11 5.53396E-15
1.71823E-11 5.53396E-15
1.90386E-11 5.53396E-15
2.09900E-11 5.53396E-15
2.30367E-11 5.53396E-15
2.51785E-11 5.53396E-15
2.74156E-11 5.53396E-15
2.97478E-11 5.53396E-15
3.21752E-11 5.53396E-15
3.46979E-11 5.53396E-15
3.73157E-11 5.53397E-15
4.00286E-11 5.53397E-15
4.28368E-11 5.53397E-15
4.57402E-11 5.53397E-15
4.87388E-11 5.53397E-15
5.18325E-11 5.53397E-15
5.50215E-11 5.53397E-15
5.83057E-11 5.53397E-15
6.16850E-11 5.53397E-15
6.51595E-11 5.53398E-15
6.87293E-11 5.53398E-15
7.23943E-11 5.53398E-15
7.61544E-11 5.53398E-15
1.18991E-10 5.53399E-15
1.71347E-10 5.53401E-15
2.33223E-10 5.53403E-15
3.04617E-10 5.53406E-15
3.85531E-10 5.53409E-15
4.75965E-10 5.53412E-15
5.75917E-10 5.53416E-15
6.85389E-10 5.53420E-15
8.04380E-10 5.53424E-15
9.32891E-10 5.53428E-15
1.07092E-09 5.53433E-15
1.21847E-09 5.53438E-15
1.37554E-09 5.53444E-15
1.54213E-09 5.53450E-15
1.71823E-09 5.53456E-15
1.90386E-09 5.53463E-15
2.09900E-09 5.53470E-15
2.30367E-09 5.53477E-15
2.51785E-09 5.53485E-15
2.74156E-09 5.53493E-15
2.97478E-09 5.53501E-15
3.21752E-09 5.53509E-15
3.46978E-09 5.53518E-15
3.73156E-09 5.53528E-15
4.00286E-09 5.53537E-15
4.28368E-09 5.53547E-15
