 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.00000E+03 eV = 1.46997E+02 a.u.
 #
 # Element: Xe,  Z =  54,  atomic weight = 1.31290E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.43827E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 54
 #
 # Electron density: Read from file Data/z_054.d
 #                   Number of data points =  737
 #                   Volume integral = 5.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 8.31000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 4.04400E-24 cm**3
 #                            Bpol = 1.57123E+01
 #
 # Total elastic cross section = 1.35361E-16 cm**2 = 4.83383E+00 a0**2
 # 1st transport cross section = 9.28240E-18 cm**2 = 3.31481E-01 a0**2
 # 2nd transport cross section = 1.35371E-17 cm**2 = 4.83420E-01 a0**2
 #
 #    Absorption cross section = 2.64754E-17 cm**2 = 9.45455E-01 a0**2
 #   Grand total cross section = 1.61848E-16 cm**2 = 5.77969E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 9.04780E-15
7.61557E-13 9.04780E-15
1.18994E-12 9.04780E-15
1.71346E-12 9.04780E-15
2.33225E-12 9.04780E-15
3.04617E-12 9.04780E-15
3.85530E-12 9.04780E-15
4.75964E-12 9.04780E-15
5.75917E-12 9.04780E-15
6.85391E-12 9.04779E-15
8.04379E-12 9.04779E-15
9.32893E-12 9.04779E-15
1.07092E-11 9.04779E-15
1.21847E-11 9.04779E-15
1.37554E-11 9.04779E-15
1.54213E-11 9.04779E-15
1.71823E-11 9.04779E-15
1.90386E-11 9.04779E-15
2.09900E-11 9.04779E-15
2.30367E-11 9.04779E-15
2.51785E-11 9.04779E-15
2.74156E-11 9.04779E-15
2.97478E-11 9.04779E-15
3.21752E-11 9.04779E-15
3.46979E-11 9.04779E-15
3.73157E-11 9.04779E-15
4.00286E-11 9.04779E-15
4.28368E-11 9.04779E-15
4.57402E-11 9.04779E-15
4.87388E-11 9.04779E-15
5.18325E-11 9.04778E-15
5.50215E-11 9.04778E-15
5.83057E-11 9.04778E-15
6.16850E-11 9.04778E-15
6.51595E-11 9.04778E-15
6.87293E-11 9.04778E-15
7.23943E-11 9.04778E-15
7.61544E-11 9.04778E-15
1.18991E-10 9.04777E-15
1.71347E-10 9.04776E-15
2.33223E-10 9.04774E-15
3.04617E-10 9.04773E-15
3.85531E-10 9.04771E-15
4.75965E-10 9.04768E-15
5.75917E-10 9.04766E-15
6.85389E-10 9.04764E-15
8.04380E-10 9.04761E-15
9.32891E-10 9.04758E-15
1.07092E-09 9.04755E-15
1.21847E-09 9.04751E-15
1.37554E-09 9.04747E-15
1.54213E-09 9.04743E-15
1.71823E-09 9.04739E-15
1.90386E-09 9.04735E-15
2.09900E-09 9.04730E-15
2.30367E-09 9.04726E-15
2.51785E-09 9.04721E-15
2.74156E-09 9.04715E-15
2.97478E-09 9.04710E-15
3.21752E-09 9.04704E-15
3.46978E-09 9.04698E-15
3.73156E-09 9.04692E-15
4.00286E-09 9.04686E-15
4.28368E-09 9.04679E-15
4.57402E-09 9.04672E-15
4.87388E-09 9.04665E-15
5.18326E-09 9.04658E-15
5.50215E-09 9.04651E-15
5.83057E-09 9.04643E-15
6.16850E-09 9.04635E-15
6.51596E-09 9.04627E-15
6.87293E-09 9.04619E-15
7.23942E-09 9.04610E-15
7.61544E-09 9.04601E-15
1.18991E-08 9.04501E-15
1.71347E-08 9.04378E-15
2.33223E-08 9.04234E-15
3.04617E-08 9.04067E-15
3.85531E-08 9.03879E-15
4.75965E-08 9.03668E-15
5.75917E-08 9.03436E-15
6.85389E-08 9.03182E-15
8.04380E-08 9.02906E-15
9.32891E-08 9.02609E-15
1.07092E-07 9.02291E-15
1.21847E-07 9.01951E-15
1.37554E-07 9.01591E-15
1.54213E-07 9.01210E-15
1.71823E-07 9.00808E-15
1.90386E-07 9.00386E-15
2.09900E-07 8.99943E-15
2.30367E-07 8.99481E-15
2.51785E-07 8.98999E-15
2.74156E-07 8.98497E-15
2.97478E-07 8.97975E-15
3.21752E-07 8.97435E-15
3.46978E-07 8.96876E-15
3.73156E-07 8.96298E-15
4.00286E-07 8.95702E-15
4.28368E-07 8.95087E-15
4.57402E-07 8.94455E-15
4.87388E-07 8.93805E-15
5.18325E-07 8.93138E-15
5.50215E-07 8.92454E-15
5.83057E-07 8.91754E-15
6.16850E-07 8.91037E-15
6.51596E-07 8.90304E-15
6.87293E-07 8.89555E-15
7.23942E-07 8.88791E-15
7.61543E-07 8.88012E-15
1.18991E-06 8.79467E-15
1.71347E-06 8.69797E-15
2.33223E-06 8.59357E-15
3.04617E-06 8.48490E-15
3.85531E-06 8.37502E-15
4.75964E-06 8.26644E-15
5.75916E-06 8.16108E-15
6.85388E-06 8.06019E-15
8.04378E-06 7.96441E-15
9.32888E-06 7.87387E-15
1.07092E-05 7.78824E-15
