 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.50000E+03 eV = 5.51240E+01 a.u.
 #
 # Element: Cs,  Z =  55,  atomic weight = 1.32905E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.46049E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 55
 #
 # Electron density: Read from file Data/z_055.d
 #                   Number of data points =  915
 #                   Volume integral = 5.50000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.96000E-23 cm**3
 #                            Bpol = 9.51972E+00
 #
 # Total elastic cross section = 3.00064E-16 cm**2 = 1.07155E+01 a0**2
 # 1st transport cross section = 3.13749E-17 cm**2 = 1.12042E+00 a0**2
 # 2nd transport cross section = 3.28410E-17 cm**2 = 1.17277E+00 a0**2
 #
 #    Absorption cross section = 1.45756E-16 cm**2 = 5.20504E+00 a0**2
 #   Grand total cross section = 4.45837E-16 cm**2 = 1.59211E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 7.51243E-14
7.61557E-13 7.51243E-14
1.18994E-12 7.51243E-14
1.71346E-12 7.51243E-14
2.33225E-12 7.51243E-14
3.04617E-12 7.51242E-14
3.85530E-12 7.51242E-14
4.75964E-12 7.51242E-14
5.75917E-12 7.51242E-14
6.85391E-12 7.51242E-14
8.04379E-12 7.51242E-14
9.32893E-12 7.51242E-14
1.07092E-11 7.51242E-14
1.21847E-11 7.51242E-14
1.37554E-11 7.51242E-14
1.54213E-11 7.51242E-14
1.71823E-11 7.51242E-14
1.90386E-11 7.51242E-14
2.09900E-11 7.51242E-14
2.30367E-11 7.51242E-14
2.51785E-11 7.51242E-14
2.74156E-11 7.51242E-14
2.97478E-11 7.51242E-14
3.21752E-11 7.51241E-14
3.46979E-11 7.51241E-14
3.73157E-11 7.51241E-14
4.00286E-11 7.51241E-14
4.28368E-11 7.51241E-14
4.57402E-11 7.51241E-14
4.87388E-11 7.51241E-14
5.18325E-11 7.51241E-14
5.50215E-11 7.51241E-14
5.83057E-11 7.51241E-14
6.16850E-11 7.51240E-14
6.51595E-11 7.51240E-14
6.87293E-11 7.51240E-14
7.23943E-11 7.51240E-14
7.61544E-11 7.51240E-14
1.18991E-10 7.51238E-14
1.71347E-10 7.51236E-14
2.33223E-10 7.51234E-14
3.04617E-10 7.51232E-14
3.85531E-10 7.51229E-14
4.75965E-10 7.51226E-14
5.75917E-10 7.51222E-14
6.85389E-10 7.51218E-14
8.04380E-10 7.51214E-14
9.32891E-10 7.51209E-14
1.07092E-09 7.51204E-14
1.21847E-09 7.51199E-14
1.37554E-09 7.51193E-14
1.54213E-09 7.51187E-14
1.71823E-09 7.51181E-14
1.90386E-09 7.51174E-14
2.09900E-09 7.51167E-14
2.30367E-09 7.51160E-14
2.51785E-09 7.51152E-14
2.74156E-09 7.51144E-14
2.97478E-09 7.51136E-14
3.21752E-09 7.51127E-14
3.46978E-09 7.51118E-14
3.73156E-09 7.51109E-14
4.00286E-09 7.51099E-14
4.28368E-09 7.51089E-14
4.57402E-09 7.51079E-14
4.87388E-09 7.51068E-14
5.18326E-09 7.51057E-14
5.50215E-09 7.51046E-14
5.83057E-09 7.51034E-14
6.16850E-09 7.51022E-14
6.51596E-09 7.51009E-14
6.87293E-09 7.50996E-14
7.23942E-09 7.50983E-14
7.61544E-09 7.50970E-14
1.18991E-08 7.50816E-14
1.71347E-08 7.50629E-14
2.33223E-08 7.50408E-14
3.04617E-08 7.50153E-14
3.85531E-08 7.49864E-14
4.75965E-08 7.49541E-14
5.75917E-08 7.49184E-14
6.85389E-08 7.48794E-14
8.04380E-08 7.48371E-14
9.32891E-08 7.47914E-14
1.07092E-07 7.47424E-14
1.21847E-07 7.46901E-14
1.37554E-07 7.46345E-14
1.54213E-07 7.45756E-14
1.71823E-07 7.45134E-14
1.90386E-07 7.44479E-14
2.09900E-07 7.43793E-14
2.30367E-07 7.43074E-14
2.51785E-07 7.42323E-14
2.74156E-07 7.41541E-14
2.97478E-07 7.40726E-14
3.21752E-07 7.39881E-14
3.46978E-07 7.39004E-14
3.73156E-07 7.38096E-14
4.00286E-07 7.37157E-14
4.28368E-07 7.36188E-14
4.57402E-07 7.35189E-14
4.87388E-07 7.34159E-14
5.18325E-07 7.33100E-14
5.50215E-07 7.32011E-14
5.83057E-07 7.30894E-14
6.16850E-07 7.29747E-14
6.51596E-07 7.28571E-14
6.87293E-07 7.27367E-14
7.23942E-07 7.26135E-14
7.61543E-07 7.24875E-14
1.18991E-06 7.10820E-14
1.71347E-06 6.94355E-14
2.33223E-06 6.75858E-14
3.04617E-06 6.55728E-14
3.85531E-06 6.34374E-14
4.75964E-06 6.12200E-14
5.75916E-06 5.89589E-14
6.85388E-06 5.66890E-14
8.04378E-06 5.44416E-14
9.32888E-06 5.22431E-14
1.07092E-05 5.01153E-14
1.21846E-05 4.80747E-14
1.37553E-05 4.61332E-14
1.54212E-05 4.42983E-14
1.71822E-05 4.25733E-14
1.90385E-05 4.09583E-14
2.09899E-05 3.94503E-14
2.30365E-05 3.80443E-14
2.51783E-05 3.67332E-14
2.74153E-05 3.55093E-14
2.97475E-05 3.43640E-14
3.21749E-05 3.32886E-14
3.46974E-05 3.22746E-14
3.73152E-05 3.13139E-14
4.00281E-05 3.03995E-14
4.28362E-05 2.95250E-14
4.57395E-05 2.86851E-14
4.87380E-05 2.78758E-14
5.18317E-05 2.70937E-14
5.50205E-05 2.63367E-14
5.83045E-05 2.56034E-14
6.16838E-05 2.48930E-14
6.51582E-05 2.42056E-14
6.87277E-05 2.35411E-14
7.23925E-05 2.29001E-14
7.61524E-05 2.22829E-14
9.21439E-05 2.00567E-14
1.09658E-04 1.81985E-14
1.28695E-04 1.66322E-14
1.49255E-04 1.52630E-14
1.71338E-04 1.40289E-14
1.94942E-04 1.29149E-14
2.20070E-04 1.19274E-14
2.46720E-04 1.10628E-14
2.74892E-04 1.02979E-14
3.04586E-04 9.60371E-15
3.35803E-04 8.96270E-15
3.68542E-04 8.37347E-15
4.02802E-04 7.84052E-15
4.38585E-04 7.36233E-15
4.75889E-04 6.92881E-15
5.14715E-04 6.52815E-15
5.55063E-04 6.15432E-15
5.96931E-04 5.80808E-15
6.40321E-04 5.49166E-15
6.85233E-04 5.20351E-15
7.31665E-04 4.93805E-15
7.79618E-04 4.68960E-15
8.29092E-04 4.45589E-15
8.80086E-04 4.23788E-15
9.32601E-04 4.03658E-15
9.86636E-04 3.85061E-15
1.04219E-03 3.67666E-15
1.09927E-03 3.51188E-15
1.15786E-03 3.35555E-15
1.21797E-03 3.20851E-15
1.27961E-03 3.07122E-15
1.34276E-03 2.94266E-15
1.40743E-03 2.82088E-15
1.47362E-03 2.70449E-15
1.54133E-03 2.59342E-15
1.61056E-03 2.48832E-15
1.68131E-03 2.38937E-15
1.75357E-03 2.29582E-15
1.82735E-03 2.20649E-15
1.90265E-03 2.12072E-15
1.97947E-03 2.03867E-15
2.05780E-03 1.96077E-15
2.13765E-03 1.88702E-15
2.21902E-03 1.81681E-15
2.30190E-03 1.74945E-15
2.38630E-03 1.68461E-15
2.47222E-03 1.62247E-15
2.55965E-03 1.56329E-15
2.64859E-03 1.50695E-15
2.73905E-03 1.45301E-15
2.83103E-03 1.40103E-15
2.92452E-03 1.35089E-15
3.01952E-03 1.30273E-15
3.11604E-03 1.25669E-15
3.21407E-03 1.21263E-15
3.31362E-03 1.17024E-15
3.41468E-03 1.12927E-15
3.51725E-03 1.08969E-15
3.62133E-03 1.05163E-15
3.72692E-03 1.01513E-15
3.83403E-03 9.80083E-16
3.94265E-03 9.46281E-16
4.05278E-03 9.13596E-16
4.16442E-03 8.82049E-16
4.27757E-03 8.51716E-16
4.39223E-03 8.22609E-16
4.50840E-03 7.94629E-16
4.62608E-03 7.67648E-16
4.74527E-03 7.41605E-16
4.86597E-03 7.16522E-16
4.98817E-03 6.92435E-16
5.11188E-03 6.69322E-16
5.23711E-03 6.47106E-16
5.36383E-03 6.25708E-16
5.49207E-03 6.05096E-16
5.62181E-03 5.85276E-16
5.75306E-03 5.66250E-16
5.88581E-03 5.47982E-16
6.02007E-03 5.30415E-16
6.15583E-03 5.13504E-16
6.29310E-03 4.97230E-16
6.43187E-03 4.81582E-16
6.57214E-03 4.66541E-16
6.71392E-03 4.52075E-16
6.85720E-03 4.38151E-16
7.00198E-03 4.24746E-16
7.14827E-03 4.11847E-16
7.29605E-03 3.99432E-16
7.44534E-03 3.87475E-16
7.59612E-03 3.75955E-16
7.97965E-03 3.49003E-16
8.37255E-03 3.24476E-16
8.77480E-03 3.02120E-16
9.18641E-03 2.81822E-16
9.60736E-03 2.63269E-16
1.00376E-02 2.46446E-16
1.04773E-02 2.31037E-16
1.09262E-02 2.17004E-16
1.13844E-02 2.04154E-16
1.18520E-02 1.92326E-16
1.23288E-02 1.81517E-16
1.28150E-02 1.71453E-16
1.33104E-02 1.62254E-16
1.38150E-02 1.53649E-16
1.43290E-02 1.45728E-16
1.48521E-02 1.38355E-16
1.53845E-02 1.31474E-16
1.59262E-02 1.25129E-16
1.64770E-02 1.19121E-16
1.70371E-02 1.13601E-16
1.76063E-02 1.08343E-16
1.81848E-02 1.03467E-16
1.87724E-02 9.88537E-17
1.93692E-02 9.44930E-17
1.99751E-02 9.04232E-17
2.05901E-02 8.65071E-17
2.12143E-02 8.28829E-17
2.18476E-02 7.93788E-17
2.24900E-02 7.61144E-17
2.31415E-02 7.29938E-17
2.38021E-02 7.00291E-17
2.44717E-02 6.72469E-17
2.51504E-02 6.45510E-17
2.58382E-02 6.20482E-17
2.65349E-02 5.96097E-17
2.72407E-02 5.73314E-17
2.79555E-02 5.51401E-17
2.86793E-02 5.30516E-17
2.94120E-02 5.10848E-17
3.01537E-02 4.91738E-17
3.09043E-02 4.73966E-17
3.16639E-02 4.56621E-17
3.24324E-02 4.40391E-17
3.32098E-02 4.24763E-17
3.39961E-02 4.09847E-17
3.47912E-02 3.95778E-17
3.55952E-02 3.82103E-17
3.64081E-02 3.69354E-17
3.72297E-02 3.56929E-17
3.80602E-02 3.45271E-17
3.88995E-02 3.34066E-17
3.97476E-02 3.23355E-17
4.06044E-02 3.13247E-17
4.14700E-02 3.03429E-17
4.23443E-02 2.94231E-17
4.32273E-02 2.85290E-17
4.41190E-02 2.76841E-17
4.50194E-02 2.68735E-17
4.59284E-02 2.60951E-17
4.68461E-02 2.53590E-17
4.87074E-02 2.39722E-17
5.06030E-02 2.27019E-17
5.25328E-02 2.15369E-17
5.44967E-02 2.04656E-17
5.64946E-02 1.94771E-17
5.85262E-02 1.85624E-17
6.05914E-02 1.77150E-17
6.26901E-02 1.69289E-17
6.48222E-02 1.61979E-17
6.69873E-02 1.55153E-17
6.91854E-02 1.48753E-17
7.14163E-02 1.42737E-17
7.36799E-02 1.37079E-17
7.59760E-02 1.31756E-17
7.83043E-02 1.26735E-17
8.06647E-02 1.21977E-17
8.30571E-02 1.17451E-17
8.54812E-02 1.13143E-17
8.79369E-02 1.09049E-17
9.04240E-02 1.05160E-17
9.29422E-02 1.01456E-17
9.54915E-02 9.79113E-18
9.80716E-02 9.45104E-18
1.00682E-01 9.12520E-18
