 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.75000E+03 eV = 6.43113E+01 a.u.
 #
 # Element: Cs,  Z =  55,  atomic weight = 1.32905E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.46049E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 55
 #
 # Electron density: Read from file Data/z_055.d
 #                   Number of data points =  915
 #                   Volume integral = 5.50000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.96000E-23 cm**3
 #                            Bpol = 1.03078E+01
 #
 # Total elastic cross section = 2.72936E-16 cm**2 = 9.74672E+00 a0**2
 # 1st transport cross section = 2.64270E-17 cm**2 = 9.43725E-01 a0**2
 # 2nd transport cross section = 2.91104E-17 cm**2 = 1.03955E+00 a0**2
 #
 #    Absorption cross section = 1.26241E-16 cm**2 = 4.50814E+00 a0**2
 #   Grand total cross section = 3.99193E-16 cm**2 = 1.42554E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 7.25576E-14
7.61557E-13 7.25576E-14
1.18994E-12 7.25576E-14
1.71346E-12 7.25576E-14
2.33225E-12 7.25576E-14
3.04617E-12 7.25576E-14
3.85530E-12 7.25576E-14
4.75964E-12 7.25575E-14
5.75917E-12 7.25575E-14
6.85391E-12 7.25575E-14
8.04379E-12 7.25575E-14
9.32893E-12 7.25575E-14
1.07092E-11 7.25575E-14
1.21847E-11 7.25575E-14
1.37554E-11 7.25575E-14
1.54213E-11 7.25575E-14
1.71823E-11 7.25575E-14
1.90386E-11 7.25575E-14
2.09900E-11 7.25575E-14
2.30367E-11 7.25575E-14
2.51785E-11 7.25575E-14
2.74156E-11 7.25575E-14
2.97478E-11 7.25574E-14
3.21752E-11 7.25574E-14
3.46979E-11 7.25574E-14
3.73157E-11 7.25574E-14
4.00286E-11 7.25574E-14
4.28368E-11 7.25574E-14
4.57402E-11 7.25574E-14
4.87388E-11 7.25574E-14
5.18325E-11 7.25574E-14
5.50215E-11 7.25573E-14
5.83057E-11 7.25573E-14
6.16850E-11 7.25573E-14
6.51595E-11 7.25573E-14
6.87293E-11 7.25573E-14
7.23943E-11 7.25573E-14
7.61544E-11 7.25573E-14
1.18991E-10 7.25571E-14
1.71347E-10 7.25569E-14
2.33223E-10 7.25566E-14
3.04617E-10 7.25563E-14
3.85531E-10 7.25560E-14
4.75965E-10 7.25556E-14
5.75917E-10 7.25552E-14
6.85389E-10 7.25548E-14
8.04380E-10 7.25543E-14
9.32891E-10 7.25538E-14
1.07092E-09 7.25532E-14
1.21847E-09 7.25526E-14
1.37554E-09 7.25520E-14
1.54213E-09 7.25513E-14
1.71823E-09 7.25506E-14
1.90386E-09 7.25498E-14
2.09900E-09 7.25491E-14
2.30367E-09 7.25482E-14
2.51785E-09 7.25474E-14
2.74156E-09 7.25464E-14
2.97478E-09 7.25455E-14
3.21752E-09 7.25445E-14
3.46978E-09 7.25435E-14
3.73156E-09 7.25424E-14
4.00286E-09 7.25413E-14
4.28368E-09 7.25402E-14
4.57402E-09 7.25390E-14
4.87388E-09 7.25378E-14
5.18326E-09 7.25365E-14
5.50215E-09 7.25353E-14
5.83057E-09 7.25339E-14
6.16850E-09 7.25326E-14
6.51596E-09 7.25311E-14
6.87293E-09 7.25297E-14
7.23942E-09 7.25282E-14
7.61544E-09 7.25267E-14
1.18991E-08 7.25093E-14
1.71347E-08 7.24881E-14
2.33223E-08 7.24631E-14
3.04617E-08 7.24342E-14
3.85531E-08 7.24015E-14
4.75965E-08 7.23650E-14
5.75917E-08 7.23246E-14
6.85389E-08 7.22805E-14
8.04380E-08 7.22326E-14
9.32891E-08 7.21810E-14
1.07092E-07 7.21256E-14
1.21847E-07 7.20664E-14
1.37554E-07 7.20036E-14
1.54213E-07 7.19371E-14
1.71823E-07 7.18668E-14
1.90386E-07 7.17930E-14
2.09900E-07 7.17155E-14
2.30367E-07 7.16344E-14
2.51785E-07 7.15497E-14
2.74156E-07 7.14614E-14
2.97478E-07 7.13697E-14
3.21752E-07 7.12744E-14
3.46978E-07 7.11756E-14
3.73156E-07 7.10734E-14
4.00286E-07 7.09678E-14
4.28368E-07 7.08588E-14
4.57402E-07 7.07464E-14
4.87388E-07 7.06307E-14
5.18325E-07 7.05117E-14
5.50215E-07 7.03895E-14
5.83057E-07 7.02641E-14
6.16850E-07 7.01354E-14
6.51596E-07 7.00036E-14
6.87293E-07 6.98688E-14
7.23942E-07 6.97308E-14
7.61543E-07 6.95898E-14
1.18991E-06 6.80224E-14
1.71347E-06 6.61998E-14
2.33223E-06 6.41695E-14
3.04617E-06 6.19817E-14
3.85531E-06 5.96863E-14
4.75964E-06 5.73311E-14
5.75916E-06 5.49603E-14
6.85388E-06 5.26128E-14
8.04378E-06 5.03214E-14
9.32888E-06 4.81125E-14
1.07092E-05 4.60060E-14
1.21846E-05 4.40153E-14
1.37553E-05 4.21481E-14
1.54212E-05 4.04070E-14
1.71822E-05 3.87904E-14
1.90385E-05 3.72930E-14
2.09899E-05 3.59071E-14
2.30365E-05 3.46233E-14
2.51783E-05 3.34312E-14
2.74153E-05 3.23197E-14
2.97475E-05 3.12785E-14
3.21749E-05 3.02975E-14
3.46974E-05 2.93678E-14
3.73152E-05 2.84818E-14
4.00281E-05 2.76332E-14
4.28362E-05 2.68172E-14
4.57395E-05 2.60303E-14
4.87380E-05 2.52702E-14
5.18317E-05 2.45356E-14
5.50205E-05 2.38261E-14
5.83045E-05 2.31419E-14
6.16838E-05 2.24834E-14
6.51582E-05 2.18511E-14
6.87277E-05 2.12456E-14
7.23925E-05 2.06672E-14
7.61524E-05 2.01156E-14
9.21439E-05 1.81644E-14
1.09658E-04 1.65480E-14
1.28695E-04 1.51505E-14
1.49255E-04 1.38963E-14
1.71338E-04 1.27711E-14
1.94942E-04 1.17841E-14
2.20070E-04 1.09261E-14
2.46720E-04 1.01646E-14
2.74892E-04 9.46780E-15
3.04586E-04 8.82488E-15
3.35803E-04 8.24111E-15
3.68542E-04 7.71921E-15
4.02802E-04 7.24964E-15
4.38585E-04 6.81753E-15
4.75889E-04 6.41456E-15
5.14715E-04 6.04188E-15
5.55063E-04 5.70263E-15
5.96931E-04 5.39446E-15
6.40321E-04 5.11000E-15
6.85233E-04 4.84317E-15
7.31665E-04 4.59309E-15
7.79618E-04 4.36177E-15
8.29092E-04 4.14927E-15
8.80086E-04 3.95216E-15
9.32601E-04 3.76631E-15
9.86636E-04 3.59016E-15
1.04219E-03 3.42475E-15
1.09927E-03 3.27090E-15
1.15786E-03 3.12730E-15
