 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 2.50000E+03 eV = 9.18733E+01 a.u.
 #
 # Element: La,  Z =  57,  atomic weight = 1.38905E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.54145E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 57
 #
 # Electron density: Read from file Data/z_057.d
 #                   Number of data points =  853
 #                   Volume integral = 5.70000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 3.11000E-23 cm**3
 #                            Bpol = 1.23744E+01
 #
 # Total elastic cross section = 2.11254E-16 cm**2 = 7.54402E+00 a0**2
 # 1st transport cross section = 7.54457E-18 cm**2 = 2.69421E-01 a0**2
 # 2nd transport cross section = 1.55643E-17 cm**2 = 5.55813E-01 a0**2
 #
 #    Absorption cross section = 9.03498E-17 cm**2 = 3.22645E+00 a0**2
 #   Grand total cross section = 3.01635E-16 cm**2 = 1.07716E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 4.57852E-15
7.61557E-13 4.57852E-15
1.18994E-12 4.57852E-15
1.71346E-12 4.57852E-15
2.33225E-12 4.57852E-15
3.04617E-12 4.57852E-15
3.85530E-12 4.57852E-15
4.75964E-12 4.57852E-15
5.75917E-12 4.57852E-15
6.85391E-12 4.57852E-15
8.04379E-12 4.57853E-15
9.32893E-12 4.57853E-15
1.07092E-11 4.57853E-15
1.21847E-11 4.57853E-15
1.37554E-11 4.57853E-15
1.54213E-11 4.57853E-15
1.71823E-11 4.57853E-15
1.90386E-11 4.57853E-15
2.09900E-11 4.57853E-15
2.30367E-11 4.57853E-15
2.51785E-11 4.57853E-15
2.74156E-11 4.57853E-15
2.97478E-11 4.57853E-15
3.21752E-11 4.57853E-15
3.46979E-11 4.57853E-15
3.73157E-11 4.57853E-15
4.00286E-11 4.57854E-15
4.28368E-11 4.57854E-15
4.57402E-11 4.57854E-15
4.87388E-11 4.57854E-15
5.18325E-11 4.57854E-15
5.50215E-11 4.57854E-15
5.83057E-11 4.57854E-15
6.16850E-11 4.57854E-15
6.51595E-11 4.57854E-15
6.87293E-11 4.57854E-15
7.23943E-11 4.57855E-15
7.61544E-11 4.57855E-15
1.18991E-10 4.57856E-15
1.71347E-10 4.57858E-15
2.33223E-10 4.57860E-15
3.04617E-10 4.57862E-15
3.85531E-10 4.57865E-15
4.75965E-10 4.57868E-15
5.75917E-10 4.57871E-15
6.85389E-10 4.57875E-15
8.04380E-10 4.57879E-15
9.32891E-10 4.57883E-15
1.07092E-09 4.57887E-15
1.21847E-09 4.57892E-15
1.37554E-09 4.57897E-15
1.54213E-09 4.57903E-15
1.71823E-09 4.57909E-15
1.90386E-09 4.57915E-15
2.09900E-09 4.57921E-15
2.30367E-09 4.57928E-15
2.51785E-09 4.57935E-15
2.74156E-09 4.57942E-15
2.97478E-09 4.57950E-15
3.21752E-09 4.57958E-15
3.46978E-09 4.57966E-15
3.73156E-09 4.57975E-15
4.00286E-09 4.57983E-15
4.28368E-09 4.57993E-15
4.57402E-09 4.58002E-15
4.87388E-09 4.58012E-15
5.18326E-09 4.58022E-15
5.50215E-09 4.58033E-15
5.83057E-09 4.58043E-15
6.16850E-09 4.58055E-15
6.51596E-09 4.58066E-15
6.87293E-09 4.58078E-15
7.23942E-09 4.58090E-15
7.61544E-09 4.58102E-15
1.18991E-08 4.58243E-15
1.71347E-08 4.58414E-15
2.33223E-08 4.58618E-15
3.04617E-08 4.58852E-15
3.85531E-08 4.59118E-15
4.75965E-08 4.59416E-15
5.75917E-08 4.59745E-15
6.85389E-08 4.60106E-15
8.04380E-08 4.60499E-15
9.32891E-08 4.60924E-15
1.07092E-07 4.61381E-15
1.21847E-07 4.61869E-15
1.37554E-07 4.62390E-15
1.54213E-07 4.62944E-15
1.71823E-07 4.63529E-15
1.90386E-07 4.64148E-15
2.09900E-07 4.64799E-15
2.30367E-07 4.65483E-15
