 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 8.00000E+02 eV = 2.93995E+01 a.u.
 #
 # Element: La,  Z =  57,  atomic weight = 1.38905E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.54145E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 57
 #
 # Electron density: Read from file Data/z_057.d
 #                   Number of data points =  853
 #                   Volume integral = 5.70000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 3.11000E-23 cm**3
 #                            Bpol = 6.84653E+00
 #
 # Total elastic cross section = 3.30206E-16 cm**2 = 1.17919E+01 a0**2
 # 1st transport cross section = 2.04836E-17 cm**2 = 7.31483E-01 a0**2
 # 2nd transport cross section = 3.93413E-17 cm**2 = 1.40490E+00 a0**2
 #
 #    Absorption cross section = 2.59315E-16 cm**2 = 9.26030E+00 a0**2
 #   Grand total cross section = 5.89544E-16 cm**2 = 2.10530E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 5.46664E-15
7.61557E-13 5.46664E-15
1.18994E-12 5.46664E-15
1.71346E-12 5.46664E-15
2.33225E-12 5.46664E-15
3.04617E-12 5.46664E-15
3.85530E-12 5.46664E-15
4.75964E-12 5.46664E-15
5.75917E-12 5.46664E-15
6.85391E-12 5.46664E-15
8.04379E-12 5.46664E-15
9.32893E-12 5.46664E-15
1.07092E-11 5.46664E-15
1.21847E-11 5.46664E-15
1.37554E-11 5.46664E-15
1.54213E-11 5.46664E-15
1.71823E-11 5.46664E-15
1.90386E-11 5.46664E-15
2.09900E-11 5.46664E-15
2.30367E-11 5.46664E-15
2.51785E-11 5.46664E-15
2.74156E-11 5.46664E-15
2.97478E-11 5.46664E-15
3.21752E-11 5.46663E-15
3.46979E-11 5.46663E-15
3.73157E-11 5.46663E-15
4.00286E-11 5.46663E-15
4.28368E-11 5.46663E-15
4.57402E-11 5.46663E-15
4.87388E-11 5.46663E-15
5.18325E-11 5.46663E-15
5.50215E-11 5.46663E-15
5.83057E-11 5.46663E-15
6.16850E-11 5.46663E-15
6.51595E-11 5.46663E-15
6.87293E-11 5.46663E-15
7.23943E-11 5.46663E-15
7.61544E-11 5.46663E-15
1.18991E-10 5.46662E-15
1.71347E-10 5.46662E-15
2.33223E-10 5.46661E-15
3.04617E-10 5.46660E-15
3.85531E-10 5.46659E-15
4.75965E-10 5.46658E-15
5.75917E-10 5.46657E-15
6.85389E-10 5.46655E-15
8.04380E-10 5.46654E-15
9.32891E-10 5.46652E-15
1.07092E-09 5.46650E-15
1.21847E-09 5.46648E-15
1.37554E-09 5.46646E-15
1.54213E-09 5.46644E-15
1.71823E-09 5.46642E-15
1.90386E-09 5.46640E-15
2.09900E-09 5.46637E-15
2.30367E-09 5.46635E-15
2.51785E-09 5.46632E-15
2.74156E-09 5.46629E-15
2.97478E-09 5.46626E-15
3.21752E-09 5.46623E-15
3.46978E-09 5.46620E-15
3.73156E-09 5.46617E-15
4.00286E-09 5.46613E-15
4.28368E-09 5.46610E-15
4.57402E-09 5.46606E-15
4.87388E-09 5.46602E-15
5.18326E-09 5.46598E-15
5.50215E-09 5.46594E-15
5.83057E-09 5.46590E-15
6.16850E-09 5.46586E-15
6.51596E-09 5.46581E-15
6.87293E-09 5.46577E-15
7.23942E-09 5.46572E-15
7.61544E-09 5.46567E-15
1.18991E-08 5.46513E-15
1.71347E-08 5.46447E-15
2.33223E-08 5.46369E-15
3.04617E-08 5.46278E-15
3.85531E-08 5.46176E-15
4.75965E-08 5.46062E-15
5.75917E-08 5.45936E-15
6.85389E-08 5.45798E-15
8.04380E-08 5.45648E-15
9.32891E-08 5.45487E-15
1.07092E-07 5.45313E-15
1.21847E-07 5.45129E-15
1.37554E-07 5.44932E-15
1.54213E-07 5.44724E-15
1.71823E-07 5.44505E-15
1.90386E-07 5.44274E-15
2.09900E-07 5.44031E-15
2.30367E-07 5.43778E-15
2.51785E-07 5.43513E-15
2.74156E-07 5.43237E-15
2.97478E-07 5.42950E-15
3.21752E-07 5.42652E-15
3.46978E-07 5.42343E-15
3.73156E-07 5.42023E-15
4.00286E-07 5.41693E-15
4.28368E-07 5.41352E-15
4.57402E-07 5.41000E-15
4.87388E-07 5.40638E-15
5.18325E-07 5.40266E-15
5.50215E-07 5.39884E-15
5.83057E-07 5.39491E-15
6.16850E-07 5.39089E-15
6.51596E-07 5.38676E-15
6.87293E-07 5.38254E-15
7.23942E-07 5.37823E-15
7.61543E-07 5.37381E-15
1.18991E-06 5.32478E-15
1.71347E-06 5.26780E-15
2.33223E-06 5.20447E-15
3.04617E-06 5.13650E-15
3.85531E-06 5.06568E-15
4.75964E-06 4.99380E-15
5.75916E-06 4.92261E-15
6.85388E-06 4.85372E-15
8.04378E-06 4.78862E-15
9.32888E-06 4.72858E-15
1.07092E-05 4.67465E-15
1.21846E-05 4.62765E-15
1.37553E-05 4.58817E-15
1.54212E-05 4.55654E-15
1.71822E-05 4.53289E-15
1.90385E-05 4.51713E-15
2.09899E-05 4.50902E-15
2.30365E-05 4.50814E-15
2.51783E-05 4.51400E-15
2.74153E-05 4.52601E-15
2.97475E-05 4.54353E-15
3.21749E-05 4.56593E-15
3.46974E-05 4.59255E-15
3.73152E-05 4.62278E-15
4.00281E-05 4.65606E-15
4.28362E-05 4.69188E-15
4.57395E-05 4.72979E-15
4.87380E-05 4.76942E-15
5.18317E-05 4.81045E-15
5.50205E-05 4.85265E-15
5.83045E-05 4.89583E-15
6.16838E-05 4.93984E-15
6.51582E-05 4.98461E-15
6.87277E-05 5.03007E-15
7.23925E-05 5.07618E-15
7.61524E-05 5.12291E-15
9.21439E-05 5.31575E-15
1.09658E-04 5.51555E-15
1.28695E-04 5.71513E-15
1.49255E-04 5.90361E-15
1.71338E-04 6.07053E-15
1.94942E-04 6.20999E-15
2.20070E-04 6.32197E-15
2.46720E-04 6.41038E-15
2.74892E-04 6.47945E-15
3.04586E-04 6.53091E-15
3.35803E-04 6.56351E-15
3.68542E-04 6.57458E-15
4.02802E-04 6.56243E-15
4.38585E-04 6.52795E-15
4.75889E-04 6.47451E-15
5.14715E-04 6.40642E-15
5.55063E-04 6.32706E-15
5.96931E-04 6.23790E-15
6.40321E-04 6.13877E-15
6.85233E-04 6.02907E-15
7.31665E-04 5.90906E-15
7.79618E-04 5.78038E-15
8.29092E-04 5.64565E-15
8.80086E-04 5.50748E-15
9.32601E-04 5.36756E-15
9.86636E-04 5.22638E-15
1.04219E-03 5.08367E-15
1.09927E-03 4.93919E-15
1.15786E-03 4.79332E-15
1.21797E-03 4.64717E-15
1.27961E-03 4.50221E-15
1.34276E-03 4.35961E-15
1.40743E-03 4.21990E-15
1.47362E-03 4.08293E-15
1.54133E-03 3.94831E-15
1.61056E-03 3.81581E-15
1.68131E-03 3.68566E-15
1.75357E-03 3.55847E-15
1.82735E-03 3.43490E-15
1.90265E-03 3.31533E-15
1.97947E-03 3.19974E-15
2.05780E-03 3.08776E-15
2.13765E-03 2.97902E-15
2.21902E-03 2.87332E-15
2.30190E-03 2.77077E-15
2.38630E-03 2.67166E-15
2.47222E-03 2.57622E-15
2.55965E-03 2.48448E-15
2.64859E-03 2.39625E-15
2.73905E-03 2.31118E-15
2.83103E-03 2.22900E-15
2.92452E-03 2.14958E-15
3.01952E-03 2.07299E-15
3.11604E-03 1.99934E-15
3.21407E-03 1.92869E-15
3.31362E-03 1.86094E-15
3.41468E-03 1.79588E-15
3.51725E-03 1.73326E-15
3.62133E-03 1.67290E-15
3.72692E-03 1.61475E-15
3.83403E-03 1.55883E-15
3.94265E-03 1.50519E-15
4.05278E-03 1.45380E-15
4.16442E-03 1.40454E-15
4.27757E-03 1.35724E-15
4.39223E-03 1.31175E-15
4.50840E-03 1.26794E-15
4.62608E-03 1.22581E-15
4.74527E-03 1.18535E-15
4.86597E-03 1.14656E-15
4.98817E-03 1.10939E-15
5.11188E-03 1.07373E-15
5.23711E-03 1.03946E-15
5.36383E-03 1.00647E-15
5.49207E-03 9.74702E-16
5.62181E-03 9.44147E-16
5.75306E-03 9.14794E-16
5.88581E-03 8.86616E-16
6.02007E-03 8.59557E-16
6.15583E-03 8.33534E-16
6.29310E-03 8.08465E-16
6.43187E-03 7.84288E-16
6.57214E-03 7.60973E-16
6.71392E-03 7.38505E-16
6.85720E-03 7.16869E-16
7.00198E-03 6.96037E-16
7.14827E-03 6.75962E-16
7.29605E-03 6.56587E-16
7.44534E-03 6.37864E-16
7.59612E-03 6.19761E-16
7.97965E-03 5.77114E-16
8.37255E-03 5.37978E-16
8.77480E-03 5.01912E-16
9.18641E-03 4.68617E-16
9.60736E-03 4.37903E-16
1.00376E-02 4.09513E-16
1.04773E-02 3.83261E-16
1.09262E-02 3.58995E-16
1.13844E-02 3.36556E-16
1.18520E-02 3.15816E-16
1.23288E-02 2.96632E-16
1.28150E-02 2.78889E-16
1.33104E-02 2.62494E-16
1.38150E-02 2.47305E-16
1.43290E-02 2.33229E-16
1.48521E-02 2.20206E-16
1.53845E-02 2.08104E-16
1.59262E-02 1.96849E-16
1.64770E-02 1.86412E-16
1.70371E-02 1.76681E-16
1.76063E-02 1.67598E-16
1.81848E-02 1.59163E-16
1.87724E-02 1.51281E-16
1.93692E-02 1.43908E-16
1.99751E-02 1.37059E-16
2.05901E-02 1.30656E-16
2.12143E-02 1.24655E-16
2.18476E-02 1.19082E-16
2.24900E-02 1.13870E-16
2.31415E-02 1.08970E-16
2.38021E-02 1.04415E-16
2.44717E-02 1.00147E-16
2.51504E-02 9.61166E-17
2.58382E-02 9.23556E-17
2.65349E-02 8.88217E-17
2.72407E-02 8.54634E-17
2.79555E-02 8.23146E-17
2.86793E-02 7.93468E-17
2.94120E-02 7.65100E-17
3.01537E-02 7.38372E-17
3.09043E-02 7.13134E-17
3.16639E-02 6.88903E-17
3.24324E-02 6.65975E-17
3.32098E-02 6.44310E-17
3.39961E-02 6.23441E-17
3.47912E-02 6.03608E-17
3.55952E-02 5.84856E-17
3.64081E-02 5.66742E-17
3.72297E-02 5.49438E-17
3.80602E-02 5.33055E-17
3.88995E-02 5.17189E-17
3.97476E-02 5.01942E-17
4.06044E-02 4.87482E-17
4.14700E-02 4.73453E-17
4.23443E-02 4.59895E-17
4.32273E-02 4.47015E-17
4.41190E-02 4.34516E-17
4.50194E-02 4.22381E-17
4.59284E-02 4.10834E-17
4.68461E-02 3.99644E-17
4.87074E-02 3.78344E-17
5.06030E-02 3.58460E-17
5.25328E-02 3.39997E-17
5.44967E-02 3.22583E-17
5.64946E-02 3.06307E-17
5.85262E-02 2.91083E-17
6.05914E-02 2.76680E-17
6.26901E-02 2.63240E-17
6.48222E-02 2.50612E-17
6.69873E-02 2.38695E-17
6.91854E-02 2.27581E-17
7.14163E-02 2.17079E-17
7.36799E-02 2.07175E-17
7.59760E-02 1.97890E-17
7.83043E-02 1.89071E-17
8.06647E-02 1.80775E-17
8.30571E-02 1.72971E-17
8.54812E-02 1.65575E-17
8.79369E-02 1.58646E-17
9.04240E-02 1.52103E-17
9.29422E-02 1.45912E-17
9.54915E-02 1.40087E-17
9.80716E-02 1.34544E-17
1.00682E-01 1.29295E-17
1.03323E-01 1.24325E-17
1.05995E-01 1.19596E-17
1.08696E-01 1.15129E-17
1.11427E-01 1.10895E-17
1.14188E-01 1.06879E-17
1.16978E-01 1.03080E-17
1.19797E-01 9.94632E-18
1.22645E-01 9.60225E-18
1.25522E-01 9.27417E-18
1.28428E-01 8.96068E-18
1.31361E-01 8.66166E-18
1.34323E-01 8.37626E-18
1.37313E-01 8.10423E-18
1.40330E-01 7.84490E-18
1.43375E-01 7.59782E-18
1.46447E-01 7.36170E-18
1.49545E-01 7.13596E-18
1.52671E-01 6.91977E-18
1.55823E-01 6.71187E-18
1.59001E-01 6.51282E-18
1.62205E-01 6.32124E-18
1.65435E-01 6.13756E-18
1.68690E-01 5.96178E-18
1.71970E-01 5.79263E-18
1.75276E-01 5.63121E-18
1.78606E-01 5.47568E-18
1.81961E-01 5.32636E-18
1.85340E-01 5.18287E-18
1.88743E-01 5.04390E-18
1.92169E-01 4.91079E-18
1.95619E-01 4.78164E-18
1.99092E-01 4.65771E-18
2.02589E-01 4.53839E-18
2.06107E-01 4.42296E-18
2.09649E-01 4.31277E-18
2.13212E-01 4.20557E-18
2.16797E-01 4.10296E-18
2.20404E-01 4.00354E-18
2.24032E-01 3.90728E-18
2.27680E-01 3.81481E-18
2.31350E-01 3.72456E-18
2.35040E-01 3.63825E-18
2.38751E-01 3.55405E-18
2.42481E-01 3.47329E-18
2.46231E-01 3.39509E-18
2.50000E-01 3.31925E-18
2.53788E-01 3.24659E-18
2.57595E-01 3.17535E-18
2.61421E-01 3.10732E-18
2.65264E-01 3.04061E-18
2.69126E-01 2.97651E-18
2.73005E-01 2.91418E-18
2.76901E-01 2.85374E-18
2.80814E-01 2.79552E-18
2.84744E-01 2.73854E-18
2.88691E-01 2.68411E-18
2.92653E-01 2.63047E-18
2.96632E-01 2.57929E-18
3.00625E-01 2.52897E-18
3.04634E-01 2.48055E-18
3.08658E-01 2.43337E-18
3.12697E-01 2.38756E-18
3.16749E-01 2.34325E-18
3.20816E-01 2.29990E-18
3.24896E-01 2.25830E-18
3.28990E-01 2.21724E-18
3.33097E-01 2.17806E-18
3.37216E-01 2.13927E-18
3.41348E-01 2.10218E-18
3.45492E-01 2.06558E-18
3.49647E-01 2.03045E-18
3.53814E-01 1.99586E-18
3.57992E-01 1.96258E-18
3.62181E-01 1.92995E-18
3.66381E-01 1.89831E-18
3.70590E-01 1.86753E-18
3.74810E-01 1.83745E-18
3.79039E-01 1.80827E-18
3.83277E-01 1.77969E-18
3.87524E-01 1.75202E-18
3.91780E-01 1.72479E-18
3.96044E-01 1.69857E-18
4.00316E-01 1.67266E-18
4.04596E-01 1.64776E-18
4.08882E-01 1.62318E-18
4.13176E-01 1.59951E-18
4.17476E-01 1.57611E-18
4.21783E-01 1.55362E-18
4.26095E-01 1.53130E-18
4.30413E-01 1.50984E-18
4.34737E-01 1.48857E-18
4.39065E-01 1.46804E-18
4.43398E-01 1.44775E-18
4.47736E-01 1.42817E-18
4.52077E-01 1.40881E-18
4.56422E-01 1.39012E-18
4.60770E-01 1.37171E-18
4.65122E-01 1.35384E-18
4.69476E-01 1.33630E-18
4.73832E-01 1.31921E-18
4.78190E-01 1.30244E-18
4.82550E-01 1.28603E-18
4.86912E-01 1.27002E-18
4.91274E-01 1.25422E-18
4.95637E-01 1.23891E-18
5.00000E-01 1.22375E-18
5.04363E-01 1.20909E-18
5.08726E-01 1.19457E-18
5.13088E-01 1.18057E-18
5.17450E-01 1.16666E-18
5.21810E-01 1.15325E-18
5.26168E-01 1.13996E-18
5.30524E-01 1.12704E-18
5.34878E-01 1.11434E-18
5.39230E-01 1.10187E-18
5.43578E-01 1.08968E-18
5.47923E-01 1.07765E-18
5.52264E-01 1.06595E-18
5.56602E-01 1.05435E-18
5.60935E-01 1.04311E-18
5.65263E-01 1.03199E-18
5.69587E-01 1.02115E-18
5.73905E-01 1.01054E-18
5.78217E-01 1.00009E-18
5.82524E-01 9.89922E-19
5.86824E-01 9.79867E-19
5.91118E-01 9.70080E-19
5.95404E-01 9.60405E-19
5.99684E-01 9.50940E-19
6.03956E-01 9.41638E-19
6.08220E-01 9.32460E-19
6.12476E-01 9.23511E-19
6.16723E-01 9.14649E-19
6.20961E-01 9.06001E-19
6.25190E-01 8.97501E-19
6.29410E-01 8.89137E-19
6.33619E-01 8.80979E-19
6.37819E-01 8.72930E-19
6.42008E-01 8.65060E-19
6.46186E-01 8.57331E-19
6.50353E-01 8.49724E-19
6.54508E-01 8.42275E-19
6.58652E-01 8.34929E-19
6.62784E-01 8.27717E-19
6.66903E-01 8.20625E-19
6.71010E-01 8.13636E-19
6.75104E-01 8.06778E-19
6.79184E-01 8.00024E-19
6.83251E-01 7.93386E-19
6.87303E-01 7.86869E-19
6.91342E-01 7.80461E-19
6.95366E-01 7.74171E-19
6.99375E-01 7.67993E-19
7.03368E-01 7.61926E-19
7.07347E-01 7.55966E-19
7.11309E-01 7.50109E-19
7.15256E-01 7.44356E-19
7.19186E-01 7.38692E-19
7.23099E-01 7.33125E-19
7.26995E-01 7.27651E-19
7.30874E-01 7.22251E-19
7.34736E-01 7.16946E-19
7.38579E-01 7.11728E-19
7.42405E-01 7.06575E-19
7.46212E-01 7.01521E-19
7.50000E-01 6.96552E-19
7.53769E-01 6.91644E-19
7.57519E-01 6.86837E-19
7.61249E-01 6.82117E-19
7.64960E-01 6.77454E-19
7.68650E-01 6.72888E-19
7.72320E-01 6.68411E-19
7.75968E-01 6.63984E-19
7.79596E-01 6.59642E-19
7.83203E-01 6.55390E-19
7.86788E-01 6.51185E-19
7.90351E-01 6.47045E-19
7.93893E-01 6.42995E-19
7.97411E-01 6.38998E-19
8.00908E-01 6.35045E-19
8.04381E-01 6.31173E-19
8.07831E-01 6.27372E-19
8.11257E-01 6.23606E-19
8.14660E-01 6.19897E-19
8.18039E-01 6.16279E-19
8.21394E-01 6.12707E-19
8.24724E-01 6.09166E-19
8.28030E-01 6.05710E-19
8.31310E-01 6.02332E-19
8.34565E-01 5.98975E-19
8.37795E-01 5.95672E-19
8.40999E-01 5.92458E-19
8.44177E-01 5.89296E-19
8.47329E-01 5.86161E-19
8.50455E-01 5.83083E-19
8.53553E-01 5.80081E-19
8.56625E-01 5.77132E-19
8.59670E-01 5.74203E-19
8.62687E-01 5.71320E-19
8.65677E-01 5.68520E-19
8.68639E-01 5.65766E-19
8.71572E-01 5.63022E-19
8.74478E-01 5.60327E-19
8.77355E-01 5.57703E-19
8.80203E-01 5.55127E-19
8.83022E-01 5.52578E-19
8.85812E-01 5.50052E-19
8.88573E-01 5.47584E-19
8.91304E-01 5.45189E-19
8.94005E-01 5.42822E-19
8.96677E-01 5.40467E-19
8.99318E-01 5.38161E-19
9.01928E-01 5.35916E-19
9.04508E-01 5.33724E-19
9.07058E-01 5.31563E-19
9.09576E-01 5.29415E-19
9.12063E-01 5.27308E-19
9.14519E-01 5.25270E-19
9.16943E-01 5.23278E-19
9.19335E-01 5.21312E-19
9.21696E-01 5.19369E-19
9.24024E-01 5.17453E-19
9.26320E-01 5.15592E-19
9.28584E-01 5.13793E-19
9.30815E-01 5.12020E-19
9.33013E-01 5.10267E-19
9.35178E-01 5.08540E-19
9.37310E-01 5.06843E-19
9.39409E-01 5.05200E-19
9.41474E-01 5.03610E-19
9.43505E-01 5.02044E-19
9.45503E-01 5.00501E-19
9.47467E-01 4.98979E-19
9.49397E-01 4.97481E-19
9.51293E-01 4.96032E-19
9.53154E-01 4.94631E-19
9.54981E-01 4.93261E-19
9.56773E-01 4.91924E-19
9.58530E-01 4.90606E-19
9.60252E-01 4.89302E-19
9.61940E-01 4.88033E-19
9.63592E-01 4.86801E-19
9.65209E-01 4.85605E-19
9.66790E-01 4.84455E-19
9.68336E-01 4.83335E-19
9.69846E-01 4.82234E-19
9.71321E-01 4.81161E-19
9.72759E-01 4.80107E-19
9.74162E-01 4.79075E-19
9.75528E-01 4.78081E-19
9.76858E-01 4.77119E-19
9.78152E-01 4.76190E-19
9.79410E-01 4.75302E-19
9.80631E-01 4.74441E-19
9.81815E-01 4.73605E-19
9.82963E-01 4.72799E-19
9.84074E-01 4.72012E-19
9.85148E-01 4.71246E-19
9.86185E-01 4.70511E-19
9.87185E-01 4.69797E-19
9.88148E-01 4.69111E-19
9.89074E-01 4.68461E-19
9.89962E-01 4.67836E-19
9.90814E-01 4.67243E-19
9.91627E-01 4.66683E-19
9.92404E-01 4.66148E-19
9.93143E-01 4.65641E-19
9.93844E-01 4.65165E-19
9.94508E-01 4.64710E-19
9.95134E-01 4.64282E-19
9.95722E-01 4.63882E-19
9.96273E-01 4.63502E-19
9.96786E-01 4.63150E-19
9.97261E-01 4.62825E-19
9.97698E-01 4.62522E-19
9.98097E-01 4.62246E-19
9.98459E-01 4.61998E-19
9.98782E-01 4.61773E-19
9.99067E-01 4.61576E-19
9.99315E-01 4.61406E-19
9.99524E-01 4.61260E-19
9.99695E-01 4.61142E-19
9.99829E-01 4.61051E-19
9.99924E-01 4.60984E-19
9.99981E-01 4.60945E-19
1.00000E+00 4.60932E-19
