 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 9.00000E+03 eV = 3.30744E+02 a.u.
 #
 # Element: La,  Z =  57,  atomic weight = 1.38905E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.54145E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 57
 #
 # Electron density: Read from file Data/z_057.d
 #                   Number of data points =  853
 #                   Volume integral = 5.70000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 3.11000E-23 cm**3
 #                            Bpol = 2.36511E+01
 #
 # Total elastic cross section = 1.06695E-16 cm**2 = 3.81016E+00 a0**2
 # 1st transport cross section = 1.82709E-18 cm**2 = 6.52464E-02 a0**2
 # 2nd transport cross section = 4.04062E-18 cm**2 = 1.44293E-01 a0**2
 #
 #    Absorption cross section = 2.65048E-17 cm**2 = 9.46505E-01 a0**2
 #   Grand total cross section = 1.33221E-16 cm**2 = 4.75742E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 9.36090E-15
7.61557E-13 9.36090E-15
1.18994E-12 9.36090E-15
1.71346E-12 9.36090E-15
2.33225E-12 9.36090E-15
3.04617E-12 9.36091E-15
3.85530E-12 9.36091E-15
4.75964E-12 9.36091E-15
5.75917E-12 9.36091E-15
6.85391E-12 9.36092E-15
8.04379E-12 9.36092E-15
9.32893E-12 9.36092E-15
1.07092E-11 9.36093E-15
1.21847E-11 9.36093E-15
1.37554E-11 9.36094E-15
1.54213E-11 9.36094E-15
1.71823E-11 9.36095E-15
1.90386E-11 9.36096E-15
2.09900E-11 9.36096E-15
2.30367E-11 9.36097E-15
2.51785E-11 9.36097E-15
2.74156E-11 9.36098E-15
2.97478E-11 9.36099E-15
3.21752E-11 9.36100E-15
3.46979E-11 9.36100E-15
3.73157E-11 9.36101E-15
4.00286E-11 9.36102E-15
4.28368E-11 9.36103E-15
4.57402E-11 9.36104E-15
4.87388E-11 9.36105E-15
5.18325E-11 9.36106E-15
5.50215E-11 9.36107E-15
5.83057E-11 9.36108E-15
6.16850E-11 9.36109E-15
6.51595E-11 9.36110E-15
6.87293E-11 9.36111E-15
7.23943E-11 9.36112E-15
7.61544E-11 9.36114E-15
1.18991E-10 9.36127E-15
1.71347E-10 9.36143E-15
2.33223E-10 9.36163E-15
3.04617E-10 9.36185E-15
3.85531E-10 9.36211E-15
4.75965E-10 9.36239E-15
5.75917E-10 9.36271E-15
6.85389E-10 9.36305E-15
8.04380E-10 9.36342E-15
9.32891E-10 9.36383E-15
1.07092E-09 9.36426E-15
1.21847E-09 9.36473E-15
1.37554E-09 9.36522E-15
1.54213E-09 9.36574E-15
1.71823E-09 9.36630E-15
1.90386E-09 9.36688E-15
2.09900E-09 9.36749E-15
2.30367E-09 9.36814E-15
2.51785E-09 9.36881E-15
2.74156E-09 9.36951E-15
2.97478E-09 9.37024E-15
3.21752E-09 9.37101E-15
3.46978E-09 9.37180E-15
3.73156E-09 9.37262E-15
4.00286E-09 9.37347E-15
4.28368E-09 9.37436E-15
4.57402E-09 9.37527E-15
4.87388E-09 9.37621E-15
5.18326E-09 9.37718E-15
5.50215E-09 9.37818E-15
5.83057E-09 9.37921E-15
6.16850E-09 9.38027E-15
6.51596E-09 9.38136E-15
6.87293E-09 9.38249E-15
7.23942E-09 9.38364E-15
7.61544E-09 9.38482E-15
1.18991E-08 9.39825E-15
1.71347E-08 9.41465E-15
2.33223E-08 9.43401E-15
3.04617E-08 9.45631E-15
3.85531E-08 9.48154E-15
4.75965E-08 9.50968E-15
5.75917E-08 9.54070E-15
6.85389E-08 9.57460E-15
8.04380E-08 9.61133E-15
9.32891E-08 9.65089E-15
1.07092E-07 9.69322E-15
1.21847E-07 9.73832E-15
1.37554E-07 9.78613E-15
1.54213E-07 9.83663E-15
1.71823E-07 9.88978E-15
1.90386E-07 9.94553E-15
2.09900E-07 1.00038E-14
2.30367E-07 1.00647E-14
2.51785E-07 1.01280E-14
2.74156E-07 1.01937E-14
2.97478E-07 1.02617E-14
3.21752E-07 1.03321E-14
3.46978E-07 1.04047E-14
3.73156E-07 1.04795E-14
4.00286E-07 1.05564E-14
4.28368E-07 1.06353E-14
4.57402E-07 1.07163E-14
4.87388E-07 1.07991E-14
5.18325E-07 1.08838E-14
5.50215E-07 1.09702E-14
5.83057E-07 1.10583E-14
6.16850E-07 1.11481E-14
6.51596E-07 1.12393E-14
6.87293E-07 1.13320E-14
7.23942E-07 1.14260E-14
7.61543E-07 1.15212E-14
1.18991E-06 1.25235E-14
1.71347E-06 1.35520E-14
2.33223E-06 1.45234E-14
3.04617E-06 1.53786E-14
3.85531E-06 1.60906E-14
4.75964E-06 1.66637E-14
5.75916E-06 1.71218E-14
6.85388E-06 1.74954E-14
8.04378E-06 1.78096E-14
9.32888E-06 1.80779E-14
1.07092E-05 1.83020E-14
1.21846E-05 1.84764E-14
1.37553E-05 1.85939E-14
1.54212E-05 1.86514E-14
1.71822E-05 1.86520E-14
1.90385E-05 1.86044E-14
2.09899E-05 1.85199E-14
2.30365E-05 1.84090E-14
2.51783E-05 1.82783E-14
2.74153E-05 1.81301E-14
2.97475E-05 1.79633E-14
3.21749E-05 1.77756E-14
3.46974E-05 1.75658E-14
3.73152E-05 1.73353E-14
4.00281E-05 1.70877E-14
4.28362E-05 1.68281E-14
4.57395E-05 1.65613E-14
4.87380E-05 1.62906E-14
5.18317E-05 1.60171E-14
5.50205E-05 1.57403E-14
5.83045E-05 1.54589E-14
6.16838E-05 1.51720E-14
6.51582E-05 1.48800E-14
6.87277E-05 1.45846E-14
7.23925E-05 1.42882E-14
7.61524E-05 1.39932E-14
9.21439E-05 1.28447E-14
1.09658E-04 1.17314E-14
1.28695E-04 1.06869E-14
1.49255E-04 9.71764E-15
1.71338E-04 8.82537E-15
1.94942E-04 8.01739E-15
2.20070E-04 7.28170E-15
2.46720E-04 6.62320E-15
2.74892E-04 6.02812E-15
3.04586E-04 5.49712E-15
3.35803E-04 5.01984E-15
3.68542E-04 4.59293E-15
4.02802E-04 4.21054E-15
4.38585E-04 3.86680E-15
4.75889E-04 3.55906E-15
5.14715E-04 3.28092E-15
5.55063E-04 3.03119E-15
5.96931E-04 2.80447E-15
6.40321E-04 2.59965E-15
6.85233E-04 2.41311E-15
7.31665E-04 2.24329E-15
7.79618E-04 2.08829E-15
8.29092E-04 1.94613E-15
8.80086E-04 1.81611E-15
9.32601E-04 1.69623E-15
9.86636E-04 1.58629E-15
1.04219E-03 1.48463E-15
1.09927E-03 1.39103E-15
1.15786E-03 1.30441E-15
1.21797E-03 1.22430E-15
1.27961E-03 1.15014E-15
1.34276E-03 1.08125E-15
1.40743E-03 1.01745E-15
1.47362E-03 9.57990E-16
1.54133E-03 9.02826E-16
1.61056E-03 8.51348E-16
1.68131E-03 8.03466E-16
1.75357E-03 7.58790E-16
1.82735E-03 7.17118E-16
1.90265E-03 6.78261E-16
1.97947E-03 6.41929E-16
2.05780E-03 6.08055E-16
2.13765E-03 5.76331E-16
2.21902E-03 5.46718E-16
2.30190E-03 5.18960E-16
2.38630E-03 4.92990E-16
2.47222E-03 4.68637E-16
2.55965E-03 4.45789E-16
2.64859E-03 4.24354E-16
2.73905E-03 4.04197E-16
2.83103E-03 3.85271E-16
2.92452E-03 3.67448E-16
3.01952E-03 3.50691E-16
3.11604E-03 3.34899E-16
3.21407E-03 3.20025E-16
3.31362E-03 3.05999E-16
3.41468E-03 2.92763E-16
3.51725E-03 2.80268E-16
3.62133E-03 2.68455E-16
3.72692E-03 2.57285E-16
3.83403E-03 2.46707E-16
3.94265E-03 2.36687E-16
4.05278E-03 2.27184E-16
4.16442E-03 2.18168E-16
4.27757E-03 2.09606E-16
4.39223E-03 2.01472E-16
4.50840E-03 1.93739E-16
4.62608E-03 1.86387E-16
4.74527E-03 1.79386E-16
4.86597E-03 1.72725E-16
4.98817E-03 1.66374E-16
5.11188E-03 1.60322E-16
5.23711E-03 1.54547E-16
5.36383E-03 1.49033E-16
5.49207E-03 1.43769E-16
5.62181E-03 1.38732E-16
5.75306E-03 1.33921E-16
5.88581E-03 1.29311E-16
6.02007E-03 1.24906E-16
6.15583E-03 1.20681E-16
6.29310E-03 1.16639E-16
6.43187E-03 1.12765E-16
6.57214E-03 1.09051E-16
6.71392E-03 1.05494E-16
