 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.75000E+03 eV = 6.43113E+01 a.u.
 #
 # Element: La,  Z =  57,  atomic weight = 1.38905E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.54145E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 57
 #
 # Electron density: Read from file Data/z_057.d
 #                   Number of data points =  853
 #                   Volume integral = 5.70000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 3.11000E-23 cm**3
 #                            Bpol = 1.03078E+01
 #
 # Total elastic cross section = 3.07061E-16 cm**2 = 1.09653E+01 a0**2
 # 1st transport cross section = 2.75346E-17 cm**2 = 9.83277E-01 a0**2
 # 2nd transport cross section = 3.03574E-17 cm**2 = 1.08408E+00 a0**2
 #
 #    Absorption cross section = 1.24348E-16 cm**2 = 4.44053E+00 a0**2
 #   Grand total cross section = 4.31433E-16 cm**2 = 1.54068E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 4.90350E-14
7.61557E-13 4.90350E-14
1.18994E-12 4.90350E-14
1.71346E-12 4.90350E-14
2.33225E-12 4.90350E-14
3.04617E-12 4.90350E-14
3.85530E-12 4.90350E-14
4.75964E-12 4.90350E-14
5.75917E-12 4.90350E-14
6.85391E-12 4.90350E-14
8.04379E-12 4.90350E-14
9.32893E-12 4.90350E-14
1.07092E-11 4.90349E-14
1.21847E-11 4.90349E-14
1.37554E-11 4.90349E-14
1.54213E-11 4.90349E-14
1.71823E-11 4.90349E-14
1.90386E-11 4.90349E-14
2.09900E-11 4.90349E-14
2.30367E-11 4.90349E-14
2.51785E-11 4.90349E-14
2.74156E-11 4.90349E-14
2.97478E-11 4.90349E-14
3.21752E-11 4.90349E-14
3.46979E-11 4.90349E-14
3.73157E-11 4.90349E-14
4.00286E-11 4.90349E-14
4.28368E-11 4.90349E-14
4.57402E-11 4.90349E-14
4.87388E-11 4.90349E-14
5.18325E-11 4.90349E-14
5.50215E-11 4.90349E-14
5.83057E-11 4.90349E-14
6.16850E-11 4.90349E-14
6.51595E-11 4.90348E-14
6.87293E-11 4.90348E-14
7.23943E-11 4.90348E-14
7.61544E-11 4.90348E-14
1.18991E-10 4.90347E-14
1.71347E-10 4.90346E-14
2.33223E-10 4.90345E-14
3.04617E-10 4.90344E-14
3.85531E-10 4.90342E-14
4.75965E-10 4.90341E-14
5.75917E-10 4.90339E-14
6.85389E-10 4.90337E-14
8.04380E-10 4.90334E-14
9.32891E-10 4.90332E-14
1.07092E-09 4.90329E-14
1.21847E-09 4.90327E-14
1.37554E-09 4.90324E-14
1.54213E-09 4.90320E-14
1.71823E-09 4.90317E-14
1.90386E-09 4.90313E-14
2.09900E-09 4.90310E-14
2.30367E-09 4.90306E-14
2.51785E-09 4.90302E-14
2.74156E-09 4.90298E-14
2.97478E-09 4.90293E-14
3.21752E-09 4.90289E-14
3.46978E-09 4.90284E-14
3.73156E-09 4.90279E-14
4.00286E-09 4.90274E-14
4.28368E-09 4.90268E-14
4.57402E-09 4.90263E-14
4.87388E-09 4.90257E-14
5.18326E-09 4.90251E-14
5.50215E-09 4.90245E-14
5.83057E-09 4.90239E-14
6.16850E-09 4.90232E-14
6.51596E-09 4.90226E-14
6.87293E-09 4.90219E-14
7.23942E-09 4.90212E-14
7.61544E-09 4.90205E-14
1.18991E-08 4.90124E-14
1.71347E-08 4.90024E-14
2.33223E-08 4.89907E-14
3.04617E-08 4.89771E-14
3.85531E-08 4.89618E-14
4.75965E-08 4.89447E-14
5.75917E-08 4.89257E-14
6.85389E-08 4.89051E-14
8.04380E-08 4.88826E-14
9.32891E-08 4.88584E-14
1.07092E-07 4.88324E-14
1.21847E-07 4.88046E-14
1.37554E-07 4.87751E-14
1.54213E-07 4.87439E-14
1.71823E-07 4.87110E-14
1.90386E-07 4.86763E-14
2.09900E-07 4.86399E-14
2.30367E-07 4.86019E-14
2.51785E-07 4.85621E-14
2.74156E-07 4.85207E-14
2.97478E-07 4.84776E-14
3.21752E-07 4.84328E-14
3.46978E-07 4.83864E-14
3.73156E-07 4.83384E-14
4.00286E-07 4.82888E-14
4.28368E-07 4.82375E-14
4.57402E-07 4.81847E-14
4.87388E-07 4.81303E-14
5.18325E-07 4.80744E-14
5.50215E-07 4.80169E-14
5.83057E-07 4.79579E-14
6.16850E-07 4.78974E-14
6.51596E-07 4.78354E-14
6.87293E-07 4.77719E-14
7.23942E-07 4.77070E-14
7.61543E-07 4.76406E-14
1.18991E-06 4.69017E-14
1.71347E-06 4.60400E-14
2.33223E-06 4.50771E-14
3.04617E-06 4.40353E-14
3.85531E-06 4.29373E-14
4.75964E-06 4.18049E-14
5.75916E-06 4.06581E-14
6.85388E-06 3.95149E-14
8.04378E-06 3.83907E-14
9.32888E-06 3.72978E-14
1.07092E-05 3.62456E-14
1.21846E-05 3.52407E-14
1.37553E-05 3.42869E-14
1.54212E-05 3.33856E-14
1.71822E-05 3.25364E-14
1.90385E-05 3.17370E-14
2.09899E-05 3.09840E-14
2.30365E-05 3.02731E-14
2.51783E-05 2.95997E-14
2.74153E-05 2.89589E-14
2.97475E-05 2.83462E-14
3.21749E-05 2.77574E-14
3.46974E-05 2.71888E-14
3.73152E-05 2.66374E-14
4.00281E-05 2.61010E-14
4.28362E-05 2.55781E-14
4.57395E-05 2.50677E-14
4.87380E-05 2.45696E-14
5.18317E-05 2.40837E-14
5.50205E-05 2.36105E-14
5.83045E-05 2.31503E-14
6.16838E-05 2.27039E-14
6.51582E-05 2.22716E-14
6.87277E-05 2.18537E-14
7.23925E-05 2.14502E-14
7.61524E-05 2.10611E-14
9.21439E-05 1.96358E-14
1.09658E-04 1.83751E-14
1.28695E-04 1.72211E-14
1.49255E-04 1.61496E-14
1.71338E-04 1.51647E-14
1.94942E-04 1.42693E-14
2.20070E-04 1.34491E-14
2.46720E-04 1.26824E-14
2.74892E-04 1.19582E-14
3.04586E-04 1.12784E-14
3.35803E-04 1.06469E-14
3.68542E-04 1.00593E-14
4.02802E-04 9.50623E-15
4.38585E-04 8.98158E-15
4.75889E-04 8.48603E-15
5.14715E-04 8.02208E-15
5.55063E-04 7.58841E-15
5.96931E-04 7.18010E-15
6.40321E-04 6.79327E-15
6.85233E-04 6.42772E-15
7.31665E-04 6.08478E-15
7.79618E-04 5.76387E-15
8.29092E-04 5.46208E-15
8.80086E-04 5.17663E-15
9.32601E-04 4.90688E-15
9.86636E-04 4.65345E-15
1.04219E-03 4.41604E-15
1.09927E-03 4.19285E-15
1.15786E-03 3.98190E-15
1.21797E-03 3.78244E-15
1.27961E-03 3.59468E-15
1.34276E-03 3.41846E-15
1.40743E-03 3.25266E-15
1.47362E-03 3.09592E-15
1.54133E-03 2.94755E-15
1.61056E-03 2.80760E-15
1.68131E-03 2.67598E-15
1.75357E-03 2.55200E-15
1.82735E-03 2.43472E-15
1.90265E-03 2.32359E-15
1.97947E-03 2.21854E-15
2.05780E-03 2.11953E-15
2.13765E-03 2.02613E-15
2.21902E-03 1.93768E-15
2.30190E-03 1.85375E-15
2.38630E-03 1.77424E-15
2.47222E-03 1.69909E-15
2.55965E-03 1.62803E-15
2.64859E-03 1.56063E-15
2.73905E-03 1.49652E-15
2.83103E-03 1.43560E-15
2.92452E-03 1.37783E-15
3.01952E-03 1.32301E-15
3.11604E-03 1.27087E-15
3.21407E-03 1.22114E-15
3.31362E-03 1.17372E-15
3.41468E-03 1.12857E-15
3.51725E-03 1.08557E-15
3.62133E-03 1.04454E-15
3.72692E-03 1.00530E-15
3.83403E-03 9.67772E-16
3.94265E-03 9.31911E-16
4.05278E-03 8.97657E-16
4.16442E-03 8.64891E-16
4.27757E-03 8.33498E-16
4.39223E-03 8.03414E-16
4.50840E-03 7.74610E-16
4.62608E-03 7.47040E-16
4.74527E-03 7.20632E-16
4.86597E-03 6.95312E-16
4.98817E-03 6.71032E-16
5.11188E-03 6.47762E-16
5.23711E-03 6.25464E-16
5.36383E-03 6.04089E-16
5.49207E-03 5.83590E-16
5.62181E-03 5.63930E-16
5.75306E-03 5.45079E-16
5.88581E-03 5.26997E-16
6.02007E-03 5.09647E-16
6.15583E-03 4.92999E-16
6.29310E-03 4.77028E-16
6.43187E-03 4.61702E-16
6.57214E-03 4.46983E-16
6.71392E-03 4.32839E-16
6.85720E-03 4.19252E-16
7.00198E-03 4.06208E-16
7.14827E-03 3.93680E-16
7.29605E-03 3.81630E-16
7.44534E-03 3.70030E-16
7.59612E-03 3.58871E-16
7.97965E-03 3.32838E-16
8.37255E-03 3.09142E-16
8.77480E-03 2.87632E-16
9.18641E-03 2.68018E-16
9.60736E-03 2.50198E-16
1.00376E-02 2.33930E-16
1.04773E-02 2.19131E-16
1.09262E-02 2.05599E-16
1.13844E-02 1.93252E-16
1.18520E-02 1.81928E-16
