 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+03 eV = 2.93995E+02 a.u.
 #
 # Element: La,  Z =  57,  atomic weight = 1.38905E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.54145E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 57
 #
 # Electron density: Read from file Data/z_057.d
 #                   Number of data points =  853
 #                   Volume integral = 5.70000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 3.11000E-23 cm**3
 #                            Bpol = 2.22907E+01
 #
 # Total elastic cross section = 1.23364E-16 cm**2 = 4.40542E+00 a0**2
 # 1st transport cross section = 3.81454E-18 cm**2 = 1.36220E-01 a0**2
 # 2nd transport cross section = 6.59316E-18 cm**2 = 2.35446E-01 a0**2
 #
 #    Absorption cross section = 2.94555E-17 cm**2 = 1.05187E+00 a0**2
 #   Grand total cross section = 1.52840E-16 cm**2 = 5.45803E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 4.51860E-14
7.61557E-13 4.51860E-14
1.18994E-12 4.51860E-14
1.71346E-12 4.51860E-14
2.33225E-12 4.51860E-14
3.04617E-12 4.51860E-14
3.85530E-12 4.51860E-14
4.75964E-12 4.51860E-14
5.75917E-12 4.51860E-14
6.85391E-12 4.51860E-14
8.04379E-12 4.51860E-14
9.32893E-12 4.51859E-14
1.07092E-11 4.51859E-14
1.21847E-11 4.51859E-14
1.37554E-11 4.51859E-14
1.54213E-11 4.51859E-14
1.71823E-11 4.51859E-14
1.90386E-11 4.51859E-14
2.09900E-11 4.51859E-14
2.30367E-11 4.51858E-14
2.51785E-11 4.51858E-14
2.74156E-11 4.51858E-14
2.97478E-11 4.51858E-14
3.21752E-11 4.51858E-14
3.46979E-11 4.51858E-14
3.73157E-11 4.51857E-14
4.00286E-11 4.51857E-14
4.28368E-11 4.51857E-14
4.57402E-11 4.51857E-14
4.87388E-11 4.51857E-14
5.18325E-11 4.51856E-14
5.50215E-11 4.51856E-14
5.83057E-11 4.51856E-14
6.16850E-11 4.51856E-14
6.51595E-11 4.51855E-14
6.87293E-11 4.51855E-14
7.23943E-11 4.51855E-14
7.61544E-11 4.51854E-14
1.18991E-10 4.51851E-14
1.71347E-10 4.51847E-14
2.33223E-10 4.51843E-14
3.04617E-10 4.51837E-14
3.85531E-10 4.51831E-14
4.75965E-10 4.51824E-14
5.75917E-10 4.51817E-14
6.85389E-10 4.51808E-14
8.04380E-10 4.51799E-14
9.32891E-10 4.51790E-14
1.07092E-09 4.51779E-14
1.21847E-09 4.51768E-14
1.37554E-09 4.51756E-14
1.54213E-09 4.51744E-14
1.71823E-09 4.51731E-14
1.90386E-09 4.51717E-14
2.09900E-09 4.51702E-14
2.30367E-09 4.51686E-14
2.51785E-09 4.51670E-14
2.74156E-09 4.51653E-14
2.97478E-09 4.51636E-14
3.21752E-09 4.51617E-14
3.46978E-09 4.51598E-14
3.73156E-09 4.51579E-14
4.00286E-09 4.51558E-14
4.28368E-09 4.51537E-14
4.57402E-09 4.51515E-14
4.87388E-09 4.51493E-14
5.18326E-09 4.51469E-14
5.50215E-09 4.51445E-14
5.83057E-09 4.51421E-14
6.16850E-09 4.51395E-14
6.51596E-09 4.51369E-14
6.87293E-09 4.51342E-14
7.23942E-09 4.51315E-14
7.61544E-09 4.51286E-14
1.18991E-08 4.50964E-14
1.71347E-08 4.50572E-14
2.33223E-08 4.50109E-14
3.04617E-08 4.49577E-14
3.85531E-08 4.48977E-14
4.75965E-08 4.48308E-14
5.75917E-08 4.47572E-14
6.85389E-08 4.46771E-14
8.04380E-08 4.45904E-14
9.32891E-08 4.44974E-14
1.07092E-07 4.43981E-14
1.21847E-07 4.42926E-14
1.37554E-07 4.41812E-14
1.54213E-07 4.40640E-14
1.71823E-07 4.39411E-14
1.90386E-07 4.38126E-14
2.09900E-07 4.36788E-14
2.30367E-07 4.35397E-14
2.51785E-07 4.33957E-14
2.74156E-07 4.32468E-14
2.97478E-07 4.30932E-14
3.21752E-07 4.29352E-14
3.46978E-07 4.27729E-14
3.73156E-07 4.26065E-14
4.00286E-07 4.24361E-14
4.28368E-07 4.22621E-14
4.57402E-07 4.20846E-14
4.87388E-07 4.19038E-14
5.18325E-07 4.17199E-14
5.50215E-07 4.15330E-14
5.83057E-07 4.13435E-14
6.16850E-07 4.11515E-14
6.51596E-07 4.09571E-14
6.87293E-07 4.07607E-14
7.23942E-07 4.05624E-14
7.61543E-07 4.03623E-14
1.18991E-06 3.83089E-14
1.71347E-06 3.62744E-14
2.33223E-06 3.43844E-14
3.04617E-06 3.27088E-14
3.85531E-06 3.12665E-14
4.75964E-06 3.00378E-14
5.75916E-06 2.89810E-14
6.85388E-06 2.80481E-14
8.04378E-06 2.71972E-14
9.32888E-06 2.63993E-14
1.07092E-05 2.56409E-14
1.21846E-05 2.49199E-14
1.37553E-05 2.42410E-14
1.54212E-05 2.36093E-14
1.71822E-05 2.30265E-14
1.90385E-05 2.24888E-14
2.09899E-05 2.19879E-14
2.30365E-05 2.15134E-14
2.51783E-05 2.10559E-14
2.74153E-05 2.06089E-14
2.97475E-05 2.01697E-14
3.21749E-05 1.97393E-14
3.46974E-05 1.93203E-14
3.73152E-05 1.89152E-14
4.00281E-05 1.85250E-14
4.28362E-05 1.81486E-14
4.57395E-05 1.77832E-14
4.87380E-05 1.74251E-14
5.18317E-05 1.70715E-14
5.50205E-05 1.67205E-14
5.83045E-05 1.63722E-14
6.16838E-05 1.60279E-14
