 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.00000E+02 eV = 3.67493E+00 a.u.
 #
 # Element: Ce,  Z =  58,  atomic weight = 1.40116E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.55750E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 58
 #
 # Electron density: Read from file Data/z_058.d
 #                   Number of data points =  863
 #                   Volume integral = 5.80000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.96000E-23 cm**3
 #                            Bpol = 1.76777E+00
 #
 # Total elastic cross section = 5.68533E-16 cm**2 = 2.03027E+01 a0**2
 # 1st transport cross section = 6.08183E-17 cm**2 = 2.17186E+00 a0**2
 # 2nd transport cross section = 9.81343E-17 cm**2 = 3.50444E+00 a0**2
 #
 #    Absorption cross section = 1.50085E-15 cm**2 = 5.35965E+01 a0**2
 #   Grand total cross section = 2.06942E-15 cm**2 = 7.39002E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 2.73526E-14
7.61557E-13 2.73526E-14
1.18994E-12 2.73526E-14
1.71346E-12 2.73526E-14
2.33225E-12 2.73526E-14
3.04617E-12 2.73526E-14
3.85530E-12 2.73526E-14
4.75964E-12 2.73526E-14
5.75917E-12 2.73526E-14
6.85391E-12 2.73526E-14
8.04379E-12 2.73526E-14
9.32893E-12 2.73526E-14
1.07092E-11 2.73526E-14
1.21847E-11 2.73526E-14
1.37554E-11 2.73526E-14
1.54213E-11 2.73526E-14
1.71823E-11 2.73526E-14
1.90386E-11 2.73526E-14
2.09900E-11 2.73526E-14
2.30367E-11 2.73526E-14
2.51785E-11 2.73526E-14
2.74156E-11 2.73526E-14
2.97478E-11 2.73526E-14
3.21752E-11 2.73526E-14
3.46979E-11 2.73526E-14
3.73157E-11 2.73526E-14
4.00286E-11 2.73526E-14
4.28368E-11 2.73526E-14
4.57402E-11 2.73526E-14
4.87388E-11 2.73526E-14
5.18325E-11 2.73526E-14
5.50215E-11 2.73526E-14
5.83057E-11 2.73526E-14
6.16850E-11 2.73526E-14
6.51595E-11 2.73526E-14
6.87293E-11 2.73526E-14
7.23943E-11 2.73526E-14
7.61544E-11 2.73526E-14
1.18991E-10 2.73526E-14
1.71347E-10 2.73526E-14
2.33223E-10 2.73526E-14
3.04617E-10 2.73526E-14
3.85531E-10 2.73526E-14
4.75965E-10 2.73526E-14
5.75917E-10 2.73525E-14
6.85389E-10 2.73525E-14
8.04380E-10 2.73525E-14
9.32891E-10 2.73525E-14
1.07092E-09 2.73525E-14
1.21847E-09 2.73525E-14
1.37554E-09 2.73525E-14
1.54213E-09 2.73524E-14
1.71823E-09 2.73524E-14
1.90386E-09 2.73524E-14
2.09900E-09 2.73524E-14
2.30367E-09 2.73524E-14
2.51785E-09 2.73523E-14
2.74156E-09 2.73523E-14
2.97478E-09 2.73523E-14
3.21752E-09 2.73523E-14
3.46978E-09 2.73522E-14
3.73156E-09 2.73522E-14
4.00286E-09 2.73522E-14
4.28368E-09 2.73521E-14
4.57402E-09 2.73521E-14
4.87388E-09 2.73521E-14
5.18326E-09 2.73520E-14
5.50215E-09 2.73520E-14
5.83057E-09 2.73520E-14
6.16850E-09 2.73519E-14
6.51596E-09 2.73519E-14
6.87293E-09 2.73519E-14
7.23942E-09 2.73518E-14
7.61544E-09 2.73518E-14
1.18991E-08 2.73513E-14
1.71347E-08 2.73507E-14
2.33223E-08 2.73501E-14
3.04617E-08 2.73493E-14
3.85531E-08 2.73484E-14
4.75965E-08 2.73475E-14
5.75917E-08 2.73464E-14
6.85389E-08 2.73452E-14
8.04380E-08 2.73439E-14
9.32891E-08 2.73425E-14
1.07092E-07 2.73410E-14
1.21847E-07 2.73394E-14
1.37554E-07 2.73377E-14
1.54213E-07 2.73359E-14
1.71823E-07 2.73340E-14
1.90386E-07 2.73320E-14
2.09900E-07 2.73299E-14
2.30367E-07 2.73277E-14
2.51785E-07 2.73254E-14
2.74156E-07 2.73230E-14
2.97478E-07 2.73204E-14
3.21752E-07 2.73178E-14
3.46978E-07 2.73151E-14
3.73156E-07 2.73123E-14
4.00286E-07 2.73093E-14
4.28368E-07 2.73063E-14
4.57402E-07 2.73032E-14
4.87388E-07 2.73000E-14
5.18325E-07 2.72966E-14
5.50215E-07 2.72932E-14
5.83057E-07 2.72896E-14
6.16850E-07 2.72860E-14
6.51596E-07 2.72823E-14
6.87293E-07 2.72784E-14
7.23942E-07 2.72745E-14
7.61543E-07 2.72704E-14
1.18991E-06 2.72245E-14
1.71347E-06 2.71686E-14
2.33223E-06 2.71028E-14
3.04617E-06 2.70274E-14
3.85531E-06 2.69426E-14
4.75964E-06 2.68486E-14
5.75916E-06 2.67455E-14
6.85388E-06 2.66337E-14
8.04378E-06 2.65135E-14
9.32888E-06 2.63851E-14
1.07092E-05 2.62489E-14
1.21846E-05 2.61052E-14
1.37553E-05 2.59543E-14
1.54212E-05 2.57966E-14
1.71822E-05 2.56324E-14
1.90385E-05 2.54621E-14
2.09899E-05 2.52862E-14
2.30365E-05 2.51049E-14
2.51783E-05 2.49186E-14
2.74153E-05 2.47278E-14
2.97475E-05 2.45329E-14
3.21749E-05 2.43341E-14
3.46974E-05 2.41319E-14
3.73152E-05 2.39267E-14
4.00281E-05 2.37188E-14
4.28362E-05 2.35085E-14
4.57395E-05 2.32964E-14
4.87380E-05 2.30825E-14
5.18317E-05 2.28674E-14
5.50205E-05 2.26514E-14
5.83045E-05 2.24346E-14
6.16838E-05 2.22175E-14
6.51582E-05 2.20003E-14
6.87277E-05 2.17833E-14
7.23925E-05 2.15667E-14
7.61524E-05 2.13507E-14
9.21439E-05 2.04978E-14
1.09658E-04 1.96704E-14
1.28695E-04 1.88765E-14
1.49255E-04 1.81206E-14
1.71338E-04 1.74042E-14
1.94942E-04 1.67266E-14
2.20070E-04 1.60852E-14
2.46720E-04 1.54767E-14
2.74892E-04 1.48971E-14
3.04586E-04 1.43427E-14
3.35803E-04 1.38099E-14
3.68542E-04 1.32960E-14
4.02802E-04 1.27986E-14
4.38585E-04 1.23166E-14
4.75889E-04 1.18492E-14
5.14715E-04 1.13963E-14
5.55063E-04 1.09580E-14
5.96931E-04 1.05346E-14
6.40321E-04 1.01266E-14
6.85233E-04 9.73429E-15
7.31665E-04 9.35758E-15
7.79618E-04 8.99633E-15
8.29092E-04 8.65008E-15
8.80086E-04 8.31817E-15
9.32601E-04 7.99980E-15
9.86636E-04 7.69409E-15
1.04219E-03 7.40013E-15
1.09927E-03 7.11708E-15
1.15786E-03 6.84422E-15
1.21797E-03 6.58093E-15
1.27961E-03 6.32677E-15
1.34276E-03 6.08139E-15
1.40743E-03 5.84458E-15
1.47362E-03 5.61619E-15
1.54133E-03 5.39613E-15
1.61056E-03 5.18429E-15
1.68131E-03 4.98055E-15
1.75357E-03 4.78476E-15
1.82735E-03 4.59669E-15
1.90265E-03 4.41610E-15
1.97947E-03 4.24267E-15
2.05780E-03 4.07610E-15
2.13765E-03 3.91604E-15
2.21902E-03 3.76218E-15
2.30190E-03 3.61420E-15
2.38630E-03 3.47184E-15
2.47222E-03 3.33487E-15
2.55965E-03 3.20309E-15
2.64859E-03 3.07634E-15
2.73905E-03 2.95449E-15
2.83103E-03 2.83740E-15
2.92452E-03 2.72496E-15
3.01952E-03 2.61707E-15
3.11604E-03 2.51359E-15
3.21407E-03 2.41441E-15
3.31362E-03 2.31936E-15
3.41468E-03 2.22831E-15
3.51725E-03 2.14110E-15
3.62133E-03 2.05757E-15
3.72692E-03 1.97757E-15
3.83403E-03 1.90095E-15
3.94265E-03 1.82758E-15
4.05278E-03 1.75734E-15
4.16442E-03 1.69011E-15
4.27757E-03 1.62578E-15
4.39223E-03 1.56427E-15
4.50840E-03 1.50547E-15
4.62608E-03 1.44929E-15
4.74527E-03 1.39564E-15
4.86597E-03 1.34443E-15
4.98817E-03 1.29555E-15
5.11188E-03 1.24892E-15
5.23711E-03 1.20445E-15
5.36383E-03 1.16203E-15
5.49207E-03 1.12157E-15
5.62181E-03 1.08301E-15
5.75306E-03 1.04625E-15
5.88581E-03 1.01122E-15
6.02007E-03 9.77857E-16
6.15583E-03 9.46094E-16
6.29310E-03 9.15869E-16
6.43187E-03 8.87120E-16
6.57214E-03 8.59785E-16
6.71392E-03 8.33801E-16
6.85720E-03 8.09104E-16
7.00198E-03 7.85629E-16
7.14827E-03 7.63314E-16
7.29605E-03 7.42093E-16
7.44534E-03 7.21908E-16
7.59612E-03 7.02701E-16
7.97965E-03 6.58640E-16
8.37255E-03 6.19718E-16
8.77480E-03 5.85412E-16
9.18641E-03 5.55226E-16
9.60736E-03 5.28618E-16
1.00376E-02 5.05003E-16
1.04773E-02 4.83856E-16
1.09262E-02 4.64797E-16
1.13844E-02 4.47595E-16
1.18520E-02 4.32084E-16
1.23288E-02 4.18065E-16
1.28150E-02 4.05266E-16
