 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.75000E+03 eV = 6.43113E+01 a.u.
 #
 # Element: Ce,  Z =  58,  atomic weight = 1.40116E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.55750E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 58
 #
 # Electron density: Read from file Data/z_058.d
 #                   Number of data points =  863
 #                   Volume integral = 5.80000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.96000E-23 cm**3
 #                            Bpol = 1.03078E+01
 #
 # Total elastic cross section = 2.29424E-16 cm**2 = 8.19289E+00 a0**2
 # 1st transport cross section = 1.05267E-17 cm**2 = 3.75916E-01 a0**2
 # 2nd transport cross section = 2.10012E-17 cm**2 = 7.49965E-01 a0**2
 #
 #    Absorption cross section = 1.26840E-16 cm**2 = 4.52954E+00 a0**2
 #   Grand total cross section = 3.56293E-16 cm**2 = 1.27235E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 3.98190E-15
7.61557E-13 3.98190E-15
1.18994E-12 3.98190E-15
1.71346E-12 3.98190E-15
2.33225E-12 3.98190E-15
3.04617E-12 3.98190E-15
3.85530E-12 3.98190E-15
4.75964E-12 3.98190E-15
5.75917E-12 3.98190E-15
6.85391E-12 3.98190E-15
8.04379E-12 3.98190E-15
9.32893E-12 3.98190E-15
1.07092E-11 3.98190E-15
1.21847E-11 3.98190E-15
1.37554E-11 3.98190E-15
1.54213E-11 3.98190E-15
1.71823E-11 3.98190E-15
1.90386E-11 3.98190E-15
2.09900E-11 3.98190E-15
2.30367E-11 3.98190E-15
2.51785E-11 3.98190E-15
2.74156E-11 3.98190E-15
2.97478E-11 3.98190E-15
3.21752E-11 3.98190E-15
3.46979E-11 3.98190E-15
3.73157E-11 3.98190E-15
4.00286E-11 3.98190E-15
4.28368E-11 3.98190E-15
4.57402E-11 3.98190E-15
4.87388E-11 3.98190E-15
5.18325E-11 3.98190E-15
5.50215E-11 3.98190E-15
5.83057E-11 3.98190E-15
6.16850E-11 3.98190E-15
6.51595E-11 3.98190E-15
6.87293E-11 3.98190E-15
7.23943E-11 3.98190E-15
7.61544E-11 3.98190E-15
1.18991E-10 3.98191E-15
1.71347E-10 3.98191E-15
2.33223E-10 3.98192E-15
3.04617E-10 3.98193E-15
3.85531E-10 3.98194E-15
4.75965E-10 3.98194E-15
5.75917E-10 3.98195E-15
6.85389E-10 3.98196E-15
8.04380E-10 3.98198E-15
9.32891E-10 3.98199E-15
1.07092E-09 3.98200E-15
1.21847E-09 3.98202E-15
1.37554E-09 3.98203E-15
1.54213E-09 3.98205E-15
1.71823E-09 3.98207E-15
1.90386E-09 3.98209E-15
2.09900E-09 3.98210E-15
2.30367E-09 3.98212E-15
2.51785E-09 3.98215E-15
2.74156E-09 3.98217E-15
2.97478E-09 3.98219E-15
3.21752E-09 3.98222E-15
3.46978E-09 3.98224E-15
3.73156E-09 3.98227E-15
4.00286E-09 3.98229E-15
4.28368E-09 3.98232E-15
4.57402E-09 3.98235E-15
4.87388E-09 3.98238E-15
5.18326E-09 3.98241E-15
5.50215E-09 3.98244E-15
5.83057E-09 3.98247E-15
6.16850E-09 3.98251E-15
6.51596E-09 3.98254E-15
6.87293E-09 3.98258E-15
7.23942E-09 3.98261E-15
7.61544E-09 3.98265E-15
1.18991E-08 3.98307E-15
1.71347E-08 3.98359E-15
2.33223E-08 3.98421E-15
3.04617E-08 3.98492E-15
3.85531E-08 3.98572E-15
4.75965E-08 3.98662E-15
5.75917E-08 3.98761E-15
6.85389E-08 3.98871E-15
8.04380E-08 3.98989E-15
9.32891E-08 3.99118E-15
1.07092E-07 3.99256E-15
1.21847E-07 3.99405E-15
1.37554E-07 3.99563E-15
1.54213E-07 3.99731E-15
1.71823E-07 3.99909E-15
1.90386E-07 4.00097E-15
2.09900E-07 4.00295E-15
2.30367E-07 4.00504E-15
2.51785E-07 4.00722E-15
2.74156E-07 4.00952E-15
2.97478E-07 4.01191E-15
3.21752E-07 4.01441E-15
3.46978E-07 4.01702E-15
3.73156E-07 4.01973E-15
4.00286E-07 4.02255E-15
4.28368E-07 4.02549E-15
4.57402E-07 4.02853E-15
4.87388E-07 4.03168E-15
5.18325E-07 4.03494E-15
5.50215E-07 4.03831E-15
5.83057E-07 4.04180E-15
6.16850E-07 4.04541E-15
6.51596E-07 4.04913E-15
6.87293E-07 4.05296E-15
7.23942E-07 4.05692E-15
7.61543E-07 4.06099E-15
