 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 2.00000E+03 eV = 7.34987E+01 a.u.
 #
 # Element: Pr,  Z =  59,  atomic weight = 1.40908E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.56795E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 59
 #
 # Electron density: Read from file Data/z_059.d
 #                   Number of data points =  861
 #                   Volume integral = 5.90000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.82000E-23 cm**3
 #                            Bpol = 1.10397E+01
 #
 # Total elastic cross section = 2.10950E-16 cm**2 = 7.53317E+00 a0**2
 # 1st transport cross section = 9.38110E-18 cm**2 = 3.35005E-01 a0**2
 # 2nd transport cross section = 1.88173E-17 cm**2 = 6.71979E-01 a0**2
 #
 #    Absorption cross section = 1.09874E-16 cm**2 = 3.92366E+00 a0**2
 #   Grand total cross section = 3.20851E-16 cm**2 = 1.14578E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 3.93240E-15
7.61557E-13 3.93240E-15
1.18994E-12 3.93240E-15
1.71346E-12 3.93240E-15
2.33225E-12 3.93240E-15
3.04617E-12 3.93240E-15
3.85530E-12 3.93240E-15
4.75964E-12 3.93240E-15
5.75917E-12 3.93240E-15
6.85391E-12 3.93240E-15
8.04379E-12 3.93240E-15
9.32893E-12 3.93240E-15
1.07092E-11 3.93240E-15
1.21847E-11 3.93240E-15
1.37554E-11 3.93240E-15
1.54213E-11 3.93240E-15
1.71823E-11 3.93240E-15
1.90386E-11 3.93240E-15
2.09900E-11 3.93240E-15
2.30367E-11 3.93240E-15
2.51785E-11 3.93240E-15
2.74156E-11 3.93240E-15
2.97478E-11 3.93240E-15
3.21752E-11 3.93240E-15
3.46979E-11 3.93241E-15
3.73157E-11 3.93241E-15
4.00286E-11 3.93241E-15
4.28368E-11 3.93241E-15
4.57402E-11 3.93241E-15
4.87388E-11 3.93241E-15
5.18325E-11 3.93241E-15
5.50215E-11 3.93241E-15
5.83057E-11 3.93241E-15
6.16850E-11 3.93241E-15
6.51595E-11 3.93241E-15
6.87293E-11 3.93241E-15
7.23943E-11 3.93241E-15
7.61544E-11 3.93241E-15
1.18991E-10 3.93242E-15
1.71347E-10 3.93242E-15
2.33223E-10 3.93243E-15
3.04617E-10 3.93244E-15
3.85531E-10 3.93246E-15
4.75965E-10 3.93247E-15
5.75917E-10 3.93248E-15
6.85389E-10 3.93250E-15
8.04380E-10 3.93252E-15
9.32891E-10 3.93254E-15
1.07092E-09 3.93256E-15
1.21847E-09 3.93258E-15
1.37554E-09 3.93260E-15
1.54213E-09 3.93262E-15
1.71823E-09 3.93265E-15
1.90386E-09 3.93268E-15
2.09900E-09 3.93270E-15
2.30367E-09 3.93273E-15
2.51785E-09 3.93276E-15
2.74156E-09 3.93280E-15
2.97478E-09 3.93283E-15
3.21752E-09 3.93287E-15
3.46978E-09 3.93290E-15
3.73156E-09 3.93294E-15
4.00286E-09 3.93298E-15
4.28368E-09 3.93302E-15
4.57402E-09 3.93306E-15
4.87388E-09 3.93311E-15
5.18326E-09 3.93315E-15
5.50215E-09 3.93320E-15
5.83057E-09 3.93324E-15
6.16850E-09 3.93329E-15
6.51596E-09 3.93334E-15
6.87293E-09 3.93340E-15
7.23942E-09 3.93345E-15
7.61544E-09 3.93350E-15
1.18991E-08 3.93412E-15
1.71347E-08 3.93488E-15
2.33223E-08 3.93578E-15
3.04617E-08 3.93682E-15
3.85531E-08 3.93799E-15
4.75965E-08 3.93931E-15
5.75917E-08 3.94076E-15
6.85389E-08 3.94235E-15
8.04380E-08 3.94409E-15
9.32891E-08 3.94596E-15
1.07092E-07 3.94798E-15
1.21847E-07 3.95014E-15
1.37554E-07 3.95244E-15
1.54213E-07 3.95488E-15
1.71823E-07 3.95747E-15
1.90386E-07 3.96019E-15
2.09900E-07 3.96307E-15
2.30367E-07 3.96609E-15
2.51785E-07 3.96925E-15
2.74156E-07 3.97257E-15
2.97478E-07 3.97602E-15
3.21752E-07 3.97963E-15
3.46978E-07 3.98339E-15
3.73156E-07 3.98729E-15
4.00286E-07 3.99135E-15
4.28368E-07 3.99555E-15
4.57402E-07 3.99991E-15
4.87388E-07 4.00442E-15
5.18325E-07 4.00909E-15
5.50215E-07 4.01391E-15
5.83057E-07 4.01888E-15
6.16850E-07 4.02401E-15
6.51596E-07 4.02930E-15
6.87293E-07 4.03474E-15
7.23942E-07 4.04035E-15
7.61543E-07 4.04611E-15
1.18991E-06 4.11273E-15
1.71347E-06 4.19625E-15
2.33223E-06 4.29737E-15
3.04617E-06 4.41648E-15
3.85531E-06 4.55353E-15
4.75964E-06 4.70797E-15
5.75916E-06 4.87868E-15
6.85388E-06 5.06399E-15
8.04378E-06 5.26175E-15
9.32888E-06 5.46937E-15
1.07092E-05 5.68399E-15
1.21846E-05 5.90262E-15
1.37553E-05 6.12226E-15
1.54212E-05 6.34007E-15
1.71822E-05 6.55350E-15
1.90385E-05 6.76037E-15
2.09899E-05 6.95894E-15
2.30365E-05 7.14796E-15
2.51783E-05 7.32664E-15
2.74153E-05 7.49464E-15
2.97475E-05 7.65203E-15
3.21749E-05 7.79917E-15
3.46974E-05 7.93671E-15
3.73152E-05 8.06540E-15
4.00281E-05 8.18612E-15
4.28362E-05 8.29970E-15
4.57395E-05 8.40694E-15
4.87380E-05 8.50853E-15
5.18317E-05 8.60498E-15
5.50205E-05 8.69665E-15
5.83045E-05 8.78374E-15
6.16838E-05 8.86626E-15
6.51582E-05 8.94409E-15
6.87277E-05 9.01697E-15
7.23925E-05 9.08456E-15
7.61524E-05 9.14650E-15
9.21439E-05 9.33043E-15
1.09658E-04 9.40403E-15
1.28695E-04 9.37787E-15
1.49255E-04 9.28019E-15
1.71338E-04 9.13606E-15
1.94942E-04 8.95479E-15
2.20070E-04 8.73437E-15
2.46720E-04 8.47457E-15
2.74892E-04 8.18446E-15
3.04586E-04 7.87885E-15
3.35803E-04 7.56924E-15
3.68542E-04 7.25913E-15
4.02802E-04 6.94693E-15
4.38585E-04 6.63236E-15
4.75889E-04 6.31956E-15
5.14715E-04 6.01486E-15
5.55063E-04 5.72236E-15
5.96931E-04 5.44203E-15
6.40321E-04 5.17174E-15
6.85233E-04 4.91047E-15
7.31665E-04 4.65966E-15
7.79618E-04 4.42164E-15
8.29092E-04 4.19736E-15
8.80086E-04 3.98567E-15
9.32601E-04 3.78457E-15
9.86636E-04 3.59305E-15
1.04219E-03 3.41151E-15
1.09927E-03 3.24077E-15
1.15786E-03 3.08075E-15
1.21797E-03 2.93029E-15
1.27961E-03 2.78795E-15
1.34276E-03 2.65299E-15
1.40743E-03 2.52556E-15
1.47362E-03 2.40591E-15
1.54133E-03 2.29376E-15
1.61056E-03 2.18821E-15
1.68131E-03 2.08832E-15
1.75357E-03 1.99365E-15
1.82735E-03 1.90425E-15
1.90265E-03 1.82020E-15
1.97947E-03 1.74119E-15
2.05780E-03 1.66659E-15
2.13765E-03 1.59578E-15
2.21902E-03 1.52852E-15
2.30190E-03 1.46484E-15
2.38630E-03 1.40473E-15
2.47222E-03 1.34794E-15
2.55965E-03 1.29402E-15
2.64859E-03 1.24261E-15
2.73905E-03 1.19358E-15
2.83103E-03 1.14694E-15
2.92452E-03 1.10267E-15
3.01952E-03 1.06060E-15
3.11604E-03 1.02042E-15
3.21407E-03 9.81928E-16
3.31362E-03 9.45068E-16
3.41468E-03 9.09866E-16
3.51725E-03 8.76302E-16
3.62133E-03 8.44244E-16
3.72692E-03 8.13516E-16
3.83403E-03 7.84001E-16
3.94265E-03 7.55680E-16
4.05278E-03 7.28578E-16
4.16442E-03 7.02671E-16
4.27757E-03 6.77867E-16
4.39223E-03 6.54055E-16
4.50840E-03 6.31167E-16
4.62608E-03 6.09198E-16
4.74527E-03 5.88156E-16
4.86597E-03 5.68012E-16
4.98817E-03 5.48698E-16
5.11188E-03 5.30141E-16
5.23711E-03 5.12299E-16
5.36383E-03 4.95164E-16
5.49207E-03 4.78732E-16
5.62181E-03 4.62973E-16
5.75306E-03 4.47837E-16
5.88581E-03 4.33277E-16
6.02007E-03 4.19266E-16
6.15583E-03 4.05796E-16
6.29310E-03 3.92855E-16
6.43187E-03 3.80418E-16
6.57214E-03 3.68452E-16
6.71392E-03 3.56931E-16
6.85720E-03 3.45837E-16
7.00198E-03 3.35163E-16
7.14827E-03 3.24893E-16
7.29605E-03 3.15009E-16
7.44534E-03 3.05493E-16
7.59612E-03 2.96332E-16
7.97965E-03 2.74902E-16
8.37255E-03 2.55411E-16
8.77480E-03 2.37704E-16
9.18641E-03 2.21585E-16
9.60736E-03 2.06917E-16
1.00376E-02 1.93549E-16
1.04773E-02 1.81321E-16
1.09262E-02 1.70163E-16
1.13844E-02 1.59893E-16
1.18520E-02 1.50497E-16
1.23288E-02 1.41826E-16
1.28150E-02 1.33850E-16
1.33104E-02 1.26505E-16
1.38150E-02 1.19696E-16
1.43290E-02 1.13442E-16
1.48521E-02 1.07606E-16
1.53845E-02 1.02230E-16
1.59262E-02 9.72049E-17
1.64770E-02 9.25266E-17
1.70371E-02 8.81692E-17
1.76063E-02 8.40594E-17
1.81848E-02 8.02456E-17
1.87724E-02 7.66231E-17
1.93692E-02 7.32509E-17
1.99751E-02 7.00586E-17
2.05901E-02 6.70520E-17
2.12143E-02 6.42326E-17
2.18476E-02 6.15404E-17
2.24900E-02 5.90298E-17
2.31415E-02 5.66185E-17
2.38021E-02 5.43567E-17
2.44717E-02 5.21986E-17
2.51504E-02 5.01440E-17
2.58382E-02 4.82082E-17
2.65349E-02 4.63406E-17
2.72407E-02 4.45920E-17
2.79555E-02 4.29026E-17
