 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.50000E+02 eV = 5.51240E+00 a.u.
 #
 # Element: Pr,  Z =  59,  atomic weight = 1.40908E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.56795E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 59
 #
 # Electron density: Read from file Data/z_059.d
 #                   Number of data points =  861
 #                   Volume integral = 5.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.82000E-23 cm**3
 #                            Bpol = 2.50000E+00
 #
 # Total elastic cross section = 1.11879E-15 cm**2 = 3.99526E+01 a0**2
 # 1st transport cross section = 1.09670E-16 cm**2 = 3.91638E+00 a0**2
 # 2nd transport cross section = 1.47795E-16 cm**2 = 5.27785E+00 a0**2
 #
 #    Absorption cross section = 1.00299E-15 cm**2 = 3.58173E+01 a0**2
 #   Grand total cross section = 2.12187E-15 cm**2 = 7.57733E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 5.03297E-14
7.61557E-13 5.03297E-14
1.18994E-12 5.03297E-14
1.71346E-12 5.03297E-14
2.33225E-12 5.03297E-14
3.04617E-12 5.03297E-14
3.85530E-12 5.03297E-14
4.75964E-12 5.03297E-14
5.75917E-12 5.03297E-14
6.85391E-12 5.03297E-14
8.04379E-12 5.03297E-14
9.32893E-12 5.03297E-14
1.07092E-11 5.03297E-14
1.21847E-11 5.03297E-14
1.37554E-11 5.03297E-14
1.54213E-11 5.03297E-14
1.71823E-11 5.03297E-14
1.90386E-11 5.03297E-14
2.09900E-11 5.03297E-14
2.30367E-11 5.03297E-14
2.51785E-11 5.03297E-14
2.74156E-11 5.03297E-14
2.97478E-11 5.03297E-14
3.21752E-11 5.03297E-14
3.46979E-11 5.03297E-14
3.73157E-11 5.03297E-14
4.00286E-11 5.03297E-14
4.28368E-11 5.03297E-14
4.57402E-11 5.03297E-14
4.87388E-11 5.03297E-14
5.18325E-11 5.03297E-14
5.50215E-11 5.03297E-14
5.83057E-11 5.03297E-14
6.16850E-11 5.03297E-14
6.51595E-11 5.03297E-14
6.87293E-11 5.03297E-14
7.23943E-11 5.03297E-14
7.61544E-11 5.03297E-14
1.18991E-10 5.03297E-14
1.71347E-10 5.03297E-14
2.33223E-10 5.03296E-14
3.04617E-10 5.03296E-14
3.85531E-10 5.03296E-14
4.75965E-10 5.03296E-14
5.75917E-10 5.03296E-14
6.85389E-10 5.03296E-14
8.04380E-10 5.03295E-14
9.32891E-10 5.03295E-14
1.07092E-09 5.03295E-14
1.21847E-09 5.03294E-14
1.37554E-09 5.03294E-14
1.54213E-09 5.03294E-14
1.71823E-09 5.03293E-14
1.90386E-09 5.03293E-14
2.09900E-09 5.03292E-14
2.30367E-09 5.03292E-14
2.51785E-09 5.03292E-14
2.74156E-09 5.03291E-14
2.97478E-09 5.03291E-14
3.21752E-09 5.03290E-14
3.46978E-09 5.03290E-14
3.73156E-09 5.03289E-14
4.00286E-09 5.03288E-14
4.28368E-09 5.03288E-14
4.57402E-09 5.03287E-14
4.87388E-09 5.03287E-14
5.18326E-09 5.03286E-14
5.50215E-09 5.03285E-14
5.83057E-09 5.03285E-14
6.16850E-09 5.03284E-14
6.51596E-09 5.03283E-14
6.87293E-09 5.03282E-14
7.23942E-09 5.03281E-14
7.61544E-09 5.03281E-14
1.18991E-08 5.03272E-14
1.71347E-08 5.03260E-14
2.33223E-08 5.03247E-14
3.04617E-08 5.03232E-14
3.85531E-08 5.03215E-14
4.75965E-08 5.03195E-14
5.75917E-08 5.03174E-14
6.85389E-08 5.03151E-14
8.04380E-08 5.03125E-14
9.32891E-08 5.03098E-14
1.07092E-07 5.03068E-14
1.21847E-07 5.03037E-14
1.37554E-07 5.03003E-14
1.54213E-07 5.02968E-14
1.71823E-07 5.02930E-14
1.90386E-07 5.02891E-14
2.09900E-07 5.02849E-14
2.30367E-07 5.02805E-14
2.51785E-07 5.02760E-14
2.74156E-07 5.02712E-14
2.97478E-07 5.02662E-14
3.21752E-07 5.02611E-14
3.46978E-07 5.02557E-14
3.73156E-07 5.02501E-14
4.00286E-07 5.02444E-14
4.28368E-07 5.02384E-14
4.57402E-07 5.02322E-14
4.87388E-07 5.02259E-14
5.18325E-07 5.02193E-14
5.50215E-07 5.02125E-14
5.83057E-07 5.02055E-14
6.16850E-07 5.01984E-14
6.51596E-07 5.01910E-14
6.87293E-07 5.01834E-14
7.23942E-07 5.01757E-14
7.61543E-07 5.01677E-14
1.18991E-06 5.00773E-14
1.71347E-06 4.99674E-14
2.33223E-06 4.98385E-14
3.04617E-06 4.96910E-14
3.85531E-06 4.95255E-14
4.75964E-06 4.93424E-14
5.75916E-06 4.91424E-14
6.85388E-06 4.89262E-14
8.04378E-06 4.86945E-14
9.32888E-06 4.84480E-14
1.07092E-05 4.81876E-14
1.21846E-05 4.79141E-14
1.37553E-05 4.76282E-14
1.54212E-05 4.73308E-14
1.71822E-05 4.70229E-14
1.90385E-05 4.67053E-14
2.09899E-05 4.63788E-14
2.30365E-05 4.60443E-14
2.51783E-05 4.57028E-14
2.74153E-05 4.53550E-14
