 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.00000E+03 eV = 1.46997E+02 a.u.
 #
 # Element: Pr,  Z =  59,  atomic weight = 1.40908E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.56795E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 59
 #
 # Electron density: Read from file Data/z_059.d
 #                   Number of data points =  861
 #                   Volume integral = 5.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.82000E-23 cm**3
 #                            Bpol = 1.57123E+01
 #
 # Total elastic cross section = 1.72965E-16 cm**2 = 6.17669E+00 a0**2
 # 1st transport cross section = 1.03155E-17 cm**2 = 3.68373E-01 a0**2
 # 2nd transport cross section = 1.45250E-17 cm**2 = 5.18699E-01 a0**2
 #
 #    Absorption cross section = 5.61917E-17 cm**2 = 2.00664E+00 a0**2
 #   Grand total cross section = 2.29176E-16 cm**2 = 8.18404E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 4.01129E-14
7.61557E-13 4.01129E-14
1.18994E-12 4.01129E-14
1.71346E-12 4.01129E-14
2.33225E-12 4.01129E-14
3.04617E-12 4.01129E-14
3.85530E-12 4.01129E-14
4.75964E-12 4.01129E-14
5.75917E-12 4.01129E-14
6.85391E-12 4.01129E-14
8.04379E-12 4.01129E-14
9.32893E-12 4.01129E-14
1.07092E-11 4.01129E-14
1.21847E-11 4.01129E-14
1.37554E-11 4.01129E-14
1.54213E-11 4.01129E-14
1.71823E-11 4.01129E-14
1.90386E-11 4.01129E-14
2.09900E-11 4.01129E-14
2.30367E-11 4.01129E-14
2.51785E-11 4.01129E-14
2.74156E-11 4.01129E-14
2.97478E-11 4.01129E-14
3.21752E-11 4.01128E-14
3.46979E-11 4.01128E-14
3.73157E-11 4.01128E-14
4.00286E-11 4.01128E-14
4.28368E-11 4.01128E-14
4.57402E-11 4.01128E-14
4.87388E-11 4.01128E-14
5.18325E-11 4.01128E-14
5.50215E-11 4.01128E-14
5.83057E-11 4.01128E-14
6.16850E-11 4.01128E-14
6.51595E-11 4.01128E-14
6.87293E-11 4.01127E-14
7.23943E-11 4.01127E-14
7.61544E-11 4.01127E-14
1.18991E-10 4.01126E-14
1.71347E-10 4.01125E-14
2.33223E-10 4.01123E-14
3.04617E-10 4.01121E-14
3.85531E-10 4.01119E-14
4.75965E-10 4.01117E-14
5.75917E-10 4.01114E-14
6.85389E-10 4.01111E-14
8.04380E-10 4.01108E-14
9.32891E-10 4.01105E-14
1.07092E-09 4.01101E-14
1.21847E-09 4.01097E-14
1.37554E-09 4.01093E-14
1.54213E-09 4.01089E-14
1.71823E-09 4.01084E-14
1.90386E-09 4.01079E-14
2.09900E-09 4.01074E-14
2.30367E-09 4.01069E-14
2.51785E-09 4.01063E-14
2.74156E-09 4.01057E-14
2.97478E-09 4.01051E-14
3.21752E-09 4.01044E-14
3.46978E-09 4.01038E-14
3.73156E-09 4.01031E-14
4.00286E-09 4.01024E-14
4.28368E-09 4.01016E-14
4.57402E-09 4.01009E-14
4.87388E-09 4.01001E-14
5.18326E-09 4.00993E-14
5.50215E-09 4.00984E-14
5.83057E-09 4.00975E-14
6.16850E-09 4.00967E-14
6.51596E-09 4.00957E-14
6.87293E-09 4.00948E-14
7.23942E-09 4.00938E-14
7.61544E-09 4.00928E-14
1.18991E-08 4.00816E-14
1.71347E-08 4.00678E-14
2.33223E-08 4.00515E-14
3.04617E-08 4.00327E-14
3.85531E-08 4.00115E-14
4.75965E-08 3.99878E-14
5.75917E-08 3.99617E-14
6.85389E-08 3.99331E-14
8.04380E-08 3.99021E-14
9.32891E-08 3.98686E-14
1.07092E-07 3.98328E-14
1.21847E-07 3.97946E-14
1.37554E-07 3.97541E-14
1.54213E-07 3.97112E-14
1.71823E-07 3.96659E-14
1.90386E-07 3.96184E-14
2.09900E-07 3.95686E-14
2.30367E-07 3.95165E-14
2.51785E-07 3.94622E-14
2.74156E-07 3.94057E-14
2.97478E-07 3.93470E-14
3.21752E-07 3.92862E-14
3.46978E-07 3.92232E-14
3.73156E-07 3.91581E-14
4.00286E-07 3.90910E-14
4.28368E-07 3.90218E-14
4.57402E-07 3.89506E-14
4.87388E-07 3.88774E-14
5.18325E-07 3.88023E-14
5.50215E-07 3.87253E-14
5.83057E-07 3.86464E-14
6.16850E-07 3.85657E-14
6.51596E-07 3.84831E-14
6.87293E-07 3.83988E-14
7.23942E-07 3.83127E-14
7.61543E-07 3.82249E-14
1.18991E-06 3.72622E-14
1.71347E-06 3.61726E-14
2.33223E-06 3.49968E-14
3.04617E-06 3.37746E-14
3.85531E-06 3.25421E-14
4.75964E-06 3.13304E-14
5.75916E-06 3.01640E-14
6.85388E-06 2.90608E-14
8.04378E-06 2.80320E-14
9.32888E-06 2.70829E-14
1.07092E-05 2.62132E-14
1.21846E-05 2.54191E-14
1.37553E-05 2.46932E-14
1.54212E-05 2.40269E-14
1.71822E-05 2.34106E-14
1.90385E-05 2.28347E-14
2.09899E-05 2.22909E-14
2.30365E-05 2.17718E-14
2.51783E-05 2.12721E-14
2.74153E-05 2.07881E-14
2.97475E-05 2.03175E-14
3.21749E-05 1.98597E-14
3.46974E-05 1.94149E-14
3.73152E-05 1.89841E-14
4.00281E-05 1.85684E-14
4.28362E-05 1.81686E-14
4.57395E-05 1.77854E-14
4.87380E-05 1.74189E-14
5.18317E-05 1.70685E-14
5.50205E-05 1.67332E-14
5.83045E-05 1.64113E-14
6.16838E-05 1.61011E-14
6.51582E-05 1.58007E-14
6.87277E-05 1.55083E-14
