 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 6.00000E+03 eV = 2.20496E+02 a.u.
 #
 # Element: Nd,  Z =  60,  atomic weight = 1.44240E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.61150E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 60
 #
 # Electron density: Read from file Data/z_060.d
 #                   Number of data points =  857
 #                   Volume integral = 6.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 3.14000E-23 cm**3
 #                            Bpol = 1.92841E+01
 #
 # Total elastic cross section = 1.33127E-16 cm**2 = 4.75404E+00 a0**2
 # 1st transport cross section = 6.08795E-18 cm**2 = 2.17405E-01 a0**2
 # 2nd transport cross section = 9.56021E-18 cm**2 = 3.41401E-01 a0**2
 #
 #    Absorption cross section = 3.75610E-17 cm**2 = 1.34133E+00 a0**2
 #   Grand total cross section = 1.70705E-16 cm**2 = 6.09598E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 3.95916E-14
7.61557E-13 3.95916E-14
1.18994E-12 3.95916E-14
1.71346E-12 3.95916E-14
2.33225E-12 3.95916E-14
3.04617E-12 3.95916E-14
3.85530E-12 3.95916E-14
4.75964E-12 3.95916E-14
5.75917E-12 3.95916E-14
6.85391E-12 3.95916E-14
8.04379E-12 3.95916E-14
9.32893E-12 3.95916E-14
1.07092E-11 3.95916E-14
1.21847E-11 3.95916E-14
1.37554E-11 3.95916E-14
1.54213E-11 3.95915E-14
1.71823E-11 3.95915E-14
1.90386E-11 3.95915E-14
2.09900E-11 3.95915E-14
2.30367E-11 3.95915E-14
2.51785E-11 3.95915E-14
2.74156E-11 3.95915E-14
2.97478E-11 3.95915E-14
3.21752E-11 3.95915E-14
3.46979E-11 3.95915E-14
3.73157E-11 3.95915E-14
4.00286E-11 3.95914E-14
4.28368E-11 3.95914E-14
4.57402E-11 3.95914E-14
4.87388E-11 3.95914E-14
5.18325E-11 3.95914E-14
5.50215E-11 3.95914E-14
5.83057E-11 3.95914E-14
6.16850E-11 3.95914E-14
6.51595E-11 3.95913E-14
6.87293E-11 3.95913E-14
7.23943E-11 3.95913E-14
7.61544E-11 3.95913E-14
1.18991E-10 3.95911E-14
1.71347E-10 3.95909E-14
2.33223E-10 3.95907E-14
3.04617E-10 3.95904E-14
