 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 9.00000E+02 eV = 3.30744E+01 a.u.
 #
 # Element: Pm,  Z =  61,  atomic weight = 1.44913E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.62021E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 61
 #
 # Electron density: Read from file Data/z_061.d
 #                   Number of data points =  855
 #                   Volume integral = 6.10000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 3.01000E-23 cm**3
 #                            Bpol = 7.28869E+00
 #
 # Total elastic cross section = 2.68926E-16 cm**2 = 9.60354E+00 a0**2
 # 1st transport cross section = 1.83460E-17 cm**2 = 6.55146E-01 a0**2
 # 2nd transport cross section = 3.46050E-17 cm**2 = 1.23577E+00 a0**2
 #
 #    Absorption cross section = 2.21151E-16 cm**2 = 7.89746E+00 a0**2
 #   Grand total cross section = 4.90097E-16 cm**2 = 1.75017E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 4.45581E-15
7.61557E-13 4.45581E-15
1.18994E-12 4.45581E-15
1.71346E-12 4.45581E-15
2.33225E-12 4.45581E-15
3.04617E-12 4.45581E-15
3.85530E-12 4.45581E-15
4.75964E-12 4.45581E-15
5.75917E-12 4.45581E-15
6.85391E-12 4.45581E-15
8.04379E-12 4.45581E-15
9.32893E-12 4.45581E-15
1.07092E-11 4.45581E-15
1.21847E-11 4.45581E-15
1.37554E-11 4.45581E-15
1.54213E-11 4.45581E-15
1.71823E-11 4.45581E-15
1.90386E-11 4.45581E-15
2.09900E-11 4.45581E-15
2.30367E-11 4.45581E-15
2.51785E-11 4.45581E-15
2.74156E-11 4.45581E-15
2.97478E-11 4.45581E-15
3.21752E-11 4.45581E-15
3.46979E-11 4.45581E-15
3.73157E-11 4.45581E-15
4.00286E-11 4.45581E-15
4.28368E-11 4.45581E-15
4.57402E-11 4.45581E-15
4.87388E-11 4.45581E-15
5.18325E-11 4.45580E-15
5.50215E-11 4.45580E-15
5.83057E-11 4.45580E-15
6.16850E-11 4.45580E-15
6.51595E-11 4.45580E-15
6.87293E-11 4.45580E-15
7.23943E-11 4.45580E-15
7.61544E-11 4.45580E-15
1.18991E-10 4.45580E-15
1.71347E-10 4.45579E-15
2.33223E-10 4.45578E-15
3.04617E-10 4.45577E-15
3.85531E-10 4.45576E-15
4.75965E-10 4.45575E-15
5.75917E-10 4.45573E-15
6.85389E-10 4.45572E-15
8.04380E-10 4.45570E-15
9.32891E-10 4.45568E-15
1.07092E-09 4.45566E-15
1.21847E-09 4.45564E-15
1.37554E-09 4.45562E-15
1.54213E-09 4.45560E-15
1.71823E-09 4.45557E-15
1.90386E-09 4.45555E-15
2.09900E-09 4.45552E-15
2.30367E-09 4.45549E-15
2.51785E-09 4.45546E-15
2.74156E-09 4.45543E-15
2.97478E-09 4.45540E-15
3.21752E-09 4.45536E-15
3.46978E-09 4.45533E-15
3.73156E-09 4.45529E-15
4.00286E-09 4.45526E-15
4.28368E-09 4.45522E-15
4.57402E-09 4.45518E-15
4.87388E-09 4.45513E-15
5.18326E-09 4.45509E-15
5.50215E-09 4.45505E-15
5.83057E-09 4.45500E-15
6.16850E-09 4.45495E-15
6.51596E-09 4.45491E-15
6.87293E-09 4.45486E-15
7.23942E-09 4.45481E-15
7.61544E-09 4.45475E-15
1.18991E-08 4.45416E-15
1.71347E-08 4.45343E-15
2.33223E-08 4.45258E-15
3.04617E-08 4.45159E-15
3.85531E-08 4.45047E-15
4.75965E-08 4.44922E-15
5.75917E-08 4.44784E-15
