 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.00000E+03 eV = 3.67493E+01 a.u.
 #
 # Element: Gd,  Z =  64,  atomic weight = 1.57250E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.77538E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 64
 #
 # Electron density: Read from file Data/z_064.d
 #                   Number of data points =  833
 #                   Volume integral = 6.40000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.35000E-23 cm**3
 #                            Bpol = 7.70552E+00
 #
 # Total elastic cross section = 2.52950E-16 cm**2 = 9.03303E+00 a0**2
 # 1st transport cross section = 1.70565E-17 cm**2 = 6.09100E-01 a0**2
 # 2nd transport cross section = 3.21735E-17 cm**2 = 1.14894E+00 a0**2
 #
 #    Absorption cross section = 1.86677E-16 cm**2 = 6.66637E+00 a0**2
 #   Grand total cross section = 4.39646E-16 cm**2 = 1.57001E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 3.40691E-15
7.61557E-13 3.40691E-15
1.18994E-12 3.40691E-15
1.71346E-12 3.40691E-15
2.33225E-12 3.40691E-15
3.04617E-12 3.40691E-15
3.85530E-12 3.40691E-15
4.75964E-12 3.40691E-15
5.75917E-12 3.40691E-15
6.85391E-12 3.40691E-15
8.04379E-12 3.40691E-15
9.32893E-12 3.40691E-15
1.07092E-11 3.40691E-15
1.21847E-11 3.40691E-15
1.37554E-11 3.40691E-15
1.54213E-11 3.40691E-15
1.71823E-11 3.40691E-15
1.90386E-11 3.40691E-15
2.09900E-11 3.40691E-15
2.30367E-11 3.40691E-15
2.51785E-11 3.40690E-15
2.74156E-11 3.40690E-15
2.97478E-11 3.40690E-15
3.21752E-11 3.40690E-15
3.46979E-11 3.40690E-15
3.73157E-11 3.40690E-15
4.00286E-11 3.40690E-15
4.28368E-11 3.40690E-15
4.57402E-11 3.40690E-15
4.87388E-11 3.40690E-15
5.18325E-11 3.40690E-15
5.50215E-11 3.40690E-15
5.83057E-11 3.40690E-15
6.16850E-11 3.40690E-15
6.51595E-11 3.40690E-15
6.87293E-11 3.40690E-15
7.23943E-11 3.40690E-15
7.61544E-11 3.40690E-15
1.18991E-10 3.40690E-15
1.71347E-10 3.40690E-15
2.33223E-10 3.40689E-15
3.04617E-10 3.40689E-15
3.85531E-10 3.40689E-15
4.75965E-10 3.40688E-15
5.75917E-10 3.40687E-15
6.85389E-10 3.40687E-15
8.04380E-10 3.40686E-15
9.32891E-10 3.40686E-15
1.07092E-09 3.40685E-15
1.21847E-09 3.40684E-15
1.37554E-09 3.40683E-15
1.54213E-09 3.40682E-15
1.71823E-09 3.40681E-15
1.90386E-09 3.40680E-15
2.09900E-09 3.40679E-15
2.30367E-09 3.40678E-15
2.51785E-09 3.40677E-15
2.74156E-09 3.40676E-15
2.97478E-09 3.40674E-15
3.21752E-09 3.40673E-15
3.46978E-09 3.40672E-15
3.73156E-09 3.40670E-15
4.00286E-09 3.40669E-15
4.28368E-09 3.40667E-15
4.57402E-09 3.40666E-15
4.87388E-09 3.40664E-15
5.18326E-09 3.40662E-15
5.50215E-09 3.40660E-15
5.83057E-09 3.40659E-15
6.16850E-09 3.40657E-15
6.51596E-09 3.40655E-15
6.87293E-09 3.40653E-15
7.23942E-09 3.40651E-15
7.61544E-09 3.40649E-15
1.18991E-08 3.40625E-15
1.71347E-08 3.40597E-15
2.33223E-08 3.40563E-15
3.04617E-08 3.40524E-15
3.85531E-08 3.40480E-15
4.75965E-08 3.40431E-15
5.75917E-08 3.40377E-15
6.85389E-08 3.40317E-15
8.04380E-08 3.40253E-15
9.32891E-08 3.40183E-15
1.07092E-07 3.40109E-15
1.21847E-07 3.40029E-15
1.37554E-07 3.39945E-15
1.54213E-07 3.39856E-15
1.71823E-07 3.39762E-15
1.90386E-07 3.39663E-15
2.09900E-07 3.39560E-15
2.30367E-07 3.39452E-15
2.51785E-07 3.39339E-15
2.74156E-07 3.39221E-15
2.97478E-07 3.39099E-15
3.21752E-07 3.38973E-15
3.46978E-07 3.38842E-15
3.73156E-07 3.38707E-15
4.00286E-07 3.38567E-15
4.28368E-07 3.38423E-15
4.57402E-07 3.38275E-15
4.87388E-07 3.38123E-15
5.18325E-07 3.37967E-15
5.50215E-07 3.37807E-15
5.83057E-07 3.37643E-15
6.16850E-07 3.37475E-15
6.51596E-07 3.37303E-15
6.87293E-07 3.37128E-15
7.23942E-07 3.36949E-15
7.61543E-07 3.36767E-15
1.18991E-06 3.34770E-15
1.71347E-06 3.32522E-15
2.33223E-06 3.30126E-15
3.04617E-06 3.27687E-15
3.85531E-06 3.25316E-15
4.75964E-06 3.23117E-15
5.75916E-06 3.21189E-15
6.85388E-06 3.19618E-15
8.04378E-06 3.18478E-15
9.32888E-06 3.17824E-15
1.07092E-05 3.17696E-15
1.21846E-05 3.18116E-15
1.37553E-05 3.19088E-15
1.54212E-05 3.20600E-15
1.71822E-05 3.22629E-15
1.90385E-05 3.25139E-15
2.09899E-05 3.28084E-15
2.30365E-05 3.31414E-15
2.51783E-05 3.35076E-15
2.74153E-05 3.39014E-15
2.97475E-05 3.43176E-15
3.21749E-05 3.47513E-15
3.46974E-05 3.51979E-15
3.73152E-05 3.56535E-15
4.00281E-05 3.61148E-15
4.28362E-05 3.65792E-15
4.57395E-05 3.70447E-15
4.87380E-05 3.75098E-15
5.18317E-05 3.79737E-15
5.50205E-05 3.84358E-15
5.83045E-05 3.88961E-15
6.16838E-05 3.93547E-15
6.51582E-05 3.98118E-15
6.87277E-05 4.02678E-15
7.23925E-05 4.07230E-15
7.61524E-05 4.11776E-15
9.21439E-05 4.29887E-15
1.09658E-04 4.47590E-15
1.28695E-04 4.64128E-15
1.49255E-04 4.78625E-15
1.71338E-04 4.90533E-15
1.94942E-04 4.99835E-15
2.20070E-04 5.06913E-15
2.46720E-04 5.12208E-15
2.74892E-04 5.15945E-15
3.04586E-04 5.18056E-15
3.35803E-04 5.18341E-15
3.68542E-04 5.16690E-15
4.02802E-04 5.13224E-15
4.38585E-04 5.08268E-15
4.75889E-04 5.02193E-15
5.14715E-04 4.95259E-15
