 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.00000E+04 eV = 3.67493E+02 a.u.
 #
 # Element: Gd,  Z =  64,  atomic weight = 1.57250E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.77538E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 64
 #
 # Electron density: Read from file Data/z_064.d
 #                   Number of data points =  833
 #                   Volume integral = 6.40000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.35000E-23 cm**3
 #                            Bpol = 2.49374E+01
 #
 # Total elastic cross section = 8.74745E-17 cm**2 = 3.12377E+00 a0**2
 # 1st transport cross section = 1.78998E-18 cm**2 = 6.39212E-02 a0**2
 # 2nd transport cross section = 3.93197E-18 cm**2 = 1.40413E-01 a0**2
 #
 #    Absorption cross section = 2.14335E-17 cm**2 = 7.65405E-01 a0**2
 #   Grand total cross section = 1.08923E-16 cm**2 = 3.88972E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 7.05279E-15
7.61557E-13 7.05279E-15
1.18994E-12 7.05279E-15
1.71346E-12 7.05279E-15
2.33225E-12 7.05280E-15
3.04617E-12 7.05280E-15
3.85530E-12 7.05280E-15
4.75964E-12 7.05280E-15
5.75917E-12 7.05280E-15
6.85391E-12 7.05280E-15
8.04379E-12 7.05281E-15
9.32893E-12 7.05281E-15
1.07092E-11 7.05281E-15
1.21847E-11 7.05282E-15
1.37554E-11 7.05282E-15
1.54213E-11 7.05282E-15
1.71823E-11 7.05283E-15
1.90386E-11 7.05283E-15
2.09900E-11 7.05284E-15
2.30367E-11 7.05284E-15
2.51785E-11 7.05284E-15
2.74156E-11 7.05285E-15
2.97478E-11 7.05285E-15
3.21752E-11 7.05286E-15
3.46979E-11 7.05287E-15
3.73157E-11 7.05287E-15
4.00286E-11 7.05288E-15
4.28368E-11 7.05288E-15
4.57402E-11 7.05289E-15
4.87388E-11 7.05290E-15
5.18325E-11 7.05290E-15
5.50215E-11 7.05291E-15
5.83057E-11 7.05292E-15
6.16850E-11 7.05292E-15
6.51595E-11 7.05293E-15
6.87293E-11 7.05294E-15
7.23943E-11 7.05295E-15
7.61544E-11 7.05295E-15
1.18991E-10 7.05305E-15
1.71347E-10 7.05316E-15
2.33223E-10 7.05329E-15
3.04617E-10 7.05345E-15
3.85531E-10 7.05362E-15
4.75965E-10 7.05382E-15
5.75917E-10 7.05403E-15
6.85389E-10 7.05427E-15
8.04380E-10 7.05453E-15
9.32891E-10 7.05480E-15
1.07092E-09 7.05510E-15
1.21847E-09 7.05542E-15
1.37554E-09 7.05576E-15
1.54213E-09 7.05612E-15
1.71823E-09 7.05650E-15
1.90386E-09 7.05690E-15
2.09900E-09 7.05732E-15
2.30367E-09 7.05776E-15
2.51785E-09 7.05822E-15
2.74156E-09 7.05870E-15
2.97478E-09 7.05921E-15
3.21752E-09 7.05973E-15
3.46978E-09 7.06027E-15
3.73156E-09 7.06084E-15
4.00286E-09 7.06142E-15
4.28368E-09 7.06203E-15
4.57402E-09 7.06265E-15
4.87388E-09 7.06330E-15
5.18326E-09 7.06397E-15
5.50215E-09 7.06465E-15
5.83057E-09 7.06536E-15
6.16850E-09 7.06609E-15
6.51596E-09 7.06684E-15
6.87293E-09 7.06761E-15
7.23942E-09 7.06840E-15
7.61544E-09 7.06921E-15
1.18991E-08 7.07843E-15
1.71347E-08 7.08968E-15
2.33223E-08 7.10296E-15
3.04617E-08 7.11826E-15
3.85531E-08 7.13557E-15
4.75965E-08 7.15486E-15
5.75917E-08 7.17614E-15
6.85389E-08 7.19938E-15
8.04380E-08 7.22457E-15
9.32891E-08 7.25168E-15
1.07092E-07 7.28069E-15
1.21847E-07 7.31159E-15
1.37554E-07 7.34435E-15
1.54213E-07 7.37894E-15
1.71823E-07 7.41534E-15
1.90386E-07 7.45351E-15
2.09900E-07 7.49342E-15
2.30367E-07 7.53505E-15
2.51785E-07 7.57835E-15
2.74156E-07 7.62330E-15
2.97478E-07 7.66984E-15
3.21752E-07 7.71795E-15
3.46978E-07 7.76759E-15
3.73156E-07 7.81870E-15
4.00286E-07 7.87125E-15
4.28368E-07 7.92518E-15
4.57402E-07 7.98046E-15
4.87388E-07 8.03702E-15
5.18325E-07 8.09483E-15
5.50215E-07 8.15383E-15
5.83057E-07 8.21395E-15
6.16850E-07 8.27516E-15
6.51596E-07 8.33739E-15
6.87293E-07 8.40059E-15
7.23942E-07 8.46470E-15
7.61543E-07 8.52966E-15
1.18991E-06 9.21249E-15
1.71347E-06 9.91278E-15
2.33223E-06 1.05746E-14
3.04617E-06 1.11578E-14
3.85531E-06 1.16439E-14
4.75964E-06 1.20350E-14
5.75916E-06 1.23468E-14
6.85388E-06 1.25999E-14
8.04378E-06 1.28118E-14
9.32888E-06 1.29923E-14
1.07092E-05 1.31435E-14
1.21846E-05 1.32621E-14
1.37553E-05 1.33434E-14
1.54212E-05 1.33848E-14
1.71822E-05 1.33877E-14
1.90385E-05 1.33575E-14
2.09899E-05 1.33015E-14
2.30365E-05 1.32269E-14
2.51783E-05 1.31387E-14
2.74153E-05 1.30387E-14
2.97475E-05 1.29267E-14
3.21749E-05 1.28011E-14
3.46974E-05 1.26609E-14
3.73152E-05 1.25064E-14
4.00281E-05 1.23399E-14
4.28362E-05 1.21644E-14
4.57395E-05 1.19834E-14
4.87380E-05 1.17992E-14
5.18317E-05 1.16130E-14
5.50205E-05 1.14247E-14
5.83045E-05 1.12335E-14
6.16838E-05 1.10386E-14
6.51582E-05 1.08400E-14
6.87277E-05 1.06386E-14
7.23925E-05 1.04358E-14
7.61524E-05 1.02333E-14
9.21439E-05 9.44220E-15
1.09658E-04 8.67291E-15
1.28695E-04 7.94429E-15
1.49255E-04 7.26583E-15
1.71338E-04 6.63572E-15
1.94942E-04 6.06249E-15
2.20070E-04 5.53694E-15
2.46720E-04 5.06361E-15
2.74892E-04 4.63390E-15
3.04586E-04 4.24762E-15
3.35803E-04 3.89944E-15
3.68542E-04 3.58566E-15
4.02802E-04 3.30394E-15
4.38585E-04 3.04908E-15
4.75889E-04 2.82020E-15
5.14715E-04 2.61246E-15
5.55063E-04 2.42505E-15
5.96931E-04 2.25455E-15
6.40321E-04 2.09958E-15
6.85233E-04 1.95831E-15
7.31665E-04 1.82888E-15
7.79618E-04 1.71057E-15
8.29092E-04 1.60147E-15
8.80086E-04 1.50137E-15
9.32601E-04 1.40872E-15
9.86636E-04 1.32327E-15
1.04219E-03 1.24408E-15
1.09927E-03 1.17064E-15
1.15786E-03 1.10256E-15
1.21797E-03 1.03912E-15
1.27961E-03 9.80226E-16
1.34276E-03 9.25184E-16
1.40743E-03 8.73958E-16
1.47362E-03 8.26016E-16
1.54133E-03 7.81237E-16
1.61056E-03 7.39330E-16
1.68131E-03 7.00051E-16
1.75357E-03 6.63302E-16
1.82735E-03 6.28777E-16
1.90265E-03 5.96466E-16
1.97947E-03 5.66085E-16
2.05780E-03 5.37611E-16
2.13765E-03 5.10845E-16
2.21902E-03 4.85701E-16
2.30190E-03 4.62077E-16
2.38630E-03 4.39831E-16
2.47222E-03 4.18925E-16
2.55965E-03 3.99207E-16
2.64859E-03 3.80655E-16
2.73905E-03 3.63145E-16
2.83103E-03 3.46641E-16
2.92452E-03 3.31065E-16
3.01952E-03 3.16358E-16
3.11604E-03 3.02478E-16
3.21407E-03 2.89355E-16
3.31362E-03 2.76963E-16
3.41468E-03 2.65235E-16
3.51725E-03 2.54146E-16
3.62133E-03 2.43644E-16
3.72692E-03 2.33697E-16
3.83403E-03 2.24268E-16
3.94265E-03 2.15322E-16
4.05278E-03 2.06832E-16
4.16442E-03 1.98767E-16
4.27757E-03 1.91103E-16
4.39223E-03 1.83817E-16
4.50840E-03 1.76886E-16
4.62608E-03 1.70290E-16
4.74527E-03 1.64011E-16
4.86597E-03 1.58028E-16
4.98817E-03 1.52328E-16
5.11188E-03 1.46889E-16
5.23711E-03 1.41702E-16
5.36383E-03 1.36747E-16
5.49207E-03 1.32015E-16
5.62181E-03 1.27491E-16
5.75306E-03 1.23162E-16
5.88581E-03 1.19023E-16
6.02007E-03 1.15055E-16
6.15583E-03 1.11261E-16
6.29310E-03 1.07619E-16
6.43187E-03 1.04134E-16
6.57214E-03 1.00789E-16
6.71392E-03 9.75824E-17
6.85720E-03 9.45057E-17
7.00198E-03 9.15496E-17
7.14827E-03 8.87151E-17
