 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.75000E+03 eV = 6.43113E+01 a.u.
 #
 # Element: Gd,  Z =  64,  atomic weight = 1.57250E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.77538E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 64
 #
 # Electron density: Read from file Data/z_064.d
 #                   Number of data points =  833
 #                   Volume integral = 6.40000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.35000E-23 cm**3
 #                            Bpol = 1.03078E+01
 #
 # Total elastic cross section = 2.05453E-16 cm**2 = 7.33686E+00 a0**2
 # 1st transport cross section = 1.09035E-17 cm**2 = 3.89372E-01 a0**2
 # 2nd transport cross section = 2.12153E-17 cm**2 = 7.57612E-01 a0**2
 #
 #    Absorption cross section = 1.11870E-16 cm**2 = 3.99496E+00 a0**2
 #   Grand total cross section = 3.17346E-16 cm**2 = 1.13326E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 3.02212E-15
7.61557E-13 3.02212E-15
1.18994E-12 3.02212E-15
1.71346E-12 3.02212E-15
2.33225E-12 3.02212E-15
3.04617E-12 3.02212E-15
3.85530E-12 3.02212E-15
4.75964E-12 3.02212E-15
5.75917E-12 3.02212E-15
6.85391E-12 3.02212E-15
8.04379E-12 3.02212E-15
9.32893E-12 3.02213E-15
1.07092E-11 3.02213E-15
1.21847E-11 3.02213E-15
1.37554E-11 3.02213E-15
1.54213E-11 3.02213E-15
1.71823E-11 3.02213E-15
1.90386E-11 3.02213E-15
2.09900E-11 3.02213E-15
2.30367E-11 3.02213E-15
2.51785E-11 3.02213E-15
2.74156E-11 3.02213E-15
2.97478E-11 3.02213E-15
3.21752E-11 3.02213E-15
3.46979E-11 3.02213E-15
3.73157E-11 3.02213E-15
4.00286E-11 3.02213E-15
4.28368E-11 3.02213E-15
4.57402E-11 3.02213E-15
4.87388E-11 3.02213E-15
5.18325E-11 3.02213E-15
5.50215E-11 3.02213E-15
5.83057E-11 3.02213E-15
6.16850E-11 3.02213E-15
6.51595E-11 3.02213E-15
6.87293E-11 3.02213E-15
7.23943E-11 3.02213E-15
7.61544E-11 3.02213E-15
1.18991E-10 3.02213E-15
1.71347E-10 3.02213E-15
2.33223E-10 3.02214E-15
3.04617E-10 3.02214E-15
3.85531E-10 3.02214E-15
4.75965E-10 3.02215E-15
5.75917E-10 3.02215E-15
6.85389E-10 3.02216E-15
8.04380E-10 3.02217E-15
9.32891E-10 3.02217E-15
1.07092E-09 3.02218E-15
1.21847E-09 3.02219E-15
1.37554E-09 3.02220E-15
1.54213E-09 3.02221E-15
1.71823E-09 3.02221E-15
1.90386E-09 3.02222E-15
2.09900E-09 3.02224E-15
2.30367E-09 3.02225E-15
2.51785E-09 3.02226E-15
2.74156E-09 3.02227E-15
2.97478E-09 3.02228E-15
3.21752E-09 3.02229E-15
3.46978E-09 3.02231E-15
3.73156E-09 3.02232E-15
4.00286E-09 3.02234E-15
4.28368E-09 3.02235E-15
4.57402E-09 3.02237E-15
4.87388E-09 3.02238E-15
5.18326E-09 3.02240E-15
5.50215E-09 3.02241E-15
5.83057E-09 3.02243E-15
6.16850E-09 3.02245E-15
6.51596E-09 3.02247E-15
6.87293E-09 3.02249E-15
7.23942E-09 3.02251E-15
7.61544E-09 3.02253E-15
1.18991E-08 3.02275E-15
1.71347E-08 3.02303E-15
2.33223E-08 3.02336E-15
3.04617E-08 3.02373E-15
3.85531E-08 3.02416E-15
4.75965E-08 3.02465E-15
5.75917E-08 3.02518E-15
6.85389E-08 3.02577E-15
8.04380E-08 3.02641E-15
9.32891E-08 3.02710E-15
1.07092E-07 3.02784E-15
1.21847E-07 3.02865E-15
1.37554E-07 3.02950E-15
1.54213E-07 3.03041E-15
1.71823E-07 3.03138E-15
1.90386E-07 3.03241E-15
2.09900E-07 3.03349E-15
2.30367E-07 3.03463E-15
2.51785E-07 3.03583E-15
2.74156E-07 3.03710E-15
2.97478E-07 3.03842E-15
3.21752E-07 3.03980E-15
3.46978E-07 3.04125E-15
3.73156E-07 3.04276E-15
4.00286E-07 3.04434E-15
4.28368E-07 3.04598E-15
4.57402E-07 3.04769E-15
4.87388E-07 3.04946E-15
5.18325E-07 3.05131E-15
5.50215E-07 3.05322E-15
5.83057E-07 3.05520E-15
6.16850E-07 3.05726E-15
6.51596E-07 3.05939E-15
6.87293E-07 3.06159E-15
7.23942E-07 3.06387E-15
7.61543E-07 3.06622E-15
1.18991E-06 3.09420E-15
1.71347E-06 3.13103E-15
2.33223E-06 3.17775E-15
3.04617E-06 3.23518E-15
3.85531E-06 3.30380E-15
4.75964E-06 3.38372E-15
5.75916E-06 3.47455E-15
6.85388E-06 3.57551E-15
8.04378E-06 3.68540E-15
9.32888E-06 3.80270E-15
1.07092E-05 3.92570E-15
1.21846E-05 4.05258E-15
1.37553E-05 4.18153E-15
1.54212E-05 4.31087E-15
1.71822E-05 4.43912E-15
1.90385E-05 4.56506E-15
2.09899E-05 4.68778E-15
2.30365E-05 4.80667E-15
2.51783E-05 4.92141E-15
2.74153E-05 5.03192E-15
2.97475E-05 5.13834E-15
3.21749E-05 5.24095E-15
3.46974E-05 5.34012E-15
3.73152E-05 5.43625E-15
4.00281E-05 5.52973E-15
4.28362E-05 5.62089E-15
4.57395E-05 5.70995E-15
4.87380E-05 5.79703E-15
5.18317E-05 5.88216E-15
5.50205E-05 5.96523E-15
5.83045E-05 6.04602E-15
6.16838E-05 6.12425E-15
6.51582E-05 6.19959E-15
6.87277E-05 6.27166E-15
7.23925E-05 6.34012E-15
7.61524E-05 6.40462E-15
9.21439E-05 6.61890E-15
1.09658E-04 6.76313E-15
1.28695E-04 6.85061E-15
1.49255E-04 6.89696E-15
1.71338E-04 6.90758E-15
1.94942E-04 6.87921E-15
2.20070E-04 6.81031E-15
2.46720E-04 6.70739E-15
2.74892E-04 6.58129E-15
3.04586E-04 6.43949E-15
3.35803E-04 6.28326E-15
3.68542E-04 6.11157E-15
4.02802E-04 5.92636E-15
4.38585E-04 5.73317E-15
4.75889E-04 5.53751E-15
5.14715E-04 5.34153E-15
5.55063E-04 5.14463E-15
5.96931E-04 4.94651E-15
6.40321E-04 4.74914E-15
6.85233E-04 4.55560E-15
7.31665E-04 4.36771E-15
7.79618E-04 4.18520E-15
8.29092E-04 4.00711E-15
8.80086E-04 3.83352E-15
9.32601E-04 3.66574E-15
9.86636E-04 3.50499E-15
1.04219E-03 3.35130E-15
1.09927E-03 3.20376E-15
1.15786E-03 3.06168E-15
1.21797E-03 2.92528E-15
1.27961E-03 2.79524E-15
1.34276E-03 2.67173E-15
1.40743E-03 2.55419E-15
1.47362E-03 2.44182E-15
1.54133E-03 2.33435E-15
1.61056E-03 2.23200E-15
1.68131E-03 2.13498E-15
1.75357E-03 2.04302E-15
1.82735E-03 1.95552E-15
1.90265E-03 1.87201E-15
1.97947E-03 1.79246E-15
2.05780E-03 1.71699E-15
2.13765E-03 1.64555E-15
2.21902E-03 1.57775E-15
2.30190E-03 1.51316E-15
2.38630E-03 1.45158E-15
2.47222E-03 1.39304E-15
2.55965E-03 1.33756E-15
2.64859E-03 1.28495E-15
2.73905E-03 1.23487E-15
2.83103E-03 1.18708E-15
2.92452E-03 1.14152E-15
3.01952E-03 1.09821E-15
3.11604E-03 1.05707E-15
3.21407E-03 1.01790E-15
3.31362E-03 9.80464E-16
3.41468E-03 9.44661E-16
3.51725E-03 9.10483E-16
3.62133E-03 8.77913E-16
3.72692E-03 8.46840E-16
3.83403E-03 8.17099E-16
3.94265E-03 7.88568E-16
4.05278E-03 7.61215E-16
4.16442E-03 7.35043E-16
4.27757E-03 7.10009E-16
4.39223E-03 6.86008E-16
4.50840E-03 6.62939E-16
4.62608E-03 6.40753E-16
4.74527E-03 6.19449E-16
4.86597E-03 5.99018E-16
4.98817E-03 5.79406E-16
5.11188E-03 5.60541E-16
5.23711E-03 5.42369E-16
5.36383E-03 5.24878E-16
5.49207E-03 5.08070E-16
5.62181E-03 4.91920E-16
5.75306E-03 4.76383E-16
5.88581E-03 4.61411E-16
6.02007E-03 4.46984E-16
6.15583E-03 4.33098E-16
6.29310E-03 4.19742E-16
6.43187E-03 4.06889E-16
6.57214E-03 3.94504E-16
6.71392E-03 3.82561E-16
6.85720E-03 3.71052E-16
7.00198E-03 3.59966E-16
7.14827E-03 3.49289E-16
7.29605E-03 3.38995E-16
7.44534E-03 3.29063E-16
7.59612E-03 3.19479E-16
7.97965E-03 2.96977E-16
8.37255E-03 2.76376E-16
8.77480E-03 2.57489E-16
9.18641E-03 2.40154E-16
9.60736E-03 2.24237E-16
1.00376E-02 2.09601E-16
1.04773E-02 1.96161E-16
1.09262E-02 1.83792E-16
1.13844E-02 1.72436E-16
1.18520E-02 1.61981E-16
1.23288E-02 1.52371E-16
1.28150E-02 1.43520E-16
1.33104E-02 1.35358E-16
1.38150E-02 1.27833E-16
1.43290E-02 1.20862E-16
1.48521E-02 1.14428E-16
1.53845E-02 1.08440E-16
1.59262E-02 1.02907E-16
1.64770E-02 9.77405E-17
1.70371E-02 9.29576E-17
1.76063E-02 8.84873E-17
1.81848E-02 8.43344E-17
1.87724E-02 8.04559E-17
1.93692E-02 7.68326E-17
1.99751E-02 7.34527E-17
2.05901E-02 7.02728E-17
2.12143E-02 6.73080E-17
2.18476E-02 6.44996E-17
2.24900E-02 6.18780E-17
2.31415E-02 5.93842E-17
2.38021E-02 5.70481E-17
2.44717E-02 5.48246E-17
2.51504E-02 5.27298E-17
2.58382E-02 5.07414E-17
2.65349E-02 4.88541E-17
2.72407E-02 4.70699E-17
2.79555E-02 4.53635E-17
2.86793E-02 4.37550E-17
2.94120E-02 4.22073E-17
3.01537E-02 4.07485E-17
3.09043E-02 3.93415E-17
3.16639E-02 3.80102E-17
3.24324E-02 3.67286E-17
3.32098E-02 3.55079E-17
3.39961E-02 3.43385E-17
3.47912E-02 3.32159E-17
3.55952E-02 3.21466E-17
3.64081E-02 3.11131E-17
3.72297E-02 3.01321E-17
3.80602E-02 2.91805E-17
3.88995E-02 2.82769E-17
3.97476E-02 2.74008E-17
4.06044E-02 2.65653E-17
4.14700E-02 2.57585E-17
4.23443E-02 2.49840E-17
4.32273E-02 2.42405E-17
4.41190E-02 2.35221E-17
4.50194E-02 2.28356E-17
4.59284E-02 2.21696E-17
4.68461E-02 2.15341E-17
4.87074E-02 2.03272E-17
5.06030E-02 1.92067E-17
5.25328E-02 1.81655E-17
5.44967E-02 1.71975E-17
5.64946E-02 1.62973E-17
5.85262E-02 1.54598E-17
6.05914E-02 1.46798E-17
6.26901E-02 1.39522E-17
6.48222E-02 1.32722E-17
6.69873E-02 1.26361E-17
6.91854E-02 1.20411E-17
7.14163E-02 1.14846E-17
7.36799E-02 1.09640E-17
7.59760E-02 1.04764E-17
7.83043E-02 1.00186E-17
8.06647E-02 9.58786E-18
8.30571E-02 9.18206E-18
8.54812E-02 8.79976E-18
8.79369E-02 8.43976E-18
9.04240E-02 8.10072E-18
9.29422E-02 7.78101E-18
9.54915E-02 7.47885E-18
9.80716E-02 7.19264E-18
1.00682E-01 6.92124E-18
1.03323E-01 6.66387E-18
1.05995E-01 6.41990E-18
1.08696E-01 6.18859E-18
1.11427E-01 5.96900E-18
1.14188E-01 5.76011E-18
1.16978E-01 5.56104E-18
1.19797E-01 5.37122E-18
1.22645E-01 5.19026E-18
1.25522E-01 5.01783E-18
1.28428E-01 4.85349E-18
1.31361E-01 4.69663E-18
1.34323E-01 4.54662E-18
1.37313E-01 4.40299E-18
1.40330E-01 4.26544E-18
1.43375E-01 4.13382E-18
1.46447E-01 4.00793E-18
1.49545E-01 3.88746E-18
1.52671E-01 3.77199E-18
1.55823E-01 3.66112E-18
1.59001E-01 3.55460E-18
1.62205E-01 3.45229E-18
1.65435E-01 3.35408E-18
1.68690E-01 3.25980E-18
1.71970E-01 3.16919E-18
1.75276E-01 3.08203E-18
1.78606E-01 2.99818E-18
1.81961E-01 2.91754E-18
1.85340E-01 2.83999E-18
1.88743E-01 2.76532E-18
