 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 2.50000E+02 eV = 9.18733E+00 a.u.
 #
 # Element: Gd,  Z =  64,  atomic weight = 1.57250E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.77538E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 64
 #
 # Electron density: Read from file Data/z_064.d
 #                   Number of data points =  833
 #                   Volume integral = 6.40000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.35000E-23 cm**3
 #                            Bpol = 3.53553E+00
 #
 # Total elastic cross section = 3.46412E-16 cm**2 = 1.23706E+01 a0**2
 # 1st transport cross section = 3.96576E-17 cm**2 = 1.41620E+00 a0**2
 # 2nd transport cross section = 6.95334E-17 cm**2 = 2.48308E+00 a0**2
 #
 #    Absorption cross section = 6.22454E-16 cm**2 = 2.22282E+01 a0**2
 #   Grand total cross section = 9.68875E-16 cm**2 = 3.45992E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 9.76774E-15
7.61557E-13 9.76774E-15
1.18994E-12 9.76774E-15
1.71346E-12 9.76774E-15
2.33225E-12 9.76774E-15
3.04617E-12 9.76774E-15
3.85530E-12 9.76774E-15
4.75964E-12 9.76774E-15
5.75917E-12 9.76774E-15
6.85391E-12 9.76774E-15
8.04379E-12 9.76774E-15
9.32893E-12 9.76774E-15
1.07092E-11 9.76773E-15
1.21847E-11 9.76773E-15
1.37554E-11 9.76773E-15
1.54213E-11 9.76773E-15
1.71823E-11 9.76773E-15
1.90386E-11 9.76773E-15
2.09900E-11 9.76773E-15
2.30367E-11 9.76773E-15
2.51785E-11 9.76773E-15
2.74156E-11 9.76773E-15
2.97478E-11 9.76773E-15
3.21752E-11 9.76773E-15
3.46979E-11 9.76773E-15
3.73157E-11 9.76773E-15
4.00286E-11 9.76773E-15
4.28368E-11 9.76773E-15
4.57402E-11 9.76773E-15
4.87388E-11 9.76773E-15
5.18325E-11 9.76773E-15
5.50215E-11 9.76773E-15
5.83057E-11 9.76773E-15
6.16850E-11 9.76773E-15
6.51595E-11 9.76773E-15
6.87293E-11 9.76773E-15
7.23943E-11 9.76773E-15
7.61544E-11 9.76773E-15
1.18991E-10 9.76773E-15
1.71347E-10 9.76772E-15
2.33223E-10 9.76772E-15
3.04617E-10 9.76771E-15
3.85531E-10 9.76771E-15
4.75965E-10 9.76770E-15
5.75917E-10 9.76769E-15
6.85389E-10 9.76768E-15
8.04380E-10 9.76767E-15
9.32891E-10 9.76766E-15
1.07092E-09 9.76765E-15
1.21847E-09 9.76764E-15
1.37554E-09 9.76763E-15
1.54213E-09 9.76762E-15
1.71823E-09 9.76760E-15
1.90386E-09 9.76759E-15
