 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 3.00000E+03 eV = 1.10248E+02 a.u.
 #
 # Element: Tb,  Z =  65,  atomic weight = 1.58925E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.79582E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 65
 #
 # Electron density: Read from file Data/z_065.d
 #                   Number of data points =  845
 #                   Volume integral = 6.50000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.55000E-23 cm**3
 #                            Bpol = 1.35785E+01
 #
 # Total elastic cross section = 1.50871E-16 cm**2 = 5.38769E+00 a0**2
 # 1st transport cross section = 6.62432E-18 cm**2 = 2.36559E-01 a0**2
 # 2nd transport cross section = 1.33480E-17 cm**2 = 4.76666E-01 a0**2
 #
 #    Absorption cross section = 6.79308E-17 cm**2 = 2.42585E+00 a0**2
 #   Grand total cross section = 2.18822E-16 cm**2 = 7.81426E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 2.96605E-15
7.61557E-13 2.96605E-15
1.18994E-12 2.96605E-15
1.71346E-12 2.96605E-15
2.33225E-12 2.96605E-15
3.04617E-12 2.96605E-15
3.85530E-12 2.96605E-15
4.75964E-12 2.96605E-15
5.75917E-12 2.96605E-15
6.85391E-12 2.96606E-15
8.04379E-12 2.96606E-15
9.32893E-12 2.96606E-15
1.07092E-11 2.96606E-15
1.21847E-11 2.96606E-15
1.37554E-11 2.96606E-15
1.54213E-11 2.96606E-15
1.71823E-11 2.96606E-15
1.90386E-11 2.96606E-15
2.09900E-11 2.96606E-15
2.30367E-11 2.96606E-15
2.51785E-11 2.96606E-15
2.74156E-11 2.96606E-15
2.97478E-11 2.96606E-15
3.21752E-11 2.96606E-15
3.46979E-11 2.96606E-15
3.73157E-11 2.96606E-15
4.00286E-11 2.96606E-15
4.28368E-11 2.96606E-15
4.57402E-11 2.96607E-15
4.87388E-11 2.96607E-15
5.18325E-11 2.96607E-15
5.50215E-11 2.96607E-15
5.83057E-11 2.96607E-15
6.16850E-11 2.96607E-15
6.51595E-11 2.96607E-15
6.87293E-11 2.96607E-15
7.23943E-11 2.96607E-15
7.61544E-11 2.96607E-15
1.18991E-10 2.96609E-15
1.71347E-10 2.96610E-15
2.33223E-10 2.96612E-15
3.04617E-10 2.96614E-15
3.85531E-10 2.96616E-15
4.75965E-10 2.96618E-15
5.75917E-10 2.96621E-15
6.85389E-10 2.96624E-15
8.04380E-10 2.96627E-15
9.32891E-10 2.96630E-15
1.07092E-09 2.96634E-15
1.21847E-09 2.96638E-15
1.37554E-09 2.96642E-15
1.54213E-09 2.96647E-15
1.71823E-09 2.96651E-15
1.90386E-09 2.96656E-15
2.09900E-09 2.96662E-15
2.30367E-09 2.96667E-15
2.51785E-09 2.96673E-15
2.74156E-09 2.96679E-15
2.97478E-09 2.96685E-15
3.21752E-09 2.96692E-15
3.46978E-09 2.96699E-15
3.73156E-09 2.96706E-15
4.00286E-09 2.96713E-15
4.28368E-09 2.96720E-15
4.57402E-09 2.96728E-15
4.87388E-09 2.96736E-15
5.18326E-09 2.96745E-15
5.50215E-09 2.96753E-15
5.83057E-09 2.96762E-15
6.16850E-09 2.96771E-15
6.51596E-09 2.96780E-15
6.87293E-09 2.96790E-15
7.23942E-09 2.96800E-15
7.61544E-09 2.96810E-15
1.18991E-08 2.96925E-15
1.71347E-08 2.97066E-15
2.33223E-08 2.97232E-15
3.04617E-08 2.97425E-15
3.85531E-08 2.97643E-15
4.75965E-08 2.97887E-15
5.75917E-08 2.98157E-15
6.85389E-08 2.98453E-15
8.04380E-08 2.98774E-15
9.32891E-08 2.99123E-15
1.07092E-07 2.99497E-15
1.21847E-07 2.99898E-15
1.37554E-07 3.00325E-15
1.54213E-07 3.00779E-15
1.71823E-07 3.01259E-15
1.90386E-07 3.01767E-15
2.09900E-07 3.02301E-15
2.30367E-07 3.02862E-15
2.51785E-07 3.03450E-15
2.74156E-07 3.04066E-15
2.97478E-07 3.04709E-15
3.21752E-07 3.05379E-15
3.46978E-07 3.06078E-15
3.73156E-07 3.06803E-15
4.00286E-07 3.07557E-15
4.28368E-07 3.08339E-15
4.57402E-07 3.09148E-15
4.87388E-07 3.09986E-15
5.18325E-07 3.10853E-15
5.50215E-07 3.11747E-15
5.83057E-07 3.12670E-15
6.16850E-07 3.13622E-15
6.51596E-07 3.14603E-15
6.87293E-07 3.15612E-15
7.23942E-07 3.16650E-15
7.61543E-07 3.17717E-15
1.18991E-06 3.29984E-15
1.71347E-06 3.45137E-15
2.33223E-06 3.63043E-15
3.04617E-06 3.83420E-15
3.85531E-06 4.05838E-15
4.75964E-06 4.29751E-15
5.75916E-06 4.54545E-15
6.85388E-06 4.79597E-15
8.04378E-06 5.04338E-15
9.32888E-06 5.28294E-15
1.07092E-05 5.51124E-15
1.21846E-05 5.72625E-15
1.37553E-05 5.92729E-15
1.54212E-05 6.11478E-15
1.71822E-05 6.28991E-15
1.90385E-05 6.45430E-15
2.09899E-05 6.60967E-15
2.30365E-05 6.75751E-15
2.51783E-05 6.89892E-15
2.74153E-05 7.03447E-15
2.97475E-05 7.16421E-15
3.21749E-05 7.28772E-15
3.46974E-05 7.40423E-15
3.73152E-05 7.51279E-15
4.00281E-05 7.61243E-15
4.28362E-05 7.70235E-15
4.57395E-05 7.78200E-15
4.87380E-05 7.85119E-15
5.18317E-05 7.91010E-15
5.50205E-05 7.95925E-15
5.83045E-05 7.99942E-15
6.16838E-05 8.03155E-15
6.51582E-05 8.05662E-15
6.87277E-05 8.07553E-15
7.23925E-05 8.08907E-15
7.61524E-05 8.09778E-15
9.21439E-05 8.08770E-15
1.09658E-04 7.99981E-15
1.28695E-04 7.83500E-15
1.49255E-04 7.61975E-15
1.71338E-04 7.37694E-15
1.94942E-04 7.10820E-15
2.20070E-04 6.81449E-15
2.46720E-04 6.50966E-15
2.74892E-04 6.20585E-15
3.04586E-04 5.90322E-15
3.35803E-04 5.60091E-15
3.68542E-04 5.30541E-15
4.02802E-04 5.02255E-15
4.38585E-04 4.75115E-15
4.75889E-04 4.48934E-15
5.14715E-04 4.23984E-15
5.55063E-04 4.00528E-15
5.96931E-04 3.78402E-15
6.40321E-04 3.57393E-15
6.85233E-04 3.37596E-15
7.31665E-04 3.19123E-15
7.79618E-04 3.01821E-15
8.29092E-04 2.85505E-15
8.80086E-04 2.70197E-15
9.32601E-04 2.55945E-15
9.86636E-04 2.42626E-15
1.04219E-03 2.30092E-15
1.09927E-03 2.18341E-15
1.15786E-03 2.07395E-15
1.21797E-03 1.97161E-15
1.27961E-03 1.87527E-15
1.34276E-03 1.78484E-15
1.40743E-03 1.70040E-15
1.47362E-03 1.62128E-15
1.54133E-03 1.54665E-15
1.61056E-03 1.47638E-15
1.68131E-03 1.41052E-15
1.75357E-03 1.34858E-15
1.82735E-03 1.28995E-15
1.90265E-03 1.23450E-15
1.97947E-03 1.18229E-15
2.05780E-03 1.13296E-15
2.13765E-03 1.08606E-15
2.21902E-03 1.04151E-15
2.30190E-03 9.99347E-16
2.38630E-03 9.59341E-16
2.47222E-03 9.21163E-16
2.55965E-03 8.84756E-16
2.64859E-03 8.50170E-16
2.73905E-03 8.17245E-16
2.83103E-03 7.85746E-16
2.92452E-03 7.55635E-16
3.01952E-03 7.26956E-16
3.11604E-03 6.99600E-16
3.21407E-03 6.73393E-16
3.31362E-03 6.48305E-16
3.41468E-03 6.24369E-16
3.51725E-03 6.01505E-16
3.62133E-03 5.79582E-16
3.72692E-03 5.58571E-16
3.83403E-03 5.38493E-16
3.94265E-03 5.19288E-16
4.05278E-03 5.00855E-16
4.16442E-03 4.83166E-16
4.27757E-03 4.66234E-16
4.39223E-03 4.50014E-16
4.50840E-03 4.34429E-16
4.62608E-03 4.19455E-16
4.74527E-03 4.05100E-16
4.86597E-03 3.91331E-16
4.98817E-03 3.78090E-16
5.11188E-03 3.65360E-16
5.23711E-03 3.53144E-16
5.36383E-03 3.41417E-16
5.49207E-03 3.30140E-16
5.62181E-03 3.19296E-16
5.75306E-03 3.08886E-16
5.88581E-03 2.98890E-16
6.02007E-03 2.89280E-16
6.15583E-03 2.80042E-16
