 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 9.00000E+03 eV = 3.30744E+02 a.u.
 #
 # Element: Tb,  Z =  65,  atomic weight = 1.58925E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.79582E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 65
 #
 # Electron density: Read from file Data/z_065.d
 #                   Number of data points =  845
 #                   Volume integral = 6.50000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.55000E-23 cm**3
 #                            Bpol = 2.36511E+01
 #
 # Total elastic cross section = 9.42063E-17 cm**2 = 3.36417E+00 a0**2
 # 1st transport cross section = 3.81359E-18 cm**2 = 1.36186E-01 a0**2
 # 2nd transport cross section = 6.37534E-18 cm**2 = 2.27668E-01 a0**2
 #
 #    Absorption cross section = 2.36252E-17 cm**2 = 8.43673E-01 a0**2
 #   Grand total cross section = 1.17844E-16 cm**2 = 4.20828E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 3.10533E-14
7.61557E-13 3.10533E-14
1.18994E-12 3.10533E-14
1.71346E-12 3.10533E-14
2.33225E-12 3.10532E-14
3.04617E-12 3.10532E-14
3.85530E-12 3.10532E-14
4.75964E-12 3.10532E-14
5.75917E-12 3.10532E-14
6.85391E-12 3.10532E-14
8.04379E-12 3.10532E-14
9.32893E-12 3.10532E-14
1.07092E-11 3.10532E-14
1.21847E-11 3.10532E-14
1.37554E-11 3.10532E-14
1.54213E-11 3.10532E-14
1.71823E-11 3.10532E-14
1.90386E-11 3.10532E-14
2.09900E-11 3.10531E-14
2.30367E-11 3.10531E-14
2.51785E-11 3.10531E-14
2.74156E-11 3.10531E-14
2.97478E-11 3.10531E-14
3.21752E-11 3.10531E-14
3.46979E-11 3.10531E-14
3.73157E-11 3.10531E-14
4.00286E-11 3.10530E-14
4.28368E-11 3.10530E-14
4.57402E-11 3.10530E-14
4.87388E-11 3.10530E-14
5.18325E-11 3.10530E-14
5.50215E-11 3.10530E-14
5.83057E-11 3.10529E-14
6.16850E-11 3.10529E-14
6.51595E-11 3.10529E-14
6.87293E-11 3.10529E-14
7.23943E-11 3.10529E-14
7.61544E-11 3.10528E-14
1.18991E-10 3.10526E-14
1.71347E-10 3.10523E-14
2.33223E-10 3.10519E-14
3.04617E-10 3.10515E-14
3.85531E-10 3.10511E-14
4.75965E-10 3.10506E-14
5.75917E-10 3.10500E-14
6.85389E-10 3.10494E-14
8.04380E-10 3.10487E-14
9.32891E-10 3.10480E-14
1.07092E-09 3.10472E-14
1.21847E-09 3.10464E-14
1.37554E-09 3.10455E-14
1.54213E-09 3.10445E-14
1.71823E-09 3.10435E-14
1.90386E-09 3.10425E-14
2.09900E-09 3.10414E-14
2.30367E-09 3.10402E-14
2.51785E-09 3.10390E-14
2.74156E-09 3.10377E-14
2.97478E-09 3.10364E-14
3.21752E-09 3.10351E-14
3.46978E-09 3.10336E-14
3.73156E-09 3.10321E-14
4.00286E-09 3.10306E-14
4.28368E-09 3.10290E-14
4.57402E-09 3.10274E-14
4.87388E-09 3.10257E-14
5.18326E-09 3.10239E-14
5.50215E-09 3.10221E-14
5.83057E-09 3.10203E-14
6.16850E-09 3.10184E-14
6.51596E-09 3.10164E-14
6.87293E-09 3.10144E-14
7.23942E-09 3.10123E-14
7.61544E-09 3.10102E-14
1.18991E-08 3.09861E-14
1.71347E-08 3.09566E-14
2.33223E-08 3.09219E-14
3.04617E-08 3.08821E-14
3.85531E-08 3.08370E-14
4.75965E-08 3.07869E-14
5.75917E-08 3.07318E-14
6.85389E-08 3.06718E-14
8.04380E-08 3.06070E-14
9.32891E-08 3.05374E-14
1.07092E-07 3.04631E-14
1.21847E-07 3.03843E-14
1.37554E-07 3.03011E-14
1.54213E-07 3.02136E-14
1.71823E-07 3.01219E-14
1.90386E-07 3.00261E-14
2.09900E-07 2.99264E-14
2.30367E-07 2.98229E-14
2.51785E-07 2.97158E-14
2.74156E-07 2.96051E-14
2.97478E-07 2.94910E-14
3.21752E-07 2.93737E-14
3.46978E-07 2.92534E-14
3.73156E-07 2.91301E-14
4.00286E-07 2.90040E-14
4.28368E-07 2.88753E-14
4.57402E-07 2.87442E-14
4.87388E-07 2.86107E-14
5.18325E-07 2.84751E-14
5.50215E-07 2.83376E-14
5.83057E-07 2.81981E-14
6.16850E-07 2.80570E-14
6.51596E-07 2.79144E-14
6.87293E-07 2.77704E-14
7.23942E-07 2.76251E-14
7.61543E-07 2.74788E-14
1.18991E-06 2.59877E-14
1.71347E-06 2.45309E-14
2.33223E-06 2.31976E-14
3.04617E-06 2.20322E-14
3.85531E-06 2.10401E-14
4.75964E-06 2.01996E-14
5.75916E-06 1.94755E-14
6.85388E-06 1.88316E-14
8.04378E-06 1.82390E-14
9.32888E-06 1.76809E-14
1.07092E-05 1.71512E-14
1.21846E-05 1.66517E-14
1.37553E-05 1.61866E-14
1.54212E-05 1.57585E-14
1.71822E-05 1.53659E-14
1.90385E-05 1.50036E-14
2.09899E-05 1.46637E-14
2.30365E-05 1.43386E-14
2.51783E-05 1.40225E-14
2.74153E-05 1.37129E-14
2.97475E-05 1.34100E-14
3.21749E-05 1.31157E-14
3.46974E-05 1.28320E-14
3.73152E-05 1.25596E-14
4.00281E-05 1.22979E-14
4.28362E-05 1.20444E-14
4.57395E-05 1.17966E-14
4.87380E-05 1.15520E-14
5.18317E-05 1.13096E-14
5.50205E-05 1.10694E-14
5.83045E-05 1.08327E-14
6.16838E-05 1.06007E-14
6.51582E-05 1.03744E-14
6.87277E-05 1.01540E-14
7.23925E-05 9.93877E-15
7.61524E-05 9.72765E-15
9.21439E-05 8.90941E-15
1.09658E-04 8.14949E-15
1.28695E-04 7.45191E-15
1.49255E-04 6.80691E-15
1.71338E-04 6.22393E-15
1.94942E-04 5.69025E-15
2.20070E-04 5.21081E-15
2.46720E-04 4.77679E-15
2.74892E-04 4.38648E-15
3.04586E-04 4.03610E-15
3.35803E-04 3.71983E-15
3.68542E-04 3.43689E-15
4.02802E-04 3.18072E-15
4.38585E-04 2.95091E-15
4.75889E-04 2.74262E-15
5.14715E-04 2.55436E-15
5.55063E-04 2.38360E-15
5.96931E-04 2.22779E-15
6.40321E-04 2.08611E-15
6.85233E-04 1.95580E-15
7.31665E-04 1.83661E-15
7.79618E-04 1.72645E-15
8.29092E-04 1.62488E-15
8.80086E-04 1.53080E-15
9.32601E-04 1.44337E-15
9.86636E-04 1.36229E-15
1.04219E-03 1.28650E-15
1.09927E-03 1.21606E-15
1.15786E-03 1.15006E-15
1.21797E-03 1.08846E-15
1.27961E-03 1.03075E-15
1.34276E-03 9.76608E-16
1.40743E-03 9.25901E-16
1.47362E-03 8.78150E-16
1.54133E-03 8.33385E-16
1.61056E-03 7.91160E-16
1.68131E-03 7.51480E-16
1.75357E-03 7.14070E-16
1.82735E-03 6.78811E-16
1.90265E-03 6.45614E-16
1.97947E-03 6.14259E-16
2.05780E-03 5.84753E-16
2.13765E-03 5.56868E-16
2.21902E-03 5.30603E-16
2.30190E-03 5.05795E-16
2.38630E-03 4.82379E-16
2.47222E-03 4.60278E-16
2.55965E-03 4.39374E-16
2.64859E-03 4.19644E-16
2.73905E-03 4.00959E-16
2.83103E-03 3.83305E-16
2.92452E-03 3.66585E-16
3.01952E-03 3.50763E-16
3.11604E-03 3.35784E-16
3.21407E-03 3.21590E-16
3.31362E-03 3.08153E-16
3.41468E-03 2.95410E-16
3.51725E-03 2.83339E-16
3.62133E-03 2.71885E-16
3.72692E-03 2.61020E-16
3.83403E-03 2.50705E-16
3.94265E-03 2.40906E-16
4.05278E-03 2.31594E-16
4.16442E-03 2.22738E-16
4.27757E-03 2.14310E-16
4.39223E-03 2.06289E-16
4.50840E-03 1.98648E-16
4.62608E-03 1.91369E-16
4.74527E-03 1.84431E-16
4.86597E-03 1.77814E-16
4.98817E-03 1.71505E-16
5.11188E-03 1.65480E-16
5.23711E-03 1.59732E-16
5.36383E-03 1.54238E-16
5.49207E-03 1.48988E-16
5.62181E-03 1.43968E-16
5.75306E-03 1.39161E-16
5.88581E-03 1.34564E-16
6.02007E-03 1.30153E-16
6.15583E-03 1.25933E-16
6.29310E-03 1.21882E-16
6.43187E-03 1.18000E-16
6.57214E-03 1.14276E-16
6.71392E-03 1.10698E-16
6.85720E-03 1.07270E-16
7.00198E-03 1.03970E-16
7.14827E-03 1.00808E-16
7.29605E-03 9.77627E-17
7.44534E-03 9.48380E-17
7.59612E-03 9.20253E-17
7.97965E-03 8.54432E-17
8.37255E-03 7.94514E-17
8.77480E-03 7.39882E-17
9.18641E-03 6.90010E-17
9.60736E-03 6.44420E-17
1.00376E-02 6.02674E-17
1.04773E-02 5.64381E-17
1.09262E-02 5.29208E-17
1.13844E-02 4.96871E-17
1.18520E-02 4.67113E-17
1.23288E-02 4.39697E-17
1.28150E-02 4.14407E-17
1.33104E-02 3.91049E-17
1.38150E-02 3.69457E-17
1.43290E-02 3.49483E-17
1.48521E-02 3.30990E-17
1.53845E-02 3.13849E-17
1.59262E-02 2.97944E-17
1.64770E-02 2.83167E-17
1.70371E-02 2.69424E-17
1.76063E-02 2.56628E-17
1.81848E-02 2.44699E-17
1.87724E-02 2.33564E-17
1.93692E-02 2.23155E-17
1.99751E-02 2.13413E-17
2.05901E-02 2.04284E-17
2.12143E-02 1.95718E-17
2.18476E-02 1.87671E-17
2.24900E-02 1.80102E-17
2.31415E-02 1.72973E-17
2.38021E-02 1.66251E-17
2.44717E-02 1.59903E-17
2.51504E-02 1.53900E-17
2.58382E-02 1.48216E-17
2.65349E-02 1.42828E-17
2.72407E-02 1.37713E-17
2.79555E-02 1.32853E-17
2.86793E-02 1.28228E-17
2.94120E-02 1.23822E-17
3.01537E-02 1.19621E-17
3.09043E-02 1.15611E-17
3.16639E-02 1.11780E-17
3.24324E-02 1.08118E-17
3.32098E-02 1.04612E-17
3.39961E-02 1.01254E-17
3.47912E-02 9.80340E-18
3.55952E-02 9.49463E-18
3.64081E-02 9.19833E-18
3.72297E-02 8.91375E-18
3.80602E-02 8.64021E-18
3.88995E-02 8.37715E-18
3.97476E-02 8.12409E-18
4.06044E-02 7.88060E-18
4.14700E-02 7.64621E-18
4.23443E-02 7.42041E-18
4.32273E-02 7.20276E-18
4.41190E-02 6.99290E-18
4.50194E-02 6.79057E-18
4.59284E-02 6.59548E-18
4.68461E-02 6.40729E-18
4.87074E-02 6.05034E-18
5.06030E-02 5.71765E-18
5.25328E-02 5.40756E-18
5.44967E-02 5.11810E-18
5.64946E-02 4.84777E-18
5.85262E-02 4.59528E-18
6.05914E-02 4.35917E-18
6.26901E-02 4.13833E-18
6.48222E-02 3.93174E-18
6.69873E-02 3.73824E-18
6.91854E-02 3.55697E-18
7.14163E-02 3.38710E-18
7.36799E-02 3.22773E-18
7.59760E-02 3.07818E-18
7.83043E-02 2.93774E-18
8.06647E-02 2.80569E-18
8.30571E-02 2.68152E-18
8.54812E-02 2.56469E-18
8.79369E-02 2.45464E-18
9.04240E-02 2.35095E-18
9.29422E-02 2.25316E-18
9.54915E-02 2.16080E-18
9.80716E-02 2.07355E-18
1.00682E-01 1.99109E-18
1.03323E-01 1.91306E-18
1.05995E-01 1.83918E-18
1.08696E-01 1.76917E-18
1.11427E-01 1.70274E-18
1.14188E-01 1.63967E-18
1.16978E-01 1.57978E-18
1.19797E-01 1.52285E-18
1.22645E-01 1.46872E-18
1.25522E-01 1.41718E-18
1.28428E-01 1.36807E-18
1.31361E-01 1.32124E-18
1.34323E-01 1.27658E-18
1.37313E-01 1.23397E-18
1.40330E-01 1.19330E-18
1.43375E-01 1.15443E-18
1.46447E-01 1.11726E-18
1.49545E-01 1.08169E-18
1.52671E-01 1.04765E-18
1.55823E-01 1.01507E-18
1.59001E-01 9.83872E-19
1.62205E-01 9.53970E-19
1.65435E-01 9.25294E-19
1.68690E-01 8.97778E-19
1.71970E-01 8.71370E-19
1.75276E-01 8.46029E-19
1.78606E-01 8.21703E-19
1.81961E-01 7.98332E-19
1.85340E-01 7.75870E-19
1.88743E-01 7.54270E-19
1.92169E-01 7.33494E-19
1.95619E-01 7.13516E-19
1.99092E-01 6.94303E-19
2.02589E-01 6.75811E-19
2.06107E-01 6.58006E-19
2.09649E-01 6.40857E-19
2.13212E-01 6.24332E-19
2.16797E-01 6.08410E-19
2.20404E-01 5.93070E-19
2.24032E-01 5.78280E-19
2.27680E-01 5.64012E-19
2.31350E-01 5.50248E-19
2.35040E-01 5.36966E-19
2.38751E-01 5.24148E-19
2.42481E-01 5.11782E-19
2.46231E-01 4.99845E-19
2.50000E-01 4.88315E-19
2.53788E-01 4.77176E-19
2.57595E-01 4.66413E-19
2.61421E-01 4.56010E-19
2.65264E-01 4.45956E-19
2.69126E-01 4.36239E-19
2.73005E-01 4.26843E-19
2.76901E-01 4.17754E-19
2.80814E-01 4.08963E-19
2.84744E-01 4.00458E-19
2.88691E-01 3.92228E-19
2.92653E-01 3.84263E-19
2.96632E-01 3.76552E-19
3.00625E-01 3.69085E-19
3.04634E-01 3.61857E-19
3.08658E-01 3.54860E-19
3.12697E-01 3.48082E-19
3.16749E-01 3.41513E-19
3.20816E-01 3.35147E-19
3.24896E-01 3.28983E-19
3.28990E-01 3.23012E-19
3.33097E-01 3.17225E-19
3.37216E-01 3.11613E-19
3.41348E-01 3.06174E-19
3.45492E-01 3.00904E-19
3.49647E-01 2.95793E-19
3.53814E-01 2.90837E-19
3.57992E-01 2.86036E-19
3.62181E-01 2.81386E-19
3.66381E-01 2.76871E-19
3.70590E-01 2.72488E-19
3.74810E-01 2.68245E-19
3.79039E-01 2.64135E-19
3.83277E-01 2.60145E-19
3.87524E-01 2.56280E-19
3.91780E-01 2.52537E-19
3.96044E-01 2.48899E-19
4.00316E-01 2.45373E-19
4.04596E-01 2.41964E-19
4.08882E-01 2.38656E-19
4.13176E-01 2.35452E-19
4.17476E-01 2.32352E-19
4.21783E-01 2.29339E-19
4.26095E-01 2.26421E-19
4.30413E-01 2.23604E-19
4.34737E-01 2.20868E-19
4.39065E-01 2.18229E-19
4.43398E-01 2.15672E-19
4.47736E-01 2.13189E-19
4.52077E-01 2.10796E-19
4.56422E-01 2.08473E-19
4.60770E-01 2.06235E-19
4.65122E-01 2.04074E-19
4.69476E-01 2.01979E-19
4.73832E-01 1.99962E-19
4.78190E-01 1.98002E-19
4.82550E-01 1.96122E-19
4.86912E-01 1.94302E-19
4.91274E-01 1.92554E-19
4.95637E-01 1.90866E-19
5.00000E-01 1.89237E-19
5.04363E-01 1.87669E-19
5.08726E-01 1.86156E-19
5.13088E-01 1.84708E-19
5.17450E-01 1.83313E-19
5.21810E-01 1.81978E-19
5.26168E-01 1.80690E-19
5.30524E-01 1.79456E-19
5.34878E-01 1.78270E-19
5.39230E-01 1.77138E-19
5.43578E-01 1.76057E-19
5.47923E-01 1.75023E-19
5.52264E-01 1.74037E-19
5.56602E-01 1.73089E-19
5.60935E-01 1.72193E-19
5.65263E-01 1.71334E-19
5.69587E-01 1.70526E-19
5.73905E-01 1.69757E-19
5.78217E-01 1.69027E-19
5.82524E-01 1.68339E-19
5.86824E-01 1.67683E-19
5.91118E-01 1.67072E-19
5.95404E-01 1.66497E-19
5.99684E-01 1.65958E-19
6.03956E-01 1.65458E-19
6.08220E-01 1.64986E-19
