 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 4.50000E+03 eV = 1.65372E+02 a.u.
 #
 # Element: Dy,  Z =  66,  atomic weight = 1.62500E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.83895E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 66
 #
 # Electron density: Read from file Data/z_066.d
 #                   Number of data points =  843
 #                   Volume integral = 6.60000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.45000E-23 cm**3
 #                            Bpol = 1.66771E+01
 #
 # Total elastic cross section = 1.21861E-16 cm**2 = 4.35175E+00 a0**2
 # 1st transport cross section = 4.46142E-18 cm**2 = 1.59320E-01 a0**2
 # 2nd transport cross section = 9.24512E-18 cm**2 = 3.30149E-01 a0**2
 #
 #    Absorption cross section = 4.55151E-17 cm**2 = 1.62538E+00 a0**2
 #   Grand total cross section = 1.67394E-16 cm**2 = 5.97776E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 3.53496E-15
7.61557E-13 3.53496E-15
1.18994E-12 3.53496E-15
1.71346E-12 3.53496E-15
2.33225E-12 3.53496E-15
3.04617E-12 3.53496E-15
3.85530E-12 3.53496E-15
4.75964E-12 3.53496E-15
5.75917E-12 3.53496E-15
6.85391E-12 3.53497E-15
8.04379E-12 3.53497E-15
9.32893E-12 3.53497E-15
1.07092E-11 3.53497E-15
1.21847E-11 3.53497E-15
1.37554E-11 3.53497E-15
1.54213E-11 3.53497E-15
1.71823E-11 3.53497E-15
1.90386E-11 3.53497E-15
2.09900E-11 3.53497E-15
2.30367E-11 3.53497E-15
2.51785E-11 3.53498E-15
2.74156E-11 3.53498E-15
2.97478E-11 3.53498E-15
3.21752E-11 3.53498E-15
3.46979E-11 3.53498E-15
3.73157E-11 3.53498E-15
4.00286E-11 3.53498E-15
4.28368E-11 3.53499E-15
4.57402E-11 3.53499E-15
4.87388E-11 3.53499E-15
5.18325E-11 3.53499E-15
5.50215E-11 3.53499E-15
5.83057E-11 3.53500E-15
6.16850E-11 3.53500E-15
6.51595E-11 3.53500E-15
6.87293E-11 3.53500E-15
7.23943E-11 3.53500E-15
7.61544E-11 3.53501E-15
1.18991E-10 3.53503E-15
1.71347E-10 3.53506E-15
2.33223E-10 3.53510E-15
3.04617E-10 3.53514E-15
3.85531E-10 3.53519E-15
4.75965E-10 3.53524E-15
5.75917E-10 3.53530E-15
6.85389E-10 3.53537E-15
8.04380E-10 3.53544E-15
9.32891E-10 3.53552E-15
1.07092E-09 3.53560E-15
1.21847E-09 3.53569E-15
1.37554E-09 3.53578E-15
1.54213E-09 3.53588E-15
1.71823E-09 3.53598E-15
1.90386E-09 3.53610E-15
2.09900E-09 3.53621E-15
2.30367E-09 3.53633E-15
2.51785E-09 3.53646E-15
2.74156E-09 3.53659E-15
2.97478E-09 3.53673E-15
3.21752E-09 3.53688E-15
3.46978E-09 3.53703E-15
3.73156E-09 3.53718E-15
4.00286E-09 3.53735E-15
4.28368E-09 3.53751E-15
4.57402E-09 3.53769E-15
4.87388E-09 3.53787E-15
5.18326E-09 3.53805E-15
5.50215E-09 3.53824E-15
5.83057E-09 3.53844E-15
6.16850E-09 3.53864E-15
6.51596E-09 3.53884E-15
6.87293E-09 3.53906E-15
7.23942E-09 3.53928E-15
7.61544E-09 3.53950E-15
1.18991E-08 3.54205E-15
1.71347E-08 3.54517E-15
2.33223E-08 3.54886E-15
3.04617E-08 3.55311E-15
3.85531E-08 3.55794E-15
4.75965E-08 3.56332E-15
5.75917E-08 3.56928E-15
6.85389E-08 3.57580E-15
8.04380E-08 3.58289E-15
9.32891E-08 3.59055E-15
1.07092E-07 3.59877E-15
1.21847E-07 3.60756E-15
1.37554E-07 3.61691E-15
1.54213E-07 3.62683E-15
1.71823E-07 3.63732E-15
1.90386E-07 3.64836E-15
2.09900E-07 3.65998E-15
2.30367E-07 3.67215E-15
2.51785E-07 3.68488E-15
