 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.50000E+03 eV = 9.18733E+01 a.u.
 #
 # Element: Dy,  Z =  66,  atomic weight = 1.62500E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.83895E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 66
 #
 # Electron density: Read from file Data/z_066.d
 #                   Number of data points =  843
 #                   Volume integral = 6.60000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.45000E-23 cm**3
 #                            Bpol = 1.23744E+01
 #
 # Total elastic cross section = 1.90666E-16 cm**2 = 6.80882E+00 a0**2
 # 1st transport cross section = 2.05002E-17 cm**2 = 7.32074E-01 a0**2
 # 2nd transport cross section = 2.25465E-17 cm**2 = 8.05150E-01 a0**2
 #
 #    Absorption cross section = 7.81807E-17 cm**2 = 2.79188E+00 a0**2
 #   Grand total cross section = 2.68862E-16 cm**2 = 9.60122E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 3.17242E-14
7.61557E-13 3.17242E-14
1.18994E-12 3.17242E-14
1.71346E-12 3.17242E-14
2.33225E-12 3.17242E-14
3.04617E-12 3.17242E-14
3.85530E-12 3.17242E-14
4.75964E-12 3.17242E-14
5.75917E-12 3.17242E-14
6.85391E-12 3.17242E-14
8.04379E-12 3.17242E-14
9.32893E-12 3.17242E-14
1.07092E-11 3.17242E-14
1.21847E-11 3.17242E-14
1.37554E-11 3.17242E-14
1.54213E-11 3.17242E-14
1.71823E-11 3.17242E-14
1.90386E-11 3.17242E-14
2.09900E-11 3.17242E-14
2.30367E-11 3.17242E-14
2.51785E-11 3.17242E-14
2.74156E-11 3.17242E-14
2.97478E-11 3.17242E-14
3.21752E-11 3.17242E-14
3.46979E-11 3.17242E-14
3.73157E-11 3.17242E-14
4.00286E-11 3.17242E-14
4.28368E-11 3.17241E-14
4.57402E-11 3.17241E-14
4.87388E-11 3.17241E-14
5.18325E-11 3.17241E-14
5.50215E-11 3.17241E-14
5.83057E-11 3.17241E-14
6.16850E-11 3.17241E-14
6.51595E-11 3.17241E-14
6.87293E-11 3.17241E-14
7.23943E-11 3.17241E-14
7.61544E-11 3.17241E-14
1.18991E-10 3.17240E-14
1.71347E-10 3.17239E-14
2.33223E-10 3.17238E-14
3.04617E-10 3.17237E-14
3.85531E-10 3.17236E-14
4.75965E-10 3.17234E-14
5.75917E-10 3.17233E-14
6.85389E-10 3.17231E-14
8.04380E-10 3.17229E-14
9.32891E-10 3.17227E-14
1.07092E-09 3.17224E-14
1.21847E-09 3.17222E-14
1.37554E-09 3.17219E-14
1.54213E-09 3.17217E-14
1.71823E-09 3.17214E-14
1.90386E-09 3.17211E-14
2.09900E-09 3.17207E-14
2.30367E-09 3.17204E-14
2.51785E-09 3.17200E-14
2.74156E-09 3.17197E-14
2.97478E-09 3.17193E-14
