 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+02 eV = 2.93995E+01 a.u.
 #
 # Element: Dy,  Z =  66,  atomic weight = 1.62500E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.83895E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 66
 #
 # Electron density: Read from file Data/z_066.d
 #                   Number of data points =  843
 #                   Volume integral = 6.60000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.45000E-23 cm**3
 #                            Bpol = 6.84653E+00
 #
 # Total elastic cross section = 3.68813E-16 cm**2 = 1.31706E+01 a0**2
 # 1st transport cross section = 6.36984E-17 cm**2 = 2.27471E+00 a0**2
 # 2nd transport cross section = 5.44647E-17 cm**2 = 1.94497E+00 a0**2
 #
 #    Absorption cross section = 2.18909E-16 cm**2 = 7.81737E+00 a0**2
 #   Grand total cross section = 5.87751E-16 cm**2 = 2.09890E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 3.60732E-14
7.61557E-13 3.60732E-14
1.18994E-12 3.60732E-14
1.71346E-12 3.60732E-14
2.33225E-12 3.60732E-14
3.04617E-12 3.60732E-14
3.85530E-12 3.60732E-14
4.75964E-12 3.60732E-14
5.75917E-12 3.60732E-14
6.85391E-12 3.60732E-14
8.04379E-12 3.60732E-14
9.32893E-12 3.60732E-14
1.07092E-11 3.60732E-14
1.21847E-11 3.60732E-14
1.37554E-11 3.60732E-14
1.54213E-11 3.60732E-14
1.71823E-11 3.60732E-14
1.90386E-11 3.60732E-14
2.09900E-11 3.60732E-14
2.30367E-11 3.60732E-14
2.51785E-11 3.60731E-14
2.74156E-11 3.60731E-14
2.97478E-11 3.60731E-14
3.21752E-11 3.60731E-14
3.46979E-11 3.60731E-14
3.73157E-11 3.60731E-14
4.00286E-11 3.60731E-14
4.28368E-11 3.60731E-14
4.57402E-11 3.60731E-14
4.87388E-11 3.60731E-14
5.18325E-11 3.60731E-14
5.50215E-11 3.60731E-14
5.83057E-11 3.60731E-14
6.16850E-11 3.60731E-14
6.51595E-11 3.60731E-14
6.87293E-11 3.60731E-14
7.23943E-11 3.60731E-14
7.61544E-11 3.60731E-14
1.18991E-10 3.60731E-14
1.71347E-10 3.60731E-14
2.33223E-10 3.60730E-14
3.04617E-10 3.60730E-14
3.85531E-10 3.60729E-14
4.75965E-10 3.60729E-14
5.75917E-10 3.60728E-14
6.85389E-10 3.60728E-14
8.04380E-10 3.60727E-14
9.32891E-10 3.60726E-14
1.07092E-09 3.60725E-14
1.21847E-09 3.60724E-14
1.37554E-09 3.60723E-14
1.54213E-09 3.60722E-14
1.71823E-09 3.60721E-14
1.90386E-09 3.60720E-14
2.09900E-09 3.60719E-14
2.30367E-09 3.60718E-14
2.51785E-09 3.60717E-14
2.74156E-09 3.60715E-14
2.97478E-09 3.60714E-14
3.21752E-09 3.60712E-14
3.46978E-09 3.60711E-14
3.73156E-09 3.60709E-14
4.00286E-09 3.60708E-14
4.28368E-09 3.60706E-14
4.57402E-09 3.60704E-14
4.87388E-09 3.60702E-14
5.18326E-09 3.60701E-14
5.50215E-09 3.60699E-14
5.83057E-09 3.60697E-14
6.16850E-09 3.60695E-14
6.51596E-09 3.60693E-14
6.87293E-09 3.60690E-14
7.23942E-09 3.60688E-14
7.61544E-09 3.60686E-14
1.18991E-08 3.60660E-14
1.71347E-08 3.60629E-14
2.33223E-08 3.60592E-14
3.04617E-08 3.60549E-14
3.85531E-08 3.60501E-14
4.75965E-08 3.60447E-14
5.75917E-08 3.60387E-14
6.85389E-08 3.60321E-14
8.04380E-08 3.60250E-14
9.32891E-08 3.60174E-14
1.07092E-07 3.60091E-14
1.21847E-07 3.60003E-14
1.37554E-07 3.59910E-14
1.54213E-07 3.59810E-14
1.71823E-07 3.59705E-14
1.90386E-07 3.59595E-14
2.09900E-07 3.59479E-14
2.30367E-07 3.59358E-14
2.51785E-07 3.59230E-14
2.74156E-07 3.59098E-14
2.97478E-07 3.58960E-14
3.21752E-07 3.58816E-14
3.46978E-07 3.58667E-14
3.73156E-07 3.58513E-14
4.00286E-07 3.58353E-14
4.28368E-07 3.58187E-14
4.57402E-07 3.58016E-14
4.87388E-07 3.57840E-14
5.18325E-07 3.57659E-14
5.50215E-07 3.57472E-14
5.83057E-07 3.57279E-14
6.16850E-07 3.57082E-14
6.51596E-07 3.56879E-14
6.87293E-07 3.56671E-14
7.23942E-07 3.56458E-14
7.61543E-07 3.56239E-14
1.18991E-06 3.53775E-14
1.71347E-06 3.50822E-14
2.33223E-06 3.47414E-14
3.04617E-06 3.43588E-14
3.85531E-06 3.39385E-14
4.75964E-06 3.34849E-14
5.75916E-06 3.30025E-14
6.85388E-06 3.24958E-14
8.04378E-06 3.19694E-14
9.32888E-06 3.14278E-14
1.07092E-05 3.08753E-14
1.21846E-05 3.03159E-14
1.37553E-05 2.97536E-14
1.54212E-05 2.91918E-14
1.71822E-05 2.86336E-14
1.90385E-05 2.80818E-14
2.09899E-05 2.75389E-14
2.30365E-05 2.70067E-14
2.51783E-05 2.64869E-14
2.74153E-05 2.59808E-14
2.97475E-05 2.54892E-14
3.21749E-05 2.50127E-14
3.46974E-05 2.45516E-14
3.73152E-05 2.41059E-14
4.00281E-05 2.36753E-14
4.28362E-05 2.32594E-14
4.57395E-05 2.28577E-14
4.87380E-05 2.24695E-14
5.18317E-05 2.20939E-14
5.50205E-05 2.17301E-14
5.83045E-05 2.13772E-14
6.16838E-05 2.10343E-14
6.51582E-05 2.07005E-14
6.87277E-05 2.03750E-14
7.23925E-05 2.00571E-14
7.61524E-05 1.97460E-14
9.21439E-05 1.85584E-14
1.09658E-04 1.74455E-14
1.28695E-04 1.64006E-14
1.49255E-04 1.54278E-14
1.71338E-04 1.45323E-14
1.94942E-04 1.37129E-14
2.20070E-04 1.29615E-14
2.46720E-04 1.22659E-14
2.74892E-04 1.16143E-14
3.04586E-04 1.09992E-14
3.35803E-04 1.04179E-14
3.68542E-04 9.87065E-15
4.02802E-04 9.35860E-15
4.38585E-04 8.88104E-15
4.75889E-04 8.43500E-15
5.14715E-04 8.01608E-15
5.55063E-04 7.62000E-15
5.96931E-04 7.24397E-15
6.40321E-04 6.88697E-15
6.85233E-04 6.54921E-15
7.31665E-04 6.23101E-15
7.79618E-04 5.93198E-15
8.29092E-04 5.65070E-15
8.80086E-04 5.38513E-15
9.32601E-04 5.13334E-15
9.86636E-04 4.89402E-15
1.04219E-03 4.66670E-15
1.09927E-03 4.45142E-15
1.15786E-03 4.24821E-15
1.21797E-03 4.05673E-15
1.27961E-03 3.87614E-15
1.34276E-03 3.70532E-15
1.40743E-03 3.54322E-15
1.47362E-03 3.38915E-15
1.54133E-03 3.24282E-15
1.61056E-03 3.10418E-15
1.68131E-03 2.97314E-15
1.75357E-03 2.84942E-15
1.82735E-03 2.73246E-15
1.90265E-03 2.62157E-15
1.97947E-03 2.51614E-15
2.05780E-03 2.41578E-15
2.13765E-03 2.32029E-15
2.21902E-03 2.22962E-15
2.30190E-03 2.14367E-15
2.38630E-03 2.06222E-15
2.47222E-03 1.98491E-15
2.55965E-03 1.91134E-15
2.64859E-03 1.84114E-15
2.73905E-03 1.77410E-15
2.83103E-03 1.71010E-15
2.92452E-03 1.64909E-15
3.01952E-03 1.59100E-15
3.11604E-03 1.53568E-15
3.21407E-03 1.48291E-15
3.31362E-03 1.43247E-15
3.41468E-03 1.38413E-15
3.51725E-03 1.33780E-15
3.62133E-03 1.29340E-15
3.72692E-03 1.25091E-15
3.83403E-03 1.21028E-15
3.94265E-03 1.17141E-15
4.05278E-03 1.13418E-15
4.16442E-03 1.09845E-15
4.27757E-03 1.06410E-15
4.39223E-03 1.03107E-15
4.50840E-03 9.99336E-16
4.62608E-03 9.68867E-16
4.74527E-03 9.39629E-16
4.86597E-03 9.11562E-16
4.98817E-03 8.84584E-16
5.11188E-03 8.58614E-16
5.23711E-03 8.33589E-16
5.36383E-03 8.09468E-16
5.49207E-03 7.86230E-16
5.62181E-03 7.63855E-16
5.75306E-03 7.42314E-16
5.88581E-03 7.21564E-16
6.02007E-03 7.01553E-16
6.15583E-03 6.82232E-16
6.29310E-03 6.63561E-16
6.43187E-03 6.45515E-16
6.57214E-03 6.28075E-16
6.71392E-03 6.11224E-16
6.85720E-03 5.94939E-16
7.00198E-03 5.79188E-16
7.14827E-03 5.63942E-16
7.29605E-03 5.49169E-16
7.44534E-03 5.34848E-16
7.59612E-03 5.20962E-16
7.97965E-03 4.88052E-16
8.37255E-03 4.57512E-16
8.77480E-03 4.29088E-16
9.18641E-03 4.02600E-16
9.60736E-03 3.77874E-16
1.00376E-02 3.54779E-16
1.04773E-02 3.33212E-16
1.09262E-02 3.13043E-16
1.13844E-02 2.94199E-16
1.18520E-02 2.76625E-16
1.23288E-02 2.60205E-16
1.28150E-02 2.44878E-16
1.33104E-02 2.30618E-16
1.38150E-02 2.17311E-16
1.43290E-02 2.04891E-16
1.48521E-02 1.93346E-16
1.53845E-02 1.82578E-16
1.59262E-02 1.72510E-16
1.64770E-02 1.63144E-16
1.70371E-02 1.54405E-16
1.76063E-02 1.46212E-16
1.81848E-02 1.38578E-16
1.87724E-02 1.31456E-16
1.93692E-02 1.24766E-16
1.99751E-02 1.18522E-16
2.05901E-02 1.12706E-16
2.12143E-02 1.07240E-16
2.18476E-02 1.02130E-16
2.24900E-02 9.73796E-17
2.31415E-02 9.29166E-17
2.38021E-02 8.87342E-17
2.44717E-02 8.48495E-17
2.51504E-02 8.12009E-17
2.58382E-02 7.77671E-17
2.65349E-02 7.45733E-17
2.72407E-02 7.15730E-17
2.79555E-02 6.87339E-17
2.86793E-02 6.60834E-17
2.94120E-02 6.35934E-17
3.01537E-02 6.12250E-17
3.09043E-02 5.90031E-17
3.16639E-02 5.69174E-17
3.24324E-02 5.49271E-17
3.32098E-02 5.30496E-17
3.39961E-02 5.12897E-17
3.47912E-02 4.96085E-17
3.55952E-02 4.80133E-17
3.64081E-02 4.65186E-17
3.72297E-02 4.50918E-17
3.80602E-02 4.37290E-17
3.88995E-02 4.24497E-17
3.97476E-02 4.12302E-17
4.06044E-02 4.00574E-17
4.14700E-02 3.89515E-17
4.23443E-02 3.78990E-17
4.32273E-02 3.68811E-17
4.41190E-02 3.59147E-17
4.50194E-02 3.49965E-17
4.59284E-02 3.41056E-17
4.68461E-02 3.32530E-17
4.87074E-02 3.16577E-17
5.06030E-02 3.01781E-17
5.25328E-02 2.87977E-17
5.44967E-02 2.75171E-17
5.64946E-02 2.63046E-17
5.85262E-02 2.51622E-17
6.05914E-02 2.40797E-17
6.26901E-02 2.30425E-17
6.48222E-02 2.20593E-17
6.69873E-02 2.11172E-17
6.91854E-02 2.02173E-17
7.14163E-02 1.93611E-17
7.36799E-02 1.85386E-17
7.59760E-02 1.77543E-17
7.83043E-02 1.70020E-17
8.06647E-02 1.62794E-17
8.30571E-02 1.55887E-17
8.54812E-02 1.49255E-17
8.79369E-02 1.42924E-17
9.04240E-02 1.36882E-17
9.29422E-02 1.31119E-17
9.54915E-02 1.25633E-17
9.80716E-02 1.20401E-17
1.00682E-01 1.15408E-17
1.03323E-01 1.10636E-17
1.05995E-01 1.06079E-17
1.08696E-01 1.01717E-17
1.11427E-01 9.75596E-18
1.14188E-01 9.35994E-18
1.16978E-01 8.98302E-18
1.19797E-01 8.62664E-18
1.22645E-01 8.28793E-18
1.25522E-01 7.96854E-18
1.28428E-01 7.66638E-18
1.31361E-01 7.38067E-18
1.34323E-01 7.11255E-18
1.37313E-01 6.85880E-18
1.40330E-01 6.62229E-18
1.43375E-01 6.40020E-18
1.46447E-01 6.19317E-18
1.49545E-01 6.00165E-18
1.52671E-01 5.82230E-18
1.55823E-01 5.65816E-18
1.59001E-01 5.50503E-18
1.62205E-01 5.36445E-18
1.65435E-01 5.23567E-18
1.68690E-01 5.11647E-18
1.71970E-01 5.00945E-18
1.75276E-01 4.91084E-18
1.78606E-01 4.82302E-18
1.81961E-01 4.74387E-18
1.85340E-01 4.67333E-18
1.88743E-01 4.61173E-18
1.92169E-01 4.55698E-18
1.95619E-01 4.51094E-18
1.99092E-01 4.47074E-18
2.02589E-01 4.43830E-18
2.06107E-01 4.41150E-18
2.09649E-01 4.39054E-18
2.13212E-01 4.37536E-18
2.16797E-01 4.36391E-18
2.20404E-01 4.35763E-18
2.24032E-01 4.35387E-18
2.27680E-01 4.35381E-18
2.31350E-01 4.35577E-18
2.35040E-01 4.35989E-18
2.38751E-01 4.36557E-18
2.42481E-01 4.37215E-18
2.46231E-01 4.37964E-18
2.50000E-01 4.38677E-18
2.53788E-01 4.39402E-18
2.57595E-01 4.39985E-18
2.61421E-01 4.40475E-18
2.65264E-01 4.40762E-18
2.69126E-01 4.40853E-18
2.73005E-01 4.40704E-18
2.76901E-01 4.40289E-18
2.80814E-01 4.39592E-18
2.84744E-01 4.38579E-18
2.88691E-01 4.37236E-18
2.92653E-01 4.35524E-18
2.96632E-01 4.33425E-18
3.00625E-01 4.30912E-18
3.04634E-01 4.27958E-18
3.08658E-01 4.24556E-18
3.12697E-01 4.20682E-18
3.16749E-01 4.16343E-18
3.20816E-01 4.11521E-18
3.24896E-01 4.06234E-18
3.28990E-01 4.00463E-18
3.33097E-01 3.94230E-18
3.37216E-01 3.87526E-18
3.41348E-01 3.80355E-18
3.45492E-01 3.72739E-18
3.49647E-01 3.64666E-18
3.53814E-01 3.56172E-18
3.57992E-01 3.47258E-18
3.62181E-01 3.37964E-18
3.66381E-01 3.28292E-18
3.70590E-01 3.18308E-18
3.74810E-01 3.07989E-18
3.79039E-01 2.97425E-18
3.83277E-01 2.86592E-18
3.87524E-01 2.75564E-18
3.91780E-01 2.64342E-18
3.96044E-01 2.52991E-18
4.00316E-01 2.41505E-18
4.04596E-01 2.29973E-18
4.08882E-01 2.18378E-18
4.13176E-01 2.06810E-18
4.17476E-01 1.95277E-18
4.21783E-01 1.83837E-18
4.26095E-01 1.72528E-18
4.30413E-01 1.61397E-18
4.34737E-01 1.50475E-18
4.39065E-01 1.39817E-18
4.43398E-01 1.29461E-18
4.47736E-01 1.19432E-18
4.52077E-01 1.09810E-18
4.56422E-01 1.00582E-18
4.60770E-01 9.18425E-19
4.65122E-01 8.35836E-19
4.69476E-01 7.58820E-19
4.73832E-01 6.87361E-19
4.78190E-01 6.22223E-19
4.82550E-01 5.63255E-19
4.86912E-01 5.11215E-19
4.91274E-01 4.66030E-19
4.95637E-01 4.28129E-19
5.00000E-01 3.97751E-19
5.04363E-01 3.74979E-19
5.08726E-01 3.60164E-19
5.13088E-01 3.53314E-19
5.17450E-01 3.54687E-19
5.21810E-01 3.64269E-19
5.26168E-01 3.82255E-19
5.30524E-01 4.08573E-19
5.34878E-01 4.43321E-19
5.39230E-01 4.86437E-19
5.43578E-01 5.37884E-19
5.47923E-01 5.97576E-19
5.52264E-01 6.65442E-19
5.56602E-01 7.41280E-19
5.60935E-01 8.25003E-19
5.65263E-01 9.16374E-19
5.69587E-01 1.01516E-18
5.73905E-01 1.12119E-18
5.78217E-01 1.23405E-18
5.82524E-01 1.35361E-18
5.86824E-01 1.47933E-18
5.91118E-01 1.61102E-18
5.95404E-01 1.74821E-18
5.99684E-01 1.89038E-18
6.03956E-01 2.03738E-18
6.08220E-01 2.18833E-18
6.12476E-01 2.34313E-18
6.16723E-01 2.50112E-18
6.20961E-01 2.66159E-18
6.25190E-01 2.82450E-18
6.29410E-01 2.98874E-18
6.33619E-01 3.15410E-18
6.37819E-01 3.32010E-18
6.42008E-01 3.48565E-18
6.46186E-01 3.65084E-18
6.50353E-01 3.81464E-18
6.54508E-01 3.97641E-18
6.58652E-01 4.13608E-18
6.62784E-01 4.29238E-18
6.66903E-01 4.44514E-18
6.71010E-01 4.59393E-18
6.75104E-01 4.73756E-18
6.79184E-01 4.87617E-18
6.83251E-01 5.00894E-18
6.87303E-01 5.13502E-18
6.91342E-01 5.25461E-18
6.95366E-01 5.36668E-18
6.99375E-01 5.47072E-18
7.03368E-01 5.56693E-18
7.07347E-01 5.65415E-18
7.11309E-01 5.73226E-18
7.15256E-01 5.80134E-18
7.19186E-01 5.86029E-18
7.23099E-01 5.90924E-18
7.26995E-01 5.94825E-18
7.30874E-01 5.97630E-18
7.34736E-01 5.99375E-18
7.38579E-01 6.00063E-18
7.42405E-01 5.99613E-18
7.46212E-01 5.98070E-18
7.50000E-01 5.95443E-18
7.53769E-01 5.91679E-18
7.57519E-01 5.86819E-18
7.61249E-01 5.80889E-18
7.64960E-01 5.73866E-18
7.68650E-01 5.65778E-18
7.72320E-01 5.56672E-18
7.75968E-01 5.46561E-18
7.79596E-01 5.35455E-18
7.83203E-01 5.23418E-18
7.86788E-01 5.10505E-18
7.90351E-01 4.96713E-18
7.93893E-01 4.82110E-18
7.97411E-01 4.66790E-18
8.00908E-01 4.50757E-18
8.04381E-01 4.34075E-18
8.07831E-01 4.16849E-18
8.11257E-01 3.99123E-18
8.14660E-01 3.80953E-18
8.18039E-01 3.62432E-18
8.21394E-01 3.43645E-18
8.24724E-01 3.24667E-18
8.28030E-01 3.05562E-18
8.31310E-01 2.86432E-18
8.34565E-01 2.67386E-18
8.37795E-01 2.48480E-18
8.40999E-01 2.29807E-18
8.44177E-01 2.11483E-18
8.47329E-01 1.93594E-18
8.50455E-01 1.76227E-18
8.53553E-01 1.59476E-18
8.56625E-01 1.43443E-18
8.59670E-01 1.28234E-18
8.62687E-01 1.13930E-18
8.65677E-01 1.00620E-18
8.68639E-01 8.84123E-19
8.71572E-01 7.73989E-19
8.74478E-01 6.76653E-19
8.77355E-01 5.92995E-19
