 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+04 eV = 3.67493E+02 a.u.
 #
 # Element: Ho,  Z =  67,  atomic weight = 1.64930E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.86792E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 67
 #
 # Electron density: Read from file Data/z_067.d
 #                   Number of data points =  841
 #                   Volume integral = 6.70000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.36000E-23 cm**3
 #                            Bpol = 2.49374E+01
 #
 # Total elastic cross section = 8.51450E-17 cm**2 = 3.04058E+00 a0**2
 # 1st transport cross section = 3.41163E-18 cm**2 = 1.21832E-01 a0**2
 # 2nd transport cross section = 5.75839E-18 cm**2 = 2.05636E-01 a0**2
 #
 #    Absorption cross section = 2.07679E-17 cm**2 = 7.41636E-01 a0**2
 #   Grand total cross section = 1.05924E-16 cm**2 = 3.78260E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 2.80732E-14
7.61557E-13 2.80732E-14
1.18994E-12 2.80732E-14
1.71346E-12 2.80732E-14
2.33225E-12 2.80732E-14
3.04617E-12 2.80732E-14
3.85530E-12 2.80732E-14
4.75964E-12 2.80732E-14
5.75917E-12 2.80732E-14
6.85391E-12 2.80732E-14
8.04379E-12 2.80732E-14
9.32893E-12 2.80732E-14
1.07092E-11 2.80732E-14
1.21847E-11 2.80732E-14
1.37554E-11 2.80732E-14
1.54213E-11 2.80731E-14
1.71823E-11 2.80731E-14
1.90386E-11 2.80731E-14
2.09900E-11 2.80731E-14
2.30367E-11 2.80731E-14
2.51785E-11 2.80731E-14
2.74156E-11 2.80731E-14
2.97478E-11 2.80731E-14
3.21752E-11 2.80731E-14
3.46979E-11 2.80730E-14
3.73157E-11 2.80730E-14
4.00286E-11 2.80730E-14
4.28368E-11 2.80730E-14
4.57402E-11 2.80730E-14
4.87388E-11 2.80730E-14
5.18325E-11 2.80729E-14
5.50215E-11 2.80729E-14
5.83057E-11 2.80729E-14
6.16850E-11 2.80729E-14
6.51595E-11 2.80729E-14
6.87293E-11 2.80729E-14
7.23943E-11 2.80728E-14
7.61544E-11 2.80728E-14
1.18991E-10 2.80726E-14
1.71347E-10 2.80723E-14
2.33223E-10 2.80720E-14
3.04617E-10 2.80716E-14
3.85531E-10 2.80711E-14
4.75965E-10 2.80706E-14
5.75917E-10 2.80701E-14
6.85389E-10 2.80695E-14
8.04380E-10 2.80689E-14
9.32891E-10 2.80682E-14
1.07092E-09 2.80674E-14
1.21847E-09 2.80666E-14
1.37554E-09 2.80658E-14
1.54213E-09 2.80649E-14
1.71823E-09 2.80639E-14
1.90386E-09 2.80629E-14
2.09900E-09 2.80619E-14
2.30367E-09 2.80607E-14
2.51785E-09 2.80596E-14
2.74156E-09 2.80584E-14
2.97478E-09 2.80571E-14
3.21752E-09 2.80558E-14
3.46978E-09 2.80544E-14
3.73156E-09 2.80530E-14
4.00286E-09 2.80515E-14
4.28368E-09 2.80500E-14
4.57402E-09 2.80485E-14
4.87388E-09 2.80468E-14
5.18326E-09 2.80452E-14
5.50215E-09 2.80434E-14
5.83057E-09 2.80417E-14
6.16850E-09 2.80398E-14
6.51596E-09 2.80380E-14
6.87293E-09 2.80360E-14
7.23942E-09 2.80341E-14
7.61544E-09 2.80320E-14
1.18991E-08 2.80089E-14
1.71347E-08 2.79808E-14
2.33223E-08 2.79476E-14
3.04617E-08 2.79094E-14
3.85531E-08 2.78664E-14
4.75965E-08 2.78185E-14
5.75917E-08 2.77659E-14
6.85389E-08 2.77086E-14
8.04380E-08 2.76467E-14
9.32891E-08 2.75803E-14
1.07092E-07 2.75095E-14
1.21847E-07 2.74345E-14
1.37554E-07 2.73552E-14
1.54213E-07 2.72719E-14
1.71823E-07 2.71847E-14
1.90386E-07 2.70937E-14
2.09900E-07 2.69990E-14
2.30367E-07 2.69008E-14
2.51785E-07 2.67992E-14
2.74156E-07 2.66944E-14
