 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.50000E+03 eV = 5.51240E+01 a.u.
 #
 # Element: Ho,  Z =  67,  atomic weight = 1.64930E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.86792E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 67
 #
 # Electron density: Read from file Data/z_067.d
 #                   Number of data points =  841
 #                   Volume integral = 6.70000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.36000E-23 cm**3
 #                            Bpol = 9.51972E+00
 #
 # Total elastic cross section = 2.49216E-16 cm**2 = 8.89967E+00 a0**2
 # 1st transport cross section = 3.64451E-17 cm**2 = 1.30148E+00 a0**2
 # 2nd transport cross section = 3.28286E-17 cm**2 = 1.17233E+00 a0**2
 #
 #    Absorption cross section = 1.22819E-16 cm**2 = 4.38594E+00 a0**2
 #   Grand total cross section = 3.72052E-16 cm**2 = 1.32862E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 3.18990E-14
7.61557E-13 3.18990E-14
1.18994E-12 3.18990E-14
1.71346E-12 3.18990E-14
2.33225E-12 3.18990E-14
3.04617E-12 3.18990E-14
3.85530E-12 3.18990E-14
4.75964E-12 3.18990E-14
5.75917E-12 3.18989E-14
6.85391E-12 3.18989E-14
8.04379E-12 3.18989E-14
9.32893E-12 3.18989E-14
1.07092E-11 3.18989E-14
1.21847E-11 3.18989E-14
1.37554E-11 3.18989E-14
1.54213E-11 3.18989E-14
1.71823E-11 3.18989E-14
1.90386E-11 3.18989E-14
2.09900E-11 3.18989E-14
2.30367E-11 3.18989E-14
2.51785E-11 3.18989E-14
2.74156E-11 3.18989E-14
2.97478E-11 3.18989E-14
3.21752E-11 3.18989E-14
3.46979E-11 3.18989E-14
3.73157E-11 3.18989E-14
4.00286E-11 3.18989E-14
4.28368E-11 3.18989E-14
4.57402E-11 3.18989E-14
4.87388E-11 3.18989E-14
5.18325E-11 3.18989E-14
5.50215E-11 3.18989E-14
5.83057E-11 3.18989E-14
6.16850E-11 3.18989E-14
6.51595E-11 3.18989E-14
6.87293E-11 3.18989E-14
7.23943E-11 3.18989E-14
7.61544E-11 3.18989E-14
1.18991E-10 3.18988E-14
1.71347E-10 3.18988E-14
2.33223E-10 3.18987E-14
3.04617E-10 3.18987E-14
3.85531E-10 3.18986E-14
4.75965E-10 3.18985E-14
5.75917E-10 3.18984E-14
6.85389E-10 3.18983E-14
8.04380E-10 3.18982E-14
9.32891E-10 3.18980E-14
1.07092E-09 3.18979E-14
1.21847E-09 3.18978E-14
1.37554E-09 3.18976E-14
1.54213E-09 3.18974E-14
1.71823E-09 3.18973E-14
1.90386E-09 3.18971E-14
2.09900E-09 3.18969E-14
2.30367E-09 3.18967E-14
2.51785E-09 3.18965E-14
2.74156E-09 3.18963E-14
2.97478E-09 3.18960E-14
3.21752E-09 3.18958E-14
3.46978E-09 3.18956E-14
3.73156E-09 3.18953E-14
4.00286E-09 3.18950E-14
4.28368E-09 3.18948E-14
4.57402E-09 3.18945E-14
4.87388E-09 3.18942E-14
5.18326E-09 3.18939E-14
5.50215E-09 3.18936E-14
5.83057E-09 3.18932E-14
6.16850E-09 3.18929E-14
6.51596E-09 3.18926E-14
6.87293E-09 3.18922E-14
7.23942E-09 3.18919E-14
7.61544E-09 3.18915E-14
1.18991E-08 3.18873E-14
1.71347E-08 3.18822E-14
2.33223E-08 3.18761E-14
3.04617E-08 3.18691E-14
3.85531E-08 3.18612E-14
4.75965E-08 3.18523E-14
5.75917E-08 3.18426E-14
6.85389E-08 3.18319E-14
8.04380E-08 3.18203E-14
9.32891E-08 3.18077E-14
1.07092E-07 3.17943E-14
1.21847E-07 3.17800E-14
1.37554E-07 3.17647E-14
1.54213E-07 3.17485E-14
1.71823E-07 3.17315E-14
1.90386E-07 3.17135E-14
2.09900E-07 3.16947E-14
2.30367E-07 3.16749E-14
2.51785E-07 3.16543E-14
2.74156E-07 3.16328E-14
2.97478E-07 3.16104E-14
3.21752E-07 3.15872E-14
3.46978E-07 3.15631E-14
3.73156E-07 3.15381E-14
4.00286E-07 3.15123E-14
4.28368E-07 3.14856E-14
4.57402E-07 3.14581E-14
4.87388E-07 3.14298E-14
5.18325E-07 3.14006E-14
5.50215E-07 3.13706E-14
5.83057E-07 3.13398E-14
6.16850E-07 3.13081E-14
6.51596E-07 3.12757E-14
6.87293E-07 3.12425E-14
7.23942E-07 3.12084E-14
7.61543E-07 3.11736E-14
1.18991E-06 3.07843E-14
1.71347E-06 3.03257E-14
2.33223E-06 2.98070E-14
3.04617E-06 2.92383E-14
3.85531E-06 2.86297E-14
4.75964E-06 2.79915E-14
5.75916E-06 2.73338E-14
6.85388E-06 2.66658E-14
8.04378E-06 2.59961E-14
9.32888E-06 2.53321E-14
1.07092E-05 2.46801E-14
1.21846E-05 2.40453E-14
1.37553E-05 2.34317E-14
1.54212E-05 2.28420E-14
1.71822E-05 2.22780E-14
1.90385E-05 2.17405E-14
2.09899E-05 2.12294E-14
2.30365E-05 2.07439E-14
2.51783E-05 2.02827E-14
2.74153E-05 1.98441E-14
2.97475E-05 1.94261E-14
3.21749E-05 1.90266E-14
3.46974E-05 1.86435E-14
3.73152E-05 1.82748E-14
4.00281E-05 1.79186E-14
4.28362E-05 1.75731E-14
4.57395E-05 1.72372E-14
4.87380E-05 1.69095E-14
5.18317E-05 1.65893E-14
5.50205E-05 1.62761E-14
5.83045E-05 1.59695E-14
6.16838E-05 1.56695E-14
6.51582E-05 1.53760E-14
6.87277E-05 1.50893E-14
7.23925E-05 1.48096E-14
7.61524E-05 1.45370E-14
9.21439E-05 1.35225E-14
1.09658E-04 1.26274E-14
1.28695E-04 1.18319E-14
1.49255E-04 1.11075E-14
1.71338E-04 1.04345E-14
1.94942E-04 9.80843E-15
2.20070E-04 9.23219E-15
2.46720E-04 8.70552E-15
2.74892E-04 8.22098E-15
3.04586E-04 7.76848E-15
3.35803E-04 7.34171E-15
3.68542E-04 6.94007E-15
4.02802E-04 6.56535E-15
4.38585E-04 6.21724E-15
4.75889E-04 5.89214E-15
5.14715E-04 5.58562E-15
5.55063E-04 5.29527E-15
5.96931E-04 5.02131E-15
6.40321E-04 4.76463E-15
6.85233E-04 4.52470E-15
7.31665E-04 4.29938E-15
7.79618E-04 4.08637E-15
8.29092E-04 3.88462E-15
8.80086E-04 3.69435E-15
9.32601E-04 3.51587E-15
9.86636E-04 3.34854E-15
1.04219E-03 3.19094E-15
1.09927E-03 3.04171E-15
1.15786E-03 2.90034E-15
1.21797E-03 2.76696E-15
1.27961E-03 2.64161E-15
1.34276E-03 2.52370E-15
1.40743E-03 2.41227E-15
1.47362E-03 2.30653E-15
1.54133E-03 2.20624E-15
1.61056E-03 2.11145E-15
1.68131E-03 2.02209E-15
1.75357E-03 1.93769E-15
1.82735E-03 1.85763E-15
1.90265E-03 1.78146E-15
1.97947E-03 1.70908E-15
2.05780E-03 1.64052E-15
2.13765E-03 1.57567E-15
2.21902E-03 1.51420E-15
2.30190E-03 1.45568E-15
2.38630E-03 1.39989E-15
2.47222E-03 1.34679E-15
2.55965E-03 1.29637E-15
2.64859E-03 1.24853E-15
2.73905E-03 1.20301E-15
2.83103E-03 1.15956E-15
2.92452E-03 1.11804E-15
3.01952E-03 1.07844E-15
3.11604E-03 1.04073E-15
3.21407E-03 1.00482E-15
3.31362E-03 9.70523E-16
3.41468E-03 9.37667E-16
3.51725E-03 9.06182E-16
3.62133E-03 8.76055E-16
3.72692E-03 8.47260E-16
3.83403E-03 8.19706E-16
3.94265E-03 7.93266E-16
4.05278E-03 7.67840E-16
4.16442E-03 7.43388E-16
4.27757E-03 7.19901E-16
4.39223E-03 6.97351E-16
4.50840E-03 6.75669E-16
4.62608E-03 6.54774E-16
4.74527E-03 6.34610E-16
4.86597E-03 6.15157E-16
4.98817E-03 5.96410E-16
5.11188E-03 5.78343E-16
5.23711E-03 5.60910E-16
5.36383E-03 5.44064E-16
5.49207E-03 5.27774E-16
5.62181E-03 5.12032E-16
5.75306E-03 4.96830E-16
5.88581E-03 4.82150E-16
6.02007E-03 4.67961E-16
6.15583E-03 4.54234E-16
6.29310E-03 4.40955E-16
6.43187E-03 4.28117E-16
6.57214E-03 4.15709E-16
6.71392E-03 4.03715E-16
6.85720E-03 3.92115E-16
7.00198E-03 3.80893E-16
7.14827E-03 3.70039E-16
7.29605E-03 3.59541E-16
7.44534E-03 3.49389E-16
7.59612E-03 3.39568E-16
7.97965E-03 3.16388E-16
8.37255E-03 2.95034E-16
8.77480E-03 2.75335E-16
9.18641E-03 2.57164E-16
9.60736E-03 2.40358E-16
1.00376E-02 2.24837E-16
1.04773E-02 2.10465E-16
1.09262E-02 1.97176E-16
1.13844E-02 1.84886E-16
1.18520E-02 1.73505E-16
1.23288E-02 1.63009E-16
1.28150E-02 1.53279E-16
1.33104E-02 1.44318E-16
1.38150E-02 1.36013E-16
1.43290E-02 1.28349E-16
1.48521E-02 1.21259E-16
1.53845E-02 1.14680E-16
1.59262E-02 1.08606E-16
1.64770E-02 1.02939E-16
1.70371E-02 9.77039E-17
1.76063E-02 9.28119E-17
1.81848E-02 8.82731E-17
1.87724E-02 8.40446E-17
1.93692E-02 8.00932E-17
1.99751E-02 7.64290E-17
2.05901E-02 7.29833E-17
2.12143E-02 6.97912E-17
2.18476E-02 6.67841E-17
2.24900E-02 6.39817E-17
2.31415E-02 6.13508E-17
2.38021E-02 5.88718E-17
2.44717E-02 5.65559E-17
2.51504E-02 5.43525E-17
2.58382E-02 5.22951E-17
2.65349E-02 5.03332E-17
2.72407E-02 4.84884E-17
2.79555E-02 4.67389E-17
2.86793E-02 4.50745E-17
2.94120E-02 4.35077E-17
3.01537E-02 4.20030E-17
3.09043E-02 4.05886E-17
3.16639E-02 3.92285E-17
3.24324E-02 3.79402E-17
3.32098E-02 3.67094E-17
3.39961E-02 3.55290E-17
3.47912E-02 3.44100E-17
3.55952E-02 3.33276E-17
3.64081E-02 3.23028E-17
3.72297E-02 3.13122E-17
3.80602E-02 3.03676E-17
3.88995E-02 2.94615E-17
3.97476E-02 2.85881E-17
4.06044E-02 2.77565E-17
4.14700E-02 2.69496E-17
4.23443E-02 2.61812E-17
4.32273E-02 2.54369E-17
4.41190E-02 2.47229E-17
4.50194E-02 2.40363E-17
4.59284E-02 2.33719E-17
4.68461E-02 2.27365E-17
4.87074E-02 2.15297E-17
5.06030E-02 2.04100E-17
5.25328E-02 1.93713E-17
5.44967E-02 1.84068E-17
5.64946E-02 1.75090E-17
5.85262E-02 1.66715E-17
6.05914E-02 1.58899E-17
6.26901E-02 1.51610E-17
6.48222E-02 1.44822E-17
6.69873E-02 1.38500E-17
6.91854E-02 1.32600E-17
7.14163E-02 1.27080E-17
7.36799E-02 1.21905E-17
7.59760E-02 1.17051E-17
7.83043E-02 1.12500E-17
8.06647E-02 1.08234E-17
8.30571E-02 1.04232E-17
8.54812E-02 1.00472E-17
8.79369E-02 9.69307E-18
9.04240E-02 9.35877E-18
9.29422E-02 9.04245E-18
9.54915E-02 8.74283E-18
9.80716E-02 8.45911E-18
1.00682E-01 8.19061E-18
1.03323E-01 7.93632E-18
1.05995E-01 7.69475E-18
1.08696E-01 7.46437E-18
1.11427E-01 7.24416E-18
1.14188E-01 7.03377E-18
1.16978E-01 6.83301E-18
1.19797E-01 6.64136E-18
1.22645E-01 6.45792E-18
1.25522E-01 6.28192E-18
1.28428E-01 6.11301E-18
1.31361E-01 5.95101E-18
1.34323E-01 5.79546E-18
1.37313E-01 5.64564E-18
1.40330E-01 5.50104E-18
1.43375E-01 5.36171E-18
1.46447E-01 5.22782E-18
1.49545E-01 5.09908E-18
1.52671E-01 4.97475E-18
1.55823E-01 4.85423E-18
1.59001E-01 4.73754E-18
1.62205E-01 4.62491E-18
1.65435E-01 4.51617E-18
1.68690E-01 4.41078E-18
1.71970E-01 4.30838E-18
1.75276E-01 4.20911E-18
1.78606E-01 4.11307E-18
1.81961E-01 4.01993E-18
1.85340E-01 3.92916E-18
1.88743E-01 3.84064E-18
1.92169E-01 3.75459E-18
1.95619E-01 3.67104E-18
1.99092E-01 3.58959E-18
2.02589E-01 3.50994E-18
2.06107E-01 3.43215E-18
2.09649E-01 3.35637E-18
2.13212E-01 3.28238E-18
2.16797E-01 3.20985E-18
2.20404E-01 3.13874E-18
2.24032E-01 3.06920E-18
2.27680E-01 3.00116E-18
2.31350E-01 2.93437E-18
2.35040E-01 2.86880E-18
2.38751E-01 2.80455E-18
2.42481E-01 2.74162E-18
2.46231E-01 2.67980E-18
2.50000E-01 2.61901E-18
2.53788E-01 2.55933E-18
2.57595E-01 2.50075E-18
2.61421E-01 2.44323E-18
2.65264E-01 2.38678E-18
2.69126E-01 2.33147E-18
2.73005E-01 2.27725E-18
2.76901E-01 2.22410E-18
2.80814E-01 2.17201E-18
2.84744E-01 2.12097E-18
2.88691E-01 2.07099E-18
2.92653E-01 2.02219E-18
2.96632E-01 1.97463E-18
3.00625E-01 1.92824E-18
3.04634E-01 1.88309E-18
3.08658E-01 1.83925E-18
3.12697E-01 1.79665E-18
3.16749E-01 1.75526E-18
3.20816E-01 1.71527E-18
3.24896E-01 1.67677E-18
3.28990E-01 1.63964E-18
