 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.00000E+03 eV = 1.46997E+02 a.u.
 #
 # Element: Er,  Z =  68,  atomic weight = 1.67260E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.89542E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 68
 #
 # Electron density: Read from file Data/z_068.d
 #                   Number of data points =  839
 #                   Volume integral = 6.80000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.27000E-23 cm**3
 #                            Bpol = 1.57123E+01
 #
 # Total elastic cross section = 1.40305E-16 cm**2 = 5.01037E+00 a0**2
 # 1st transport cross section = 1.19045E-17 cm**2 = 4.25118E-01 a0**2
 # 2nd transport cross section = 1.52087E-17 cm**2 = 5.43111E-01 a0**2
 #
 #    Absorption cross section = 4.88033E-17 cm**2 = 1.74280E+00 a0**2
 #   Grand total cross section = 1.89120E-16 cm**2 = 6.75361E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 2.76965E-14
7.61557E-13 2.76965E-14
1.18994E-12 2.76965E-14
1.71346E-12 2.76965E-14
2.33225E-12 2.76965E-14
3.04617E-12 2.76965E-14
3.85530E-12 2.76965E-14
4.75964E-12 2.76965E-14
5.75917E-12 2.76965E-14
6.85391E-12 2.76965E-14
8.04379E-12 2.76965E-14
9.32893E-12 2.76965E-14
1.07092E-11 2.76965E-14
1.21847E-11 2.76965E-14
1.37554E-11 2.76964E-14
1.54213E-11 2.76964E-14
1.71823E-11 2.76964E-14
1.90386E-11 2.76964E-14
2.09900E-11 2.76964E-14
2.30367E-11 2.76964E-14
2.51785E-11 2.76964E-14
2.74156E-11 2.76964E-14
2.97478E-11 2.76964E-14
3.21752E-11 2.76964E-14
3.46979E-11 2.76964E-14
3.73157E-11 2.76964E-14
4.00286E-11 2.76964E-14
4.28368E-11 2.76964E-14
4.57402E-11 2.76964E-14
4.87388E-11 2.76964E-14
5.18325E-11 2.76964E-14
5.50215E-11 2.76964E-14
5.83057E-11 2.76963E-14
6.16850E-11 2.76963E-14
6.51595E-11 2.76963E-14
6.87293E-11 2.76963E-14
7.23943E-11 2.76963E-14
7.61544E-11 2.76963E-14
1.18991E-10 2.76962E-14
1.71347E-10 2.76961E-14
2.33223E-10 2.76960E-14
3.04617E-10 2.76958E-14
3.85531E-10 2.76956E-14
4.75965E-10 2.76954E-14
5.75917E-10 2.76952E-14
6.85389E-10 2.76950E-14
8.04380E-10 2.76947E-14
9.32891E-10 2.76944E-14
1.07092E-09 2.76941E-14
1.21847E-09 2.76938E-14
1.37554E-09 2.76934E-14
1.54213E-09 2.76931E-14
1.71823E-09 2.76927E-14
1.90386E-09 2.76923E-14
2.09900E-09 2.76918E-14
2.30367E-09 2.76914E-14
2.51785E-09 2.76909E-14
2.74156E-09 2.76904E-14
2.97478E-09 2.76899E-14
3.21752E-09 2.76893E-14
3.46978E-09 2.76888E-14
3.73156E-09 2.76882E-14
4.00286E-09 2.76876E-14
4.28368E-09 2.76870E-14
4.57402E-09 2.76863E-14
4.87388E-09 2.76857E-14
5.18326E-09 2.76850E-14
5.50215E-09 2.76843E-14
5.83057E-09 2.76836E-14
6.16850E-09 2.76828E-14
6.51596E-09 2.76820E-14
6.87293E-09 2.76812E-14
7.23942E-09 2.76804E-14
7.61544E-09 2.76796E-14
1.18991E-08 2.76701E-14
1.71347E-08 2.76585E-14
2.33223E-08 2.76449E-14
3.04617E-08 2.76291E-14
3.85531E-08 2.76113E-14
4.75965E-08 2.75914E-14
5.75917E-08 2.75695E-14
6.85389E-08 2.75456E-14
8.04380E-08 2.75196E-14
9.32891E-08 2.74916E-14
1.07092E-07 2.74617E-14
1.21847E-07 2.74297E-14
1.37554E-07 2.73959E-14
1.54213E-07 2.73601E-14
1.71823E-07 2.73223E-14
1.90386E-07 2.72828E-14
2.09900E-07 2.72413E-14
2.30367E-07 2.71980E-14
2.51785E-07 2.71529E-14
2.74156E-07 2.71060E-14
2.97478E-07 2.70574E-14
3.21752E-07 2.70070E-14
3.46978E-07 2.69550E-14
3.73156E-07 2.69012E-14
4.00286E-07 2.68458E-14
4.28368E-07 2.67889E-14
4.57402E-07 2.67303E-14
4.87388E-07 2.66702E-14
5.18325E-07 2.66086E-14
5.50215E-07 2.65456E-14
5.83057E-07 2.64811E-14
6.16850E-07 2.64152E-14
6.51596E-07 2.63479E-14
6.87293E-07 2.62793E-14
7.23942E-07 2.62094E-14
7.61543E-07 2.61382E-14
1.18991E-06 2.53661E-14
1.71347E-06 2.45109E-14
2.33223E-06 2.36108E-14
3.04617E-06 2.27005E-14
3.85531E-06 2.18090E-14
4.75964E-06 2.09581E-14
5.75916E-06 2.01624E-14
6.85388E-06 1.94295E-14
8.04378E-06 1.87609E-14
9.32888E-06 1.81534E-14
1.07092E-05 1.76005E-14
1.21846E-05 1.70940E-14
1.37553E-05 1.66252E-14
1.54212E-05 1.61860E-14
1.71822E-05 1.57697E-14
1.90385E-05 1.53713E-14
2.09899E-05 1.49877E-14
2.30365E-05 1.46175E-14
2.51783E-05 1.42605E-14
2.74153E-05 1.39175E-14
2.97475E-05 1.35894E-14
3.21749E-05 1.32770E-14
3.46974E-05 1.29808E-14
3.73152E-05 1.27004E-14
4.00281E-05 1.24350E-14
4.28362E-05 1.21831E-14
4.57395E-05 1.19428E-14
4.87380E-05 1.17122E-14
5.18317E-05 1.14894E-14
5.50205E-05 1.12729E-14
5.83045E-05 1.10618E-14
6.16838E-05 1.08553E-14
6.51582E-05 1.06533E-14
6.87277E-05 1.04560E-14
7.23925E-05 1.02637E-14
7.61524E-05 1.00769E-14
9.21439E-05 9.38639E-15
1.09658E-04 8.76921E-15
1.28695E-04 8.19290E-15
1.49255E-04 7.65525E-15
1.71338E-04 7.16308E-15
1.94942E-04 6.70460E-15
2.20070E-04 6.27101E-15
2.46720E-04 5.86773E-15
2.74892E-04 5.49467E-15
3.04586E-04 5.14419E-15
3.35803E-04 4.81587E-15
3.68542E-04 4.51266E-15
4.02802E-04 4.23102E-15
4.38585E-04 3.96720E-15
4.75889E-04 3.72260E-15
5.14715E-04 3.49700E-15
5.55063E-04 3.28682E-15
5.96931E-04 3.09100E-15
6.40321E-04 2.91030E-15
6.85233E-04 2.74293E-15
7.31665E-04 2.58672E-15
7.79618E-04 2.44179E-15
8.29092E-04 2.30788E-15
8.80086E-04 2.18312E-15
9.32601E-04 2.06667E-15
9.86636E-04 1.95874E-15
1.04219E-03 1.85844E-15
1.09927E-03 1.76452E-15
1.15786E-03 1.67687E-15
1.21797E-03 1.59536E-15
1.27961E-03 1.51900E-15
1.34276E-03 1.44724E-15
1.40743E-03 1.38014E-15
1.47362E-03 1.31726E-15
1.54133E-03 1.25791E-15
1.61056E-03 1.20197E-15
1.68131E-03 1.14939E-15
1.75357E-03 1.09969E-15
1.82735E-03 1.05252E-15
1.90265E-03 1.00795E-15
1.97947E-03 9.65786E-16
2.05780E-03 9.25653E-16
2.13765E-03 8.87497E-16
2.21902E-03 8.51333E-16
2.30190E-03 8.16916E-16
2.38630E-03 7.84067E-16
2.47222E-03 7.52826E-16
2.55965E-03 7.23114E-16
2.64859E-03 6.94730E-16
2.73905E-03 6.67634E-16
2.83103E-03 6.41840E-16
2.92452E-03 6.17218E-16
3.01952E-03 5.93655E-16
3.11604E-03 5.71163E-16
3.21407E-03 5.49699E-16
3.31362E-03 5.29146E-16
3.41468E-03 5.09465E-16
3.51725E-03 4.90662E-16
3.62133E-03 4.72663E-16
3.72692E-03 4.55398E-16
3.83403E-03 4.38866E-16
3.94265E-03 4.23045E-16
4.05278E-03 4.07869E-16
4.16442E-03 3.93312E-16
4.27757E-03 3.79373E-16
4.39223E-03 3.66013E-16
4.50840E-03 3.53195E-16
4.62608E-03 3.40908E-16
4.74527E-03 3.29139E-16
4.86597E-03 3.17851E-16
4.98817E-03 3.07026E-16
5.11188E-03 2.96653E-16
5.23711E-03 2.86708E-16
5.36383E-03 2.77168E-16
5.49207E-03 2.68019E-16
5.62181E-03 2.59244E-16
5.75306E-03 2.50824E-16
5.88581E-03 2.42744E-16
6.02007E-03 2.34987E-16
6.15583E-03 2.27537E-16
6.29310E-03 2.20384E-16
6.43187E-03 2.13514E-16
6.57214E-03 2.06909E-16
6.71392E-03 2.00561E-16
6.85720E-03 1.94464E-16
7.00198E-03 1.88600E-16
7.14827E-03 1.82957E-16
7.29605E-03 1.77537E-16
7.44534E-03 1.72326E-16
7.59612E-03 1.67308E-16
7.97965E-03 1.55591E-16
8.37255E-03 1.44939E-16
8.77480E-03 1.35249E-16
9.18641E-03 1.26421E-16
9.60736E-03 1.18346E-16
1.00376E-02 1.10948E-16
1.04773E-02 1.04169E-16
1.09262E-02 9.79363E-17
1.13844E-02 9.21924E-17
1.18520E-02 8.69066E-17
1.23288E-02 8.20306E-17
1.28150E-02 7.75116E-17
1.33104E-02 7.33255E-17
1.38150E-02 6.94458E-17
1.43290E-02 6.58300E-17
1.48521E-02 6.24570E-17
1.53845E-02 5.93190E-17
1.59262E-02 5.63877E-17
1.64770E-02 5.36400E-17
1.70371E-02 5.10732E-17
1.76063E-02 4.86716E-17
1.81848E-02 4.64109E-17
1.87724E-02 4.42870E-17
1.93692E-02 4.22960E-17
1.99751E-02 4.04186E-17
2.05901E-02 3.86468E-17
2.12143E-02 3.69827E-17
2.18476E-02 3.54138E-17
2.24900E-02 3.39283E-17
2.31415E-02 3.25282E-17
2.38021E-02 3.12083E-17
2.44717E-02 2.99564E-17
2.51504E-02 2.87719E-17
2.58382E-02 2.76550E-17
2.65349E-02 2.65958E-17
2.72407E-02 2.55901E-17
2.79555E-02 2.46401E-17
2.86793E-02 2.37397E-17
2.94120E-02 2.28827E-17
3.01537E-02 2.20709E-17
3.09043E-02 2.13018E-17
3.16639E-02 2.05694E-17
3.24324E-02 1.98733E-17
3.32098E-02 1.92134E-17
3.39961E-02 1.85845E-17
3.47912E-02 1.79848E-17
3.55952E-02 1.74151E-17
3.64081E-02 1.68720E-17
3.72297E-02 1.63532E-17
3.80602E-02 1.58592E-17
3.88995E-02 1.53882E-17
3.97476E-02 1.49375E-17
4.06044E-02 1.45070E-17
4.14700E-02 1.40957E-17
4.23443E-02 1.37013E-17
4.32273E-02 1.33235E-17
4.41190E-02 1.29619E-17
4.50194E-02 1.26148E-17
4.59284E-02 1.22818E-17
4.68461E-02 1.19626E-17
4.87074E-02 1.13602E-17
5.06030E-02 1.08024E-17
5.25328E-02 1.02841E-17
5.44967E-02 9.80179E-18
5.64946E-02 9.35237E-18
5.85262E-02 8.93156E-18
6.05914E-02 8.53696E-18
6.26901E-02 8.16634E-18
6.48222E-02 7.81787E-18
6.69873E-02 7.48944E-18
6.91854E-02 7.17921E-18
7.14163E-02 6.88581E-18
7.36799E-02 6.60818E-18
7.59760E-02 6.34558E-18
7.83043E-02 6.09618E-18
8.06647E-02 5.85946E-18
8.30571E-02 5.63480E-18
8.54812E-02 5.42127E-18
8.79369E-02 5.21844E-18
9.04240E-02 5.02545E-18
9.29422E-02 4.84172E-18
9.54915E-02 4.66693E-18
9.80716E-02 4.50087E-18
1.00682E-01 4.34239E-18
1.03323E-01 4.19157E-18
1.05995E-01 4.04816E-18
1.08696E-01 3.91110E-18
1.11427E-01 3.78099E-18
1.14188E-01 3.65684E-18
1.16978E-01 3.53828E-18
1.19797E-01 3.42560E-18
1.22645E-01 3.31803E-18
1.25522E-01 3.21542E-18
1.28428E-01 3.11751E-18
1.31361E-01 3.02428E-18
1.34323E-01 2.93506E-18
1.37313E-01 2.84991E-18
1.40330E-01 2.76888E-18
1.43375E-01 2.69108E-18
1.46447E-01 2.61692E-18
1.49545E-01 2.54608E-18
1.52671E-01 2.47818E-18
1.55823E-01 2.41326E-18
1.59001E-01 2.35113E-18
1.62205E-01 2.29173E-18
1.65435E-01 2.23457E-18
1.68690E-01 2.17993E-18
1.71970E-01 2.12760E-18
1.75276E-01 2.07721E-18
1.78606E-01 2.02893E-18
1.81961E-01 1.98253E-18
1.85340E-01 1.93797E-18
1.88743E-01 1.89505E-18
1.92169E-01 1.85379E-18
1.95619E-01 1.81414E-18
1.99092E-01 1.77582E-18
2.02589E-01 1.73896E-18
2.06107E-01 1.70342E-18
2.09649E-01 1.66915E-18
2.13212E-01 1.63603E-18
2.16797E-01 1.60400E-18
2.20404E-01 1.57313E-18
2.24032E-01 1.54325E-18
2.27680E-01 1.51434E-18
2.31350E-01 1.48634E-18
2.35040E-01 1.45922E-18
2.38751E-01 1.43295E-18
2.42481E-01 1.40748E-18
2.46231E-01 1.38277E-18
2.50000E-01 1.35877E-18
2.53788E-01 1.33545E-18
2.57595E-01 1.31280E-18
2.61421E-01 1.29080E-18
2.65264E-01 1.26936E-18
2.69126E-01 1.24850E-18
2.73005E-01 1.22816E-18
2.76901E-01 1.20836E-18
2.80814E-01 1.18908E-18
2.84744E-01 1.17023E-18
2.88691E-01 1.15185E-18
2.92653E-01 1.13385E-18
2.96632E-01 1.11630E-18
3.00625E-01 1.09916E-18
3.04634E-01 1.08236E-18
3.08658E-01 1.06593E-18
3.12697E-01 1.04979E-18
3.16749E-01 1.03402E-18
3.20816E-01 1.01855E-18
3.24896E-01 1.00338E-18
3.28990E-01 9.88507E-19
3.33097E-01 9.73841E-19
3.37216E-01 9.59476E-19
3.41348E-01 9.45325E-19
3.45492E-01 9.31432E-19
3.49647E-01 9.17787E-19
3.53814E-01 9.04315E-19
3.57992E-01 8.91096E-19
3.62181E-01 8.78013E-19
3.66381E-01 8.65148E-19
3.70590E-01 8.52458E-19
3.74810E-01 8.39926E-19
3.79039E-01 8.27616E-19
3.83277E-01 8.15418E-19
3.87524E-01 8.03426E-19
3.91780E-01 7.91550E-19
3.96044E-01 7.79817E-19
4.00316E-01 7.68247E-19
4.04596E-01 7.56768E-19
4.08882E-01 7.45476E-19
4.13176E-01 7.34274E-19
4.17476E-01 7.23228E-19
4.21783E-01 7.12315E-19
4.26095E-01 7.01502E-19
4.30413E-01 6.90854E-19
4.34737E-01 6.80281E-19
4.39065E-01 6.69862E-19
4.43398E-01 6.59546E-19
4.47736E-01 6.49342E-19
4.52077E-01 6.39281E-19
4.56422E-01 6.29299E-19
4.60770E-01 6.19474E-19
4.65122E-01 6.09741E-19
4.69476E-01 6.00140E-19
4.73832E-01 5.90671E-19
4.78190E-01 5.81299E-19
