 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 9.00000E+03 eV = 3.30744E+02 a.u.
 #
 # Element: Tm,  Z =  69,  atomic weight = 1.68934E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.91502E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 69
 #
 # Electron density: Read from file Data/z_069.d
 #                   Number of data points =  837
 #                   Volume integral = 6.90000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.18000E-23 cm**3
 #                            Bpol = 2.36511E+01
 #
 # Total elastic cross section = 8.03800E-17 cm**2 = 2.87042E+00 a0**2
 # 1st transport cross section = 2.14351E-18 cm**2 = 7.65462E-02 a0**2
 # 2nd transport cross section = 4.62058E-18 cm**2 = 1.65004E-01 a0**2
 #
 #    Absorption cross section = 2.24925E-17 cm**2 = 8.03222E-01 a0**2
 #   Grand total cross section = 1.02884E-16 cm**2 = 3.67406E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 4.81033E-15
7.61557E-13 4.81033E-15
1.18994E-12 4.81033E-15
1.71346E-12 4.81033E-15
2.33225E-12 4.81033E-15
3.04617E-12 4.81033E-15
3.85530E-12 4.81034E-15
4.75964E-12 4.81034E-15
5.75917E-12 4.81034E-15
6.85391E-12 4.81034E-15
8.04379E-12 4.81034E-15
9.32893E-12 4.81034E-15
1.07092E-11 4.81035E-15
1.21847E-11 4.81035E-15
1.37554E-11 4.81035E-15
1.54213E-11 4.81035E-15
1.71823E-11 4.81036E-15
1.90386E-11 4.81036E-15
2.09900E-11 4.81036E-15
2.30367E-11 4.81036E-15
2.51785E-11 4.81037E-15
2.74156E-11 4.81037E-15
2.97478E-11 4.81037E-15
3.21752E-11 4.81038E-15
3.46979E-11 4.81038E-15
3.73157E-11 4.81039E-15
4.00286E-11 4.81039E-15
4.28368E-11 4.81039E-15
4.57402E-11 4.81040E-15
4.87388E-11 4.81040E-15
5.18325E-11 4.81041E-15
5.50215E-11 4.81041E-15
5.83057E-11 4.81042E-15
6.16850E-11 4.81042E-15
6.51595E-11 4.81043E-15
6.87293E-11 4.81043E-15
7.23943E-11 4.81044E-15
7.61544E-11 4.81044E-15
1.18991E-10 4.81051E-15
1.71347E-10 4.81059E-15
2.33223E-10 4.81068E-15
3.04617E-10 4.81079E-15
3.85531E-10 4.81091E-15
4.75965E-10 4.81104E-15
5.75917E-10 4.81119E-15
6.85389E-10 4.81135E-15
8.04380E-10 4.81153E-15
9.32891E-10 4.81172E-15
1.07092E-09 4.81193E-15
1.21847E-09 4.81215E-15
1.37554E-09 4.81239E-15
1.54213E-09 4.81264E-15
1.71823E-09 4.81290E-15
1.90386E-09 4.81318E-15
2.09900E-09 4.81347E-15
2.30367E-09 4.81377E-15
2.51785E-09 4.81409E-15
2.74156E-09 4.81443E-15
2.97478E-09 4.81478E-15
3.21752E-09 4.81514E-15
3.46978E-09 4.81552E-15
3.73156E-09 4.81591E-15
4.00286E-09 4.81631E-15
4.28368E-09 4.81673E-15
4.57402E-09 4.81717E-15
4.87388E-09 4.81761E-15
5.18326E-09 4.81808E-15
5.50215E-09 4.81855E-15
5.83057E-09 4.81904E-15
6.16850E-09 4.81955E-15
6.51596E-09 4.82007E-15
6.87293E-09 4.82060E-15
7.23942E-09 4.82115E-15
7.61544E-09 4.82171E-15
1.18991E-08 4.82810E-15
1.71347E-08 4.83591E-15
2.33223E-08 4.84513E-15
3.04617E-08 4.85575E-15
3.85531E-08 4.86777E-15
4.75965E-08 4.88118E-15
5.75917E-08 4.89597E-15
6.85389E-08 4.91214E-15
8.04380E-08 4.92967E-15
9.32891E-08 4.94856E-15
1.07092E-07 4.96880E-15
1.21847E-07 4.99036E-15
1.37554E-07 5.01325E-15
1.54213E-07 5.03743E-15
1.71823E-07 5.06291E-15
1.90386E-07 5.08966E-15
2.09900E-07 5.11766E-15
2.30367E-07 5.14691E-15
2.51785E-07 5.17736E-15
2.74156E-07 5.20902E-15
2.97478E-07 5.24185E-15
3.21752E-07 5.27582E-15
3.46978E-07 5.31093E-15
3.73156E-07 5.34714E-15
4.00286E-07 5.38443E-15
4.28368E-07 5.42276E-15
4.57402E-07 5.46212E-15
4.87388E-07 5.50246E-15
5.18325E-07 5.54377E-15
5.50215E-07 5.58600E-15
5.83057E-07 5.62913E-15
6.16850E-07 5.67312E-15
6.51596E-07 5.71794E-15
6.87293E-07 5.76355E-15
7.23942E-07 5.80991E-15
7.61543E-07 5.85699E-15
1.18991E-06 6.35864E-15
1.71347E-06 6.88753E-15
2.33223E-06 7.40389E-15
3.04617E-06 7.87588E-15
3.85531E-06 8.28494E-15
4.75964E-06 8.62673E-15
5.75916E-06 8.90818E-15
6.85388E-06 9.14204E-15
8.04378E-06 9.34127E-15
9.32888E-06 9.51508E-15
1.07092E-05 9.66735E-15
1.21846E-05 9.79727E-15
1.37553E-05 9.90155E-15
1.54212E-05 9.97695E-15
1.71822E-05 1.00223E-14
1.90385E-05 1.00394E-14
2.09899E-05 1.00324E-14
2.30365E-05 1.00065E-14
2.51783E-05 9.96670E-15
2.74153E-05 9.91615E-15
2.97475E-05 9.85615E-15
3.21749E-05 9.78637E-15
3.46974E-05 9.70579E-15
3.73152E-05 9.61366E-15
4.00281E-05 9.51024E-15
4.28362E-05 9.39695E-15
4.57395E-05 9.27605E-15
4.87380E-05 9.15001E-15
5.18317E-05 9.02078E-15
5.50205E-05 8.88949E-15
5.83045E-05 8.75632E-15
6.16838E-05 8.62082E-15
6.51582E-05 8.48244E-15
6.87277E-05 8.34094E-15
7.23925E-05 8.19666E-15
7.61524E-05 8.05052E-15
9.21439E-05 7.46874E-15
1.09658E-04 6.90417E-15
1.28695E-04 6.35671E-15
1.49255E-04 5.84702E-15
1.71338E-04 5.36935E-15
1.94942E-04 4.93129E-15
2.20070E-04 4.53079E-15
2.46720E-04 4.16503E-15
2.74892E-04 3.83533E-15
3.04586E-04 3.53509E-15
3.35803E-04 3.26537E-15
3.68542E-04 3.02084E-15
4.02802E-04 2.80019E-15
4.38585E-04 2.60104E-15
4.75889E-04 2.42009E-15
5.14715E-04 2.25684E-15
5.55063E-04 2.10778E-15
5.96931E-04 1.97254E-15
6.40321E-04 1.84883E-15
6.85233E-04 1.73551E-15
7.31665E-04 1.63170E-15
7.79618E-04 1.53573E-15
8.29092E-04 1.44749E-15
8.80086E-04 1.36548E-15
9.32601E-04 1.28955E-15
9.86636E-04 1.21889E-15
1.04219E-03 1.15296E-15
1.09927E-03 1.09160E-15
1.15786E-03 1.03403E-15
1.21797E-03 9.80332E-16
1.27961E-03 9.29873E-16
1.34276E-03 8.82572E-16
1.40743E-03 8.38159E-16
1.47362E-03 7.96308E-16
1.54133E-03 7.57017E-16
1.61056E-03 7.19880E-16
1.68131E-03 6.84941E-16
1.75357E-03 6.51918E-16
1.82735E-03 6.20735E-16
1.90265E-03 5.91308E-16
1.97947E-03 5.63438E-16
2.05780E-03 5.37154E-16
2.13765E-03 5.12245E-16
2.21902E-03 4.88723E-16
2.30190E-03 4.66460E-16
2.38630E-03 4.45384E-16
2.47222E-03 4.25463E-16
2.55965E-03 4.06566E-16
2.64859E-03 3.88702E-16
2.73905E-03 3.71750E-16
